,2,1,0
0,1,0,0
1,1,0,0
2,0,1,0
3,0,1,0
4,1,0,0
5,1,0,0
6,0,1,1
7,1,0,0
8,1,0,0
9,0,1,1
10,0,1,1
11,0,1,1
12,1,0,0
13,1,0,1
14,1,0,1
15,0,1,1
16,1,0,0
17,0,1,1
18,1,0,0
19,1,0,0
20,1,0,0
21,1,0,0
22,0,1,1
23,1,0,0
24,1,0,1
25,0,1,1
26,1,0,1
27,1,0,0
28,1,0,0
29,0,1,0
30,0,1,1
31,1,1,0
32,0,1,1
33,1,0,0
34,0,1,0
35,0,1,0
36,1,0,0
37,0,1,0
38,1,1,0
39,0,1,1
40,1,0,0
41,1,0,0
42,0,1,1
43,0,1,0
44,1,0,0
45,1,0,1
46,0,0,1
47,1,0,0
48,1,0,1
49,0,1,1
50,1,0,0
51,1,0,0
52,1,0,0
53,0,1,0
54,1,1,0
55,0,1,1
56,1,0,0
57,0,1,0
58,1,0,0
59,1,0,1
60,0,1,1
61,1,0,1
62,0,1,1
63,0,1,0
64,1,0,0
65,1,0,0
66,1,0,0
67,0,1,0
68,1,0,0
69,0,1,0
70,1,0,1
71,1,0,0
72,1,0,0
73,0,1,0
74,0,1,1
75,1,0,1
76,1,0,0
77,1,0,0
78,1,0,0
79,1,0,0
80,1,0,0
81,1,0,0
82,0,1,1
83,0,1,1
84,0,0,1
85,1,0,1
86,1,1,0
87,1,0,0
88,1,0,0
89,1,0,0
90,1,0,0
91,1,0,0
92,0,1,0
93,1,0,1
94,0,1,0
95,1,0,1
96,1,0,0
97,0,1,1
98,1,0,0
99,1,0,0
100,1,0,0
101,1,0,1
102,0,1,1
103,0,1,1
104,1,0,1
105,1,1,0
106,1,0,0
107,0,1,0
108,1,0,0
109,0,0,1
110,0,1,1
111,0,1,1
112,1,0,0
113,0,0,1
114,1,1,0
115,0,1,0
116,1,0,1
117,1,0,0
118,0,1,0
119,0,1,0
120,1,0,0
121,0,1,1
122,1,0,0
123,1,0,0
124,0,1,0
125,1,0,0
126,1,0,0
127,1,0,1
128,0,1,0
129,1,0,0
130,1,0,0
131,1,0,0
132,0,1,0
133,0,1,0
134,1,0,0
135,0,1,0
136,0,1,0
137,1,0,1
138,1,0,1
139,0,0,1
140,1,0,0
141,1,0,0
142,1,0,0
143,1,0,0
144,1,0,0
145,1,0,0
146,1,0,0
147,0,1,0
148,1,0,1
149,0,1,0
150,1,0,0
151,1,0,0
152,1,0,0
153,1,0,0
154,1,0,0
155,1,0,1
156,0,1,1
157,1,0,0
158,0,1,1
159,1,0,0
160,0,1,0
161,1,1,0
162,1,0,0
163,1,0,1
164,0,1,1
165,0,1,1
166,0,1,1
167,0,1,0
168,0,1,1
169,1,0,0
170,0,1,1
171,1,0,0
172,0,1,0
173,0,1,1
174,1,0,0
175,1,0,1
176,0,1,0
177,0,1,1
178,0,1,1
179,0,1,0
180,1,0,1
181,0,0,1
182,1,0,0
183,1,0,0
184,1,0,0
185,1,0,0
186,0,1,1
187,0,1,0
188,1,0,0
189,0,1,1
190,0,1,1
191,1,0,0
192,1,0,0
193,1,1,0
194,0,1,1
195,0,1,1
196,0,1,0
197,1,0,0
198,1,0,0
199,1,0,0
200,0,1,0
201,1,0,0
202,1,0,1
203,1,0,1
204,0,1,0
205,1,0,0
206,1,0,1
207,1,0,0
208,0,1,1
209,0,1,1
210,1,0,1
211,1,0,0
212,1,0,1
213,1,0,1
214,1,0,1
215,0,1,0
216,1,0,0
217,1,0,1
218,0,1,1
219,1,0,0
220,1,0,0
221,1,0,0
222,1,0,0
223,1,0,0
224,1,0,1
225,1,0,0
226,1,0,1
227,1,0,0
228,0,0,1
229,1,0,0
230,1,0,0
231,1,0,0
232,1,0,0
233,1,0,0
234,1,1,0
235,0,1,0
236,0,1,0
237,1,0,0
238,1,0,0
239,0,1,1
240,0,1,1
241,1,0,0
242,1,0,1
243,0,0,1
244,1,0,0
245,0,1,0
246,0,1,0
247,0,1,1
248,1,0,0
249,1,0,0
250,0,1,0
251,1,0,0
252,1,0,0
253,1,0,0
254,1,0,1
255,1,0,0
256,1,0,0
257,1,0,0
258,1,0,0
259,1,0,0
260,1,0,0
261,1,0,1
262,1,0,0
263,1,0,0
264,1,0,0
265,1,0,0
266,1,1,0
267,1,0,0
268,1,0,0
269,1,0,0
270,0,1,0
271,1,0,1
272,1,0,1
273,1,0,1
274,1,0,0
275,0,1,1
276,0,1,1
277,0,1,1
278,1,0,1
279,0,1,1
280,1,1,1
281,1,0,0
282,1,0,1
283,1,0,0
284,0,1,1
285,0,1,0
286,1,0,0
287,1,0,1
288,0,1,0
289,1,0,0
290,1,0,0
291,1,0,1
292,0,0,1
293,1,0,0
294,1,0,0
295,1,0,0
296,1,0,0
297,1,0,1
298,1,0,0
299,0,1,0
300,1,0,0
301,0,1,0
302,1,0,1
303,1,0,1
304,0,1,1
305,1,0,0
306,1,0,0
307,0,1,0
308,1,0,1
309,0,0,0
310,1,0,0
311,0,1,1
312,1,0,0
313,1,0,0
314,1,0,0
315,1,0,0
316,1,0,0
317,1,0,0
318,1,0,0
319,1,0,1
320,0,1,0
321,1,0,0
322,0,1,0
323,0,1,1
324,1,0,0
325,1,0,1
326,0,1,0
327,1,0,0
328,1,0,0
329,0,1,0
330,1,0,0
331,1,0,0
332,0,1,0
333,1,0,0
334,1,1,0
335,1,0,1
336,1,0,1
337,0,1,1
338,1,0,0
339,1,0,0
340,1,0,0
341,1,0,1
342,1,0,0
343,0,1,0
344,1,0,1
345,1,0,0
346,0,1,0
347,1,0,0
348,1,0,0
349,0,1,0
350,0,0,1
351,0,1,1
352,1,1,0
353,1,0,0
354,1,0,1
355,1,0,0
356,1,0,1
357,1,0,1
358,1,0,1
359,1,0,0
360,1,0,0
361,0,1,1
362,1,0,0
363,0,1,0
364,0,1,0
365,1,0,0
366,1,0,1
367,1,0,0
368,1,0,0
369,1,0,0
370,1,0,0
371,0,1,1
372,1,0,0
373,1,0,0
374,1,0,1
375,0,0,1
376,0,1,1
377,1,0,0
378,1,0,0
379,1,0,0
380,1,0,0
381,1,1,0
382,0,1,0
383,1,0,1
384,1,0,1
385,1,0,0
386,1,0,1
387,1,0,1
388,1,0,1
389,1,0,0
390,1,0,0
391,1,0,0
392,1,0,0
393,1,0,0
394,0,1,0
395,1,0,0
396,0,1,1
397,1,0,0
398,0,1,0
399,1,0,0
400,1,0,0
401,0,1,0
402,1,0,0
403,0,1,0
404,1,0,0
405,1,0,0
406,1,0,0
407,0,1,0
408,1,0,0
409,1,0,0
410,1,0,1
411,0,1,0
412,1,0,0
413,1,0,0
414,1,0,1
415,1,1,0
