,4,3,2,1,0
0,0,0,1,1,0
1,1,1,1,1,1
2,1,1,1,0,0
3,1,1,0,0,1
4,0,1,0,1,1
5,0,0,1,1,1
6,0,0,1,1,0
7,1,1,1,1,1
8,1,1,1,1,1
9,0,0,1,0,0
10,1,0,1,1,0
11,0,0,1,0,1
12,1,1,0,0,1
13,1,1,0,1,0
14,1,0,1,1,0
15,0,0,1,1,1
16,0,0,1,1,1
17,0,0,1,1,0
18,1,1,0,1,1
19,1,1,0,1,0
20,1,1,1,0,1
21,0,0,1,0,1
22,1,1,0,1,1
23,0,0,1,1,0
24,1,1,1,1,0
25,0,0,1,1,0
26,1,1,1,0,1
27,1,1,0,0,1
28,1,1,1,1,0
29,1,1,1,1,1
30,1,1,1,1,0
31,1,1,1,1,1
32,0,0,1,1,1
33,0,1,1,1,1
34,0,1,1,0,1
35,1,0,1,1,1
36,1,1,0,1,0
37,1,1,1,1,0
38,0,0,1,0,1
39,0,1,1,0,1
40,0,0,1,1,1
41,1,1,0,1,1
42,0,1,1,1,0
43,1,1,0,0,0
44,0,0,1,1,1
45,1,1,1,1,1
46,1,1,0,1,1
47,1,1,0,1,1
48,0,0,1,1,1
49,1,1,1,1,0
50,1,0,1,1,1
51,0,1,1,1,0
52,1,1,0,1,0
53,1,1,1,1,0
54,0,0,1,1,0
55,1,1,0,1,0
56,1,1,0,0,1
57,1,1,1,1,1
58,0,0,1,0,1
59,1,1,1,1,1
60,1,1,1,1,1
61,1,0,1,1,1
62,0,0,1,1,1
63,0,0,1,1,0
64,0,0,1,1,1
65,0,0,1,1,1
66,1,1,1,1,0
67,1,1,1,1,1
68,0,0,1,1,1
69,0,0,1,1,1
70,0,0,1,1,0
71,1,1,1,1,0
72,1,1,0,0,1
73,1,1,0,1,1
74,1,1,1,1,0
75,1,1,0,1,1
76,0,0,1,1,1
77,1,1,1,1,1
78,1,1,0,1,0
79,1,1,1,1,0
80,0,0,1,1,0
81,1,0,1,1,1
82,1,1,0,1,0
83,0,0,1,0,0
84,0,0,1,0,1
85,1,1,0,1,0
86,1,1,1,1,1
87,0,0,1,1,1
88,1,0,1,1,1
89,0,0,1,1,0
90,1,1,0,1,0
91,0,0,1,1,1
92,1,1,1,1,0
93,0,0,1,1,1
94,0,0,1,1,0
95,1,1,0,1,1
96,1,1,1,1,0
97,0,0,1,1,1
98,1,1,0,1,1
99,1,1,1,0,0
100,1,1,0,1,0
101,1,1,1,1,0
102,1,1,0,1,0
103,0,0,1,0,1
104,0,0,1,0,1
105,1,1,0,0,1
106,1,1,1,1,1
107,1,1,0,1,1
108,1,1,0,1,1
109,0,0,1,1,1
110,1,1,0,0,0
111,1,1,1,1,1
112,1,1,0,1,0
113,1,1,0,0,1
114,0,1,1,1,1
115,0,0,1,1,0
116,1,1,1,0,1
117,0,1,1,1,1
118,1,1,0,0,1
119,1,1,0,0,0
120,1,1,1,1,1
121,0,1,0,1,1
122,0,0,1,1,1
123,1,1,0,1,1
124,0,0,1,1,0
125,1,1,1,1,0
126,0,0,1,1,0
127,1,1,0,1,0
128,1,0,1,1,0
129,0,1,1,1,1
130,0,1,1,0,1
131,0,0,1,1,1
132,0,1,0,1,1
133,1,1,0,1,1
134,0,1,1,1,1
135,1,1,1,1,1
136,1,1,1,1,1
137,0,0,1,1,1
138,0,1,1,1,0
139,0,0,1,1,0
140,1,1,1,1,1
141,1,1,0,1,1
142,0,0,1,1,1
143,1,1,1,0,0
144,0,1,1,1,1
145,0,1,1,1,0
146,1,1,1,1,1
147,1,1,1,1,0
148,1,1,0,1,1
149,1,1,1,1,1
150,0,0,1,1,0
151,0,0,1,1,1
152,1,0,1,1,0
153,1,1,1,1,0
154,0,0,1,1,0
155,0,0,1,0,0
156,0,0,1,1,1
157,1,1,0,1,0
158,1,1,1,1,1
159,1,1,1,0,1
160,1,1,1,1,1
161,0,1,1,0,0
162,1,1,1,1,1
163,0,0,1,1,1
164,0,0,0,1,0
165,1,1,1,0,0
166,0,1,0,0,1
167,1,0,1,0,1
168,1,0,1,0,1
169,0,1,1,0,1
170,1,1,0,1,0
171,1,1,1,1,1
172,1,1,0,1,0
173,0,0,1,1,1
174,0,1,0,1,0
175,0,1,0,1,1
176,1,1,1,1,1
177,1,1,1,0,0
178,1,1,0,0,0
179,0,0,1,1,0
180,1,1,1,0,1
181,1,0,1,0,0
182,0,0,1,1,1
183,0,1,0,1,0
184,1,1,0,1,1
185,1,1,1,1,0
186,1,1,1,1,0
187,0,1,0,1,0
188,0,1,1,1,1
189,1,1,0,1,1
190,1,1,1,1,1
191,0,0,0,0,1
192,0,0,1,1,0
193,0,0,1,1,0
194,0,1,1,1,0
195,1,0,1,1,1
196,1,1,1,1,1
197,1,1,1,1,0
198,0,0,1,1,0
199,0,0,1,0,1
200,1,1,1,1,0
201,0,0,1,1,1
202,1,1,0,1,1
203,1,0,1,1,1
204,1,0,1,1,1
205,1,1,1,1,0
206,1,1,1,1,0
207,1,1,1,0,1
208,1,1,1,1,0
209,1,1,0,1,0
210,0,0,1,1,1
211,1,1,0,1,0
212,1,1,0,1,0
213,0,1,1,1,1
214,1,1,1,1,1
215,0,1,1,1,0
216,0,0,1,1,0
217,0,0,1,1,1
218,1,1,0,1,0
219,0,0,1,1,1
220,0,1,0,0,1
221,0,0,1,1,1
222,1,1,1,1,0
223,0,0,1,1,0
224,0,1,0,0,0
225,1,1,1,1,1
226,1,1,0,1,0
227,1,1,0,1,0
228,0,0,1,1,0
229,1,1,0,1,0
230,1,1,0,0,1
231,1,0,1,1,1
232,0,1,1,1,0
233,0,0,1,1,1
234,0,0,1,1,1
235,0,0,0,1,1
236,0,1,1,0,0
237,0,0,1,1,0
238,1,1,0,0,1
239,0,0,1,0,1
240,1,1,1,1,0
241,1,1,1,1,0
242,1,1,1,1,1
243,0,0,1,1,0
244,0,0,1,1,1
245,0,0,1,0,0
246,1,1,1,1,0
247,1,1,1,1,1
248,1,1,1,0,1
249,1,1,0,1,0
250,1,1,0,1,1
251,1,1,1,0,1
252,1,1,1,1,1
253,1,1,0,1,0
254,1,1,0,1,1
255,1,0,1,1,0
256,1,1,0,1,0
257,1,1,1,1,1
258,1,1,0,0,1
259,1,1,0,1,0
260,0,0,1,1,1
261,0,0,1,1,1
262,0,0,1,1,0
263,1,1,0,1,0
264,0,0,1,1,1
265,1,1,1,0,1
266,1,1,0,1,1
267,1,1,1,1,1
268,1,1,1,1,0
269,0,0,1,1,1
270,0,0,1,0,1
271,1,1,1,1,0
272,0,0,1,1,1
273,0,1,0,0,1
274,1,1,0,1,0
275,1,1,0,1,1
276,1,1,0,1,0
277,1,1,0,0,1
278,0,0,1,1,0
279,1,1,0,1,0
280,0,0,1,0,0
281,1,1,1,1,1
282,0,0,1,1,0
283,1,1,0,1,0
284,0,0,1,1,1
285,0,0,1,1,1
286,0,0,1,1,1
287,1,1,1,1,1
288,1,1,1,1,1
289,0,0,1,1,0
290,1,1,1,1,0
291,0,1,1,0,1
292,0,0,1,0,0
293,1,1,0,1,1
294,1,1,0,0,1
295,1,1,0,1,0
296,0,0,1,1,1
297,1,1,0,1,0
298,0,1,0,1,1
299,1,1,1,0,1
300,1,1,0,1,1
301,1,1,0,1,0
302,1,0,1,1,1
303,1,1,0,1,1
304,1,1,0,0,1
305,0,1,0,1,1
306,0,1,0,1,1
307,0,0,1,1,0
308,1,0,1,1,0
309,0,0,1,1,1
310,1,1,0,1,0
311,1,1,0,1,0
312,1,1,1,1,0
313,1,1,0,0,1
314,0,0,1,1,0
315,0,0,1,0,0
316,1,0,1,1,0
317,0,0,1,0,1
318,0,1,1,1,0
319,0,1,0,1,0
320,1,1,0,0,1
321,1,1,0,1,0
322,1,1,1,1,0
323,0,0,1,1,1
324,1,1,1,1,1
325,0,0,1,1,0
326,1,1,0,1,1
327,1,1,0,1,1
328,0,0,1,1,1
329,1,1,0,1,1
330,1,1,1,0,1
331,1,1,0,1,0
332,1,1,0,1,0
333,0,0,1,1,1
334,0,0,1,0,1
335,0,0,1,1,1
336,0,0,1,1,1
337,1,1,1,1,0
338,1,1,1,0,1
339,0,0,1,1,0
340,0,0,1,0,1
341,1,1,1,1,1
342,1,0,1,1,1
343,0,1,0,1,0
344,1,0,1,1,0
345,0,0,1,1,0
346,0,0,1,1,0
347,0,0,1,1,1
348,0,1,0,1,1
349,0,0,1,1,0
350,1,1,0,1,1
351,1,1,0,1,0
352,0,0,1,1,0
353,1,1,0,1,0
354,1,1,0,1,1
355,1,0,1,1,1
356,0,0,1,1,0
357,1,1,0,1,1
358,0,0,1,1,0
359,0,0,1,0,1
360,1,1,1,1,1
361,0,0,1,1,1
362,1,1,1,1,1
363,1,1,1,1,0
364,0,0,1,1,1
365,0,0,1,1,1
366,1,1,0,1,1
367,1,1,0,1,0
368,0,1,0,1,1
369,1,1,1,1,0
370,0,1,1,1,1
371,1,1,0,1,1
372,0,1,0,0,1
373,0,0,1,0,1
374,1,1,0,1,1
375,1,1,0,0,1
376,0,0,1,1,0
377,1,1,0,0,1
378,0,0,1,0,1
379,0,0,1,1,0
380,1,1,0,1,1
381,0,1,0,1,0
382,1,1,1,1,0
383,1,1,1,0,0
384,1,1,0,1,0
385,0,0,1,1,0
386,1,1,1,1,0
387,0,0,1,1,0
388,1,1,1,1,0
389,1,1,1,1,0
390,0,0,1,1,1
391,1,1,1,1,0
392,1,1,1,1,0
393,1,1,1,1,1
394,0,1,0,0,1
395,1,1,1,1,0
396,0,0,1,1,0
397,0,1,1,1,1
398,0,0,1,1,1
399,1,1,0,1,1
400,0,0,1,0,0
401,0,0,1,1,1
402,1,1,0,1,0
403,0,0,1,1,1
404,1,1,1,1,1
405,1,1,1,1,0
406,0,0,1,1,0
407,1,1,0,1,1
408,0,0,1,1,1
409,1,1,0,0,1
410,0,0,1,0,1
411,0,1,0,1,1
412,0,0,1,0,1
413,1,1,0,0,1
414,1,1,1,1,0
415,1,1,1,0,1
416,0,0,1,1,1
417,0,0,1,1,1
418,1,1,1,1,0
419,0,1,1,1,1
420,1,0,1,1,0
421,0,0,1,1,1
422,1,1,0,1,0
423,1,1,1,1,1
424,0,0,1,1,0
425,1,1,1,1,0
426,0,0,1,0,1
427,1,1,0,1,0
428,1,1,0,1,0
429,0,1,1,1,1
430,0,0,1,1,1
431,0,0,1,0,1
432,0,0,1,1,1
433,1,1,0,0,0
434,1,1,1,1,0
435,1,1,1,1,0
436,1,1,0,1,1
437,1,0,1,1,0
438,0,1,1,0,1
439,0,1,0,1,1
440,0,0,1,1,0
441,1,1,0,1,1
442,1,1,1,1,1
443,0,1,1,1,1
444,1,1,0,1,1
445,0,0,1,1,1
446,1,1,0,1,1
447,0,0,1,1,1
448,0,1,0,1,1
449,1,1,0,0,1
450,1,1,0,1,1
451,0,1,1,1,0
452,1,0,1,1,1
453,0,0,1,1,1
454,1,1,1,0,0
455,1,1,1,1,1
456,0,0,1,1,1
457,1,1,1,1,0
458,0,0,1,1,1
459,0,0,1,1,1
460,0,1,0,1,0
461,1,1,0,1,0
462,0,0,1,1,0
463,0,0,1,1,1
464,0,0,1,1,1
465,1,1,0,1,1
466,1,0,1,1,0
467,0,0,1,1,0
468,1,1,0,1,0
469,0,1,1,1,1
470,0,0,1,0,0
471,0,0,1,1,1
472,1,0,1,1,1
473,1,1,1,1,1
474,0,0,1,1,1
475,0,0,1,0,1
476,0,0,1,1,1
477,0,1,0,1,1
478,1,1,0,1,0
479,1,1,1,0,1
480,0,1,1,1,1
481,0,0,1,1,0
482,0,0,1,1,1
483,1,1,1,1,0
484,1,0,1,1,0
485,1,1,0,1,1
486,1,1,0,0,0
487,0,0,1,1,0
488,0,1,0,1,1
489,0,0,1,0,1
490,1,1,0,1,0
491,1,0,1,1,0
492,1,0,1,0,0
493,0,0,1,1,1
494,0,0,1,0,0
495,1,1,0,1,0
496,0,1,0,1,0
497,1,1,1,1,0
498,1,1,0,1,0
499,0,0,1,1,1
500,0,0,1,1,1
501,0,1,1,1,1
502,0,1,0,0,0
503,1,1,1,1,0
504,1,0,1,1,1
505,0,1,1,0,0
506,1,1,1,1,1
507,1,1,1,1,1
508,1,1,0,1,1
509,0,1,0,1,1
510,1,1,0,1,0
511,0,0,1,1,0
512,1,1,0,1,0
513,1,1,0,1,1
514,1,1,0,1,0
515,1,1,0,1,1
516,0,1,1,0,1
517,0,1,1,1,1
518,1,0,1,1,1
519,1,1,1,1,0
520,1,1,0,1,0
521,1,1,0,1,1
522,0,0,1,1,1
523,0,0,1,1,1
524,0,0,1,1,0
525,0,0,0,1,1
526,1,1,0,0,1
527,0,0,1,0,1
528,1,1,1,0,1
529,0,0,1,1,0
530,1,1,0,1,0
531,0,0,1,0,0
532,1,1,0,1,1
533,0,0,1,1,0
534,0,1,0,0,1
535,1,1,1,1,1
536,0,0,1,0,1
537,1,1,1,1,1
538,0,0,1,1,0
539,0,1,1,1,0
540,0,0,1,1,1
541,1,1,1,1,1
542,0,0,1,1,1
543,1,1,1,1,1
544,0,0,1,1,1
545,0,0,1,1,0
546,1,1,0,1,1
547,0,0,1,1,0
548,0,1,1,1,1
549,0,0,1,0,0
550,1,1,1,1,0
551,1,1,1,1,1
552,0,0,1,1,0
553,1,1,0,1,1
554,0,0,1,1,1
555,1,1,1,1,1
556,1,1,0,0,1
557,0,1,1,1,0
558,0,0,1,1,0
559,0,0,1,1,1
560,0,1,0,0,1
561,1,1,1,1,0
562,0,0,1,1,1
563,1,1,0,0,0
564,1,1,0,1,0
565,0,0,1,1,0
566,0,0,1,1,1
567,0,0,1,1,1
568,0,1,1,1,1
569,1,1,1,1,0
570,0,0,1,1,1
571,0,0,1,1,1
572,1,1,1,1,0
573,1,0,1,1,0
574,0,0,1,1,1
575,0,0,1,1,1
576,0,0,1,1,0
577,1,1,0,1,1
578,0,0,1,1,1
579,1,1,0,1,1
580,1,1,0,1,0
581,0,0,1,1,1
582,1,1,1,1,0
583,1,1,1,1,1
584,1,1,0,1,0
585,1,1,1,0,1
586,0,0,1,1,1
587,1,1,1,1,1
588,1,1,0,1,1
589,1,1,1,0,1
590,1,1,0,1,1
591,1,1,1,1,1
592,0,0,1,1,1
593,1,1,0,1,0
594,0,1,0,0,1
595,0,0,1,1,0
596,1,1,0,0,1
597,1,1,0,1,1
598,1,1,1,1,1
599,0,1,0,1,0
600,0,0,1,0,0
601,1,0,1,0,0
602,0,0,1,1,1
603,0,0,1,1,0
604,1,1,0,1,0
605,0,1,1,1,0
606,1,1,0,1,0
607,1,1,0,0,1
608,0,0,1,1,1
609,1,1,1,1,1
610,0,0,1,0,1
611,1,1,0,1,1
612,0,0,1,1,0
613,1,1,0,1,1
614,0,0,1,1,0
615,1,1,1,1,1
616,1,1,1,0,1
617,0,0,1,1,1
618,0,0,1,0,1
619,1,1,0,1,0
620,0,0,1,1,1
621,1,1,0,1,0
622,1,1,1,1,1
623,0,0,1,1,1
624,1,1,1,0,1
625,1,1,0,1,0
626,1,1,0,1,1
627,0,0,1,1,1
628,0,0,1,1,1
629,1,1,0,1,0
630,0,0,1,1,0
631,1,1,0,0,1
632,0,0,1,1,1
633,0,0,1,1,0
634,0,1,1,1,1
635,0,0,1,1,0
636,1,1,0,1,1
637,1,1,1,1,0
638,0,0,1,1,1
639,0,0,1,1,0
640,0,1,0,0,0
641,1,1,0,1,0
642,1,1,0,1,0
643,1,1,0,1,0
644,0,0,1,1,1
645,1,1,0,0,1
646,0,1,1,1,1
647,0,0,1,0,1
648,0,1,1,1,0
649,1,1,0,1,0
650,0,1,0,1,0
651,1,1,1,1,0
652,1,1,0,1,0
653,0,0,1,1,1
654,1,1,0,1,1
655,1,1,0,1,1
656,1,0,1,1,1
657,0,0,1,1,1
658,0,0,1,1,1
659,0,0,1,0,1
660,0,0,1,0,1
661,1,1,1,1,0
662,0,0,1,0,1
663,0,0,1,1,0
664,0,0,0,1,0
665,1,1,0,0,1
666,1,1,1,1,0
667,0,0,1,0,1
668,0,0,1,0,1
669,1,1,1,0,1
670,1,1,1,1,1
671,1,1,1,1,1
672,1,1,1,1,1
673,0,0,1,0,1
674,1,0,1,1,0
675,1,1,0,1,0
676,0,0,1,1,1
677,1,1,0,1,0
678,0,0,1,1,1
679,0,1,1,1,1
680,1,0,1,0,1
681,1,1,1,1,1
682,0,0,1,1,1
683,1,1,1,1,0
684,1,1,1,1,1
685,0,0,1,1,1
686,1,1,1,1,0
687,1,0,1,1,1
688,1,1,0,1,0
689,0,0,1,1,0
690,1,1,0,1,0
691,0,1,0,1,0
692,0,0,1,1,1
693,0,0,1,1,1
694,0,1,0,1,0
695,1,1,0,0,1
696,0,0,1,1,0
697,1,1,1,1,1
698,1,0,1,1,0
699,0,0,1,1,1
700,1,1,0,1,0
701,0,0,1,1,1
702,0,1,1,0,0
703,1,1,1,1,0
704,1,1,0,1,1
705,0,0,1,1,1
706,0,1,0,1,1
707,0,1,1,1,0
708,0,0,1,1,1
709,1,1,0,1,0
710,1,1,0,0,1
711,1,1,0,1,0
712,0,0,1,1,1
713,0,0,1,1,1
714,1,1,0,1,1
715,0,0,1,1,1
716,0,0,1,1,0
717,0,1,0,1,1
718,1,1,1,1,1
719,0,0,1,1,1
720,0,0,1,1,1
721,1,1,1,1,1
722,1,1,1,1,1
723,1,1,1,1,0
724,1,1,0,1,0
725,0,0,1,1,1
726,0,1,0,1,0
727,1,1,0,1,1
728,0,0,1,1,0
729,0,0,1,1,1
730,0,0,1,1,0
731,0,1,0,1,0
732,0,0,1,1,1
733,0,0,1,0,0
734,1,1,0,1,0
735,0,0,1,0,1
736,0,0,1,1,1
737,1,1,1,1,0
738,1,1,1,1,0
739,0,0,1,1,0
740,0,0,1,1,1
741,0,0,1,1,1
742,1,1,1,1,1
743,0,0,1,1,1
744,1,1,0,1,1
745,1,1,0,1,1
746,0,0,1,1,0
747,0,1,1,0,1
748,1,1,0,1,0
749,0,0,0,1,0
750,0,1,1,1,0
751,1,1,1,1,1
752,1,1,1,1,1
753,1,1,0,1,1
754,1,1,0,1,1
755,0,1,0,1,1
756,1,1,1,1,1
757,0,1,0,1,1
758,1,1,0,0,1
759,1,1,0,1,0
760,1,1,1,1,1
761,0,0,1,1,1
762,1,1,0,1,1
763,1,1,0,0,1
764,0,0,1,1,0
765,0,0,1,1,0
766,0,0,1,1,0
767,1,1,0,1,0
768,1,0,1,1,1
769,0,1,1,1,1
770,0,0,1,1,0
771,1,1,1,1,0
772,0,0,1,0,0
773,1,1,0,1,0
774,0,0,1,1,1
775,1,1,0,0,1
776,1,1,0,1,1
777,0,0,1,1,1
778,1,1,0,1,0
779,1,1,0,1,1
780,1,1,0,1,1
781,1,1,1,1,1
782,0,1,0,1,0
783,0,0,1,0,1
784,0,0,1,1,1
785,1,1,0,1,1
786,1,1,0,1,1
787,1,1,0,1,1
788,1,1,0,1,0
789,1,1,1,1,1
790,1,1,1,1,1
791,1,1,1,1,0
792,0,0,1,1,1
793,0,1,0,1,0
794,1,1,0,0,1
795,0,0,1,1,1
796,0,1,0,0,1
797,1,1,1,1,1
798,1,0,1,1,0
799,1,1,0,1,1
800,0,0,1,1,1
801,1,1,1,1,1
802,0,0,1,1,1
803,1,1,0,1,0
804,1,1,1,1,0
805,1,1,0,1,1
806,0,0,1,1,0
807,1,1,1,1,0
808,1,1,1,1,1
809,1,1,0,1,1
810,0,0,1,1,1
811,1,1,1,1,1
812,1,0,1,1,1
813,1,1,1,0,1
814,1,1,1,1,1
815,0,0,1,1,1
816,1,1,0,1,1
817,1,1,1,1,1
818,1,0,0,1,0
819,1,1,0,0,1
820,1,1,0,0,1
821,1,1,1,1,0
822,0,0,1,1,1
823,1,1,0,1,1
824,1,1,1,0,1
825,1,1,0,1,0
826,0,0,1,1,1
827,1,1,1,1,1
828,1,1,1,0,1
829,1,1,1,1,1
830,0,0,1,1,1
831,0,0,1,1,0
832,1,1,1,1,0
833,1,1,1,1,1
834,0,0,1,1,0
835,0,1,1,1,0
836,0,0,1,1,0
837,1,1,0,1,1
838,1,1,1,0,1
839,0,0,1,1,0
840,1,1,0,1,0
841,0,0,1,0,1
842,1,1,1,1,1
843,0,1,0,1,1
844,0,1,1,0,1
845,1,1,1,0,0
846,1,1,0,0,1
847,1,1,0,1,0
848,0,0,1,1,0
849,0,0,1,1,1
850,0,1,0,1,1
851,1,1,0,0,1
852,1,0,1,1,0
853,1,1,0,1,0
854,1,1,0,1,0
855,0,1,1,1,1
856,0,0,1,0,1
857,0,1,1,1,1
858,0,0,1,1,1
859,0,0,1,1,1
860,1,1,1,1,0
861,1,1,0,1,1
862,0,1,1,1,0
863,1,1,0,0,1
864,0,1,0,1,1
865,0,0,1,1,0
866,1,1,0,1,0
867,1,1,1,1,1
868,1,1,1,1,0
869,1,0,1,0,1
870,0,0,1,1,1
871,0,1,1,1,1
872,0,0,1,1,1
873,0,0,1,1,0
874,0,0,1,1,0
875,1,1,0,1,1
876,1,0,1,1,0
877,1,1,0,1,1
878,1,1,0,1,1
879,1,1,0,1,0
880,1,1,1,1,1
881,1,1,0,1,1
882,0,0,1,1,1
883,1,1,0,1,1
884,0,0,1,1,0
885,0,0,1,0,1
886,1,1,0,1,1
887,0,0,1,1,1
888,1,1,1,1,0
889,1,1,0,1,0
890,1,1,1,1,1
891,1,1,0,0,1
892,1,1,1,0,1
893,0,0,1,1,1
894,0,1,0,0,1
895,0,0,1,1,1
896,1,1,1,1,1
897,0,0,1,1,0
898,0,1,1,0,1
899,1,1,1,1,1
900,1,1,0,1,0
901,1,1,0,1,1
902,0,0,1,1,0
903,0,0,1,0,1
904,1,1,1,0,1
905,1,1,0,1,1
906,1,1,1,0,1
907,0,1,0,1,0
908,1,1,1,0,1
909,1,1,0,1,0
910,1,1,0,1,1
911,1,1,0,1,0
912,1,1,0,1,1
913,0,0,1,0,0
914,0,0,1,1,1
915,1,1,0,1,0
916,1,1,1,1,0
917,1,1,0,1,1
918,1,1,1,1,1
919,0,0,1,1,1
920,1,1,1,1,0
921,1,1,1,1,1
922,0,1,1,0,1
923,1,0,1,0,1
924,0,1,0,1,1
925,0,0,1,1,0
926,1,1,0,1,0
927,1,1,0,1,0
928,1,1,0,1,0
929,1,1,0,0,1
930,0,0,1,1,0
931,1,1,1,1,0
932,0,0,1,0,1
933,0,1,0,1,1
934,0,1,0,1,0
935,0,0,1,1,0
936,0,0,1,1,0
937,1,1,0,1,1
938,1,0,1,1,0
939,1,0,1,1,0
940,0,1,1,1,0
941,1,1,1,1,1
942,1,1,1,1,0
943,1,1,1,1,1
944,1,1,0,1,0
945,0,0,1,1,1
946,1,1,1,1,0
947,1,1,0,1,0
948,1,1,1,1,1
949,0,0,1,1,1
950,1,1,1,1,1
951,0,0,1,1,0
952,0,1,1,1,1
953,1,1,0,1,1
954,0,0,1,1,1
955,0,0,1,1,1
956,0,1,1,1,1
957,1,0,1,1,0
958,0,0,1,1,0
959,0,0,1,1,1
960,0,0,1,1,0
961,1,0,1,1,0
962,1,1,1,0,1
963,0,0,1,1,1
964,1,1,0,1,0
965,1,1,1,1,0
966,1,1,1,1,0
967,1,0,1,1,1
968,0,0,1,1,0
969,1,1,0,1,1
970,1,1,1,1,1
971,0,1,0,1,0
972,0,0,1,1,1
973,1,0,1,1,0
974,0,0,1,1,1
975,0,0,1,1,1
976,0,0,1,1,1
977,1,1,1,0,1
978,0,0,1,1,0
979,0,0,1,1,0
980,1,1,1,1,0
981,1,1,0,1,1
982,1,1,0,1,1
983,0,0,1,1,1
984,1,1,0,1,0
985,1,1,1,1,0
986,0,0,1,1,0
987,1,1,1,1,0
988,0,0,1,1,1
989,1,1,1,0,1
990,0,0,1,1,1
991,1,1,0,1,1
992,0,1,0,1,1
993,0,0,1,1,1
994,0,0,1,1,1
995,1,1,0,1,1
996,1,1,1,1,1
997,0,0,1,1,0
998,1,0,1,1,1
999,1,1,1,1,0
