,4,3,2,1,0
0,1,1,1,1,1
1,0,1,1,1,0
2,0,1,1,1,0
3,0,1,1,1,1
4,0,1,1,1,0
5,0,1,1,1,1
6,0,1,0,0,0
7,0,1,1,1,1
8,0,1,1,1,0
9,0,1,1,1,0
10,0,1,1,1,0
11,0,1,1,1,0
12,0,1,1,1,0
13,0,1,1,1,0
14,0,1,1,1,0
15,0,1,1,1,1
16,0,1,0,0,0
17,0,1,1,1,0
18,0,1,1,1,0
19,0,1,1,1,1
20,0,1,1,1,0
21,0,1,1,1,0
22,0,1,1,1,0
23,0,1,1,1,0
24,0,0,1,1,1
25,0,1,1,1,0
26,0,1,0,0,0
27,0,1,1,1,1
28,0,1,1,1,0
29,0,1,1,1,1
30,0,1,1,1,1
31,0,1,1,1,1
32,0,1,1,1,0
33,0,1,1,1,1
34,0,1,1,1,0
35,0,1,1,1,0
36,0,1,1,1,1
37,0,1,1,1,0
38,0,1,1,1,0
39,0,1,1,1,1
40,0,1,1,1,1
41,0,1,1,1,1
42,0,1,1,1,0
43,0,1,0,0,0
44,0,1,1,1,0
45,0,1,1,1,0
46,0,1,1,1,1
47,1,1,1,1,0
48,0,1,1,1,1
49,0,1,0,0,1
50,0,1,1,1,1
51,0,1,1,1,0
52,0,1,1,1,1
53,0,1,1,1,0
54,0,1,1,1,0
55,0,1,1,1,0
56,0,1,1,1,1
57,0,1,1,1,0
58,0,1,1,1,1
59,0,1,1,1,1
60,0,1,1,1,0
61,0,1,0,0,0
62,0,0,1,1,0
63,0,1,1,1,0
64,0,1,1,1,1
65,0,0,1,1,0
66,0,1,1,1,1
67,1,1,1,1,0
68,0,1,0,0,1
69,0,1,1,1,0
70,0,1,1,1,0
71,0,1,0,0,0
72,0,1,1,1,0
73,1,1,1,1,0
74,0,1,1,1,0
75,0,1,1,1,0
76,0,1,1,1,1
77,0,1,1,1,0
78,0,1,1,1,1
79,1,1,1,1,0
80,0,1,1,1,0
81,0,0,1,1,0
82,0,1,1,1,0
83,0,1,1,1,1
84,1,1,1,1,0
85,0,1,1,1,0
86,0,1,1,1,0
87,0,1,1,1,0
88,0,0,1,1,0
89,0,0,1,1,0
90,0,1,1,1,0
91,0,1,1,1,0
92,0,0,1,1,0
93,0,1,1,1,1
94,0,1,1,1,0
95,0,1,0,0,0
96,0,1,1,1,1
97,0,1,1,1,1
98,0,1,1,1,0
99,0,1,1,1,0
100,0,1,1,1,1
101,0,1,1,1,0
102,0,1,1,1,0
103,0,1,1,1,0
104,0,1,1,1,0
105,0,1,1,1,0
106,0,1,1,1,0
107,0,1,1,1,0
108,0,1,1,1,1
109,0,1,1,1,0
110,0,1,1,1,0
111,0,1,1,1,0
112,0,0,1,1,0
113,0,1,1,1,1
114,1,1,1,1,0
115,0,1,1,1,0
116,0,0,1,1,0
117,0,1,1,1,0
118,0,1,1,1,0
119,0,1,1,1,0
120,0,1,1,1,0
121,0,1,1,1,0
122,0,1,1,1,1
123,0,0,1,1,0
124,0,1,1,1,0
125,0,1,1,1,0
