,4,3,2,1,0
0,1,0,1,1,1
1,0,1,0,1,1
2,1,1,0,1,0
3,1,1,1,1,1
4,1,0,1,1,1
5,1,0,1,1,1
6,1,0,1,1,1
7,1,0,1,1,1
8,1,0,1,1,1
9,1,0,0,1,1
10,1,0,1,0,1
11,1,1,1,1,1
12,0,1,0,1,1
13,1,0,1,1,1
14,0,1,1,1,1
15,0,1,0,0,1
16,0,1,1,1,1
17,0,1,1,1,1
18,0,1,1,1,1
19,0,1,0,1,1
20,1,1,1,1,1
21,0,0,1,1,1
22,1,0,1,1,1
23,0,1,0,1,1
24,0,1,1,1,1
25,0,1,1,1,1
26,1,0,1,1,1
27,0,1,1,1,1
28,0,1,1,1,0
29,0,1,1,1,1
30,1,0,1,1,1
31,0,1,1,1,1
32,0,1,0,1,1
33,0,1,1,1,1
34,1,0,1,1,1
35,1,1,1,1,1
36,0,1,1,1,1
37,1,0,1,1,1
38,0,0,1,1,1
39,0,0,1,1,1
40,0,1,1,1,1
41,1,0,1,1,1
42,0,1,0,1,1
43,0,1,1,1,1
44,0,1,1,1,1
45,0,1,1,1,1
46,0,1,0,1,1
47,1,1,1,1,1
48,0,1,1,1,1
49,1,0,1,1,1
50,0,1,0,1,1
51,1,0,1,1,1
52,0,1,1,1,1
53,0,0,0,1,1
54,1,1,1,1,1
55,1,1,1,1,1
56,1,0,1,1,1
57,0,1,1,1,1
58,0,0,1,1,1
59,1,1,1,0,1
60,0,0,1,1,1
61,1,0,1,1,1
62,0,0,0,1,1
63,0,1,1,1,1
64,0,1,0,0,1
65,1,1,1,1,1
66,0,1,0,1,1
67,0,1,1,1,1
68,0,0,1,1,1
69,0,1,1,1,1
70,0,1,0,1,1
71,0,1,0,1,1
72,0,1,1,1,1
73,1,0,1,1,1
74,1,0,1,1,1
75,0,1,1,1,1
76,0,0,1,1,1
77,1,0,1,1,1
78,0,0,1,1,1
79,0,1,1,1,0
80,0,1,1,1,1
81,1,0,1,1,1
82,0,1,0,1,1
83,1,0,0,0,1
84,1,1,0,1,0
85,0,1,1,1,1
86,1,0,1,1,1
87,1,0,1,1,1
88,0,1,1,1,1
89,1,0,1,1,1
90,0,1,0,1,1
91,0,1,1,1,1
92,0,1,0,1,1
93,1,0,1,1,1
94,0,1,0,1,1
95,1,0,1,1,1
96,0,1,0,1,1
97,0,1,1,1,1
98,0,1,0,1,1
99,1,1,0,1,1
100,0,1,1,1,1
101,0,1,1,1,1
102,1,1,0,1,1
103,1,1,1,1,1
104,1,0,1,1,1
105,0,1,0,1,1
106,1,0,1,0,0
107,0,1,0,1,1
108,1,0,1,1,1
109,0,1,0,1,1
110,1,0,1,1,1
111,0,1,1,1,1
112,0,1,0,1,1
113,0,1,1,1,1
114,0,0,1,1,1
115,1,0,0,1,0
116,0,1,0,1,1
117,0,1,0,1,1
118,0,1,1,1,1
119,1,0,1,1,1
120,0,1,1,1,0
121,1,0,1,1,1
122,1,1,1,1,1
123,1,1,1,1,1
124,0,1,0,1,1
125,1,0,1,1,1
126,0,0,1,1,1
127,0,1,1,1,1
128,0,1,0,1,1
129,1,0,1,1,0
130,0,1,0,1,1
131,1,0,1,1,1
132,1,1,1,1,1
133,1,1,0,1,0
134,0,1,1,1,1
135,0,1,0,1,1
136,0,1,0,1,1
137,0,1,1,1,1
138,1,0,1,1,1
139,1,1,1,1,1
140,0,1,1,1,1
141,1,0,1,1,1
142,0,1,0,1,1
143,0,1,0,1,1
144,1,0,1,1,1
145,0,1,1,1,1
146,0,1,1,1,1
147,0,1,1,0,1
148,0,0,0,0,0
149,0,1,1,1,1
150,0,0,0,1,1
151,1,0,1,1,1
152,0,0,0,1,1
153,0,1,1,1,1
154,1,0,1,1,1
155,1,1,0,1,1
156,1,0,1,1,1
157,1,0,1,1,1
158,0,1,0,1,1
159,0,1,0,1,1
160,0,1,1,1,1
161,1,1,1,0,1
162,1,0,1,1,1
163,0,1,1,0,1
164,0,1,0,1,1
165,0,1,1,1,1
166,0,1,1,1,1
167,0,1,0,1,0
168,0,0,1,1,1
169,0,1,1,1,1
170,0,1,1,1,1
171,0,1,0,1,1
172,0,1,1,1,1
173,0,1,1,1,1
174,0,1,1,1,0
175,0,0,1,1,1
176,0,1,0,1,1
177,0,1,0,0,1
178,1,0,1,1,1
179,0,1,0,0,1
180,0,1,1,1,1
181,1,0,1,1,1
182,0,1,1,1,1
183,0,1,0,1,1
184,0,1,1,1,1
185,1,0,0,0,1
186,0,1,1,1,1
187,0,1,1,1,1
188,1,1,0,1,1
189,0,1,1,1,1
190,1,0,1,1,1
191,0,1,1,1,1
192,0,1,1,1,1
193,0,1,1,1,1
194,0,0,1,1,1
195,0,1,1,1,1
196,0,0,0,1,1
197,0,1,0,1,1
198,0,1,0,1,1
199,0,1,1,1,1
200,1,0,1,1,1
201,0,1,0,1,1
202,0,1,1,1,1
203,1,1,0,1,1
204,0,0,0,1,1
205,0,0,1,1,1
206,0,0,1,1,0
207,0,1,1,1,1
208,1,0,1,1,1
209,0,0,1,1,1
210,0,1,1,1,1
211,0,1,0,1,1
212,1,1,0,1,1
213,1,0,1,1,1
214,0,1,1,1,1
215,0,1,0,1,1
216,0,1,1,1,1
217,0,1,1,1,1
218,1,0,0,1,1
219,0,1,1,1,1
220,0,1,1,1,1
221,0,1,0,1,1
222,0,1,0,1,1
223,0,1,1,1,1
224,0,0,1,1,1
225,0,1,0,1,1
226,1,0,1,1,1
227,0,1,0,1,1
228,1,0,1,1,1
229,1,1,1,1,1
230,0,0,1,1,1
231,1,0,1,1,1
232,0,1,0,1,0
233,1,1,1,1,1
234,0,1,1,1,1
235,0,1,0,1,1
236,0,1,0,1,1
237,0,1,1,1,1
238,1,0,1,1,0
239,1,0,1,1,1
240,1,0,1,1,1
241,1,0,1,0,1
242,0,1,0,1,1
243,0,0,1,1,0
244,1,0,1,0,1
245,0,1,1,1,1
246,0,1,0,1,1
247,0,1,0,0,1
248,1,0,1,1,1
249,0,1,1,1,1
250,1,0,1,1,1
251,0,0,1,1,1
252,1,0,1,1,1
253,0,1,1,1,1
254,1,0,1,1,1
255,0,1,1,1,1
256,0,0,1,1,1
257,0,1,0,1,1
258,0,1,0,1,1
259,1,0,1,1,1
260,0,1,1,1,1
261,0,1,0,1,1
262,0,1,0,1,1
263,0,1,1,1,1
264,1,1,1,1,1
265,0,1,0,1,1
266,0,1,0,1,1
267,1,1,1,0,1
268,0,1,0,1,1
269,1,1,1,1,1
270,0,1,1,1,1
271,0,0,1,1,1
272,1,0,1,1,1
273,1,0,1,1,1
274,1,0,1,1,1
275,0,1,1,1,1
276,0,1,1,1,0
277,0,0,1,1,1
278,0,0,1,1,1
279,0,1,1,0,0
280,0,1,0,1,1
281,1,0,1,0,1
282,0,1,1,1,1
283,0,1,1,1,1
284,0,0,1,1,1
285,0,1,0,1,1
286,1,0,1,1,1
287,0,1,0,1,1
288,0,1,1,1,1
289,0,1,0,0,1
290,0,1,0,1,1
291,0,1,1,1,1
292,0,1,0,0,1
293,0,1,0,1,1
294,0,1,1,1,1
295,1,0,1,0,1
296,0,1,1,1,1
297,0,1,0,1,1
298,1,0,1,1,1
299,1,1,1,1,1
300,1,1,1,1,1
301,0,1,0,1,1
302,1,0,1,1,0
303,0,0,1,1,1
304,0,1,1,1,1
305,1,0,1,1,1
306,1,0,1,1,1
307,0,1,1,1,1
308,0,1,1,1,1
309,0,1,1,1,0
310,1,0,1,0,1
311,1,0,1,1,1
312,0,1,1,1,1
313,1,0,1,1,1
314,0,0,1,1,1
315,1,0,1,1,1
316,0,1,1,1,1
317,0,1,1,1,1
318,0,1,0,1,1
319,0,1,1,1,1
320,0,0,1,1,1
321,0,1,0,1,1
322,0,1,1,1,1
323,0,1,0,1,1
324,0,1,1,1,1
325,0,0,1,1,1
326,0,0,1,1,1
327,0,1,1,1,0
328,1,0,1,1,1
329,0,0,1,1,1
330,0,1,1,1,1
331,1,0,1,1,1
332,0,0,1,1,1
