,2,1,0
0,0,1,1
1,0,0,1
2,1,0,1
3,0,1,1
4,1,0,0
5,1,0,0
6,0,1,0
7,0,1,1
8,0,1,1
9,1,1,0
10,0,1,1
11,0,0,1
12,0,1,0
13,1,0,1
14,0,1,1
15,0,1,1
16,0,1,1
17,1,0,0
18,0,1,1
19,1,0,0
20,0,1,1
21,1,0,1
22,0,1,1
23,0,1,1
24,1,0,0
25,0,1,1
26,1,0,0
27,1,0,0
28,0,0,1
29,0,1,0
30,0,1,0
31,0,1,1
32,0,1,0
33,0,1,1
34,0,1,0
35,1,0,1
36,0,1,1
37,0,1,1
38,0,1,0
39,0,1,1
40,1,0,0
41,0,0,1
42,1,0,1
43,1,0,0
44,0,1,1
45,0,1,1
46,1,0,0
47,1,0,0
48,1,0,0
49,0,1,1
50,1,0,1
51,0,1,0
52,0,1,0
53,0,1,1
54,0,1,1
55,0,1,1
56,0,1,0
57,0,1,0
58,1,0,0
59,0,1,1
60,1,0,1
61,1,0,1
62,1,0,0
63,1,0,1
64,0,1,1
65,0,0,1
66,0,1,1
67,0,1,1
68,0,1,1
69,0,1,0
70,1,0,1
71,1,0,0
72,1,0,0
73,1,0,0
74,0,1,1
75,1,0,0
76,0,1,1
77,0,1,1
78,1,0,0
79,0,1,1
80,0,1,1
81,0,1,1
82,0,1,0
83,0,1,1
84,0,1,0
85,0,1,1
86,1,0,1
87,0,1,1
88,1,0,1
89,0,1,1
90,0,1,1
91,0,1,1
92,1,0,0
93,0,1,1
94,0,1,1
95,0,1,1
96,0,1,0
97,0,1,0
98,0,1,1
99,1,0,1
100,0,1,0
101,1,0,0
102,0,1,0
103,0,1,1
104,1,0,0
105,1,0,1
106,0,1,1
107,1,0,0
108,0,1,0
109,0,1,1
110,1,0,0
111,1,0,0
112,0,1,0
113,0,1,1
114,1,0,1
115,1,0,1
116,0,1,1
117,1,0,1
118,1,0,1
119,1,0,0
120,0,0,1
121,0,1,0
122,0,1,0
123,0,1,1
124,0,1,0
125,0,1,1
126,1,0,1
127,1,0,0
128,0,1,1
129,0,0,1
130,0,1,0
131,0,1,1
132,0,1,1
133,0,1,0
134,0,1,1
135,1,0,1
136,0,1,0
137,0,1,1
138,1,0,0
139,0,1,1
140,0,1,1
141,0,1,1
142,1,0,0
143,0,1,1
144,0,1,0
145,1,0,0
146,1,1,0
147,1,0,1
148,0,1,1
149,0,1,0
150,1,0,1
151,1,0,0
152,0,1,0
153,0,0,1
154,0,0,1
155,0,1,1
156,0,1,1
157,0,1,1
158,0,1,1
159,0,1,0
160,0,1,0
161,0,1,1
162,0,1,1
163,1,0,1
164,0,1,1
165,0,1,0
166,0,1,1
167,0,1,1
168,1,0,0
169,0,1,1
170,0,1,1
171,0,1,1
172,1,1,0
173,0,1,1
174,1,0,0
175,1,0,1
176,0,1,1
