	Feature1	Feature2	Feature3	outcome
0	1	0	0	1.0
1	0	1	0	1.0
2	1	1	0	1.0
3	0	1	0	0.0
4	1	1	0	1.0
5	0	1	0	0.0
6	0	1	0	0.0
7	1	1	0	0.0
8	1	1	0	1.0
9	0	1	0	1.0
10	1	1	0	1.0
11	1	1	0	0.0
12	0	1	0	0.0
13	1	1	0	1.0
14	1	0	0	1.0
15	1	1	0	1.0
16	0	1	0	0.0
17	1	1	0	1.0
18	1	1	0	1.0
19	1	1	0	0.0
20	1	1	0	1.0
21	1	1	0	0.0
22	1	1	0	1.0
23	0	1	0	1.0
24	1	1	0	0.0
25	0	1	0	0.0
26	0	1	0	1.0
27	1	1	0	1.0
28	1	1	0	0.0
29	1	1	0	0.0
30	1	1	0	0.0
31	0	1	0	0.0
32	0	1	0	0.0
33	0	1	0	0.0
34	1	1	0	1.0
35	0	1	0	1.0
36	1	1	0	0.0
37	0	1	0	1.0
38	1	1	0	0.0
39	0	1	0	0.0
40	0	1	0	1.0
41	1	1	0	1.0
42	1	1	0	1.0
43	1	1	0	1.0
44	0	1	0	1.0
45	0	1	0	1.0
46	1	0	0	0.0
47	0	1	0	1.0
48	0	1	0	1.0
49	1	1	0	1.0
50	1	1	0	0.0
51	1	1	0	0.0
52	0	1	0	0.0
53	1	1	0	1.0
54	0	1	0	1.0
55	1	1	0	0.0
56	1	1	0	0.0
57	1	1	0	1.0
58	1	1	0	0.0
59	0	1	0	0.0
60	0	1	0	0.0
61	0	1	0	1.0
62	1	1	0	1.0
63	1	1	0	0.0
64	1	1	0	1.0
65	1	1	0	1.0
66	1	1	0	1.0
67	1	1	0	1.0
68	0	1	0	0.0
69	1	1	0	1.0
70	0	1	0	0.0
71	0	1	0	0.0
72	0	1	0	1.0
73	1	0	0	1.0
74	1	1	0	0.0
75	1	1	0	0.0
76	1	1	0	0.0
77	0	1	0	1.0
78	1	0	0	1.0
79	0	1	0	1.0
80	0	1	0	0.0
81	1	1	0	0.0
82	0	1	0	0.0
83	1	1	0	0.0
84	0	1	0	1.0
85	1	1	0	1.0
86	0	1	0	0.0
87	1	1	0	1.0
88	1	1	0	0.0
89	1	1	0	0.0
90	1	1	0	0.0
91	0	1	0	0.0
92	0	1	0	1.0
93	1	1	0	1.0
94	1	1	0	0.0
95	1	1	0	1.0
96	0	1	0	1.0
97	1	1	0	0.0
98	0	1	0	1.0
99	1	1	0	0.0
100	0	1	0	1.0
101	0	1	0	0.0
102	1	1	0	0.0
103	0	1	0	1.0
104	1	1	0	1.0
105	0	1	0	0.0
106	1	1	0	1.0
107	1	1	0	0.0
108	0	1	0	1.0
109	1	1	0	1.0
110	1	1	0	0.0
111	1	1	0	1.0
112	0	1	0	1.0
113	1	1	0	0.0
114	1	1	0	0.0
115	0	1	0	0.0
116	1	1	0	0.0
117	0	1	0	0.0
118	1	1	0	1.0
119	0	1	0	0.0
120	0	1	0	1.0
121	1	1	0	1.0
122	0	1	0	0.0
123	1	1	0	0.0
124	0	1	0	1.0
125	0	1	0	1.0
126	1	1	0	0.0
127	0	1	0	1.0
128	0	1	0	1.0
129	0	1	0	1.0
130	1	1	0	0.0
131	0	1	0	1.0
132	0	1	0	0.0
133	0	1	0	1.0
134	0	1	0	1.0
135	1	1	0	1.0
136	1	1	0	0.0
137	1	1	0	0.0
138	1	1	0	1.0
139	0	1	0	1.0
140	1	1	0	1.0
141	1	1	0	1.0
142	1	1	0	0.0
143	0	1	0	0.0
144	0	1	0	0.0
145	1	1	0	1.0
146	1	1	0	1.0
147	1	1	0	0.0
148	1	1	0	0.0
149	1	1	0	0.0
150	0	1	0	0.0
151	1	1	0	0.0
152	1	1	0	1.0
153	1	1	0	1.0
154	1	1	0	1.0
155	1	1	0	0.0
156	1	1	0	1.0
157	1	0	0	1.0
158	0	1	0	1.0
159	0	1	0	1.0
160	0	1	0	0.0
161	0	1	0	0.0
162	0	1	0	0.0
163	0	1	0	0.0
164	0	1	0	0.0
165	1	1	0	0.0
166	1	1	0	1.0
167	1	1	0	0.0
168	1	1	0	1.0
169	1	1	0	1.0
170	1	1	0	1.0
171	0	1	0	0.0
172	1	1	0	1.0
173	1	1	0	1.0
174	1	1	0	1.0
175	0	1	0	1.0
176	0	1	0	0.0
177	1	1	0	1.0
178	0	1	0	1.0
179	0	1	0	0.0
180	1	1	0	1.0
181	1	1	0	0.0
