lowerP,outcome',Feature2',Feature3,upperP,Feature2,Feature3',Feature1,Feature1',outcome
4.289098673912225E-4,1,0,0,0.9999019701107398,0,0,0,1,0
3.8326096909094455E-6,0,0,0,0.9999997885312851,0,0,0,1,1
3.9950590453151537E-4,1,1,0,0.9901504575133772,0,0,0,0,0
2.911067508171617E-4,0,1,0,0.9985882524175976,0,0,0,0,1
3.5990883132968986E-4,1,1,0,0.9998484276102187,0,0,0,1,0
3.7621887258937144E-6,0,1,0,0.9999943939921002,0,0,0,1,1
2.480794641055592E-5,1,0,0,0.999996532250698,0,1,0,0,0
2.939962078588187E-4,0,0,0,0.9999998543332476,0,1,0,0,1
1.6517818336299388E-7,1,0,0,0.9950761096318942,0,1,0,1,0
3.8703565914988613E-4,0,0,0,0.999999569543337,0,1,0,1,1
0.005464422347869368,1,1,0,0.99969351054977,0,1,0,0,0
1.2149578991742817E-4,0,1,0,0.999942120817411,0,1,0,0,1
0.0017214546988479611,1,1,0,0.9999964622823959,0,1,0,1,0
8.71922618352351E-4,0,1,0,0.9999938406414351,0,1,0,1,1
2.1579046276403023E-6,1,0,0,0.9999415306678705,0,0,1,0,0
4.4281661477976075E-4,0,0,0,0.9999998437969905,0,0,1,0,1
1.2660358295351514E-5,1,1,0,0.9987002453558259,0,0,1,0,0
4.478814660300301E-6,0,1,0,0.9992661155998442,0,0,1,0,1
4.019019769407399E-4,1,1,0,0.999973881244881,0,0,1,1,0
2.3277330934579182E-4,0,1,0,0.9999996502907842,0,0,1,1,1
6.215716642412322E-6,1,0,0,0.9999973856475723,0,1,1,0,0
5.63221126064253E-5,0,0,0,0.995838914043749,0,1,1,0,1
3.6470009005525372E-6,1,0,0,0.9999672414544003,0,1,1,1,0
0.0029229224133467337,0,0,0,0.9999808868642694,0,1,1,1,1
6.959149928107196E-5,1,1,0,0.9999981430544767,0,1,1,0,0
8.575133718701413E-4,0,1,0,0.9989045430287696,0,1,1,0,1
2.5839010863609934E-6,1,1,0,0.9997932247905293,0,1,1,1,0
8.335309139822205E-5,0,1,0,0.9997087738625261,0,1,1,1,1
3.1910560516186774E-5,1,0,0,0.9924186212048308,1,0,0,0,0
3.9499400983283135E-4,0,0,0,0.9998785435411072,1,0,0,0,1
4.512130384109796E-6,1,0,0,0.9986850389442089,1,0,0,1,0
1.256688014801999E-5,0,0,0,0.9993140407683989,1,0,0,1,1
