,4,3,1
0,1,0,0
1,0,0,0
2,0,0,0
3,0,1,1
4,0,1,1
5,0,1,1
6,0,1,1
7,0,1,1
8,0,1,1
9,0,1,1
10,0,1,1
11,0,1,1
12,0,0,1
13,1,1,1
14,0,1,0
15,0,0,0
16,0,0,0
17,0,1,1
18,0,1,1
19,0,1,1
20,0,0,0
21,0,0,1
22,0,1,1
23,1,0,0
24,0,1,1
25,1,0,0
26,1,0,0
27,0,1,1
28,0,1,1
29,1,0,0
30,0,1,1
31,0,1,1
32,0,1,1
33,0,1,1
34,0,0,0
35,1,1,1
36,0,1,1
37,0,1,1
38,0,1,1
39,0,1,1
40,0,1,1
41,0,1,1
42,0,1,1
43,0,1,1
44,0,1,1
45,0,0,0
46,1,1,1
47,0,1,0
48,0,1,1
49,0,1,1
50,0,1,1
51,1,0,1
52,0,1,1
53,0,1,1
54,0,1,1
55,1,1,1
56,0,1,1
57,0,0,1
58,1,0,1
59,0,1,1
60,0,1,1
61,0,1,1
62,0,1,1
63,1,1,0
64,0,1,1
65,0,1,1
66,0,1,1
67,0,1,1
68,0,1,1
69,0,0,1
70,0,1,1
71,1,1,1
72,0,0,0
73,0,1,1
74,0,0,0
75,0,1,1
76,1,0,0
77,0,1,1
78,0,1,1
79,0,0,1
80,0,1,1
81,0,1,1
82,0,1,1
83,1,0,0
84,1,0,0
85,0,0,0
86,0,1,0
87,0,1,1
88,0,1,1
89,1,0,1
90,0,1,1
91,0,1,1
92,0,0,1
93,1,1,1
94,0,1,1
95,0,1,1
96,0,0,1
97,0,1,1
98,0,1,1
99,0,0,0
100,0,1,1
101,0,0,0
102,0,0,0
103,0,1,1
104,0,0,1
105,0,0,0
106,0,0,0
107,0,1,1
108,0,1,1
109,0,1,1
110,0,1,1
111,0,1,0
112,0,1,1
113,0,1,1
114,0,0,1
115,0,1,1
116,1,1,1
117,0,1,1
118,1,0,0
119,0,1,1
120,0,1,1
121,0,1,0
122,1,0,0
123,0,1,1
124,0,1,1
125,1,0,1
126,0,1,1
127,0,0,0
128,1,0,1
129,0,1,1
130,0,1,1
131,1,1,0
132,1,0,0
133,0,1,1
134,0,1,1
135,0,0,1
136,0,0,0
137,0,0,0
138,0,1,1
139,0,1,1
140,0,1,1
141,0,1,1
142,0,1,1
143,0,0,0
144,0,1,1
145,0,1,1
146,0,1,1
147,0,1,1
148,0,1,1
149,0,1,1
150,0,1,1
151,0,1,1
152,1,0,0
153,0,1,1
154,0,0,1
155,1,0,0
156,0,0,0
157,0,1,1
158,0,1,1
159,0,1,1
160,0,0,0
161,0,1,1
162,0,0,0
163,0,1,1
164,0,0,1
165,0,1,1
166,0,0,0
167,0,1,1
168,0,1,1
169,0,1,1
170,0,1,1
171,0,1,1
172,0,1,1
173,0,1,1
174,0,1,1
175,0,1,1
176,0,0,0
177,0,0,0
178,0,1,1
179,1,0,1
180,1,0,0
181,0,1,1
182,1,0,0
183,0,0,0
184,0,1,1
185,1,0,1
186,1,0,1
187,0,1,1
188,0,1,1
189,0,1,1
190,0,1,1
191,0,1,1
192,0,1,1
193,1,0,1
194,0,1,1
195,0,1,1
196,1,0,0
197,1,0,0
198,0,0,1
199,0,1,1
200,0,1,1
201,0,0,0
202,0,1,0
203,0,1,1
204,1,1,1
205,1,0,1
206,0,1,1
207,0,0,0
208,1,0,0
209,0,1,1
210,0,0,0
211,0,0,0
212,0,1,1
213,0,1,1
214,1,0,1
215,0,1,1
216,0,0,1
217,0,1,1
218,0,1,1
219,0,1,1
220,1,1,1
221,0,1,1
222,1,1,1
223,0,1,1
224,0,0,1
225,0,1,1
226,0,0,1
227,1,0,0
228,0,1,1
229,0,0,0
230,0,1,1
231,0,1,1
232,0,1,1
233,0,1,1
234,1,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,1,1
239,0,1,1
240,0,1,1
241,0,1,1
242,0,1,1
243,0,0,1
244,1,0,0
245,0,1,1
246,1,0,1
247,0,1,1
248,0,0,1
249,0,1,1
250,1,0,1
251,0,1,1
252,0,0,1
253,0,1,1
254,0,1,1
255,0,1,1
256,0,1,1
257,0,1,1
258,0,0,0
259,0,1,1
260,1,0,0
261,1,0,0
262,1,1,1
263,1,0,0
264,0,1,1
265,0,1,1
266,0,1,1
267,0,1,1
268,0,1,1
269,0,1,0
270,1,0,0
271,0,0,0
272,0,1,1
273,0,1,1
274,0,1,1
275,1,0,0
276,0,1,1
277,0,1,1
278,0,1,1
279,0,0,1
280,1,0,1
281,0,1,1
282,0,1,1
283,0,0,1
284,0,0,0
285,0,1,1
286,0,1,1
287,0,1,1
288,1,1,1
289,0,1,1
290,0,1,1
291,0,1,1
292,1,0,0
293,0,0,0
294,0,1,1
295,0,0,0
296,0,1,1
297,0,1,1
298,0,1,1
299,0,1,1
300,0,0,0
301,0,0,1
302,0,0,0
303,0,1,1
304,0,1,1
305,0,0,0
306,0,1,1
307,0,1,1
308,0,1,1
309,0,1,1
310,1,1,1
311,0,0,0
312,0,0,0
313,0,0,0
314,0,1,1
315,0,1,1
316,0,0,0
317,0,0,1
318,0,1,1
319,1,0,0
320,0,0,1
321,0,1,1
322,1,0,0
323,0,0,0
324,0,1,1
325,0,1,1
326,0,1,1
327,0,1,1
328,0,1,1
329,1,1,1
330,0,1,1
331,0,1,1
332,0,1,1
333,1,1,1
334,0,0,1
335,0,1,1
336,1,1,1
337,0,1,1
338,0,1,1
339,0,1,1
340,0,0,1
341,0,1,1
342,0,1,1
343,0,1,1
344,0,1,1
345,0,1,1
346,0,0,1
347,0,0,1
348,0,1,1
349,0,1,1
350,0,1,1
351,0,1,1
352,0,1,1
353,0,0,0
354,0,1,1
355,1,0,0
356,0,1,1
357,1,0,1
358,1,0,0
359,0,1,1
360,0,1,1
361,0,0,0
362,0,1,1
363,0,0,0
364,0,1,1
365,0,0,0
366,0,1,1
367,0,0,0
368,0,0,0
369,0,1,1
370,0,1,1
371,0,1,1
372,0,0,0
373,1,1,1
374,1,0,0
375,0,0,0
376,0,0,0
377,0,0,0
378,1,0,0
379,0,0,0
380,0,0,1
381,1,0,0
382,0,1,1
383,1,0,1
384,0,1,1
385,0,1,1
386,0,1,1
387,0,1,1
388,0,0,1
389,0,1,1
390,0,1,1
391,0,1,1
392,0,0,0
393,0,1,1
394,1,0,0
395,0,1,1
396,0,1,1
397,0,1,1
398,0,1,1
399,0,1,1
400,0,1,1
401,0,0,0
402,0,0,0
403,0,1,0
404,0,1,1
405,0,1,1
406,0,0,1
407,0,1,1
408,0,1,1
409,0,1,1
410,0,1,1
411,0,0,0
412,0,1,1
413,0,0,0
414,0,0,1
415,0,1,1
416,0,1,1
417,0,1,1
418,0,1,1
419,0,0,1
420,0,1,1
421,0,1,1
422,0,1,1
423,0,0,1
424,0,0,0
425,0,1,1
426,0,0,1
427,1,0,0
428,0,1,1
429,1,0,1
430,0,1,1
431,1,0,0
432,0,1,1
433,0,1,1
434,0,0,1
435,1,0,1
436,0,0,0
437,1,0,0
438,0,0,1
439,0,1,1
440,0,0,0
441,0,0,1
442,0,1,1
443,0,0,0
444,0,1,1
445,0,1,1
446,0,1,1
447,0,1,1
448,0,1,1
449,0,0,0
450,1,0,0
451,0,0,1
452,0,1,1
453,0,0,0
454,0,1,1
455,0,1,1
456,0,1,1
457,1,0,0
458,0,1,1
459,0,1,1
460,0,0,0
461,0,0,0
462,1,0,1
463,0,1,1
464,0,1,1
465,1,0,0
466,0,1,1
467,0,1,1
468,0,1,1
469,0,1,1
470,0,1,1
471,0,1,1
472,0,1,1
473,0,1,1
474,0,1,1
475,1,1,1
476,0,0,1
477,0,1,1
478,1,0,0
479,0,1,1
480,0,0,1
481,1,0,0
482,0,0,1
483,0,1,1
484,1,1,1
485,0,1,1
486,0,0,0
487,0,1,1
488,0,0,0
489,0,1,1
490,0,1,1
491,0,1,1
492,0,1,1
493,0,1,1
494,0,0,1
495,0,0,0
496,0,1,1
497,1,1,1
498,1,0,0
499,0,0,0
500,0,0,0
501,0,1,1
502,0,1,1
503,0,1,1
504,0,1,1
505,1,0,0
506,1,0,0
507,0,1,0
508,0,1,1
509,0,1,1
510,0,0,0
511,0,1,0
512,0,0,1
513,0,1,1
514,0,0,0
515,0,1,1
516,1,0,1
517,1,0,0
518,0,0,1
519,0,1,1
520,0,1,1
521,0,0,0
522,0,1,1
523,0,1,1
524,0,1,1
525,0,1,1
526,1,0,0
527,1,0,0
528,0,1,1
529,0,1,1
530,0,1,0
531,0,1,1
532,1,0,1
533,0,0,0
534,0,0,0
535,0,1,1
536,0,1,1
537,0,0,0
538,0,0,0
