,5,4,2,0
0,1,1,1,1
1,1,1,0,0
2,1,1,0,0
3,1,1,0,0
4,1,1,1,0
5,1,1,0,1
6,1,1,1,1
7,1,1,0,1
8,1,1,1,0
9,1,1,0,1
10,0,0,1,1
11,1,1,0,0
12,1,1,0,0
13,1,1,0,0
14,1,1,1,1
15,0,0,1,0
16,1,0,0,1
17,1,1,0,1
18,1,1,0,1
19,1,1,0,0
20,0,1,1,0
21,0,0,1,1
22,1,1,0,1
23,1,0,0,1
24,1,1,1,0
25,1,1,0,0
26,0,0,0,1
27,1,0,0,0
28,1,1,0,1
29,1,1,1,1
30,1,1,1,0
31,1,1,0,1
32,1,1,0,1
33,1,1,1,1
34,1,1,0,1
35,1,1,0,0
36,1,1,1,0
37,1,1,1,0
38,1,0,1,0
39,1,1,0,1
40,1,1,0,1
41,0,1,1,1
42,1,1,1,1
43,0,0,1,0
44,1,1,0,0
45,1,1,1,1
46,1,1,0,0
47,1,0,0,0
48,1,1,1,1
49,1,1,0,1
50,0,1,1,1
51,1,1,0,0
52,1,1,0,1
53,1,1,0,1
54,1,1,0,1
55,1,1,0,0
56,1,1,0,1
57,1,1,1,1
58,1,0,0,0
59,1,1,0,1
60,1,1,1,0
61,1,1,1,1
62,1,0,1,0
63,1,1,0,0
64,1,1,0,1
65,1,1,1,1
66,1,0,0,0
67,1,1,1,1
68,1,1,1,1
69,1,1,0,1
70,0,0,1,1
71,1,1,0,1
72,1,1,0,1
73,0,1,1,1
74,0,1,1,1
75,1,1,1,0
76,1,1,0,1
77,1,1,1,1
78,1,1,0,0
79,1,1,1,0
80,1,1,0,1
81,1,1,0,1
82,1,1,0,1
83,1,1,0,0
84,1,1,0,1
85,0,1,1,1
86,0,0,1,1
87,1,1,0,0
88,1,1,1,1
89,1,1,0,0
90,1,1,1,1
91,1,1,1,1
92,1,1,1,0
93,1,1,0,0
94,1,1,1,0
95,1,1,0,1
96,1,1,0,1
97,1,1,1,1
98,1,1,0,1
99,1,1,0,0
100,1,0,1,1
101,1,1,1,0
102,1,1,0,1
103,1,1,0,1
104,1,1,1,1
105,1,1,0,1
106,1,0,1,1
107,1,1,1,1
108,1,1,0,0
109,1,1,0,0
110,1,1,0,1
111,1,0,1,0
112,1,1,1,1
113,1,1,0,1
114,1,1,0,1
115,1,0,1,1
116,1,1,0,1
117,1,1,1,0
118,1,1,0,1
119,1,1,0,0
120,1,1,0,0
121,1,1,1,0
122,1,1,1,1
123,1,1,1,1
124,1,1,0,0
125,1,1,0,1
126,1,1,0,1
127,1,1,1,1
128,1,1,1,1
129,1,1,0,0
130,1,1,1,1
131,1,1,0,0
132,1,1,0,1
133,1,0,1,1
134,0,0,1,0
135,1,1,1,0
136,1,1,1,1
137,1,1,0,0
138,1,1,0,1
139,1,1,1,0
140,1,1,1,0
