,5,3,2,1,0
0,1,0,0,0,1
1,0,0,1,1,1
2,0,0,0,0,0
3,1,0,0,0,1
4,1,1,1,0,1
5,0,0,0,0,0
6,1,1,1,0,1
7,1,1,1,0,1
8,0,1,1,1,1
9,1,0,1,0,1
10,0,1,1,1,1
11,1,1,1,0,1
12,0,1,1,1,1
13,1,1,1,0,1
14,0,1,1,1,1
15,1,1,1,0,1
16,0,1,0,1,1
17,0,1,1,1,1
18,1,0,1,0,1
19,1,1,1,0,1
20,1,1,1,0,1
21,1,1,1,0,1
22,0,0,1,1,1
23,1,1,1,0,1
24,0,1,1,0,0
25,0,1,1,1,1
26,1,1,1,0,1
27,1,0,1,0,1
28,0,1,1,1,1
29,1,1,0,0,1
30,1,0,0,0,1
31,1,0,0,0,1
32,0,1,1,1,1
33,0,1,1,1,1
34,0,0,1,1,1
35,0,1,1,0,0
36,1,1,1,0,1
37,1,1,1,0,1
38,1,1,1,0,1
39,1,0,1,0,1
40,1,1,1,0,1
41,0,1,0,1,1
42,1,1,1,0,1
43,1,1,1,0,0
44,1,0,0,0,0
45,0,0,0,0,0
46,1,1,1,0,1
47,0,1,1,1,1
48,1,1,1,0,1
49,0,1,1,1,1
50,1,1,1,0,1
51,1,1,1,0,1
52,0,1,1,1,1
53,0,1,1,1,1
54,0,1,1,1,1
55,0,0,1,1,1
56,1,1,1,0,1
57,1,1,1,0,1
58,0,1,1,1,1
59,0,1,1,0,0
60,0,1,1,1,1
61,1,1,1,0,1
62,1,0,0,0,1
63,1,0,0,0,1
64,1,0,0,0,1
65,1,0,1,0,1
66,1,1,1,0,1
67,0,1,0,1,1
68,0,1,1,1,1
69,1,0,0,0,1
70,1,1,1,0,1
71,1,0,0,0,1
72,1,1,1,0,1
73,1,1,1,0,1
74,0,0,1,1,1
75,0,1,1,1,1
76,0,1,1,1,1
77,0,1,1,0,0
78,1,0,0,0,1
79,1,1,1,0,1
80,1,1,0,0,1
81,0,1,1,0,0
82,0,1,1,1,1
83,1,0,1,0,1
84,0,1,1,1,1
85,0,1,1,1,1
86,0,0,0,1,1
87,0,1,1,1,1
88,1,1,1,0,1
89,1,1,1,0,1
90,1,1,1,0,1
91,1,1,1,0,1
92,0,1,1,1,1
93,1,0,1,0,1
94,1,1,1,0,1
95,1,1,1,0,1
96,0,1,1,1,1
97,0,1,1,1,1
98,1,1,1,0,1
99,1,1,1,0,1
100,1,0,1,0,1
101,1,1,1,0,1
102,1,0,1,0,1
103,0,0,1,1,1
104,0,0,0,0,0
105,1,1,1,0,1
106,1,0,0,0,1
107,1,1,1,0,1
108,0,1,1,1,1
109,0,1,1,1,1
110,1,0,1,0,1
111,1,1,1,0,1
112,1,1,1,0,1
113,0,1,1,1,1
114,1,1,1,0,1
115,0,1,1,1,1
116,1,1,1,0,1
117,0,1,1,1,1
118,1,1,1,0,1
119,1,1,1,0,1
120,0,1,1,1,1
121,1,0,0,0,1
122,1,1,1,0,1
123,1,1,1,0,1
124,1,1,1,0,1
125,1,1,1,0,1
126,0,1,1,0,0
127,0,1,1,1,1
128,0,1,1,1,1
129,1,0,0,0,1
130,1,0,0,0,1
131,1,1,1,0,1
132,1,1,1,0,1
133,1,1,1,0,1
134,1,1,1,0,1
135,1,1,1,0,1
136,1,1,1,0,1
137,1,0,1,0,1
138,1,1,1,0,0
139,0,1,1,1,1
140,1,0,1,0,1
141,0,1,1,1,1
142,1,0,0,0,1
143,0,0,0,1,1
144,1,1,1,0,1
145,1,1,1,0,1
146,1,1,1,0,1
147,1,0,0,0,1
148,1,0,1,0,1
149,1,0,1,0,1
150,0,1,1,1,1
151,1,1,1,0,1
152,0,1,1,1,1
153,1,0,0,0,1
154,1,1,1,0,1
155,0,1,0,1,1
156,1,0,0,0,1
157,1,0,0,0,1
158,0,0,0,0,0
159,1,1,1,0,1
160,0,1,1,1,1
161,1,1,1,0,1
162,1,1,1,0,1
163,1,0,0,0,1
164,0,1,1,1,1
165,1,1,1,0,1
166,1,1,1,0,1
167,0,1,1,0,0
168,1,1,0,0,1
169,1,0,1,0,1
170,0,1,1,1,1
