,6,5,4,3,2,1
0,1,1,0,0,1,0
1,1,0,0,0,0,0
2,0,0,0,1,0,1
3,0,1,0,0,1,0
4,1,1,1,0,1,0
5,0,1,0,0,1,0
6,1,0,0,0,0,0
7,1,0,0,1,0,1
8,0,1,1,0,0,0
9,0,0,0,1,0,1
10,0,0,0,1,0,1
11,1,1,0,0,1,0
12,0,1,1,1,1,1
13,0,0,0,1,0,1
14,0,0,0,1,0,1
15,1,0,0,0,0,0
16,1,0,0,1,0,1
17,1,0,0,1,0,1
18,0,0,0,0,0,0
19,1,1,0,0,1,0
20,0,1,0,0,1,0
21,1,0,0,0,0,0
22,0,0,0,1,0,1
23,0,1,0,0,1,0
24,1,0,1,1,0,1
25,0,0,0,1,0,1
26,1,1,0,0,1,0
27,1,1,0,0,1,0
28,1,1,1,0,1,0
29,0,1,0,0,1,0
30,0,1,1,0,1,0
31,1,0,0,1,0,1
32,0,0,0,0,0,0
33,1,1,0,0,1,0
34,0,1,0,0,1,0
35,0,1,0,1,1,0
36,0,1,1,0,1,0
37,1,1,0,0,1,0
38,0,0,1,1,0,1
39,0,1,1,0,1,0
40,1,0,1,0,0,0
41,0,0,0,1,0,1
42,1,0,0,1,0,1
43,0,1,0,0,1,0
44,0,1,0,0,1,0
45,0,1,0,0,1,0
46,1,1,0,0,1,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,1,1,0,0,1,0
50,0,0,0,1,0,1
51,0,0,0,0,0,0
52,0,1,0,0,1,0
53,1,1,0,0,1,0
54,1,0,0,1,0,1
55,0,1,1,0,1,0
56,0,0,0,1,0,1
57,0,0,0,0,0,0
58,1,1,0,0,1,0
59,0,1,0,0,1,0
60,0,0,0,1,0,1
61,0,1,0,0,1,0
62,1,1,1,0,1,0
63,0,1,0,0,1,0
64,1,1,0,0,1,0
65,0,0,0,1,0,1
66,0,0,0,0,0,0
67,1,1,0,0,1,0
68,0,0,0,0,0,0
69,0,0,0,1,0,1
70,0,1,0,0,1,0
71,0,0,1,0,0,0
72,0,1,0,0,1,0
73,1,0,0,1,0,1
74,1,1,0,0,1,0
75,1,0,0,1,0,1
76,1,1,0,0,1,0
77,1,1,0,0,1,0
78,1,1,1,0,1,0
79,1,1,1,0,1,0
80,1,0,0,0,0,0
81,0,1,0,0,1,0
82,0,0,0,0,0,0
83,1,1,0,0,1,0
84,0,0,1,0,0,0
85,1,1,0,0,1,0
86,0,0,1,1,0,1
87,0,1,0,0,1,0
88,0,1,0,0,1,0
89,0,1,0,0,1,0
90,0,0,0,0,0,0
91,0,1,0,0,1,0
92,1,1,0,0,1,0
93,1,1,1,0,1,0
94,1,0,0,0,0,0
95,1,0,0,0,0,0
96,0,0,0,0,0,0
97,0,1,0,0,1,0
98,0,0,0,0,0,0
99,1,1,0,0,1,0
100,0,1,0,0,1,0
101,0,1,0,0,1,0
102,0,0,0,0,0,0
103,1,0,0,0,0,0
104,0,0,0,1,0,1
105,1,1,0,1,1,0
106,1,0,1,0,0,0
107,0,1,1,0,1,0
108,0,0,0,1,0,1
109,0,0,0,1,0,1
110,0,1,0,0,1,0
111,0,0,1,0,1,0
112,0,1,0,0,1,0
113,0,1,0,0,1,0
114,0,0,0,1,0,1
115,1,1,0,0,0,0
116,1,1,0,0,1,0
117,0,1,0,0,1,0
118,0,0,0,0,0,0
119,0,1,0,0,1,0
120,1,1,0,1,1,0
121,1,0,0,0,0,0
122,0,1,0,0,1,0
123,0,0,1,0,0,0
124,0,1,1,0,1,0
125,0,0,0,1,0,1
126,0,1,0,0,1,0
127,0,0,0,0,0,0
128,1,1,1,0,0,0
129,0,0,0,0,0,0
130,0,1,0,0,1,0
131,1,1,0,0,1,0
132,0,1,0,0,1,0
133,0,1,1,0,1,0
134,1,1,0,0,1,0
135,0,1,0,0,0,0
136,1,0,1,0,0,0
137,0,1,0,0,1,0
138,1,0,0,1,0,1
139,0,0,1,1,0,1
140,0,0,0,0,0,0
141,1,0,0,1,0,1
142,0,1,0,0,1,0
143,1,1,0,0,1,0
144,0,1,0,0,1,0
145,1,1,0,0,1,0
146,1,1,1,0,1,0
147,1,0,0,0,0,0
148,0,1,0,0,1,0
149,0,1,1,0,1,0
150,1,1,1,0,1,0
151,0,1,0,0,1,0
152,0,0,0,0,0,0
153,0,1,0,0,1,0
154,1,1,0,0,1,0
155,0,1,0,0,1,0
156,0,0,0,1,0,1
157,0,0,0,0,0,0
158,1,1,0,0,1,0
159,0,1,0,0,1,0
160,0,1,0,0,1,0
161,0,1,0,0,1,0
162,1,0,1,0,0,0
163,0,1,0,0,1,0
164,0,1,1,0,1,0
165,1,1,0,0,1,0
166,1,1,0,1,1,0
167,1,1,0,0,1,0
168,0,1,0,0,1,0
169,1,1,0,0,1,0
170,1,0,1,1,0,1
171,0,0,0,0,0,0
172,0,1,1,0,1,0
173,0,0,0,1,0,1
174,0,0,1,0,0,0
175,1,0,0,1,0,1
