UV1,UH,USI,USII,VH1
yes,yes,weak,weak,yes
yes,yes,weak,good,yes
yes,yes,weak,strong,yes
yes,yes,good,weak,yes
yes,yes,good,good,yes
yes,yes,good,strong,yes
yes,yes,strong,weak,yes
yes,yes,strong,good,yes
yes,yes,strong,strong,yes
yes,no,weak,weak,yes
yes,no,weak,good,yes
yes,no,weak,strong,no
yes,no,good,weak,yes
yes,no,good,good,yes
yes,no,good,strong,no
yes,no,strong,weak,no
yes,no,strong,good,no
yes,no,strong,strong,no
no,yes,weak,weak,yes
no,yes,weak,good,no
no,yes,weak,strong,no
no,yes,good,weak,no
no,yes,good,good,no
no,yes,good,strong,no
no,yes,strong,weak,no
no,yes,strong,good,no
no,yes,strong,strong,no
no,no,weak,weak,no
no,no,weak,good,no
no,no,weak,strong,no
no,no,good,weak,no
no,no,good,good,no
no,no,good,strong,no
no,no,strong,weak,no
no,no,strong,good,no
no,no,strong,strong,no
