"var","states"
"UH","no|yes"
"UL1","bad|none|good"
"UL10","bad|none|good"
"UL2","bad|none|good"
"UL3","bad|none|good"
"UL4","bad|none|good"
"UL5","bad|none|good"
"UL6","bad|none|good"
"UL7","bad|none|good"
"UL8","bad|none|good"
"UL9","bad|none|good"
"US1","weak|good|strong"
"US2","weak|good|strong"
"UV1","no|yes"
"UV10","no|yes"
"UV2","no|yes"
"UV3","no|yes"
"UV4","no|yes"
"UV5","no|yes"
"UV6","no|yes"
"UV7","no|yes"
"UV8","no|yes"
"UV9","no|yes"
"VH1","no|yes"
"VH10","no|yes"
"VH2","no|yes"
"VH3","no|yes"
"VH4","no|yes"
"VH5","no|yes"
"VH6","no|yes"
"VH7","no|yes"
"VH8","no|yes"
"VH9","no|yes"
"VQ1","wrong|right"
"VQ10","wrong|right"
"VQ2","wrong|right"
"VQ3","wrong|right"
"VQ4","wrong|right"
"VQ5","wrong|right"
"VQ6","wrong|right"
"VQ7","wrong|right"
"VQ8","wrong|right"
"VQ9","wrong|right"
