,2,1,0
0,1,1,0
1,1,1,0
2,0,1,1
3,1,1,1
4,0,1,0
5,0,1,0
6,1,1,1
7,0,1,1
8,1,1,0
9,0,1,0
10,0,1,0
11,0,1,0
12,0,1,1
13,1,1,0
14,0,1,1
15,0,1,0
16,1,1,1
17,1,1,0
18,1,1,0
19,0,1,1
20,0,1,0
21,0,1,1
22,0,1,1
23,1,1,1
24,1,1,1
25,0,1,1
26,1,1,0
27,0,1,1
28,0,1,0
29,0,1,1
30,1,1,1
31,0,1,1
32,0,1,0
33,0,1,1
34,0,1,1
35,0,1,0
36,1,1,0
37,1,1,1
38,0,1,0
39,0,1,0
40,1,1,1
41,1,1,1
42,0,1,0
43,0,1,0
44,0,1,1
45,1,1,1
46,1,1,1
47,0,1,0
48,1,1,1
49,1,1,1
50,0,1,0
51,1,1,1
52,1,1,0
53,0,1,1
54,1,1,1
55,0,1,1
56,1,1,0
57,1,1,0
58,1,1,0
59,1,1,0
60,0,1,0
61,1,1,1
62,1,1,1
63,0,1,0
64,0,1,1
65,1,1,0
66,0,1,0
67,0,1,1
68,0,1,0
69,1,1,0
70,0,1,0
71,0,1,1
72,0,1,0
73,0,1,1
74,1,1,0
75,1,1,0
76,1,1,0
77,0,1,0
78,0,1,0
79,1,1,1
80,0,1,1
81,0,1,0
82,1,1,1
83,0,1,1
84,0,1,1
85,1,1,1
86,1,1,1
87,0,1,0
88,1,1,1
89,0,1,1
90,0,1,0
91,0,1,1
92,0,1,1
93,1,1,1
94,1,1,0
95,0,1,1
96,1,1,0
97,1,1,1
98,0,1,0
99,1,1,0
100,0,1,1
101,1,1,0
102,0,1,0
103,1,1,0
104,1,1,0
105,1,1,0
106,0,1,0
107,0,1,1
108,1,1,1
109,0,1,1
110,0,1,1
111,0,1,0
112,0,1,1
113,1,1,0
114,0,1,1
115,1,1,0
116,1,1,1
117,0,1,1
118,1,1,1
119,0,1,0
120,1,1,1
121,1,1,0
122,0,1,0
123,0,1,1
124,0,1,1
125,1,1,0
126,1,1,0
127,0,1,0
128,1,1,1
129,0,1,1
130,0,1,0
131,1,1,1
132,0,1,0
133,0,1,1
134,0,1,1
135,0,1,1
136,1,1,0
137,0,1,1
138,0,1,0
139,1,1,1
140,1,1,1
141,1,1,0
142,0,1,1
143,1,1,0
144,0,1,1
145,0,1,0
146,1,1,0
147,1,1,0
148,1,1,0
149,1,1,1
150,0,1,0
151,1,1,1
152,0,1,1
153,0,1,0
154,0,1,0
155,1,1,1
156,0,1,1
157,0,1,0
158,1,1,0
159,0,1,0
160,1,1,0
161,1,1,0
162,1,1,1
163,0,1,1
164,0,1,0
165,0,1,1
166,1,1,0
167,0,1,1
168,1,1,1
169,0,1,1
170,1,1,0
171,1,1,1
172,1,1,0
173,1,1,0
174,1,1,1
175,1,1,1
176,1,1,1
177,1,1,1
178,1,1,0
179,1,1,0
180,1,1,1
181,1,1,1
182,0,1,0
183,1,1,1
184,0,1,1
185,0,1,1
186,1,1,0
187,0,1,0
188,0,1,0
189,1,1,0
190,0,1,0
191,1,1,0
192,1,1,0
193,1,1,0
194,0,1,0
195,1,1,0
196,0,1,1
197,1,1,1
198,1,1,1
199,0,1,1
200,0,1,0
201,0,1,1
202,1,1,1
203,1,1,0
204,0,1,1
205,1,1,1
206,0,1,0
207,0,1,1
208,1,1,0
209,1,1,0
210,1,1,0
211,1,1,1
212,0,1,1
213,1,1,0
214,0,1,0
215,0,1,1
216,1,1,0
217,0,1,0
218,0,1,0
219,1,1,1
220,0,1,1
221,1,1,0
222,0,1,0
223,0,1,0
224,1,1,0
225,0,1,0
226,1,1,0
227,0,1,1
228,1,1,0
229,0,1,1
230,1,1,0
231,0,1,1
232,0,1,0
233,1,1,0
234,1,1,1
235,0,1,0
236,0,1,1
237,1,1,0
238,0,1,1
239,1,1,0
240,1,1,0
241,0,1,0
242,1,1,1
243,0,1,0
244,1,1,0
245,0,1,0
