,2,1,0
0,1,0,0
1,1,0,0
2,1,0,0
3,0,0,0
4,1,0,0
5,0,1,0
6,0,1,0
7,1,0,0
8,0,0,0
9,0,0,0
10,1,0,0
11,1,0,0
12,0,0,0
13,1,1,0
14,1,1,0
15,0,1,0
16,0,1,0
17,1,0,0
18,1,0,0
19,1,0,0
20,0,0,0
21,1,0,0
22,0,0,0
23,0,1,0
24,1,0,0
25,1,1,0
26,1,0,0
27,0,0,0
28,0,0,0
29,1,0,0
30,0,0,0
31,0,0,0
32,1,0,0
33,1,1,0
34,0,0,0
35,0,0,0
36,0,0,0
37,1,0,0
38,0,1,0
39,0,0,0
40,1,1,0
41,0,0,0
42,0,0,0
43,1,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,1,0,0
48,0,1,0
49,0,1,0
50,0,0,0
51,1,0,0
52,0,1,0
53,1,1,0
54,1,0,0
55,0,0,0
56,0,0,0
57,1,0,0
58,1,1,0
59,0,0,0
60,1,1,0
61,0,0,0
62,0,0,0
63,1,0,0
64,1,1,0
65,1,0,0
66,1,0,0
67,1,0,0
68,0,1,0
69,0,0,0
70,1,0,0
71,0,0,0
72,0,0,0
73,1,0,0
74,1,1,0
75,1,0,0
76,0,0,0
77,1,1,0
78,0,1,0
79,1,0,0
80,1,0,0
81,0,0,0
82,1,0,0
83,1,0,0
84,1,1,0
85,0,0,0
86,1,1,0
87,0,0,0
88,0,0,0
89,1,0,0
90,0,0,0
91,0,0,0
92,1,1,0
93,0,1,0
94,0,0,0
95,1,1,0
96,0,0,0
97,1,1,0
98,0,1,0
99,0,0,0
100,0,0,0
101,1,0,0
102,1,0,0
103,0,0,0
104,1,0,0
105,1,1,0
106,0,1,0
107,1,0,0
108,0,0,0
109,0,0,0
110,1,0,0
111,0,0,0
112,0,1,0
113,0,1,0
114,1,1,0
115,0,0,0
116,0,0,0
117,0,0,0
118,1,0,0
119,0,0,0
120,1,0,0
121,0,1,0
122,0,0,0
123,0,0,0
124,1,0,0
125,1,0,0
126,1,0,0
127,0,0,0
128,0,0,0
129,1,0,0
130,0,0,0
131,1,0,0
132,0,0,0
133,1,1,0
134,0,0,0
135,1,1,0
136,0,0,0
137,0,0,0
138,1,0,0
139,0,0,0
140,1,0,0
141,0,0,0
142,1,0,0
143,0,1,0
144,1,0,0
145,1,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,1,0,0
151,1,0,0
152,1,0,0
153,0,0,0
154,1,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,1,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,1,1,0
163,0,0,0
164,0,0,0
165,1,1,0
166,0,0,0
167,1,0,0
168,0,0,0
169,0,0,0
170,1,0,0
171,0,0,0
172,1,1,0
173,0,0,0
174,1,1,0
175,1,0,0
176,1,0,0
177,0,0,0
178,1,0,0
179,0,0,0
180,0,0,0
181,0,0,0
182,0,0,0
183,1,0,0
184,1,0,0
185,0,0,0
186,0,0,0
187,1,0,0
188,1,0,0
189,1,1,0
190,1,1,0
191,1,1,0
192,1,0,0
193,1,0,0
194,0,0,0
195,0,1,0
196,0,0,0
197,0,0,0
198,1,1,0
199,1,1,0
200,0,1,0
201,0,0,0
202,1,0,0
203,1,0,0
204,1,0,0
205,0,1,0
206,0,0,0
207,1,0,0
208,0,0,0
209,1,0,0
210,1,0,0
211,0,0,0
212,1,0,0
213,0,0,0
214,1,0,0
215,1,0,0
216,0,0,0
217,0,0,0
218,1,0,0
219,1,0,0
220,1,1,0
221,0,0,0
222,1,0,0
223,1,0,0
224,1,0,0
225,0,0,0
226,1,0,0
227,1,0,0
228,1,0,0
229,0,0,0
230,0,0,0
231,1,0,0
232,0,0,0
233,0,0,0
234,1,0,0
235,1,0,0
236,1,0,0
237,0,0,0
238,0,0,0
239,0,1,0
240,0,0,0
241,0,0,0
242,0,1,0
243,1,1,0
244,1,0,0
245,0,0,0
246,1,0,0
247,0,1,0
248,0,1,0
249,1,0,0
250,1,0,0
251,0,1,0
252,1,0,0
253,0,0,0
254,1,0,0
255,0,0,0
256,0,1,0
257,1,0,0
258,1,0,0
259,1,0,0
260,1,0,0
261,1,0,0
262,0,1,0
263,1,0,0
264,0,0,0
265,1,0,0
266,1,1,0
267,1,0,0
268,1,0,0
269,0,0,0
270,1,0,0
271,0,1,0
272,1,0,0
273,1,1,0
274,0,0,0
275,0,0,0
276,1,0,0
277,1,0,0
278,0,0,0
279,1,0,0
280,1,1,0
281,0,1,0
282,1,1,0
283,1,0,0
284,0,0,0
285,1,0,0
286,0,0,0
287,1,0,0
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,0
292,0,1,0
293,0,1,0
294,0,0,0
295,1,0,0
296,0,1,0
297,1,0,0
298,0,0,0
299,0,0,0
300,1,0,0
301,1,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,1,0,0
306,0,0,0
307,0,0,0
308,1,1,0
309,1,1,0
310,0,0,0
311,1,0,0
312,0,0,0
313,0,0,0
314,0,0,0
315,1,0,0
316,0,0,0
317,1,1,0
318,0,1,0
319,0,1,0
320,0,0,0
321,0,0,0
322,0,0,0
323,1,0,0
324,1,0,0
325,0,0,0
326,1,1,0
327,1,1,0
328,1,0,0
329,1,0,0
330,1,0,0
331,1,0,0
332,0,1,0
333,0,0,0
334,0,0,0
335,1,0,0
336,1,0,0
337,0,0,0
338,1,1,0
339,0,1,0
340,1,0,0
341,1,0,0
342,0,0,0
343,0,0,0
344,0,0,0
345,1,0,0
346,0,0,0
347,0,0,0
348,0,0,0
349,1,0,0
350,1,0,0
351,0,0,0
352,0,0,0
353,0,1,0
354,1,0,0
355,1,0,0
356,0,0,0
357,0,0,0
358,0,0,0
359,0,0,0
360,1,0,0
361,1,0,0
362,0,1,0
363,0,0,0
364,0,1,0
365,1,0,0
366,0,0,0
367,0,0,0
368,0,0,0
369,0,0,0
370,1,1,0
371,0,0,0
372,1,0,0
373,1,0,0
374,0,0,0
375,1,0,0
376,1,0,0
377,0,0,0
378,1,1,0
379,1,1,0
380,0,0,0
381,1,0,0
382,1,0,0
383,0,0,0
384,1,0,0
385,0,0,0
386,0,0,0
387,1,0,0
388,0,0,0
389,0,0,0
390,1,0,0
391,1,0,0
392,1,1,0
393,0,0,0
394,1,0,0
395,1,1,0
396,0,0,0
397,1,1,0
398,0,1,0
399,0,1,0
400,1,0,0
401,1,1,0
402,0,0,0
403,1,0,0
404,1,0,0
405,1,0,0
406,0,1,0
407,1,1,0
408,1,0,0
409,1,0,0
410,1,0,0
411,1,1,0
412,0,0,0
413,0,0,0
414,0,0,0
415,0,0,0
