,2,1,0
0,0,1,0
1,0,1,1
2,1,1,0
3,0,1,0
4,1,1,1
5,1,1,1
6,0,1,0
7,0,1,0
8,0,1,1
9,1,0,1
10,1,0,1
11,0,1,0
12,0,1,1
13,1,1,1
14,0,1,1
15,1,1,0
16,1,1,0
17,1,0,1
18,0,0,1
19,1,0,1
20,0,1,0
21,0,0,0
22,0,1,1
23,1,1,1
24,0,1,0
25,1,1,1
26,0,1,0
27,0,1,1
28,0,1,1
29,1,0,0
30,1,0,1
31,0,0,1
32,1,0,1
33,0,1,1
34,1,1,0
35,1,1,1
36,1,1,0
37,1,0,1
38,0,0,0
39,0,1,0
40,0,1,1
41,0,1,1
42,1,0,1
43,1,0,1
44,1,1,0
45,0,1,1
46,0,1,0
47,1,0,1
48,1,0,0
49,0,1,0
50,0,1,1
51,0,0,1
52,0,1,1
53,1,0,1
54,0,1,1
55,0,1,1
56,0,0,0
57,0,1,1
58,1,1,1
59,0,1,1
60,1,1,0
61,0,1,1
62,0,1,0
63,0,1,1
64,1,0,1
65,1,0,0
66,0,1,1
67,0,1,0
68,1,0,1
69,0,1,0
70,0,1,1
71,1,0,1
72,0,1,1
73,0,0,1
74,1,0,1
75,1,1,0
76,1,0,1
77,1,1,1
78,1,0,1
79,0,1,1
80,1,1,1
81,1,1,0
82,1,0,1
83,0,0,1
84,1,0,1
85,1,1,0
86,0,1,1
87,1,0,1
88,0,1,1
89,1,0,1
90,1,1,0
91,0,1,1
92,1,1,1
93,1,1,0
94,1,0,0
95,0,0,1
96,1,0,1
97,0,0,0
98,0,1,0
99,0,1,1
100,0,1,0
101,1,1,0
102,1,1,0
103,1,0,1
104,0,0,1
105,1,1,0
106,1,0,1
107,0,1,1
108,1,0,1
109,1,0,1
110,0,1,1
111,0,0,1
112,0,0,1
113,0,1,1
114,0,0,1
115,0,1,0
116,1,1,1
117,0,0,1
118,0,0,1
119,0,1,1
120,1,0,1
121,0,0,1
122,1,0,1
123,0,1,1
124,0,1,0
125,1,1,0
126,1,1,1
127,0,1,1
128,1,1,1
129,1,1,0
130,1,0,1
131,1,0,0
132,0,0,1
133,1,0,1
134,0,1,0
135,1,0,1
136,0,1,1
137,0,1,0
138,1,0,1
139,0,1,1
140,1,0,0
141,0,1,0
142,1,0,1
143,0,1,1
144,1,1,0
145,0,0,1
146,0,0,1
147,1,0,1
148,0,1,1
149,1,1,0
150,0,0,1
151,0,1,0
152,1,0,1
153,1,0,1
154,0,1,1
155,1,0,0
156,0,1,1
157,0,1,1
158,1,0,0
159,1,0,1
160,1,1,0
161,1,0,1
162,1,1,0
163,1,1,1
164,1,0,1
165,1,0,1
166,1,0,1
167,0,1,1
168,1,1,1
169,1,0,1
170,1,1,1
171,1,1,0
172,1,0,0
173,0,0,0
174,1,0,0
175,1,0,1
176,0,1,0
177,0,1,0
178,1,0,1
179,0,1,1
180,1,0,1
181,0,0,1
182,0,1,1
183,1,0,1
184,1,1,0
185,1,0,1
186,0,1,1
187,0,1,0
188,1,0,1
189,0,1,0
190,0,0,0
191,1,1,1
192,1,0,1
193,0,0,1
194,1,1,0
195,0,1,0
196,1,0,1
197,1,1,1
198,0,1,1
199,0,1,1
200,1,0,0
201,0,0,0
202,0,0,1
203,0,1,0
204,0,0,0
205,0,1,1
206,0,1,1
207,0,0,0
208,1,1,0
209,0,1,1
210,0,1,0
211,1,0,0
212,1,0,1
213,1,0,1
214,0,1,1
215,1,0,0
216,1,0,1
217,0,0,0
218,0,1,1
219,0,1,1
220,0,1,1
221,1,0,1
222,1,0,0
223,0,0,1
224,0,1,0
225,1,0,0
226,1,1,1
227,0,1,1
228,0,1,0
229,1,1,0
230,0,1,0
231,1,0,1
232,0,1,1
233,0,1,0
234,0,1,0
235,1,1,0
236,1,0,1
237,0,1,1
238,1,0,1
239,0,1,1
240,1,0,1
241,1,1,1
242,0,1,1
243,1,0,1
244,1,0,1
245,1,1,1
246,0,0,1
247,1,1,0
248,1,1,0
249,1,1,0
250,1,0,1
251,1,0,1
252,0,0,1
253,1,1,1
254,1,0,0
255,1,0,1
256,0,1,1
257,1,0,1
258,0,1,1
259,0,1,0
260,1,1,0
