,4,3,2
0,0,1,1
1,1,1,1
2,1,0,1
3,1,1,1
4,1,1,1
5,1,1,1
6,0,0,1
7,1,1,1
8,0,1,1
9,1,1,1
10,1,1,1
11,1,1,0
12,1,1,1
13,0,1,1
14,1,1,1
15,0,1,1
16,1,0,1
17,1,1,1
18,1,1,1
19,0,1,1
20,0,1,1
21,1,1,1
22,1,0,1
23,0,0,1
24,0,1,0
25,0,1,1
26,1,1,1
27,0,0,1
28,1,0,1
29,1,1,1
30,0,1,1
31,1,1,1
32,1,1,0
33,1,1,1
34,1,1,1
35,1,1,1
36,1,1,0
37,0,1,1
38,0,0,1
39,0,1,1
40,1,1,1
41,0,1,1
42,1,1,1
43,1,1,1
44,0,1,1
45,1,1,1
46,1,1,1
47,1,1,1
48,0,1,1
49,0,1,1
50,1,0,1
51,1,1,0
52,0,1,1
53,1,1,1
54,1,1,1
55,0,1,1
56,1,1,1
57,1,1,0
58,1,1,1
59,1,1,1
60,1,0,1
61,1,1,1
62,1,1,1
63,0,0,0
64,0,1,1
65,1,1,1
66,0,1,1
67,0,1,1
68,1,1,1
69,1,1,0
70,0,1,1
71,1,1,1
72,1,0,1
73,0,1,1
74,1,1,1
75,1,1,1
76,0,1,0
77,0,1,1
78,1,1,1
79,0,0,1
80,1,0,1
81,1,0,1
82,1,1,1
83,1,1,1
84,0,1,1
85,1,1,1
86,1,1,1
87,1,1,1
88,0,1,1
89,0,1,1
90,0,0,1
91,0,1,1
92,0,1,1
93,1,1,1
94,0,0,1
95,0,1,1
96,0,1,1
97,0,1,1
98,1,1,1
99,0,0,1
100,1,1,1
101,1,1,0
102,1,1,1
103,1,0,0
104,1,1,1
105,0,0,1
106,1,1,1
107,1,0,1
108,1,1,1
109,1,1,1
110,0,0,1
111,1,1,1
112,0,1,1
113,0,1,0
114,1,0,1
115,1,1,1
116,0,1,1
117,0,0,1
118,1,1,1
119,1,0,0
120,0,1,1
121,1,1,0
122,0,1,1
123,1,1,1
124,1,1,1
125,0,1,1
126,1,1,1
127,1,0,1
128,1,1,1
129,1,1,1
130,0,0,1
131,1,1,1
132,1,1,1
133,1,1,0
134,0,1,1
135,0,1,1
136,1,0,1
137,0,1,1
138,1,1,1
139,0,1,1
140,1,1,0
141,0,1,1
142,0,1,1
143,1,0,0
144,1,1,0
145,1,1,0
146,1,1,1
147,1,1,1
148,1,1,1
149,1,1,1
150,1,1,1
151,0,0,1
152,0,0,1
153,0,1,1
154,1,1,1
155,1,1,1
156,1,1,1
157,0,1,1
158,0,1,1
159,1,1,1
160,0,0,1
161,1,1,1
162,0,1,1
163,1,1,1
164,1,1,1
165,1,1,0
166,0,0,0
167,1,1,1
168,1,1,0
169,1,0,0
170,1,1,0
171,1,1,1
172,1,1,1
173,0,0,1
174,1,1,1
175,1,1,1
176,1,1,0
177,1,1,1
178,1,1,1
179,0,1,1
180,1,1,1
181,1,0,1
182,0,0,1
183,0,1,1
184,1,1,1
185,1,1,1
186,0,1,1
187,0,1,1
188,0,1,1
189,1,1,1
190,0,1,1
191,1,1,1
192,1,1,1
193,1,1,1
194,0,1,1
195,0,0,1
196,0,1,1
197,1,1,1
198,1,0,1
199,1,0,1
200,1,1,0
201,1,1,0
202,0,0,1
203,1,0,1
204,0,1,1
205,1,0,1
206,1,1,1
207,1,0,0
208,1,1,0
209,1,0,1
210,0,0,1
211,1,1,1
212,1,1,1
213,0,1,1
214,1,0,1
215,1,1,0
216,0,1,1
217,1,1,0
218,0,1,1
219,0,1,1
220,1,0,1
221,1,1,1
222,1,1,1
223,0,1,1
224,1,1,1
225,0,1,1
226,1,1,1
227,1,1,1
228,1,1,1
229,1,0,1
230,1,1,0
231,0,1,1
232,1,0,1
233,1,1,0
234,0,1,1
235,1,0,1
236,1,0,0
237,1,1,1
238,1,1,1
239,1,1,0
240,1,1,1
241,0,0,0
242,0,1,1
243,0,1,1
244,1,1,1
245,0,1,0
246,0,1,1
247,0,0,1
248,1,1,1
249,1,1,0
250,0,1,1
251,1,1,1
252,1,1,1
253,1,1,1
254,0,1,1
255,0,1,1
256,0,0,1
257,1,1,1
258,1,1,0
259,0,1,1
260,1,1,1
261,0,1,1
262,0,1,1
263,1,1,1
264,0,0,1
265,0,1,1
266,1,1,1
267,1,0,0
268,0,1,1
269,0,1,1
270,1,1,0
271,1,0,1
272,1,0,1
273,1,1,1
274,0,1,1
275,1,1,1
276,0,0,1
277,0,0,1
278,0,1,1
279,0,1,0
280,1,1,0
281,0,1,1
282,0,1,1
283,1,0,0
284,1,1,1
285,1,1,1
286,1,1,0
287,1,1,1
288,0,1,1
289,1,1,1
290,0,0,1
291,0,1,1
292,1,1,0
293,1,1,1
294,0,0,1
295,0,1,1
296,1,0,0
297,1,1,1
298,0,1,1
299,1,1,1
300,1,1,1
301,1,1,1
302,0,1,1
303,1,1,1
304,0,1,1
305,1,1,1
306,1,1,1
307,1,0,1
308,1,1,1
309,1,1,1
310,0,1,1
311,1,1,0
312,0,1,1
313,1,1,1
314,0,1,1
315,1,1,1
316,0,1,1
317,1,0,1
318,1,0,0
319,1,1,1
320,1,1,1
321,0,1,1
322,1,1,1
323,1,0,0
324,1,1,1
325,1,1,0
326,1,1,1
327,1,1,0
328,1,1,1
329,1,1,1
330,0,1,1
331,0,1,1
332,1,1,1
333,0,1,1
334,1,1,1
335,0,1,1
336,0,1,1
337,1,1,0
338,1,1,1
339,0,1,1
340,0,1,1
341,0,1,1
342,0,1,1
343,1,1,1
344,0,1,0
345,1,1,1
346,1,1,1
347,0,1,1
348,1,1,1
349,1,1,1
350,1,1,1
351,1,1,1
352,1,1,1
353,1,1,1
354,1,1,0
355,1,1,1
356,0,1,1
357,0,1,1
358,0,1,1
359,0,0,0
360,1,1,0
361,1,1,0
362,0,1,1
363,1,1,0
364,1,1,1
365,1,1,1
366,0,1,1
367,1,1,1
368,1,1,1
369,1,1,1
370,0,1,1
371,0,1,1
372,1,1,1
373,1,1,1
374,1,1,1
375,1,1,1
376,1,1,1
377,0,0,1
378,0,1,1
379,1,0,0
380,1,1,1
381,1,1,1
382,1,1,1
383,0,1,1
384,1,1,1
385,1,1,1
386,0,1,1
387,1,1,1
388,0,0,1
389,1,0,1
390,0,0,1
391,1,1,1
392,0,1,1
393,1,1,1
394,1,1,1
395,0,1,1
396,1,1,0
397,1,1,1
398,1,1,1
399,1,1,1
400,0,1,1
401,1,1,1
402,1,1,1
403,1,1,1
404,0,1,1
405,1,1,1
406,0,1,1
407,1,1,1
408,1,1,0
409,0,1,1
410,1,1,1
411,1,1,1
412,0,1,1
413,0,1,1
414,1,1,1
415,1,1,1
416,1,1,1
417,1,1,1
418,1,0,1
419,0,1,1
420,0,1,1
421,1,1,1
422,1,1,1
423,1,1,0
424,0,1,1
