,4,3,2,1
0,0,1,0,0
1,0,1,0,1
2,1,0,0,1
3,1,0,0,0
4,0,1,0,1
5,0,0,1,1
6,1,0,0,1
7,1,0,0,0
8,0,1,0,1
9,0,0,1,1
10,1,1,1,0
11,0,1,0,0
12,0,1,0,0
13,0,0,1,1
14,1,0,0,0
15,0,1,0,1
16,1,0,0,1
17,0,0,1,0
18,1,0,0,0
19,1,0,0,0
20,0,0,1,0
21,1,0,0,0
22,0,1,0,0
23,1,0,0,0
24,1,0,0,0
25,0,0,1,1
26,1,0,0,1
27,1,0,0,1
28,0,1,0,0
29,0,0,1,1
30,0,0,1,1
31,1,0,0,0
32,0,0,0,1
33,0,0,1,0
34,0,1,0,0
35,1,1,1,1
36,0,1,0,0
37,1,0,0,0
38,0,0,1,0
39,0,0,1,0
40,0,1,0,1
41,0,1,0,1
42,0,1,0,1
43,1,0,0,0
44,0,1,0,1
45,1,0,0,0
46,0,0,1,1
47,0,1,0,0
48,0,1,0,0
49,0,1,0,0
50,1,0,1,0
51,0,1,0,1
52,1,0,0,1
53,1,0,0,1
54,1,0,0,0
55,0,1,0,0
56,1,0,0,1
57,0,1,0,0
58,1,0,0,1
59,1,0,0,1
60,0,0,1,1
61,1,0,0,0
62,0,1,0,0
63,1,0,0,0
64,1,0,0,1
65,1,0,0,1
66,0,1,0,1
67,1,0,0,0
68,0,0,1,0
69,0,0,1,0
70,1,0,0,1
71,0,1,0,0
72,1,0,0,1
73,1,0,0,1
74,0,0,1,0
75,0,0,1,1
76,0,0,1,0
77,0,0,1,0
78,0,0,1,0
79,0,0,1,0
80,0,1,0,1
81,0,0,1,1
82,1,0,0,1
83,0,1,0,0
84,1,0,0,1
85,0,1,0,0
86,1,0,0,0
87,1,0,0,0
88,1,0,0,0
89,0,0,1,0
90,0,1,0,0
91,1,0,0,0
92,0,1,0,1
93,0,1,0,0
94,0,1,0,1
95,0,0,1,1
96,1,0,0,1
97,0,1,0,0
98,0,0,1,1
99,0,1,0,0
100,0,1,0,1
101,0,1,0,0
102,0,1,0,1
103,1,0,0,0
104,0,0,1,1
105,0,0,1,0
106,0,0,1,1
107,0,0,1,1
108,0,0,1,0
109,0,1,0,0
110,1,0,0,0
111,0,1,0,1
112,1,0,0,1
113,0,1,0,0
114,1,0,0,0
115,0,1,0,0
116,1,0,0,1
117,0,1,0,0
118,1,0,0,0
119,0,1,0,1
120,1,0,0,0
121,0,0,1,0
122,1,1,1,0
123,0,0,1,1
124,1,0,0,0
125,1,0,0,1
126,0,1,0,0
127,1,0,0,0
128,0,1,0,0
129,0,0,1,0
130,0,0,1,0
131,0,1,0,0
132,0,1,0,0
133,0,0,0,1
134,0,0,1,0
135,0,1,0,0
136,1,0,0,0
137,0,1,0,1
138,0,0,1,1
139,0,1,0,1
140,0,1,0,0
141,0,1,0,1
142,1,1,1,0
143,1,0,0,0
144,0,1,0,1
145,0,1,0,0
146,0,0,1,0
147,0,1,0,1
148,0,1,0,0
149,1,0,0,0
150,0,1,0,1
151,0,1,0,0
152,0,1,0,0
153,0,1,0,1
154,0,1,0,0
155,1,0,0,0
156,0,0,1,0
157,0,1,0,1
158,0,1,0,1
159,0,1,0,1
160,0,1,0,1
161,1,0,0,0
162,0,1,0,0
163,0,0,1,1
164,1,0,0,0
165,1,0,0,1
166,0,1,0,0
167,0,1,1,0
168,0,0,1,1
169,0,1,0,1
170,0,0,1,0
171,1,0,0,0
172,0,1,0,0
173,0,0,1,1
174,0,1,0,0
175,0,1,0,0
176,0,0,1,0
177,0,1,0,1
178,1,0,0,1
179,0,0,1,0
180,1,0,0,0
181,0,1,0,1
182,0,1,0,0
183,0,0,1,1
184,1,0,0,0
185,1,1,1,1
186,0,1,0,1
187,0,1,0,0
188,1,0,0,1
189,0,1,0,1
190,0,1,0,0
191,0,1,0,0
192,0,0,1,0
193,1,0,0,1
194,0,1,0,0
195,1,0,0,0
196,0,0,1,0
197,0,1,0,0
198,1,0,0,1
199,1,0,0,1
200,0,0,1,1
201,0,1,0,0
202,0,0,1,0
203,0,0,1,0
204,0,0,1,0
205,1,0,0,0
206,0,1,0,1
207,0,1,0,1
208,0,0,1,1
209,0,1,0,0
210,0,1,0,0
211,0,1,0,1
212,1,0,0,0
213,0,0,1,0
214,0,1,0,1
215,1,0,0,1
216,0,1,0,0
217,0,1,0,0
218,1,0,0,1
219,0,1,0,1
220,1,0,0,0
221,0,0,1,0
222,1,0,0,1
223,0,1,0,1
224,1,0,0,0
225,1,0,0,1
226,0,1,0,0
227,0,0,1,0
228,0,0,1,0
229,1,0,0,0
230,0,0,1,0
231,0,0,1,0
232,0,0,1,0
233,0,1,0,1
234,0,1,0,0
235,0,1,0,1
236,0,1,0,0
237,0,1,0,0
238,1,0,0,1
239,0,1,0,1
240,1,0,0,1
241,0,1,0,1
242,0,1,1,1
243,0,1,0,1
244,0,0,1,1
245,1,0,0,1
246,1,1,1,1
247,0,1,0,1
248,0,1,0,1
249,0,0,1,1
250,1,0,0,0
251,0,1,0,0
252,0,1,0,1
253,0,0,1,0
254,0,0,1,0
255,0,0,1,0
256,0,1,0,0
257,1,0,0,1
258,0,1,0,1
259,1,0,0,0
260,0,1,0,1
261,0,0,1,1
262,0,0,1,0
263,1,0,0,0
264,1,0,0,0
265,0,1,0,1
266,0,1,0,0
267,1,0,0,0
268,1,0,0,0
269,0,1,0,0
270,0,0,1,0
271,1,0,0,0
272,0,1,0,0
273,0,1,0,0
274,0,0,1,0
275,0,1,0,1
276,1,0,0,1
277,1,0,0,1
278,0,0,1,0
279,1,0,0,1
280,1,0,0,0
281,0,1,0,0
282,1,0,0,0
283,0,1,0,0
284,1,0,0,0
285,1,0,0,0
286,1,0,0,0
287,0,1,0,0
288,0,1,0,1
289,1,0,0,0
290,0,1,0,1
291,0,1,0,1
292,1,0,0,0
293,0,0,1,1
294,0,1,0,0
295,0,1,0,1
296,1,0,0,0
297,0,0,1,0
298,1,0,0,0
299,1,0,0,1
300,0,0,1,0
301,0,1,0,0
302,0,1,0,0
303,0,1,0,0
304,1,0,0,1
305,1,0,0,1
306,0,1,0,1
307,1,0,0,0
308,0,1,0,0
309,0,1,0,0
310,1,0,0,1
311,0,0,1,0
312,1,0,0,1
313,1,0,0,1
314,0,0,1,0
315,0,0,1,1
316,0,1,0,0
317,1,0,0,0
318,0,1,0,0
319,1,0,0,0
320,1,0,1,0
321,0,1,1,1
322,1,0,0,0
323,1,0,0,0
324,0,1,0,1
325,0,1,0,1
326,1,0,0,0
327,0,1,0,1
328,1,0,0,0
329,1,0,0,1
330,1,0,0,1
331,0,1,0,1
332,0,0,1,1
333,1,0,0,0
334,1,1,0,0
335,1,0,0,0
336,0,1,0,0
337,1,0,0,1
338,0,1,0,0
339,0,1,0,1
340,1,0,0,0
341,0,1,1,1
342,0,0,1,1
343,1,0,0,0
344,1,0,0,1
345,0,0,1,0
346,1,0,0,0
347,0,1,0,0
348,0,0,1,1
349,0,0,1,0
350,0,0,1,0
351,1,0,0,0
352,1,0,0,0
353,0,1,0,0
354,0,1,0,1
355,1,0,0,1
356,0,1,0,0
357,0,1,0,0
358,0,0,1,1
359,0,1,0,0
360,0,1,0,1
361,0,1,0,1
362,1,0,0,1
363,0,0,1,1
364,1,0,0,1
365,1,0,0,0
366,1,0,0,1
367,1,0,0,0
368,0,1,0,1
369,0,1,0,0
370,0,0,1,0
371,1,1,1,1
372,0,0,1,0
373,1,0,0,0
374,0,0,1,0
375,0,1,0,0
376,0,0,1,0
377,0,1,0,1
378,0,1,0,0
379,1,1,1,1
380,0,1,0,1
381,1,0,0,0
382,1,0,0,0
383,1,0,0,1
384,0,1,0,1
385,0,1,0,0
386,1,1,1,1
387,0,0,1,0
388,1,0,0,1
389,0,1,0,0
390,0,1,0,1
391,1,0,0,1
392,0,1,0,0
393,1,0,0,1
394,1,0,0,1
395,1,0,0,1
396,0,0,1,1
397,0,0,1,0
398,0,1,0,0
399,1,0,0,1
400,0,1,0,0
401,1,0,0,1
402,0,1,0,0
403,0,0,1,1
404,0,1,0,1
405,1,0,0,1
406,0,0,1,1
407,0,0,1,0
408,0,0,1,0
409,1,0,0,0
410,0,0,1,1
411,1,0,0,1
412,0,1,0,0
413,0,1,0,1
414,1,0,0,1
415,1,0,0,0
416,0,1,0,0
417,0,0,1,1
418,1,0,0,1
419,0,0,1,1
420,0,1,0,0
421,0,0,1,0
422,0,1,0,0
423,0,0,1,0
424,0,1,0,1
425,1,1,1,0
426,0,0,1,1
427,1,0,0,0
428,1,0,0,0
429,0,0,1,0
430,1,0,0,0
431,0,0,1,1
432,1,1,0,1
433,0,1,0,1
434,1,0,0,0
435,1,0,0,1
436,1,0,0,0
437,0,0,0,1
438,0,0,1,0
439,1,0,0,1
440,1,0,0,0
441,0,1,0,1
442,0,1,0,0
443,1,0,0,0
444,0,0,1,0
445,0,1,0,1
446,1,0,0,0
447,0,0,1,1
448,1,0,0,0
449,0,1,0,0
450,0,0,1,0
451,0,0,1,0
452,1,0,0,0
453,0,1,0,1
454,0,1,0,0
455,1,0,0,1
456,1,0,0,0
457,1,0,0,0
458,0,1,0,1
459,0,0,1,1
460,0,1,0,1
461,0,0,1,1
462,1,0,0,0
463,0,0,1,1
464,0,1,0,0
465,0,1,0,0
466,0,0,1,0
467,0,1,0,0
468,1,1,1,0
469,0,1,0,0
470,0,0,1,0
471,1,0,0,1
472,0,1,1,1
473,0,1,0,0
474,0,0,1,0
475,0,0,1,0
476,1,0,0,0
477,0,0,1,1
478,0,1,0,0
479,0,0,1,1
480,1,0,0,0
