,4,3,2,1,0
0,0,1,1,1,1
1,0,0,0,0,0
2,0,1,1,1,1
3,0,1,1,1,1
4,0,1,1,1,1
5,1,0,1,1,1
6,1,0,0,0,0
7,0,1,1,1,1
8,0,1,1,1,1
9,0,1,1,0,1
10,0,1,0,1,1
11,1,1,1,1,1
12,1,1,1,1,1
13,0,1,1,0,0
14,0,1,0,1,1
15,1,1,1,1,1
16,0,1,0,0,0
17,1,0,1,1,1
18,0,0,0,1,1
19,0,1,0,1,1
20,0,1,1,1,1
21,0,1,0,1,1
22,1,0,0,0,0
23,0,1,1,1,1
24,0,1,1,0,0
25,0,1,1,1,1
26,1,1,1,1,1
27,1,1,0,1,1
28,0,1,0,1,1
29,1,1,1,1,1
30,0,1,0,1,1
31,0,1,1,1,1
32,1,0,0,1,1
33,0,0,1,1,1
34,0,1,1,1,1
35,0,1,1,1,1
36,0,0,0,0,0
37,1,0,0,0,0
38,1,0,1,1,1
39,0,1,0,1,1
40,0,1,0,1,1
41,1,1,1,1,1
42,1,1,0,1,1
43,1,1,1,1,1
44,1,1,1,1,1
45,0,1,1,1,1
46,0,0,0,0,0
47,0,1,1,1,1
48,0,0,0,0,0
49,0,1,1,1,1
50,0,1,1,1,1
51,0,1,1,0,0
52,0,1,1,1,1
53,0,0,1,1,1
54,1,0,0,0,0
55,0,0,0,1,1
56,1,1,1,1,1
57,0,1,0,1,1
58,0,0,0,0,0
59,0,1,1,1,1
60,1,0,0,1,1
61,0,1,0,1,1
62,1,1,0,1,1
63,1,1,0,1,1
64,1,1,0,1,1
65,0,1,0,1,1
66,0,1,1,1,1
67,0,1,1,1,1
68,0,0,0,0,0
69,1,0,0,1,1
70,0,0,0,0,0
71,0,0,1,1,1
72,0,0,0,0,0
73,1,1,0,1,1
74,1,1,1,0,0
75,0,1,1,1,1
76,1,1,0,1,1
77,1,1,0,1,1
78,1,1,1,1,1
79,1,1,1,1,1
80,0,1,0,1,1
81,0,1,1,1,1
82,0,1,0,1,1
83,1,1,0,1,1
84,0,1,0,1,1
85,1,1,0,1,1
86,0,1,0,1,1
87,0,0,1,1,1
88,0,1,0,0,0
89,1,1,0,0,0
90,1,0,1,1,1
91,1,1,1,1,1
92,0,1,0,1,1
93,0,0,0,0,0
94,1,0,0,0,0
95,0,1,1,1,1
96,0,1,1,1,1
97,0,1,1,1,1
98,0,1,1,1,1
99,0,1,1,1,1
100,0,1,1,1,1
101,0,1,0,1,1
102,0,1,0,1,1
103,0,0,0,0,0
104,1,0,1,0,0
105,0,1,1,1,1
106,0,1,1,0,0
107,0,1,1,1,1
108,0,1,0,1,1
109,1,1,1,1,1
110,0,1,1,1,1
111,0,1,1,1,1
112,0,0,1,1,1
113,1,0,1,0,0
114,0,1,1,1,1
115,0,1,1,0,0
116,0,1,0,1,1
117,0,1,1,1,1
118,1,0,0,0,0
119,0,1,0,1,1
120,0,0,0,0,0
121,0,1,1,1,1
122,1,1,1,1,1
123,0,1,0,1,1
124,0,1,1,1,1
125,0,1,1,1,1
126,1,1,1,1,1
127,1,0,0,0,0
128,1,1,1,1,1
129,1,0,0,0,0
130,0,1,1,1,1
131,0,1,1,1,1
132,0,1,1,1,1
133,0,1,1,1,1
134,0,1,1,1,1
135,0,1,0,1,1
136,1,1,0,0,1
137,0,1,0,1,1
138,1,0,0,0,0
139,1,0,1,1,1
140,1,0,0,0,0
141,0,0,1,1,1
142,0,1,0,1,1
143,0,1,1,1,1
144,0,0,0,0,0
145,0,0,0,0,0
146,0,1,1,1,1
147,0,0,1,1,1
148,0,1,0,1,1
149,0,0,0,0,0
150,0,1,1,1,1
151,0,0,1,1,1
152,1,1,1,1,1
153,0,1,1,1,1
154,0,1,1,0,0
155,0,1,0,0,1
156,1,1,0,1,1
157,0,0,1,0,0
158,0,0,0,0,0
159,0,0,0,0,0
160,1,1,1,1,1
161,0,0,0,1,1
162,0,0,1,1,1
163,1,0,1,0,0
164,1,1,0,0,0
165,0,0,1,0,0
166,0,0,1,0,0
167,0,1,1,0,0
168,0,1,0,1,1
169,1,1,0,1,1
170,0,0,0,0,0
171,0,1,1,0,1
172,0,1,1,1,1
173,0,1,1,1,1
174,0,1,1,1,1
175,1,0,0,0,0
176,0,1,0,1,1
177,1,0,0,0,0
178,1,0,0,0,0
179,0,1,0,1,1
180,0,1,1,1,1
181,0,1,1,1,1
182,1,1,0,1,1
183,0,1,1,1,1
184,1,0,0,0,0
185,0,1,0,1,1
186,0,1,0,1,1
187,0,1,1,1,1
188,1,0,0,0,0
189,0,1,1,1,1
190,0,1,1,1,1
191,0,1,1,1,1
192,0,1,0,1,1
193,0,1,1,1,1
194,0,1,1,1,1
195,1,1,1,1,1
196,1,1,1,0,0
197,0,1,1,1,1
198,0,1,1,0,1
199,0,1,1,1,1
200,1,1,1,1,1
201,0,1,0,1,1
202,1,1,0,1,1
203,0,1,1,1,1
204,0,1,1,1,1
205,0,1,0,0,1
206,0,1,0,1,1
207,0,1,1,1,1
208,0,1,1,1,1
209,0,1,0,1,1
210,0,1,1,1,1
211,0,1,0,1,1
212,0,1,1,1,1
213,0,1,1,1,1
214,1,0,0,0,0
215,1,1,1,1,1
216,0,1,0,1,1
217,1,0,0,0,0
218,1,1,0,1,1
219,1,0,0,1,1
220,0,1,0,1,1
221,0,1,1,1,1
222,0,1,1,1,1
223,1,1,1,1,1
224,0,1,0,1,1
225,0,1,1,1,1
226,1,1,0,1,1
227,1,1,1,1,1
228,0,1,0,1,1
229,0,0,0,0,0
230,1,0,1,0,0
231,1,0,0,0,0
232,0,1,0,1,1
233,0,1,1,1,1
234,1,0,0,1,1
235,0,1,1,1,1
236,0,1,1,1,1
237,1,0,1,1,1
238,0,1,1,1,1
239,0,1,0,1,1
240,1,1,0,1,1
241,0,0,1,1,1
242,0,1,1,1,1
243,0,1,1,0,0
244,0,0,0,0,0
245,0,1,1,1,1
246,1,0,0,0,0
247,1,0,1,1,1
248,0,1,1,1,1
249,1,0,0,0,0
250,1,0,0,1,1
251,0,1,1,1,1
252,1,0,0,1,1
253,0,1,1,1,1
254,0,0,0,0,0
255,1,0,0,0,0
256,0,1,0,1,1
257,0,1,0,1,1
258,1,0,1,1,1
259,0,1,1,0,0
260,0,1,0,0,0
261,0,1,0,1,1
262,1,1,1,1,1
263,1,1,0,1,1
264,0,1,1,1,1
265,0,1,0,1,1
266,0,1,0,1,1
267,0,1,1,1,1
268,1,1,0,1,1
269,1,1,1,1,1
270,0,0,0,1,1
271,0,1,1,1,1
272,1,1,0,1,1
273,1,1,0,1,1
274,0,1,1,1,1
275,0,1,1,1,1
276,0,1,1,1,1
277,0,1,0,1,1
278,0,1,1,1,1
279,0,0,1,1,1
280,0,1,1,1,1
281,0,1,1,1,1
282,0,1,0,1,1
283,0,1,0,1,1
284,0,0,1,1,1
285,0,1,0,1,1
286,1,1,1,1,1
287,0,1,0,1,1
288,0,1,1,1,1
289,0,1,1,1,1
290,1,1,0,1,1
291,1,0,0,1,1
292,1,0,1,0,0
293,1,0,0,0,0
294,1,0,0,1,1
295,1,0,1,1,1
296,0,1,1,1,1
297,0,1,1,1,1
298,0,0,1,1,1
299,1,0,0,0,0
300,0,1,1,1,1
301,1,1,1,1,1
302,0,1,1,1,1
303,1,1,0,1,1
304,0,1,1,1,1
305,0,1,1,1,1
306,0,1,1,0,0
307,0,1,1,1,1
308,0,0,0,0,0
309,1,1,0,1,1
310,0,1,0,1,1
311,0,1,0,1,1
312,1,0,1,0,0
313,0,1,0,1,1
314,0,1,1,1,1
315,1,1,0,1,1
316,0,1,1,1,1
317,0,1,1,1,1
318,0,1,1,1,1
319,1,1,1,1,1
320,0,1,1,1,1
321,1,1,1,1,1
322,0,1,0,1,1
323,0,1,0,1,1
324,0,1,1,1,1
325,0,1,1,1,1
326,0,1,1,1,1
327,1,0,0,1,1
328,0,1,1,1,1
329,1,1,1,1,1
330,0,1,0,1,1
331,1,1,0,1,1
332,0,0,0,0,0
333,0,1,0,1,1
334,1,1,1,1,1
335,1,0,0,0,0
336,1,1,0,1,1
337,1,0,0,0,0
338,0,1,0,1,1
339,0,1,1,1,1
340,0,0,0,0,0
341,0,1,0,1,1
342,0,1,1,1,1
343,0,1,0,1,1
344,0,1,1,1,1
345,1,0,1,0,0
346,1,0,1,0,0
347,0,1,0,1,1
348,0,1,0,0,0
349,1,1,0,1,1
350,0,1,1,1,1
351,0,1,1,1,1
352,1,0,1,1,1
353,0,1,0,1,1
354,0,1,1,1,1
355,0,1,0,1,1
356,0,1,1,1,1
357,0,0,0,0,0
358,1,0,0,0,0
359,0,1,0,1,1
360,1,0,1,1,1
361,1,1,1,1,1
362,0,0,0,0,0
363,0,1,1,1,1
364,0,1,1,1,1
365,0,1,1,1,1
366,1,1,0,1,1
367,0,1,1,1,1
368,1,0,1,1,1
369,0,1,1,1,1
370,0,1,0,1,1
371,1,0,0,0,0
372,0,0,0,0,0
373,0,1,1,1,1
374,0,1,0,1,1
375,0,0,1,1,1
376,1,0,0,0,0
377,0,1,0,1,1
378,0,1,1,1,1
379,0,1,1,1,1
380,1,1,1,0,0
381,0,1,1,1,1
382,0,1,1,1,1
383,1,0,0,0,0
384,1,0,0,0,0
385,1,1,1,1,1
386,1,0,0,0,0
387,1,1,1,0,0
388,0,1,1,1,1
389,1,1,1,1,1
390,0,0,0,0,0
391,0,0,0,1,1
392,1,1,1,0,0
393,1,1,1,1,1
394,1,1,0,1,1
395,0,1,1,1,1
396,0,1,0,0,0
397,0,1,0,1,1
398,0,1,1,1,1
399,0,1,1,1,1
400,0,1,0,1,1
401,0,1,1,1,1
402,0,0,0,0,0
403,0,1,0,1,1
404,0,1,1,1,1
405,1,1,1,1,1
406,0,1,0,1,1
407,1,1,1,1,1
408,0,1,1,1,1
409,0,1,1,1,1
410,0,1,1,1,1
411,0,1,1,0,0
412,1,0,0,0,0
413,1,0,0,0,0
414,0,1,1,0,0
415,1,0,1,1,1
416,0,1,0,1,1
417,0,1,0,0,1
418,0,1,1,1,1
419,1,1,0,1,1
420,0,0,0,0,0
421,0,1,1,1,1
422,0,1,1,1,1
423,0,1,0,1,1
424,0,0,0,0,0
425,1,1,1,1,1
426,1,0,1,1,1
427,0,1,1,1,1
428,1,1,1,0,0
429,0,1,1,1,1
430,0,1,1,1,1
431,0,1,1,1,1
432,1,1,0,1,1
433,1,1,1,1,1
434,0,0,0,1,1
435,0,1,1,1,1
436,0,1,1,1,1
437,0,1,1,1,1
438,1,0,0,1,1
439,0,1,0,1,1
440,0,0,0,1,1
441,0,1,1,1,1
442,0,1,0,1,1
443,0,1,1,1,1
444,0,1,0,1,1
445,0,0,0,0,0
446,0,1,1,1,1
447,1,1,0,1,1
448,0,0,1,1,1
449,0,1,1,1,1
450,0,1,1,1,1
451,0,1,1,1,1
452,1,0,0,0,0
453,0,1,1,1,1
454,0,1,1,1,1
455,1,0,1,0,1
456,0,1,0,1,1
457,0,1,1,0,0
458,0,1,0,1,1
459,0,1,0,1,1
460,1,1,0,1,1
461,1,0,0,1,1
462,1,1,1,1,1
463,0,1,1,1,1
464,0,1,0,1,1
465,0,1,1,1,1
466,0,1,0,1,1
467,1,1,0,1,1
468,0,1,0,1,1
469,1,1,1,1,1
470,0,1,1,1,1
471,0,1,1,1,1
472,1,0,0,0,0
473,0,0,0,0,0
474,0,1,0,1,1
475,0,1,0,1,1
476,1,1,1,1,1
477,0,1,1,1,1
478,0,1,0,0,0
479,0,0,0,0,0
480,1,1,1,1,1
481,1,1,1,1,1
482,0,1,0,0,0
483,0,1,1,1,1
484,1,1,1,1,1
485,0,1,1,1,1
486,0,1,0,1,1
487,1,0,0,1,1
488,1,1,0,1,1
489,1,0,1,1,1
490,1,0,0,0,0
491,0,1,0,1,1
492,0,1,0,1,1
493,1,0,1,0,0
494,0,1,1,1,1
495,1,0,1,1,1
496,0,1,1,1,1
497,1,0,1,1,1
498,0,1,1,0,1
499,0,1,0,1,1
500,1,0,0,0,0
501,0,1,1,1,1
502,0,0,1,1,1
503,0,0,0,1,1
504,1,1,1,1,1
505,0,1,0,0,0
506,1,0,0,1,1
507,0,1,1,1,1
508,1,1,1,1,1
509,1,1,0,1,1
510,0,1,0,1,1
511,0,0,1,1,1
512,1,1,1,1,1
513,0,1,1,1,1
514,0,1,1,1,1
515,0,1,0,0,1
516,0,1,1,1,1
517,0,1,1,1,1
518,0,0,0,0,0
519,0,1,1,1,1
520,0,1,1,0,0
521,0,1,1,1,1
522,0,1,1,1,1
523,0,0,0,0,0
524,0,1,1,1,1
525,0,1,0,0,0
526,0,1,1,1,1
527,1,0,1,0,0
528,1,1,1,1,1
529,0,1,1,1,1
530,0,1,1,1,1
531,0,1,1,1,1
532,0,1,1,1,1
533,0,1,1,1,1
534,1,1,0,1,1
535,0,0,0,0,0
536,1,0,0,0,0
537,1,1,1,1,1
538,0,1,0,1,1
539,0,1,1,1,1
540,0,1,1,1,1
541,0,1,0,0,0
542,0,1,0,0,0
543,0,1,1,1,1
544,0,1,0,1,1
545,0,1,0,1,1
546,0,1,0,1,1
547,1,1,1,1,1
548,0,1,1,1,1
549,0,1,0,1,1
550,1,0,1,0,0
551,0,0,0,0,0
552,0,0,0,0,0
553,0,0,0,0,0
554,0,1,1,1,1
555,0,0,1,1,1
556,0,1,1,1,1
557,0,1,1,1,1
558,0,0,0,0,0
559,0,0,0,0,0
560,0,1,1,1,1
561,0,1,1,1,1
562,1,1,1,1,1
563,0,1,0,1,1
564,0,1,0,1,1
565,0,1,1,1,1
566,1,0,0,1,1
567,0,0,0,0,0
568,0,1,0,1,1
569,0,1,0,1,1
570,1,1,0,1,1
571,0,1,1,1,1
572,1,1,0,1,1
573,0,1,1,0,0
574,0,1,1,1,1
575,1,1,1,1,1
576,0,1,0,1,1
577,0,1,1,0,0
578,0,1,0,1,1
579,0,1,1,1,1
580,0,1,0,1,1
581,0,0,0,0,0
582,1,0,0,1,1
583,1,1,1,1,1
584,0,1,1,0,0
585,1,0,1,1,1
586,0,1,1,1,1
587,0,1,1,1,1
588,1,0,0,0,0
589,1,1,1,1,1
590,0,1,1,1,1
591,0,1,0,0,0
592,0,1,0,1,1
593,1,1,1,1,1
594,0,1,1,1,1
595,1,1,1,1,1
596,1,1,1,1,1
597,0,0,1,1,1
598,1,0,0,0,0
599,1,0,1,1,1
600,1,0,1,1,1
601,0,1,0,1,1
602,1,0,0,0,0
603,0,1,0,1,1
604,0,1,1,1,1
605,0,0,0,0,0
606,0,0,0,1,1
607,0,1,1,1,1
608,1,1,1,0,0
609,0,1,1,1,1
610,0,0,1,1,1
611,0,1,1,1,1
612,0,0,0,0,0
613,0,1,1,1,1
614,0,1,1,1,1
615,0,1,0,1,1
616,1,1,1,1,1
617,0,1,0,1,1
618,0,1,1,1,1
619,1,1,0,1,1
620,0,0,0,1,1
621,1,1,0,1,1
622,0,1,0,1,1
623,1,1,0,0,0
624,0,0,0,0,0
625,0,1,0,1,1
626,0,1,0,1,1
627,0,1,0,1,1
628,0,1,0,0,1
629,0,1,1,1,1
630,1,1,0,1,1
631,0,1,1,1,1
632,0,1,1,1,1
633,0,1,0,1,1
634,0,1,1,1,1
635,0,1,1,1,1
636,0,1,0,1,1
637,0,1,1,1,1
638,0,1,1,1,1
639,1,1,1,1,1
640,1,0,0,1,1
641,0,1,0,1,1
642,0,1,1,1,1
643,0,0,1,1,1
644,0,1,0,0,0
645,1,0,0,0,0
646,1,0,0,0,0
647,0,1,0,1,1
648,0,0,0,0,0
649,1,1,1,1,1
650,1,1,0,1,1
651,0,1,1,1,1
652,1,1,0,1,1
653,0,1,0,1,1
654,0,0,1,1,1
655,0,1,1,0,0
656,1,0,0,0,0
657,0,1,0,1,1
658,0,1,0,1,1
659,0,0,0,0,0
660,0,1,1,1,1
661,0,1,0,1,1
662,0,1,0,1,1
663,1,1,1,1,1
664,0,0,1,0,0
665,0,1,1,1,1
666,0,1,0,1,1
667,0,1,0,1,1
668,1,1,1,1,1
669,1,1,0,1,1
670,1,1,0,1,1
671,1,1,0,1,1
672,0,0,0,0,0
673,0,1,1,1,1
674,0,1,1,1,1
675,0,1,0,1,1
676,1,1,1,1,1
677,1,1,0,1,1
678,0,1,1,1,1
679,0,1,1,1,1
680,0,1,1,1,1
681,0,1,1,1,1
682,0,1,1,1,1
683,0,1,1,0,0
684,0,1,1,1,1
685,0,1,1,1,1
686,0,1,1,0,1
687,0,0,1,1,1
688,0,1,1,1,1
689,0,1,1,1,1
690,0,1,1,1,1
691,0,1,1,1,1
692,1,0,0,0,0
693,1,1,0,1,1
694,0,1,0,1,1
695,1,1,1,1,1
696,1,0,0,0,0
697,0,1,1,1,1
698,1,1,1,1,1
699,1,0,0,1,1
700,0,1,1,1,1
701,1,0,0,0,0
702,1,1,1,1,1
703,0,1,0,1,1
704,0,1,1,1,1
705,0,1,1,0,1
706,1,1,1,1,1
707,0,1,0,1,1
708,0,0,1,1,1
709,0,1,1,1,1
710,0,1,1,1,1
711,0,1,0,1,1
712,1,1,1,1,1
713,0,1,1,1,1
714,1,1,1,1,1
715,0,0,1,1,1
716,0,1,0,1,1
717,0,1,1,1,1
718,1,1,1,1,1
719,1,1,1,1,1
720,1,0,0,0,0
721,1,1,0,1,1
722,0,1,0,1,1
723,0,1,1,1,1
724,0,1,1,1,1
725,0,1,0,1,1
726,0,1,0,1,1
727,0,0,1,1,1
728,0,1,0,0,1
729,1,0,0,0,0
730,0,1,0,1,1
731,0,1,1,1,1
732,0,1,0,1,1
733,0,1,0,1,1
734,0,0,0,0,0
735,0,1,1,1,1
736,0,1,1,1,1
737,0,1,1,1,1
738,0,1,0,1,1
739,1,0,0,0,0
740,1,0,0,0,0
741,0,1,1,1,1
742,0,0,0,0,0
743,1,0,0,0,0
744,0,1,0,1,1
745,0,1,1,1,1
746,0,0,0,0,0
747,1,1,1,1,1
748,1,1,1,1,1
749,1,1,1,1,1
750,0,1,1,1,1
751,0,1,1,1,1
752,0,1,0,1,1
753,0,1,1,1,1
754,0,1,1,0,0
755,0,1,1,1,1
756,0,1,1,1,1
757,0,1,1,1,1
758,1,1,0,1,1
759,1,1,0,1,1
760,0,1,0,1,1
761,1,0,1,1,1
762,0,1,1,1,1
763,0,1,0,1,1
764,0,1,1,1,1
765,1,1,1,1,1
766,0,1,1,1,1
767,0,1,0,1,1
768,1,1,0,1,1
769,1,0,1,0,0
770,1,1,1,1,1
771,0,1,1,1,1
772,0,1,0,1,1
773,0,1,1,1,1
774,0,1,1,1,1
775,1,0,0,0,0
776,0,1,1,1,1
777,0,0,0,0,0
778,1,0,0,0,0
779,0,1,0,1,1
780,0,1,1,1,1
781,0,1,1,1,1
782,0,1,1,1,1
783,0,1,1,1,1
784,1,0,0,1,0
785,1,1,0,1,1
786,1,0,1,1,1
787,0,1,0,1,1
788,1,0,1,1,1
789,0,1,1,1,1
790,1,1,1,1,1
791,0,1,1,1,1
792,0,1,1,1,1
793,0,1,1,1,1
794,0,0,1,1,1
795,0,1,1,1,1
796,0,0,0,0,0
797,0,0,0,0,0
798,0,1,1,1,1
799,0,1,1,1,1
800,0,1,1,1,1
801,0,1,1,1,1
802,0,1,0,1,1
803,1,0,1,1,1
804,0,1,1,1,1
805,0,0,0,0,0
806,1,0,0,0,0
807,0,0,1,1,1
808,0,1,0,1,1
809,0,1,1,0,0
810,0,0,0,0,0
811,0,1,1,0,0
812,0,0,0,0,0
813,0,1,1,1,1
814,0,1,1,1,1
815,0,0,1,1,1
816,0,1,0,1,1
817,0,1,1,1,1
818,0,1,0,1,1
819,0,1,1,1,1
820,0,1,0,0,0
821,0,1,1,1,1
822,0,1,1,1,1
823,1,0,0,1,1
824,1,0,0,0,0
825,0,0,0,0,0
826,1,0,1,0,1
827,1,1,0,1,1
828,0,1,1,1,1
829,0,1,1,1,1
830,0,1,1,1,1
831,0,0,0,0,0
832,1,0,0,0,0
833,1,0,0,0,0
834,0,1,0,1,1
835,0,0,1,1,1
836,0,1,0,1,1
837,0,1,1,1,1
838,0,1,1,1,1
839,0,1,0,1,1
840,1,1,0,1,1
841,1,0,0,0,0
842,0,1,1,1,1
843,0,1,1,1,1
844,0,1,1,1,1
845,0,0,1,0,0
846,0,1,1,1,1
847,0,1,1,1,1
848,0,1,1,1,1
849,1,1,1,1,1
850,0,1,0,1,1
851,1,1,1,1,1
852,0,1,1,1,1
853,0,1,0,1,1
854,0,1,1,1,1
855,1,0,0,1,1
856,0,1,1,1,1
857,0,1,1,1,1
858,0,1,1,1,1
859,0,0,0,0,0
860,0,0,0,0,0
861,0,1,1,1,1
862,0,1,0,1,1
863,0,1,1,1,1
864,0,1,1,1,1
865,1,1,1,1,1
866,0,1,0,1,1
867,0,0,0,0,0
868,1,1,0,1,1
869,0,1,0,1,1
870,0,1,0,1,1
871,1,0,0,0,0
872,0,0,0,0,0
873,0,1,0,1,1
874,1,0,1,1,1
875,1,1,0,0,0
876,1,1,1,0,0
877,0,1,0,1,1
878,0,1,1,1,1
879,1,1,1,1,1
880,1,0,0,0,0
881,0,1,1,0,0
882,1,1,1,1,1
883,1,0,0,0,0
884,1,0,0,0,0
885,1,1,1,1,1
886,0,1,1,1,1
887,0,1,1,1,1
888,0,0,0,0,0
889,0,1,0,1,1
890,1,1,1,0,1
891,0,1,1,1,1
892,1,1,0,1,1
893,0,1,0,1,1
894,1,1,0,1,1
895,0,1,0,1,1
896,0,1,1,1,1
897,0,1,1,1,1
898,1,1,1,1,1
899,1,0,1,1,1
900,0,1,0,1,1
901,0,1,1,0,0
902,0,1,0,1,1
903,0,1,0,1,1
904,0,1,0,1,1
905,1,0,0,1,1
906,0,1,0,1,1
907,0,1,1,0,0
908,0,1,0,1,1
909,1,0,1,1,1
910,1,0,0,0,0
911,1,1,1,0,0
912,0,0,1,1,1
913,0,1,0,1,1
914,0,1,0,1,1
915,0,1,1,1,1
916,1,0,0,0,0
917,0,1,1,1,1
918,0,1,0,1,1
919,0,1,0,1,1
920,1,1,0,1,1
921,0,1,0,1,1
922,1,1,1,0,0
923,0,1,1,1,1
924,0,1,0,1,1
925,0,1,0,1,1
926,0,0,1,0,0
927,1,1,1,1,1
928,0,1,1,0,0
929,1,1,0,0,0
930,0,0,0,0,0
931,0,1,0,1,1
932,0,1,1,1,1
933,0,1,1,1,1
934,0,0,0,0,0
935,0,0,1,1,1
936,0,1,1,1,1
937,1,1,1,1,1
938,0,0,0,0,0
939,0,1,1,1,1
940,0,1,0,1,1
941,0,1,0,1,1
942,0,1,0,1,1
943,0,0,0,0,0
944,0,1,1,1,1
945,0,1,1,0,0
946,0,0,0,0,0
947,1,1,0,1,1
948,1,1,1,0,0
949,0,1,0,1,1
950,0,1,1,1,1
951,1,0,0,1,1
952,0,1,1,0,0
953,1,1,1,1,1
954,0,1,1,1,1
955,0,1,1,1,1
956,0,0,1,1,1
957,1,0,1,1,1
958,0,1,1,1,1
959,0,1,1,1,1
960,0,1,1,1,1
961,0,0,0,0,0
