,6,5,4,3,2,1
0,1,0,0,0,0,1
1,1,0,1,1,1,1
2,0,0,1,0,1,1
3,1,0,1,0,0,1
4,0,1,0,0,1,0
5,1,0,1,1,0,1
6,0,0,1,0,1,1
7,0,0,0,0,0,0
8,0,0,1,0,1,1
9,1,0,0,1,1,1
10,0,0,1,1,1,1
11,1,0,0,1,0,1
12,0,0,1,0,1,1
13,1,0,1,0,1,1
14,0,1,1,1,1,1
15,0,1,1,1,1,1
16,1,0,1,1,1,1
17,0,0,0,1,0,0
18,0,0,1,0,0,1
19,0,0,0,0,1,0
20,0,0,0,0,1,0
21,1,0,1,1,1,1
22,0,1,0,1,1,0
23,1,0,0,1,0,1
24,0,0,1,0,0,0
25,0,1,0,0,1,0
26,0,0,0,0,1,0
27,1,0,0,1,0,1
28,1,0,0,1,0,1
29,1,0,0,1,1,1
30,1,0,1,1,0,1
31,0,0,1,0,0,1
32,0,1,1,0,1,1
33,0,0,1,1,0,1
34,0,0,0,0,1,0
35,0,0,0,0,1,0
36,1,0,1,1,0,1
37,0,1,1,1,0,1
38,0,0,1,0,0,1
39,1,0,1,1,0,1
40,0,1,1,0,1,1
41,0,1,1,0,1,1
42,0,1,0,1,0,0
43,0,1,1,1,1,1
44,1,0,1,1,1,1
45,0,0,1,0,0,1
46,0,0,0,0,1,0
47,0,1,1,0,0,1
48,1,0,0,1,1,1
49,0,1,0,0,1,1
50,0,0,0,0,1,0
51,0,1,0,0,1,0
52,1,0,0,1,0,1
53,1,0,1,1,0,1
54,1,0,0,1,1,1
55,1,0,1,1,0,1
56,1,0,1,1,0,1
57,1,0,0,1,0,1
58,1,0,1,1,0,1
59,0,1,1,1,0,1
60,1,0,0,1,0,1
61,0,0,1,0,0,1
62,0,0,0,0,1,0
63,0,1,1,1,0,1
64,1,0,0,1,0,1
65,0,0,0,0,1,0
66,0,0,1,0,1,1
67,0,0,1,0,0,1
68,0,1,0,1,0,0
69,1,0,0,1,1,1
70,0,0,1,0,0,1
71,0,0,0,0,0,0
72,0,1,0,1,0,1
73,0,1,0,1,1,0
74,0,1,0,1,0,0
75,1,0,1,0,0,1
76,0,1,0,0,1,0
77,0,0,0,0,1,0
78,0,0,1,1,0,1
79,0,0,0,1,0,0
80,0,0,0,0,1,0
81,0,0,0,1,1,0
82,1,0,0,1,0,1
83,0,0,0,0,1,0
84,0,0,1,0,1,1
85,0,0,0,0,0,0
86,0,1,1,1,0,1
87,1,0,0,1,0,1
88,0,1,1,0,1,1
89,0,1,1,1,0,1
90,1,0,1,1,0,1
91,1,0,1,1,0,1
92,0,1,1,1,0,1
93,1,0,0,1,1,1
94,1,0,1,1,1,1
95,1,0,1,1,0,1
96,0,0,1,0,1,1
97,1,0,1,1,0,1
98,1,0,0,1,0,1
99,0,1,1,0,1,1
100,0,1,0,1,0,0
101,0,0,0,0,0,0
102,0,0,1,0,0,1
103,1,0,0,1,0,1
104,1,0,1,1,0,1
105,0,1,1,1,0,1
106,0,0,0,1,0,0
107,0,1,1,1,0,0
108,1,0,0,1,0,0
109,0,1,0,1,1,0
110,1,0,1,1,1,1
111,1,0,0,1,0,1
112,1,0,1,1,0,1
113,0,0,0,0,1,0
114,1,0,0,1,0,1
115,0,1,0,0,1,0
116,0,0,1,1,0,1
117,0,1,1,0,1,1
118,1,0,0,1,1,1
119,0,0,1,1,0,1
120,1,0,1,1,1,1
121,1,0,0,1,1,1
122,1,0,1,1,1,1
123,1,0,0,1,1,1
124,1,0,0,1,0,1
125,1,0,0,1,0,1
126,0,0,1,0,0,1
127,1,0,0,1,0,1
128,1,0,0,1,1,1
129,0,1,1,0,0,1
130,1,0,0,1,0,1
131,0,0,1,0,1,1
132,0,1,0,0,0,0
133,1,0,0,1,0,1
134,1,0,1,1,1,1
135,0,1,0,1,0,0
136,0,1,0,1,0,0
137,1,0,0,1,0,1
138,0,1,1,0,0,1
139,0,1,0,1,1,0
140,1,0,1,0,1,1
141,1,0,0,1,0,1
142,0,0,1,1,1,1
143,0,1,0,0,0,0
144,1,0,1,1,0,1
145,1,0,0,1,1,1
146,0,0,0,0,1,0
147,0,1,0,0,1,0
148,0,0,0,0,0,0
149,1,0,0,1,1,1
150,1,0,0,1,0,1
151,1,0,0,1,0,1
152,1,0,0,1,0,1
153,1,0,0,1,0,1
154,0,0,1,0,1,1
155,0,1,0,1,1,0
156,1,0,1,1,1,1
157,1,0,1,1,1,1
158,0,0,0,0,1,0
159,0,0,1,1,0,1
160,0,0,1,0,1,1
161,0,0,1,0,0,1
162,0,1,0,1,0,0
163,0,1,1,0,0,1
164,0,0,1,0,0,1
165,0,1,1,0,1,1
166,0,1,0,1,1,0
167,1,0,1,1,1,1
168,1,0,1,1,0,1
169,0,0,1,0,1,1
170,1,0,1,1,1,1
171,1,0,0,1,0,1
172,1,0,0,1,0,1
173,0,1,0,1,1,0
174,1,0,0,1,0,1
175,1,0,1,1,0,1
176,1,0,0,1,0,1
177,0,1,0,0,0,0
178,1,0,0,1,0,1
179,0,1,1,1,0,1
180,1,0,1,1,0,1
181,1,0,0,1,0,1
182,1,0,0,0,0,1
183,0,0,0,0,0,0
184,0,0,0,0,0,0
185,0,0,0,0,1,0
186,1,0,0,1,0,1
187,0,1,1,1,1,1
