,avg_exo_card,tw,exo_dag,avg_indegree,dag,num_exo_vars,exo_cc,endo_dag,exo_tw,endo_tw,endo_cc,avg_endo_indegree,datasize_obs,max_exo_card,markovianity,ratio,num_vars,num_endo_vars,max_indegree
0,5.6,3.0,([0  1  2  3  4  5  6  7  8  9  10]  [(4 0)  (7 1)  (4 2)  (8 3)  (9 5)  (10 6)]),1.181818181818182,([0  1  2  3  4  5  6  7  8  9  10]  [(4 0)  (0 1)  (7 1)  (0 2)  (4 2)  (5 2)  (0 3)  (8 3)  (1 5)  (6 5)  (9 5)  (1 6)  (10 6)]),5,[4][7][8][9][10],([0  1  2  3  5  6]  [(0 1)  (0 2)  (5 2)  (0 3)  (1 5)  (6 5)  (1 6)]),1,2.0,[0 2][1][3][5][6],1.1666666666666667,2500,8,1,0.997967005365369,11,6,4
0,4.0,3.0,([0  1  2  3  4]  [(1 0)  (1 3)  (2 4)]),1.0,([0  1  2  3  4]  [(1 0)  (0 3)  (1 3)  (4 3)  (2 4)]),2,[1][2],([0  3  4]  [(0 3)  (4 3)]),1,2.0,[0 3][4],0.6666666666666666,2000,6,1,0.9892137630137195,5,3,3
0,4.8,,([0  1  2  3  4  5  6  7  8  9  10]  [(7 1)  (0 2)  (8 3)  (0 4)  (9 5)  (10 6)]),1.0909090909090908,([0  1  2  3  4  5  6  7  8  9  10]  [(3 1)  (7 1)  (0 2)  (1 2)  (4 3)  (8 3)  (0 4)  (2 5)  (9 5)  (2 6)  (3 6)  (10 6)]),5,[0][7][8][9][10],([1  2  3  4  5  6]  [(3 1)  (1 2)  (4 3)  (2 5)  (2 6)  (3 6)]),1,2.0,[2 4][1][3][5][6],1.0,1000,8,1,0.995337156238618,11,6,4
0,5.333333333333333,3.0,([0  1  2  3  4  5  6]  [(0 1)  (0 2)  (5 3)  (6 4)]),1.0,([0  1  2  3  4  5  6]  [(0 1)  (0 2)  (2 3)  (5 3)  (1 4)  (2 4)  (6 4)]),3,[0][5][6],([1  2  3  4]  [(2 3)  (1 4)  (2 4)]),1,2.0,[1 2][3][4],0.75,1000,8,1,0.9983725373989596,7,4,3
0,14.0,,([0  1  2  3  4  5  6  7  8  9  10  11  12]  [(9 0)  (10 1)  (5 2)  (11 3)  (6 4)  (12 7)  (5 8)]),1.3846153846153846,([0  1  2  3  4  5  6  7  8  9  10  11  12]  [(4 0)  (7 0)  (9 0)  (2 1)  (8 1)  (10 1)  (5 2)  (8 2)  (0 3)  (8 3)  (11 3)  (1 4)  (2 4)  (6 4)  (1 7)  (8 7)  (12 7)  (5 8)]),6,[9][10][5][11][6][12],([0  1  2  3  4  7  8]  [(4 0)  (7 0)  (2 1)  (8 1)  (8 2)  (0 3)  (8 3)  (1 4)  (2 4)  (1 7)  (8 7)]),1,,[0][1][2 8][3][4][7],1.5714285714285714,1000,16,1,0.9934659312483198,13,7,5
0,7.0,3.0,([0  1  2  3  4  5  6  7  8]  [(6 0)  (7 1)  (2 3)  (2 4)  (8 5)]),1.1111111111111112,([0  1  2  3  4  5  6  7  8]  [(1 0)  (6 0)  (3 1)  (5 1)  (7 1)  (2 3)  (2 4)  (3 4)  (3 5)  (8 5)]),4,[6][7][2][8],([0  1  3  4  5]  [(1 0)  (3 1)  (5 1)  (3 4)  (3 5)]),1,2.0,[0][1][3 4][5],1.0,1000,16,1,0.9956140465883738,9,5,4
0,4.666666666666667,2.0,([0  1  2  3  4  5  6]  [(3 0)  (3 1)  (5 2)  (6 4)]),1.0,([0  1  2  3  4  5  6]  [(2 0)  (3 0)  (3 1)  (1 2)  (5 2)  (0 4)  (6 4)]),3,[3][5][6],([0  1  2  4]  [(2 0)  (1 2)  (0 4)]),1,1.0,[0 1][2][4],0.75,1500,8,1,0.982849442027477,7,4,3
0,8.0,3.0,([0  1  2  3  4  5  6]  [(5 0)  (3 1)  (3 2)  (6 4)]),1.0,([0  1  2  3  4  5  6]  [(1 0)  (5 0)  (3 1)  (3 2)  (1 4)  (2 4)  (6 4)]),3,[5][3][6],([0  1  2  4]  [(1 0)  (1 4)  (2 4)]),1,2.0,[0][1 2][4],0.75,1000,16,1,0.9851995280928074,7,4,3
0,10.0,3.0,([0  1  2  3  4  5  6  7  8  9  10  11  12]  [(8 0)  (9 1)  (10 2)  (11 3)  (6 4)  (12 5)  (6 7)]),1.2307692307692308,([0  1  2  3  4  5  6  7  8  9  10  11  12]  [(1 0)  (8 0)  (4 1)  (7 1)  (9 1)  (1 2)  (3 2)  (10 2)  (4 3)  (11 3)  (6 4)  (0 5)  (7 5)  (12 5)  (4 7)  (6 7)]),6,[8][9][10][11][6][12],([0  1  2  3  4  5  7]  [(1 0)  (4 1)  (7 1)  (1 2)  (3 2)  (4 3)  (0 5)  (7 5)  (4 7)]),1,2.0,[0][1][2][3][4 7][5],1.2857142857142858,1500,16,1,0.9897179530858978,13,7,5
0,19.0,3.0,([0  1  2  3  4  5]  [(2 0)  (2 1)  (4 3)  (4 5)]),1.3333333333333333,([0  1  2  3  4  5]  [(2 0)  (2 1)  (3 1)  (0 3)  (4 3)  (0 5)  (1 5)  (4 5)]),2,[2][4],([0  1  3  5]  [(3 1)  (0 3)  (0 5)  (1 5)]),1,2.0,[0 1][3 5],1.0,2000,30,1,0.9977706087807706,6,4,3
0,8.0,,([0  1  2  3  4  5  6  7  8  9  10  11  12]  [(7 0)  (8 1)  (7 2)  (9 3)  (10 4)  (11 5)  (12 6)]),1.0769230769230769,([0  1  2  3  4  5  6  7  8  9  10  11  12]  [(7 0)  (6 1)  (8 1)  (7 2)  (2 3)  (9 3)  (1 4)  (10 4)  (0 5)  (6 5)  (11 5)  (2 6)  (3 6)  (12 6)]),6,[7][8][9][10][11][12],([0  1  2  3  4  5  6]  [(6 1)  (2 3)  (1 4)  (0 5)  (6 5)  (2 6)  (3 6)]),1,2.0,[0 2][1][3][4][5][6],1.0,2000,16,1,0.9919769633335735,13,7,5
0,8.0,3.0,([0  1  2  3  4  5  6  7  8  9  10]  [(7 1)  (0 2)  (8 3)  (9 4)  (10 5)  (0 6)]),1.2727272727272727,([0  1  2  3  4  5  6  7  8  9  10]  [(3 1)  (4 1)  (7 1)  (0 2)  (6 2)  (2 3)  (6 3)  (8 3)  (6 4)  (9 4)  (4 5)  (6 5)  (10 5)  (0 6)]),5,[0][7][8][9][10],([1  2  3  4  5  6]  [(3 1)  (4 1)  (6 2)  (2 3)  (6 3)  (6 4)  (4 5)  (6 5)]),1,2.0,[2 6][1][3][4][5],1.3333333333333333,1000,16,1,0.9950763497815888,11,6,5
0,12.666666666666666,,([0  1  2  3  4  5  6  7]  [(0 2)  (1 3)  (7 4)  (1 5)  (0 6)]),1.25,([0  1  2  3  4  5  6  7]  [(0 2)  (6 2)  (1 3)  (2 4)  (7 4)  (1 5)  (2 5)  (4 5)  (0 6)  (3 6)]),3,[0][1][7],([2  3  4  5  6]  [(6 2)  (2 4)  (2 5)  (4 5)  (3 6)]),1,2.0,[2 6][3 5][4],1.0,3000,24,1,0.995713908844206,8,5,4
0,5.333333333333333,2.0,([0  1  2  3  4  5  6]  [(0 1)  (0 2)  (5 3)  (6 4)]),1.0,([0  1  2  3  4  5  6]  [(0 1)  (0 2)  (4 2)  (4 3)  (5 3)  (1 4)  (6 4)]),3,[0][5][6],([1  2  3  4]  [(4 2)  (4 3)  (1 4)]),1,1.0,[1 2][3][4],0.75,1000,8,1,0.992337916420154,7,4,4
0,7.0,3.0,([0  1  2  3  4  5  6  7  8]  [(3 0)  (6 1)  (7 2)  (8 4)  (3 5)]),1.2222222222222223,([0  1  2  3  4  5  6  7  8]  [(3 0)  (0 1)  (5 1)  (6 1)  (0 2)  (7 2)  (2 4)  (8 4)  (0 5)  (3 5)  (4 5)]),4,[3][6][7][8],([0  1  2  4  5]  [(0 1)  (5 1)  (0 2)  (2 4)  (0 5)  (4 5)]),1,2.0,[0 5][1][2][4],1.2,1000,16,1,0.9945746100511612,9,5,4
0,7.0,3.0,([0  1  2  3  4  5  6  7  8]  [(3 0)  (6 1)  (7 2)  (8 4)  (3 5)]),1.2222222222222223,([0  1  2  3  4  5  6  7  8]  [(3 0)  (0 1)  (5 1)  (6 1)  (0 2)  (7 2)  (2 4)  (8 4)  (0 5)  (3 5)  (4 5)]),4,[3][6][7][8],([0  1  2  4  5]  [(0 1)  (5 1)  (0 2)  (2 4)  (0 5)  (4 5)]),1,2.0,[0 5][1][2][4],1.2,1000,16,1,0.9945746100511612,9,5,4
0,8.0,3.0,([0  1  2  3  4  5  6]  [(1 0)  (5 2)  (6 3)  (1 4)]),1.1428571428571428,([0  1  2  3  4  5  6]  [(1 0)  (2 0)  (4 2)  (5 2)  (2 3)  (4 3)  (6 3)  (1 4)]),3,[1][5][6],([0  2  3  4]  [(2 0)  (4 2)  (2 3)  (4 3)]),1,2.0,[0 4][2][3],1.0,1500,16,1,0.99709020437959,7,4,4
0,4.5,3.0,([0  1  2  3  4  5  6  7  8]  [(6 0)  (7 1)  (8 2)  (5 3)  (5 4)]),1.1111111111111112,([0  1  2  3  4  5  6  7  8]  [(1 0)  (6 0)  (3 1)  (7 1)  (0 2)  (3 2)  (8 2)  (5 3)  (3 4)  (5 4)]),4,[6][7][8][5],([0  1  2  3  4]  [(1 0)  (3 1)  (0 2)  (3 2)  (3 4)]),1,2.0,[0][1][2][3 4],1.0,1000,8,1,0.997920759151904,9,5,4
0,11.0,3.0,([0  1  2  3  4  5  6  7  8]  [(3 0)  (6 1)  (7 2)  (8 4)  (3 5)]),1.2222222222222223,([0  1  2  3  4  5  6  7  8]  [(1 0)  (3 0)  (2 1)  (5 1)  (6 1)  (4 2)  (5 2)  (7 2)  (5 4)  (8 4)  (3 5)]),4,[3][6][7][8],([0  1  2  4  5]  [(1 0)  (2 1)  (5 1)  (4 2)  (5 2)  (5 4)]),1,2.0,[0 5][1][2][4],1.2,1000,16,1,0.98343649193451,9,5,4
0,3.6666666666666665,3.0,([0  1  2  3  4  5  6]  [(4 0)  (4 1)  (5 2)  (6 3)]),1.1428571428571428,([0  1  2  3  4  5  6]  [(1 0)  (2 0)  (4 0)  (4 1)  (1 2)  (5 2)  (0 3)  (6 3)]),3,[4][5][6],([0  1  2  3]  [(1 0)  (2 0)  (1 2)  (0 3)]),1,2.0,[0 1][2][3],1.0,1500,4,1,0.9978124322401096,7,4,4
0,12.0,,([0  1  2  3  4  5  6  7  8  9  10]  [(7 0)  (8 1)  (9 2)  (3 4)  (10 5)  (3 6)]),1.2727272727272727,([0  1  2  3  4  5  6  7  8  9  10]  [(2 0)  (6 0)  (7 0)  (0 1)  (5 1)  (8 1)  (4 2)  (9 2)  (3 4)  (4 5)  (6 5)  (10 5)  (2 6)  (3 6)]),5,[7][8][9][3][10],([0  1  2  4  5  6]  [(2 0)  (6 0)  (0 1)  (5 1)  (4 2)  (4 5)  (6 5)  (2 6)]),1,,[0][1][2][4 6][5],1.3333333333333333,5500,16,1,0.99241217734692,11,6,4
0,6.8,,([0  1  2  3  4  5  6  7  8  9  10]  [(8 2)  (9 3)  (1 4)  (0 5)  (10 6)  (0 7)]),1.0,([0  1  2  3  4  5  6  7  8  9  10]  [(6 2)  (8 2)  (4 3)  (9 3)  (1 4)  (0 5)  (3 6)  (5 6)  (10 6)  (0 7)  (2 7)]),5,[0][1][8][9][10],([2  3  4  5  6  7]  [(6 2)  (4 3)  (3 6)  (5 6)  (2 7)]),1,2.0,[5 7][4][2][3][6],0.8333333333333334,1000,16,1,0.995605432759534,11,6,4
0,7.0,3.0,([0  1  2  3  4  5  6  7  8]  [(6 0)  (2 1)  (7 3)  (8 4)  (2 5)]),1.1111111111111112,([0  1  2  3  4  5  6  7  8]  [(1 0)  (5 0)  (6 0)  (2 1)  (5 1)  (5 3)  (7 3)  (3 4)  (8 4)  (2 5)]),4,[6][2][7][8],([0  1  3  4  5]  [(1 0)  (5 0)  (5 1)  (5 3)  (3 4)]),1,2.0,[0][1 5][3][4],1.0,2000,16,1,0.99019964262497,9,5,4
0,7.2,,([0  1  2  3  4  5  6  7  8  9  10]  [(5 0)  (5 1)  (7 2)  (8 3)  (9 4)  (10 6)]),1.0909090909090908,([0  1  2  3  4  5  6  7  8  9  10]  [(5 0)  (4 1)  (5 1)  (0 2)  (7 2)  (0 3)  (8 3)  (3 4)  (9 4)  (0 6)  (1 6)  (10 6)]),5,[5][7][8][9][10],([0  1  2  3  4  6]  [(4 1)  (0 2)  (0 3)  (3 4)  (0 6)  (1 6)]),1,,[0 1][2][3][4][6],1.0,1000,16,1,0.9967484990933384,11,6,4
