,3,2,1,0
0,0,1,0,0
1,0,0,1,1
2,0,0,1,1
3,0,1,0,0
4,0,0,1,1
5,0,1,0,0
6,1,0,0,0
7,0,1,0,0
8,0,0,1,1
9,0,0,1,1
10,0,1,0,0
11,0,0,1,1
12,0,1,0,0
13,0,0,1,1
14,0,0,1,1
15,0,0,1,1
16,0,0,1,1
17,0,0,1,1
18,0,0,1,1
19,0,0,1,1
20,0,0,1,1
21,1,1,1,1
22,0,1,0,0
23,0,0,1,1
24,0,0,1,1
25,1,1,1,1
26,0,0,1,1
27,0,0,1,1
28,0,0,1,1
29,0,0,1,1
30,0,1,0,0
31,0,0,1,1
32,0,1,0,0
33,0,0,1,1
34,0,0,1,1
35,0,0,1,1
36,0,0,1,1
37,0,0,1,1
38,0,1,0,0
39,0,0,1,1
40,0,0,1,1
41,0,0,1,1
42,0,1,0,0
43,0,0,1,1
44,0,0,1,1
45,0,0,1,1
46,1,1,1,1
47,0,1,0,0
48,0,1,0,0
49,0,1,0,0
50,1,1,1,1
51,1,0,0,1
52,0,1,0,0
53,0,1,0,0
54,0,0,1,1
55,0,1,0,0
56,0,1,0,0
57,0,0,1,1
58,0,1,0,0
59,0,1,0,0
60,0,0,1,1
61,0,0,1,1
62,0,1,0,0
63,1,1,1,1
64,0,0,1,1
65,0,0,1,1
66,0,1,0,0
67,0,0,1,1
68,0,0,1,1
69,0,0,1,1
70,0,0,1,1
71,0,0,1,1
72,1,1,1,1
73,0,0,1,1
74,0,0,1,1
75,0,0,1,1
76,0,1,0,0
77,0,1,0,0
78,0,0,1,1
79,0,0,1,1
80,0,0,1,1
81,0,0,1,1
82,0,1,0,0
83,1,0,0,1
84,0,0,1,1
85,0,0,1,1
86,0,1,0,0
87,0,0,1,1
88,0,0,1,1
89,0,0,1,1
90,0,1,0,0
91,0,1,0,0
92,0,0,1,1
93,0,1,0,0
94,0,0,1,1
95,0,1,0,0
96,0,1,0,0
97,0,0,1,1
98,1,1,1,1
99,0,0,1,1
