,4,3,2,1,0
0,0,1,1,1,1
1,1,0,0,0,0
2,0,0,0,0,0
3,0,1,0,0,1
4,0,1,0,0,0
5,1,0,0,0,0
6,0,1,1,1,1
7,1,0,0,0,1
8,0,0,0,0,0
9,0,1,1,1,0
10,1,0,0,0,1
11,0,0,0,0,0
12,1,1,1,1,1
13,0,0,0,0,0
14,1,0,0,0,0
15,1,1,0,0,1
16,0,0,0,1,1
17,0,1,1,1,1
18,1,1,1,0,0
19,1,0,0,0,1
20,1,0,1,1,1
21,1,0,0,0,0
22,1,0,0,0,0
23,1,1,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,1,0,0,0,0
27,0,1,1,1,1
28,0,0,0,0,0
29,1,1,0,0,0
30,1,0,0,0,0
31,0,1,1,1,1
32,0,1,1,1,1
33,1,1,1,1,0
34,0,0,0,0,1
35,0,0,1,1,1
36,0,0,0,0,1
37,0,1,0,0,0
38,1,1,1,1,1
39,0,1,1,1,1
40,0,0,0,1,1
41,0,1,1,1,1
42,0,1,1,1,1
43,0,0,0,0,1
44,1,0,0,0,1
45,1,1,0,0,0
46,0,1,0,0,0
47,1,0,0,0,1
48,0,0,0,0,0
49,0,0,0,0,0
50,0,1,1,1,1
51,0,1,1,1,1
52,0,1,0,0,1
53,1,0,0,0,0
54,0,0,0,0,0
55,0,0,0,0,0
56,1,1,1,0,1
57,0,0,0,0,0
58,1,1,1,1,0
59,1,1,0,0,0
60,0,0,0,0,0
61,1,1,1,1,1
62,1,1,1,1,1
63,0,0,0,0,0
64,0,0,0,0,0
65,1,0,0,0,0
66,0,1,1,1,1
67,1,0,0,1,1
68,1,1,0,0,0
69,0,1,1,0,0
70,0,0,0,0,0
71,1,0,0,0,0
72,0,0,0,0,0
73,1,0,0,0,1
74,0,1,1,1,1
75,0,1,0,0,0
76,1,0,1,1,1
77,1,1,1,1,1
78,0,0,1,1,1
79,1,1,1,1,1
80,1,1,1,1,1
81,1,1,0,1,1
82,0,0,1,1,1
83,1,1,1,0,0
84,0,0,0,0,0
85,1,1,1,1,0
86,0,0,0,0,1
87,1,0,0,0,0
88,0,0,0,0,0
89,1,1,0,0,0
90,1,1,1,1,1
91,0,0,0,0,1
92,1,0,0,0,0
93,0,1,1,1,1
94,0,1,1,1,1
95,0,0,0,0,0
96,0,1,1,1,1
97,0,1,1,1,1
98,0,0,0,0,0
99,1,0,1,1,1
100,0,0,0,0,0
101,1,1,0,1,1
102,0,0,0,0,0
103,1,1,1,0,1
104,0,0,0,0,1
105,0,1,1,1,1
106,0,1,0,0,1
107,1,0,0,0,0
108,0,1,1,1,1
109,0,1,0,0,0
110,0,0,0,0,0
111,0,1,1,1,1
112,1,0,0,0,0
113,0,1,1,1,1
114,0,0,1,1,1
115,1,0,0,0,0
116,0,1,1,1,1
117,1,1,1,0,0
118,0,1,1,1,1
119,1,1,1,1,0
120,0,1,0,0,0
121,1,0,0,0,0
122,0,1,1,1,0
123,1,0,0,0,1
124,0,0,0,0,0
125,0,1,1,1,1
126,0,0,0,1,0
127,0,0,0,0,0
128,0,1,1,1,0
129,1,1,1,1,1
130,0,0,0,1,1
131,0,0,0,0,0
132,0,0,0,0,0
133,1,0,0,0,0
134,0,0,0,1,1
135,1,1,1,0,0
136,0,0,0,1,1
137,0,1,1,1,1
138,1,1,1,1,1
139,0,0,0,0,1
140,1,1,1,0,0
141,0,0,0,0,1
142,1,1,1,1,1
143,0,0,0,0,0
144,0,1,1,1,1
145,0,1,1,1,1
146,1,0,0,0,0
147,1,1,0,0,0
148,1,0,0,0,0
149,0,0,0,0,1
150,0,0,0,0,0
151,1,0,0,1,1
152,0,0,1,1,1
153,0,0,0,0,0
154,1,0,0,0,0
155,1,1,0,0,0
156,0,1,1,1,1
157,0,0,0,0,0
158,1,1,1,1,0
159,0,0,0,0,0
160,0,0,0,0,0
161,0,0,0,0,0
162,1,0,0,0,1
163,0,0,0,0,0
164,1,0,0,0,1
165,0,1,1,1,1
166,0,0,0,0,1
167,0,0,1,1,1
168,1,0,0,0,0
169,0,1,1,1,1
170,1,1,1,1,1
171,1,0,0,0,0
172,0,0,0,0,0
173,1,1,0,0,0
174,1,1,1,1,1
175,1,1,1,1,1
176,0,0,0,0,1
177,1,0,0,0,0
178,0,0,0,0,0
179,1,0,0,0,0
180,0,0,0,0,1
181,1,0,0,0,0
182,0,1,1,1,1
183,0,1,1,1,1
184,1,0,0,0,0
185,0,0,0,1,1
186,0,0,0,1,1
187,1,0,0,1,1
188,0,0,0,0,1
189,1,1,1,1,1
190,0,0,0,0,1
191,0,1,1,0,0
192,1,1,1,1,1
193,1,0,0,0,0
194,0,0,0,0,0
195,0,1,0,0,0
196,0,0,0,0,0
197,0,1,1,1,0
198,0,1,1,1,1
199,0,0,0,0,0
200,0,1,0,0,0
201,1,0,0,0,0
202,0,1,1,1,1
203,1,0,0,0,0
204,0,1,0,0,0
