,4,3,2,1,0
0,0,1,0,1,1
1,1,1,1,1,1
2,0,1,1,1,0
3,1,1,1,1,1
4,0,1,1,1,1
5,0,1,1,1,1
6,1,1,1,1,1
7,1,1,1,1,1
8,1,1,1,1,1
9,1,1,1,1,1
10,1,1,1,1,0
11,1,1,1,1,1
12,1,1,1,1,1
13,0,1,1,1,1
14,1,1,1,1,1
15,1,1,1,1,1
16,1,1,1,1,1
17,0,1,1,1,1
18,1,1,1,0,0
19,0,1,1,1,1
20,0,1,1,1,1
21,1,1,1,1,1
22,1,1,0,1,1
23,0,1,1,1,1
24,1,1,1,1,1
25,1,1,1,1,1
26,1,1,1,1,1
27,1,1,1,1,1
28,1,1,1,1,1
29,1,1,1,1,1
30,0,1,1,1,1
31,1,1,1,1,1
32,1,1,1,1,1
33,1,1,1,1,1
34,0,1,1,1,1
35,1,1,1,1,1
36,1,1,1,1,1
37,1,1,1,1,1
38,1,1,1,1,1
39,1,1,1,1,1
40,0,1,1,1,0
41,1,0,1,1,1
42,0,1,1,1,0
43,1,1,1,1,1
44,0,0,1,1,0
45,0,1,1,1,1
46,1,1,0,0,1
47,1,1,1,1,1
48,0,1,1,1,1
49,0,0,1,1,1
50,1,1,1,1,1
51,1,1,1,1,0
52,0,1,1,1,1
53,1,0,0,1,0
54,1,1,1,1,1
55,1,1,1,1,1
56,1,1,1,1,1
57,1,1,1,1,1
58,0,0,1,1,1
59,0,1,0,1,1
60,0,0,1,0,1
61,1,1,1,1,0
62,0,1,1,1,1
63,1,1,1,1,1
64,1,1,1,1,1
65,0,1,1,1,1
66,1,1,1,1,1
67,0,1,1,1,1
68,0,0,0,0,1
69,1,1,1,1,1
70,1,1,1,1,1
71,0,1,1,1,1
72,0,1,1,1,1
73,1,1,1,1,1
74,1,1,1,1,1
75,1,1,1,1,1
76,1,1,1,1,1
77,1,1,1,1,1
78,0,1,1,1,1
79,1,1,0,0,1
80,1,1,0,0,1
81,1,1,1,1,1
82,0,0,1,1,1
83,0,1,0,0,1
84,1,1,1,1,1
85,1,1,1,1,0
86,0,0,0,0,1
87,1,1,1,1,1
88,0,1,1,1,1
89,1,1,0,0,1
90,1,1,1,0,1
91,1,1,1,1,1
92,1,1,1,1,1
93,1,1,1,1,1
94,1,1,1,1,1
95,1,1,1,1,1
