,4,3,2,1,0
0,1,0,1,1,0
1,0,0,0,1,0
2,1,0,0,1,0
3,0,1,0,1,1
4,0,1,0,1,0
5,1,1,0,1,0
6,0,0,1,0,1
7,0,0,0,1,1
8,0,0,1,0,0
9,1,0,1,0,1
10,0,1,0,1,0
11,1,0,1,0,1
12,0,0,0,1,0
13,1,1,0,1,0
14,0,1,0,1,0
15,0,0,1,0,1
16,1,1,0,1,0
17,0,0,1,0,1
18,0,1,1,1,0
19,1,0,0,1,0
20,1,0,1,0,0
21,0,0,1,0,0
22,1,1,0,1,0
23,1,1,0,1,0
24,0,0,0,1,1
25,0,0,0,1,0
26,0,1,1,0,1
27,0,1,1,1,0
28,0,0,0,1,0
29,1,1,0,1,0
30,0,0,0,1,0
31,1,1,0,1,0
32,1,1,0,1,0
33,1,0,1,0,1
34,0,0,1,0,0
35,0,1,0,1,0
36,0,0,1,1,0
37,0,0,0,1,0
38,1,0,1,0,0
39,1,0,1,0,1
40,1,1,0,1,0
41,0,1,1,1,0
42,0,0,0,1,0
43,0,0,0,1,0
44,0,1,1,1,1
45,0,0,0,1,0
46,0,0,1,0,0
47,0,0,0,1,0
48,0,1,1,0,0
49,0,0,0,0,1
50,1,0,1,0,0
51,0,0,0,1,0
52,0,0,1,1,0
53,0,0,0,1,0
54,1,0,1,0,1
55,1,0,1,0,0
56,0,0,0,1,0
57,1,1,0,1,1
58,0,1,0,0,0
59,0,0,0,1,1
60,1,1,0,1,0
61,1,0,0,1,0
62,0,0,0,1,1
63,0,0,0,1,1
64,1,1,0,1,0
65,1,1,0,1,0
66,0,0,1,0,1
67,1,0,1,0,1
68,0,0,0,1,0
69,1,0,1,0,1
70,1,0,1,1,1
71,0,0,0,1,0
72,0,1,1,0,0
73,0,1,1,0,0
74,0,1,1,0,1
75,0,0,1,0,0
76,0,0,0,1,0
77,0,0,1,0,1
78,0,0,0,1,0
79,1,1,0,1,0
80,0,0,0,1,1
81,1,1,1,0,0
82,0,0,0,1,0
83,0,1,0,1,0
84,0,0,0,1,0
85,0,1,1,0,1
86,0,0,0,1,0
87,0,1,0,1,0
88,1,1,0,1,0
89,1,0,0,1,0
90,0,1,1,0,1
91,0,1,1,1,0
92,0,1,1,0,0
93,0,0,0,1,0
94,0,1,1,0,0
95,0,0,1,0,0
96,0,1,1,0,0
97,0,0,0,1,0
98,0,1,0,1,1
99,0,1,0,1,0
100,0,1,1,0,0
101,0,0,1,0,0
102,0,0,0,1,0
103,1,1,0,1,0
104,0,1,0,1,0
105,0,1,1,0,1
106,1,1,0,1,0
107,0,0,0,1,1
108,0,0,0,1,0
109,0,1,0,1,0
110,1,1,0,1,0
111,0,1,0,1,0
112,1,0,1,0,1
113,0,0,1,1,0
114,1,1,0,1,1
115,0,1,1,0,1
116,0,0,0,1,1
117,1,0,1,0,1
118,0,1,1,0,0
119,0,1,1,0,1
120,0,0,1,0,1
121,0,0,0,1,0
122,1,0,1,0,1
123,1,1,1,0,0
124,0,1,1,0,0
125,1,1,1,0,0
126,0,0,0,1,1
127,0,1,1,0,1
128,1,1,0,1,0
129,0,1,1,0,1
130,1,0,0,1,0
131,0,1,0,1,0
132,0,1,0,1,1
133,0,0,0,1,0
134,1,1,0,1,0
135,1,0,0,1,0
136,0,0,1,0,0
137,0,1,1,0,0
138,0,1,1,0,1
139,0,0,1,0,0
140,0,1,0,1,0
141,0,1,1,0,1
142,0,1,1,0,1
143,0,0,1,0,1
144,0,1,1,0,1
145,0,1,1,0,1
146,0,1,1,0,1
147,0,0,0,1,0
148,0,0,1,0,1
149,1,0,1,0,1
150,0,0,1,0,0
151,0,0,0,1,0
152,1,1,0,1,0
153,0,1,1,0,1
154,1,1,0,1,0
155,0,1,1,0,1
156,0,0,0,1,0
157,0,1,0,0,0
158,0,0,0,1,0
159,1,1,0,1,1
160,1,1,0,1,0
161,0,0,0,1,0
162,1,0,1,0,0
163,1,1,0,1,0
164,0,1,1,1,0
165,0,0,0,1,0
166,1,1,0,1,0
167,0,0,0,0,1
168,0,1,0,1,0
169,0,0,1,0,0
170,0,0,0,1,1
171,0,0,0,1,1
172,0,1,1,0,1
173,0,1,1,0,1
174,0,1,1,0,1
175,0,0,1,0,1
176,1,1,0,1,0
177,1,0,1,0,1
178,0,0,0,1,0
179,0,1,0,1,0
180,0,0,0,1,0
181,0,1,1,0,0
182,0,0,0,0,0
183,0,0,0,1,0
184,1,1,0,1,0
185,0,1,0,1,0
186,1,0,1,0,1
187,0,0,1,1,0
188,1,0,1,0,1
189,1,1,0,1,0
190,0,0,1,0,1
191,1,1,0,1,0
192,0,1,1,0,1
193,0,0,0,1,0
194,0,0,1,0,1
195,0,0,0,1,0
196,0,1,1,1,1
197,0,0,0,1,0
198,0,0,1,0,1
199,0,1,1,0,0
200,1,1,0,1,0
201,1,0,0,1,1
202,0,0,0,1,0
203,0,0,0,1,0
204,0,0,0,1,0
205,0,0,0,1,0
206,0,1,1,0,0
207,0,1,1,1,0
208,1,0,0,1,0
209,0,1,1,0,1
210,0,1,1,0,1
211,0,1,1,1,1
212,0,0,0,1,1
213,0,1,1,0,1
214,0,1,0,1,0
215,0,0,1,0,1
216,0,0,0,1,0
217,0,1,0,1,0
218,0,1,1,0,1
219,0,1,1,0,1
220,0,0,0,0,0
221,0,0,0,1,0
222,1,0,0,1,0
223,0,0,0,1,0
224,0,0,0,1,0
225,0,0,1,1,0
226,0,0,0,1,0
227,0,0,1,0,1
228,1,1,0,0,1
229,1,0,1,0,1
230,0,1,1,0,1
231,0,1,1,0,1
232,0,0,0,1,0
233,0,0,0,1,0
234,0,0,0,1,0
235,0,0,0,1,0
236,0,1,1,1,1
237,0,1,1,0,1
238,0,0,0,1,0
239,0,0,0,1,1
240,0,0,1,0,1
241,0,0,1,0,0
242,1,1,0,1,0
243,0,1,1,0,0
244,1,0,1,1,0
245,0,0,0,1,0
246,0,1,0,1,0
247,1,0,0,1,0
248,0,0,0,1,0
249,1,0,1,0,1
250,0,1,1,0,1
251,1,1,0,1,0
252,0,0,0,1,0
253,1,1,0,1,0
254,0,0,1,0,1
255,0,0,0,1,0
256,0,1,1,0,0
257,0,0,0,1,0
258,1,0,0,1,0
259,1,0,0,1,0
260,1,0,1,0,1
261,0,1,1,0,1
262,1,0,0,1,0
263,1,1,0,1,0
264,0,0,0,1,0
265,0,1,0,1,0
266,0,0,1,1,0
267,1,1,0,1,1
268,0,0,0,1,0
269,1,1,0,1,0
270,0,0,0,1,0
271,1,1,1,0,0
272,0,0,0,1,0
273,0,0,1,0,1
274,1,1,0,1,1
275,0,1,0,1,0
276,0,1,1,0,0
277,0,0,0,1,0
278,1,1,0,1,0
279,0,0,0,1,0
280,0,0,0,1,0
281,0,1,1,0,1
282,1,0,1,1,1
283,0,0,0,0,0
284,0,1,0,1,0
285,0,0,0,1,0
286,1,0,1,0,1
287,0,0,0,1,0
288,0,0,1,0,1
289,0,0,1,0,0
290,0,1,1,1,0
291,0,1,1,0,1
292,1,0,1,0,1
293,1,1,0,1,0
294,1,1,0,1,0
295,1,1,0,1,0
296,0,0,0,1,0
297,0,0,0,1,0
298,0,1,1,0,1
299,0,0,0,1,0
300,0,0,0,1,0
301,0,0,0,1,0
302,0,0,0,1,1
303,0,1,1,0,0
304,0,0,1,1,0
305,0,1,1,0,0
306,1,1,1,0,1
307,0,1,0,1,0
308,0,1,0,1,0
309,1,0,0,1,0
310,0,1,0,1,0
311,0,0,1,0,1
312,0,0,1,0,0
313,0,0,0,1,1
314,0,0,1,0,1
315,0,1,1,0,1
316,0,1,1,0,0
317,0,0,0,1,0
318,0,1,0,1,0
319,0,0,0,1,0
320,0,1,1,0,1
321,1,1,0,1,1
322,0,1,1,0,1
323,0,0,1,0,0
324,0,1,0,1,0
325,1,1,1,0,1
326,1,1,0,1,0
327,1,1,1,0,1
328,0,0,0,1,0
329,1,1,0,0,0
330,0,1,1,0,0
331,0,0,1,1,1
332,0,1,0,1,0
333,0,1,1,0,0
334,0,0,0,1,0
335,0,0,0,1,1
336,0,1,1,0,0
337,0,1,1,0,1
338,0,0,0,1,0
339,0,1,1,0,1
340,0,1,0,1,1
341,1,0,1,0,0
342,0,0,0,1,0
343,0,0,1,0,0
344,0,1,1,0,0
345,0,0,0,1,0
346,0,1,1,0,1
347,0,0,0,1,0
348,0,1,1,0,1
349,0,1,1,0,1
350,1,0,1,0,0
351,1,1,0,1,0
352,0,1,1,0,0
353,0,1,0,1,0
354,1,0,0,1,0
355,1,0,1,1,1
356,1,0,1,0,1
357,0,0,0,1,1
358,0,1,1,0,1
359,1,1,0,1,0
360,0,1,0,1,0
361,0,1,1,0,0
362,0,0,0,1,0
363,0,1,1,1,1
364,0,0,0,1,0
365,0,0,0,1,0
366,0,1,1,0,0
367,1,0,0,1,0
368,0,0,1,0,1
369,0,1,0,1,0
370,0,0,0,1,1
371,0,0,0,1,0
372,1,1,1,0,0
373,0,1,1,1,0
374,0,0,0,1,0
375,0,0,0,1,0
376,0,0,0,1,1
377,1,0,1,0,1
378,1,1,1,0,0
379,0,1,1,1,0
380,0,0,0,1,1
381,0,0,0,1,0
382,1,0,1,0,0
383,0,1,0,1,0
384,0,0,0,1,0
385,1,0,1,0,1
386,0,1,0,1,0
387,1,1,1,0,1
388,0,0,0,1,0
389,0,0,0,1,0
390,0,1,0,1,1
391,0,1,0,1,0
392,1,1,1,0,1
393,0,0,0,1,0
394,0,0,0,1,0
395,1,1,0,1,1
396,0,0,0,1,0
397,1,0,1,0,0
398,1,1,0,1,1
399,0,0,1,0,1
400,0,1,1,0,1
401,0,1,0,1,0
402,0,0,0,1,0
403,1,0,1,0,1
404,1,0,0,1,1
405,0,1,1,1,0
406,0,0,0,1,0
407,0,0,0,1,0
408,1,1,0,1,0
409,0,1,1,0,1
410,0,0,0,1,0
411,0,0,0,1,1
412,1,1,0,1,0
413,0,0,0,1,0
414,0,1,1,0,0
415,0,1,1,0,1
416,0,1,1,0,1
417,0,0,0,1,0
418,0,1,1,0,0
419,0,0,0,1,0
420,1,0,0,1,0
421,0,1,0,1,1
422,1,1,1,0,0
423,0,1,1,0,0
424,0,0,0,1,0
