,4,3,2,1,0
0,1,1,1,1,0
1,1,1,0,1,0
2,0,0,0,0,0
3,0,0,0,0,0
4,1,1,1,1,0
5,0,0,0,1,0
6,0,0,0,1,0
7,1,1,1,1,0
8,0,0,1,1,0
9,0,0,0,1,0
10,1,1,0,1,0
11,0,0,1,1,0
12,1,1,0,0,0
13,1,1,0,1,0
14,0,0,0,1,1
15,0,0,1,1,0
16,1,1,1,1,0
17,0,0,0,1,0
18,1,1,0,1,0
19,1,1,1,1,0
20,1,1,1,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,1,0
24,1,1,1,1,0
25,1,1,1,1,0
26,0,0,0,0,0
27,1,1,1,1,0
28,0,0,0,1,0
29,1,1,1,1,1
30,1,1,0,1,0
31,0,0,0,1,0
32,1,1,1,1,0
33,1,1,1,1,0
34,0,0,1,1,1
35,0,0,1,1,0
36,0,0,0,1,1
37,0,0,0,1,0
38,0,0,1,1,0
39,0,0,0,1,1
40,0,0,0,1,0
41,1,1,0,1,0
42,0,0,0,1,1
43,0,0,0,0,0
44,1,1,0,1,0
45,0,0,0,0,0
46,1,1,1,1,0
47,0,0,0,1,0
48,0,0,0,0,0
49,0,0,0,1,0
50,0,0,1,1,0
51,0,0,1,1,0
52,0,0,1,1,0
53,0,0,0,1,0
54,1,1,0,1,0
55,0,0,0,1,0
56,1,1,1,0,0
57,0,0,0,1,0
58,0,0,1,1,0
59,1,1,1,1,0
60,1,1,1,1,0
61,0,0,0,0,0
62,1,1,1,1,0
63,0,0,0,1,0
64,1,1,1,1,0
65,1,1,0,1,0
66,1,1,1,1,0
67,0,0,0,1,1
68,1,1,0,0,0
69,0,0,1,1,0
70,1,1,0,1,0
71,1,1,1,0,0
72,0,0,0,1,0
73,0,0,0,1,0
74,0,0,1,1,0
75,0,0,1,1,0
76,1,1,0,1,0
77,1,1,1,1,0
78,0,0,0,1,1
79,1,1,0,1,0
80,0,0,0,1,0
81,1,1,1,1,1
82,1,1,1,0,0
83,0,0,1,1,0
84,0,0,0,0,0
85,0,0,1,1,0
86,0,0,0,1,0
87,0,0,0,1,0
88,0,0,0,1,0
89,0,0,1,1,0
90,0,0,1,1,0
91,0,0,1,0,0
92,0,0,0,1,0
93,1,1,1,1,0
94,1,1,0,1,0
95,0,0,0,1,0
96,1,1,0,1,0
97,0,0,0,1,0
98,0,0,0,1,0
99,0,0,0,1,0
100,0,0,0,1,0
101,1,0,0,1,0
102,0,0,1,1,0
103,0,0,0,0,0
104,0,0,0,1,0
105,0,0,1,1,0
106,0,0,1,0,0
107,0,0,0,1,0
108,0,0,0,1,0
109,0,0,1,1,0
110,0,0,1,1,0
111,1,1,0,1,0
112,0,0,0,1,1
113,1,1,1,1,0
114,1,1,1,1,0
115,1,1,0,1,0
116,0,0,0,0,0
117,0,0,0,1,0
118,1,1,0,1,0
119,1,1,1,1,0
120,0,0,1,1,0
121,0,0,0,1,0
122,0,0,0,1,1
123,0,0,0,1,1
124,0,0,1,1,0
125,0,0,1,1,0
126,0,0,0,1,0
127,1,1,1,1,0
128,1,1,1,1,0
129,0,0,0,1,0
130,0,0,0,1,0
131,1,1,1,0,0
132,1,1,1,1,0
133,0,0,1,1,0
134,0,0,1,1,0
135,1,1,1,1,0
136,0,0,1,0,0
137,1,1,1,1,0
138,0,0,1,1,0
139,0,0,0,1,1
140,1,1,0,1,0
141,0,0,0,1,0
142,0,0,0,1,1
143,1,1,0,1,1
144,0,0,1,1,1
145,0,0,0,1,0
146,0,0,1,1,0
147,0,0,0,0,0
148,1,1,1,1,0
149,1,1,1,0,0
150,0,0,1,1,0
151,0,0,1,1,0
152,0,0,0,0,0
153,0,0,1,1,1
154,1,1,1,1,0
155,1,1,1,1,0
156,0,0,0,1,0
157,0,0,0,1,0
158,1,1,1,1,0
159,1,1,1,0,0
160,0,0,1,1,0
161,0,0,0,1,0
162,0,0,0,0,0
163,0,0,0,1,0
164,0,1,0,1,0
165,0,0,0,1,0
166,0,1,1,1,0
167,1,1,1,1,0
168,1,1,0,1,0
169,0,0,0,1,0
170,0,0,0,1,0
171,1,1,0,1,0
172,1,1,0,0,0
173,0,0,1,0,0
174,1,1,1,1,0
175,0,0,1,1,0
176,0,0,0,1,0
177,1,1,0,0,0
178,1,1,0,1,0
179,0,0,0,1,0
180,0,0,0,1,0
181,1,1,0,0,0
182,1,1,0,1,0
183,1,1,1,1,1
184,1,1,0,0,0
185,0,0,0,1,0
186,0,0,0,1,1
187,0,0,1,1,0
188,0,0,1,0,0
189,0,0,1,1,0
190,0,0,0,1,0
191,0,0,1,1,0
192,1,1,1,0,0
193,0,0,0,1,0
194,0,0,0,1,0
195,1,1,1,0,0
196,0,0,1,0,0
197,1,1,0,1,0
198,0,0,0,1,0
199,1,1,1,1,0
200,1,1,1,1,0
201,1,1,1,0,0
202,0,0,0,0,0
203,1,1,1,1,0
204,1,1,1,0,0
205,1,1,1,1,0
206,0,1,1,1,0
207,0,0,0,0,0
208,1,1,1,1,0
209,0,1,1,1,0
210,0,0,1,1,0
211,1,1,1,1,0
212,0,0,0,1,0
213,0,0,0,1,0
214,1,1,1,1,0
215,1,1,0,1,1
216,1,1,1,1,0
217,1,1,1,1,0
218,1,1,0,1,0
219,1,1,1,1,0
220,1,1,0,0,0
221,0,0,0,1,0
222,1,1,1,1,0
223,0,0,0,1,0
224,1,1,0,0,0
225,1,1,1,1,0
226,0,0,0,0,1
227,1,1,1,1,0
228,0,0,0,1,0
229,0,0,0,1,0
230,1,1,1,0,1
231,0,0,1,1,1
232,0,0,0,1,0
233,0,0,1,1,0
234,0,0,1,1,0
235,1,1,0,1,0
236,1,1,1,1,0
237,0,0,0,1,1
238,0,0,0,1,1
239,0,0,0,1,0
240,0,0,0,1,1
241,0,0,0,0,0
242,1,1,1,0,0
243,1,1,1,0,1
244,0,0,0,1,1
245,1,1,1,1,0
246,0,0,1,0,0
247,1,1,0,1,0
248,1,1,0,1,0
249,1,1,1,1,0
250,0,0,1,0,0
251,1,1,1,1,0
252,0,0,0,1,0
253,0,0,1,1,0
254,0,0,0,1,1
255,0,0,0,1,0
256,1,1,1,1,0
257,0,0,1,1,0
258,0,0,1,1,0
259,0,0,0,0,0
260,0,0,0,1,1
261,1,1,1,0,0
262,1,1,1,0,0
263,1,1,0,0,0
264,1,1,1,1,0
265,1,1,0,1,0
266,0,0,0,1,0
267,0,0,1,0,0
268,0,0,0,1,0
269,1,1,1,0,0
270,0,0,1,1,1
271,0,0,0,1,0
272,1,1,0,0,0
