,4,3,2,1,0
0,0,0,0,0,1
1,0,0,1,1,1
2,0,0,0,0,1
3,0,0,1,1,1
4,1,0,1,1,1
5,0,0,1,1,0
6,0,0,0,0,0
7,0,0,1,1,1
8,1,0,1,1,1
9,0,0,1,1,1
10,0,0,1,1,0
11,1,0,1,1,1
12,1,0,1,1,0
13,1,0,1,1,1
14,0,0,1,1,0
15,0,0,1,1,0
16,0,0,1,0,0
17,0,0,1,1,1
18,1,0,1,1,0
19,0,0,1,1,0
20,0,0,1,1,1
21,0,0,1,1,1
22,0,0,1,1,1
23,0,0,1,0,0
24,0,0,1,1,1
25,0,0,1,1,1
26,1,0,1,1,0
27,0,1,0,1,1
28,1,0,1,1,0
29,0,0,1,1,0
30,0,0,0,1,1
31,0,0,1,1,0
32,0,0,1,1,1
33,0,1,0,0,1
34,1,0,1,1,1
35,0,0,1,1,0
36,0,0,1,1,1
37,0,0,1,1,0
38,1,0,1,1,1
39,0,0,1,1,1
40,0,0,1,1,0
41,0,0,1,1,1
42,0,0,1,1,0
43,1,1,0,0,1
44,1,0,1,1,1
45,0,0,1,1,1
46,1,1,1,1,1
47,0,0,1,1,1
48,0,0,1,1,1
49,0,0,1,1,1
50,0,0,1,1,1
51,1,0,1,1,0
52,0,0,1,1,0
53,0,0,1,1,0
54,1,0,1,1,1
55,0,0,1,1,1
56,0,0,0,0,0
57,0,0,1,1,1
58,0,0,1,1,0
59,0,1,0,0,1
60,1,0,1,1,1
61,0,0,1,1,1
62,0,0,0,0,0
63,0,0,1,1,1
64,0,0,0,0,0
65,1,0,0,0,1
66,0,0,1,1,1
67,0,0,1,1,0
68,1,0,1,1,1
69,0,1,0,1,0
70,0,1,0,0,0
71,0,0,1,1,1
72,0,0,1,1,0
73,0,0,1,1,1
74,1,0,1,1,0
75,0,0,1,1,0
76,1,0,1,1,1
77,0,0,0,0,1
78,0,0,1,1,1
79,0,0,1,1,1
80,1,0,1,1,1
81,1,0,1,1,1
82,0,0,1,1,1
83,1,0,1,1,0
84,0,0,1,1,1
85,1,0,1,1,1
86,1,0,1,1,0
87,1,0,1,1,1
88,0,0,1,1,1
89,0,1,0,0,1
90,0,1,0,0,1
91,1,0,1,1,1
92,0,0,1,1,1
93,1,0,0,1,0
94,1,0,1,1,0
95,0,0,1,1,1
96,0,0,1,1,1
97,1,1,0,0,1
98,0,0,1,1,1
99,0,0,1,1,1
100,0,0,1,1,0
101,0,0,1,1,1
102,1,0,0,0,1
103,0,0,0,1,1
104,0,0,1,1,1
105,0,0,1,1,0
106,0,0,1,1,1
107,0,0,1,1,1
108,0,0,1,1,1
109,0,0,1,1,1
110,0,0,1,1,1
111,0,0,1,1,1
112,0,0,1,1,1
113,1,0,1,1,1
114,0,0,1,1,1
115,0,0,1,1,1
116,0,0,1,1,0
117,0,0,1,1,1
118,1,0,0,0,1
119,0,0,1,1,1
120,0,0,1,1,0
121,1,1,1,1,1
122,0,1,0,0,1
123,0,0,1,1,0
124,0,0,1,1,1
125,0,0,1,1,0
126,0,0,1,1,1
127,0,1,0,0,0
128,0,0,1,1,1
129,0,0,1,1,0
130,0,0,0,0,0
131,0,0,0,0,1
132,0,0,1,1,1
133,1,0,1,1,1
134,1,0,1,1,1
135,0,0,1,1,0
136,0,0,1,1,1
137,1,0,1,1,0
