,6,5,4,3,2,1
0,1,0,1,0,1,0
1,0,0,1,0,1,0
2,0,0,1,0,1,1
3,0,0,1,0,1,0
4,0,0,1,1,1,0
5,1,0,1,1,1,0
6,0,0,1,0,1,0
7,0,0,1,0,1,0
8,1,0,1,0,0,0
9,0,0,1,1,1,0
10,1,0,1,1,1,1
11,0,0,1,0,1,0
12,0,0,1,1,0,0
13,1,0,1,0,1,0
14,1,0,1,0,1,0
15,1,0,1,0,1,0
16,1,0,1,0,1,0
17,0,0,1,1,1,0
18,1,0,1,0,1,0
19,1,0,1,0,1,0
20,1,0,1,1,1,0
21,1,0,1,1,1,0
22,0,0,1,1,1,0
23,0,0,1,0,0,0
24,1,0,1,1,1,1
25,0,0,1,1,1,0
26,1,0,1,1,1,0
27,1,0,1,1,1,0
28,0,0,1,0,1,0
29,1,0,1,0,1,0
30,0,1,0,0,0,1
31,0,0,1,1,1,0
32,1,0,1,1,1,0
33,1,0,1,0,1,0
34,1,0,1,0,1,0
35,1,0,1,1,1,0
36,0,0,1,0,1,0
37,1,0,1,1,1,0
38,0,0,1,0,1,0
39,0,0,1,0,1,0
40,1,0,1,0,1,0
41,0,0,1,1,1,0
42,1,0,1,0,1,0
43,1,0,1,0,1,0
44,0,0,1,1,1,0
45,0,0,1,1,1,0
46,0,0,1,0,1,0
47,1,0,1,1,1,0
48,1,0,1,0,1,0
49,1,0,1,0,1,0
50,1,0,1,1,1,0
51,1,0,1,1,1,0
52,0,1,0,1,0,1
53,1,0,1,0,1,0
54,0,0,1,0,1,1
55,1,0,1,0,1,0
56,1,0,1,1,1,0
57,1,0,1,0,1,0
58,1,0,1,0,1,0
59,1,0,1,0,1,0
60,0,0,1,1,1,0
61,1,0,1,0,1,0
62,1,0,1,1,1,0
63,0,0,1,0,1,1
64,1,0,1,0,1,0
65,1,1,1,0,1,0
66,1,0,1,1,0,0
67,1,0,1,1,1,0
68,1,0,1,0,1,0
69,1,0,1,0,1,0
70,1,0,1,0,1,0
71,0,0,1,1,1,0
72,0,0,1,0,0,0
73,1,0,1,0,1,0
74,1,0,1,0,1,0
75,1,0,1,0,1,0
76,1,0,1,1,1,0
77,1,0,1,1,1,0
78,0,0,1,0,0,0
79,1,0,1,1,1,0
80,0,0,1,0,1,0
81,1,0,1,1,1,0
82,1,0,1,1,1,0
83,1,0,1,0,1,0
84,0,0,1,0,1,0
85,1,0,1,1,1,0
86,1,0,1,0,1,0
87,0,1,0,0,1,1
88,1,0,1,0,1,0
89,1,0,1,0,1,0
90,0,1,0,0,1,1
91,1,0,1,1,1,0
92,0,0,1,0,1,0
93,1,0,1,1,0,0
94,0,0,1,1,1,1
95,0,0,1,1,1,1
96,1,0,1,1,1,0
97,1,0,1,1,1,0
98,1,0,1,0,0,0
99,0,0,1,0,1,0
100,1,0,1,0,1,0
101,1,0,1,0,1,0
102,1,0,1,1,1,0
103,0,0,1,0,1,0
104,1,0,1,0,1,0
105,1,1,1,1,1,0
106,1,1,0,0,1,1
107,0,0,1,1,1,0
108,1,0,1,0,1,0
109,0,0,1,0,1,0
110,1,0,1,0,1,0
111,1,0,1,0,1,0
112,0,0,1,0,1,0
113,1,0,1,1,1,0
114,1,0,1,0,0,0
115,0,0,1,1,1,0
116,1,0,1,1,1,0
117,1,0,1,1,1,0
118,1,0,1,1,1,1
119,0,0,1,1,1,0
120,0,0,1,0,1,0
121,0,0,1,1,1,0
122,1,0,1,1,1,0
123,1,0,1,0,1,0
124,1,0,1,0,1,0
125,1,0,1,0,1,0
126,0,0,1,0,1,0
127,1,0,1,0,1,0
128,1,0,1,0,1,0
129,1,0,1,1,1,0
130,0,0,1,0,1,0
131,1,0,1,1,1,0
132,1,0,1,0,1,0
133,0,1,0,0,0,1
134,1,0,1,0,1,0
135,0,1,0,0,1,1
136,0,0,1,1,0,0
137,0,1,0,1,1,1
138,1,0,1,0,1,0
139,0,0,1,0,1,0
140,1,0,1,0,1,0
141,1,0,1,1,1,0
142,1,0,1,0,1,0
143,1,0,1,0,1,0
144,1,0,1,0,1,0
145,1,0,1,0,1,0
146,1,0,1,1,0,0
147,0,0,1,0,1,0
148,1,0,1,0,1,0
149,1,0,1,0,1,0
150,0,1,0,1,0,1
151,1,0,1,1,1,0
152,1,0,1,0,1,0
153,0,0,1,0,1,0
154,1,0,1,1,1,0
155,1,0,1,0,1,0
156,0,0,1,1,1,0
157,0,0,1,1,0,0
158,0,0,1,1,1,0
159,1,0,1,1,1,0
160,1,0,1,0,1,0
161,0,0,1,0,1,0
162,1,0,1,0,1,0
163,0,0,1,1,1,0
164,1,0,1,0,1,0
165,0,1,0,0,0,1
166,1,1,1,0,1,0
167,1,0,1,0,1,0
168,1,0,1,0,1,0
169,0,0,1,1,1,0
170,1,0,1,1,1,0
171,1,0,1,1,1,0
172,0,1,0,1,0,1
173,0,0,1,1,1,0
174,1,0,1,1,1,0
175,1,0,1,0,1,0
176,0,0,1,0,1,0
177,1,0,1,0,1,0
178,0,1,0,0,1,1
179,0,1,0,1,0,1
180,0,0,1,0,1,0
181,0,0,1,0,1,0
182,0,0,1,1,1,0
183,1,0,1,1,0,0
184,1,0,1,0,1,0
185,0,0,1,0,1,0
186,0,0,1,0,1,0
187,1,0,1,1,1,0
188,1,0,1,1,1,0
189,1,0,1,0,1,0
190,0,1,1,0,1,0
191,1,0,1,1,0,0
192,0,0,1,1,1,0
193,1,0,1,1,0,0
194,1,0,1,1,1,0
195,1,0,1,0,1,0
196,0,0,1,0,1,0
197,1,0,1,0,1,0
198,0,0,1,0,1,0
199,1,0,1,1,1,0
200,1,0,1,0,1,0
201,1,1,1,1,1,0
202,0,0,1,0,1,0
203,0,1,0,0,0,1
204,0,0,1,0,1,0
205,1,0,1,0,0,0
206,1,0,1,0,1,0
207,1,1,1,0,1,0
208,0,0,1,1,1,0
209,1,0,1,0,1,0
210,0,1,0,0,0,1
211,1,0,1,1,1,0
212,0,0,1,0,1,0
213,1,0,1,0,1,0
214,1,0,1,0,1,0
215,0,0,1,0,1,0
216,0,0,1,0,0,0
217,1,0,1,1,1,0
218,0,0,1,1,1,0
219,1,0,1,1,1,0
220,0,0,1,0,1,0
221,0,1,0,1,0,1
222,0,0,1,0,1,0
223,1,0,1,1,1,0
224,1,0,1,0,1,0
225,1,0,1,0,1,0
226,1,0,1,0,1,0
