,5,4,3,2,0
0,0,0,1,0,1
1,0,0,1,1,1
2,1,1,0,0,0
3,1,1,1,1,1
4,1,1,0,0,0
5,1,1,0,0,1
6,1,1,0,0,1
7,1,1,0,0,1
8,1,1,0,0,0
9,1,1,0,0,0
10,0,0,0,1,1
11,0,0,0,0,1
12,1,1,0,0,1
13,1,1,0,0,0
14,0,0,1,1,1
15,1,1,0,0,1
16,1,1,1,1,1
17,1,1,0,0,0
18,1,1,0,0,0
19,1,1,0,0,1
20,1,1,0,0,1
21,0,0,1,1,1
22,0,0,0,0,1
23,0,0,1,1,1
24,0,0,1,1,1
25,1,1,0,0,0
26,1,1,0,0,0
27,1,1,0,0,1
28,1,0,1,1,1
29,1,1,0,0,1
30,1,1,0,0,0
31,1,1,0,0,1
32,1,1,0,0,0
33,0,1,0,0,1
34,0,1,0,0,1
35,1,1,0,0,1
36,0,0,0,1,1
37,0,0,1,1,1
38,1,1,0,0,1
39,1,1,0,0,0
40,0,0,1,1,1
41,1,1,0,0,1
42,1,1,0,0,1
43,0,0,1,1,1
44,1,1,0,0,0
45,1,1,0,0,1
46,1,1,0,0,0
47,0,0,1,1,1
48,1,1,0,0,1
49,0,0,1,1,1
50,0,1,0,0,0
51,0,0,1,1,1
52,1,1,0,0,1
53,1,1,0,0,0
54,0,0,0,1,1
55,0,1,0,0,0
56,1,1,0,0,0
57,0,0,1,1,1
58,1,1,0,0,0
59,1,1,0,0,1
60,0,0,1,1,1
61,1,1,1,1,1
62,1,0,0,0,0
63,1,1,1,1,1
64,1,1,0,0,1
65,1,1,0,0,0
66,0,0,0,1,1
67,1,1,0,0,0
68,0,0,0,1,1
69,0,0,0,0,1
70,1,1,0,0,0
71,0,0,1,1,1
72,1,1,0,0,1
73,0,0,0,1,1
74,0,1,0,0,0
75,1,1,0,0,0
76,1,1,0,0,1
77,1,1,1,1,1
78,1,1,0,0,1
79,0,0,1,1,1
80,1,1,1,1,1
81,0,0,1,1,1
82,0,0,1,1,1
83,0,0,0,1,1
84,0,0,0,1,1
85,1,1,0,0,1
86,1,1,0,0,1
87,0,0,1,1,1
88,0,0,1,1,1
89,1,1,0,0,0
90,1,1,0,0,1
91,0,0,0,1,1
92,0,1,0,0,0
93,1,1,0,0,1
94,0,0,0,1,1
95,1,1,1,1,1
96,1,1,1,1,1
97,1,1,0,0,1
98,1,1,0,0,1
99,0,1,0,0,0
100,1,1,0,0,0
101,0,0,0,1,1
102,1,1,0,0,1
103,0,0,0,1,1
104,1,1,0,0,1
105,0,1,0,0,0
106,1,1,0,0,1
107,0,1,0,0,0
108,1,1,0,0,0
109,0,1,1,0,0
110,0,0,0,0,1
111,1,1,0,0,1
112,1,1,0,0,1
113,0,0,0,1,1
114,1,1,0,0,1
115,0,0,1,1,1
116,0,0,1,1,1
117,1,1,0,0,1
118,1,1,1,1,1
119,0,0,0,0,1
120,0,0,0,0,1
121,1,1,0,0,0
122,1,1,0,0,1
123,0,0,0,1,1
124,1,1,0,0,1
125,0,0,1,1,1
126,1,1,0,0,1
127,1,1,0,0,1
128,0,0,1,1,1
129,0,0,1,1,1
130,1,1,0,0,1
131,1,1,0,0,1
132,1,1,0,0,0
133,1,1,0,0,0
134,0,0,1,1,1
135,1,1,0,0,0
136,1,1,0,0,1
137,0,0,1,1,1
138,1,1,0,0,0
139,1,1,0,0,1
140,1,1,0,0,1
