,2,1,0
0,1,0,0
1,1,0,0
2,0,0,1
3,0,0,1
4,1,0,0
5,1,0,0
6,1,0,0
7,1,1,1
8,1,0,0
9,0,0,1
10,1,0,0
11,0,1,0
12,1,0,0
13,1,0,0
14,1,0,0
15,1,0,0
16,0,0,1
17,0,0,1
18,0,1,0
19,0,0,0
20,0,1,1
21,1,0,0
22,0,0,1
23,1,0,0
24,1,0,0
25,1,0,0
26,0,0,1
27,1,1,1
28,1,0,0
29,1,0,0
30,1,0,0
31,0,0,1
32,1,1,1
33,0,1,0
34,0,0,1
35,0,0,1
36,0,0,1
37,0,1,0
38,0,1,0
39,1,0,0
40,1,0,0
41,1,0,0
42,0,0,1
43,1,0,0
44,0,0,1
45,0,0,1
46,1,0,0
47,0,0,1
48,1,0,0
49,0,1,1
50,1,0,1
51,1,0,0
52,0,0,1
53,0,1,0
54,1,0,0
55,0,1,1
56,1,1,1
57,1,0,0
58,1,0,0
59,1,1,1
60,1,0,0
61,0,0,1
62,1,0,0
63,0,0,0
64,0,0,0
65,0,0,1
66,0,1,0
67,0,0,1
68,1,0,1
69,0,1,0
70,0,1,0
71,0,1,0
72,0,0,1
73,0,1,0
74,1,0,0
75,0,1,0
76,1,1,1
77,0,0,1
78,1,1,1
79,0,1,0
80,0,1,0
81,1,1,1
82,0,1,0
83,0,1,0
84,0,1,0
85,0,1,0
86,0,0,1
87,0,0,1
88,1,0,0
89,1,0,0
90,0,1,0
91,1,0,0
92,0,1,0
93,0,1,0
94,0,1,0
95,0,0,1
96,0,0,1
97,0,0,0
98,1,0,0
99,0,0,0
100,1,0,0
101,0,1,0
102,1,0,0
103,0,0,1
104,0,1,0
105,0,1,0
106,1,0,0
107,1,0,0
108,1,0,0
109,0,1,0
110,0,1,0
111,0,0,1
112,1,1,1
113,0,1,1
114,0,1,0
115,1,0,0
116,1,0,0
117,1,0,0
118,1,0,0
119,0,0,1
120,0,0,1
121,1,0,0
122,1,0,0
123,0,1,0
124,1,0,0
125,0,0,1
126,1,0,0
127,1,1,1
128,1,0,0
129,0,0,1
130,0,1,0
131,0,1,0
132,0,0,0
133,0,0,1
134,0,1,0
135,0,1,1
136,1,0,0
137,0,1,1
138,0,0,1
139,0,0,1
140,0,0,1
141,0,1,0
142,1,0,0
143,0,1,0
144,0,1,0
145,1,0,0
146,0,0,1
147,0,0,1
148,0,0,1
149,0,0,1
150,0,1,0
151,1,0,0
152,0,0,1
153,0,0,1
154,1,0,0
155,1,1,1
156,0,1,0
157,0,1,0
158,1,0,0
159,1,0,0
160,0,0,0
161,1,0,0
162,0,0,1
163,0,0,1
164,0,1,0
165,0,1,0
166,0,0,0
167,1,0,0
168,1,0,0
169,1,1,0
170,1,0,0
171,1,0,0
172,1,0,0
173,0,1,0
174,0,1,1
175,0,0,1
176,0,1,1
177,0,1,0
178,0,1,0
179,0,0,0
180,1,0,0
181,0,0,1
182,1,0,0
183,0,1,0
184,0,0,1
185,1,0,0
186,1,0,0
187,0,1,1
188,0,0,1
189,1,0,1
190,0,1,0
191,0,0,1
192,1,0,0
193,0,0,1
194,0,1,0
195,0,1,0
196,0,1,0
197,0,1,0
198,0,1,0
199,0,1,0
200,1,0,0
201,0,0,1
202,0,1,0
203,0,0,1
204,0,1,0
205,0,1,0
206,1,0,0
207,0,0,1
208,0,0,1
209,0,0,1
210,0,0,1
211,0,1,1
212,0,0,1
213,0,0,1
214,0,1,0
215,0,1,0
216,1,1,1
217,1,0,0
218,1,0,0
219,0,1,0
220,0,1,0
221,0,0,1
222,0,0,1
223,0,0,1
224,1,0,0
225,0,0,1
226,0,0,0
227,1,0,0
228,1,0,0
229,0,0,1
230,0,1,0
231,0,0,1
232,1,0,0
233,1,0,0
234,1,1,1
235,1,0,0
236,1,0,0
237,1,1,0
238,0,0,0
239,1,0,0
240,0,0,1
241,1,0,0
242,0,0,1
243,0,1,0
244,0,0,1
245,1,0,0
246,1,0,0
247,0,0,1
248,0,0,1
249,1,0,0
250,0,0,1
251,0,0,1
252,0,1,0
253,0,0,1
254,1,0,0
255,0,1,0
256,1,0,0
257,1,0,0
258,0,0,1
259,0,1,0
260,1,0,0
261,1,0,0
262,0,1,0
263,0,1,0
264,0,0,1
265,1,1,1
266,1,0,0
267,1,0,0
268,0,0,1
269,0,0,1
270,0,1,1
271,0,1,0
272,1,0,0
273,0,1,0
274,1,0,0
275,0,0,1
276,1,0,0
277,0,0,1
278,1,0,0
279,0,1,0
280,1,1,1
281,0,1,0
282,1,0,0
283,1,1,1
284,1,0,0
285,0,0,1
286,0,0,1
287,0,0,1
288,0,0,1
289,1,0,0
290,1,0,0
291,0,0,1
292,1,0,0
293,0,1,1
294,0,0,1
295,1,1,1
296,1,0,0
297,0,0,1
298,0,0,1
299,0,0,1
300,0,0,1
301,1,0,0
302,0,1,0
303,1,0,0
304,1,1,0
305,0,1,1
306,0,0,0
307,1,0,0
308,1,0,0
309,0,1,0
310,1,1,0
311,0,0,1
312,0,1,0
313,0,0,1
314,1,0,0
315,0,0,1
316,1,1,1
317,0,1,0
318,0,1,0
319,0,0,1
320,1,0,0
321,1,0,0
322,0,0,1
323,0,1,0
324,0,0,1
325,1,0,0
326,1,0,0
327,1,0,0
328,1,1,1
329,0,1,0
330,0,1,0
331,0,1,1
332,1,0,0
333,0,0,1
334,0,1,0
335,0,0,0
336,1,0,0
337,0,0,1
338,1,0,0
339,0,0,1
340,0,0,1
341,0,1,0
342,0,0,1
343,0,1,1
344,0,0,1
345,1,0,0
346,1,0,0
347,1,0,0
348,0,1,0
349,0,1,0
350,1,0,0
351,0,1,0
352,0,0,0
353,0,0,1
354,0,0,1
355,0,1,0
356,0,0,1
357,0,0,1
358,0,0,0
359,1,0,0
360,0,0,1
361,0,1,0
362,0,1,0
363,0,1,0
364,0,1,0
365,0,0,1
366,1,0,0
367,0,1,0
368,1,0,0
369,1,0,0
370,1,1,0
371,0,0,1
372,1,0,0
373,1,0,0
374,0,1,0
375,0,0,0
376,1,0,0
377,0,1,0
378,0,1,0
379,0,1,0
380,0,0,0
381,0,0,1
382,1,0,0
383,1,0,0
384,0,1,0
385,1,1,1
386,0,1,0
387,1,0,0
388,0,1,1
389,1,1,1
390,0,1,0
391,0,1,0
392,0,0,1
393,0,0,1
394,0,1,0
395,0,1,0
396,0,0,1
397,0,0,1
398,0,1,0
399,1,0,0
400,0,0,0
401,0,0,1
402,1,0,0
403,0,0,1
404,1,0,0
405,0,0,1
406,0,1,1
407,1,0,0
408,0,1,0
409,1,0,0
410,0,0,0
411,0,1,0
412,1,0,0
413,0,1,0
414,0,0,1
415,0,0,1
