,4,3,2,0
0,0,0,1,1
1,0,1,0,0
2,1,0,0,0
3,0,0,0,0
4,0,0,0,0
5,1,1,0,1
6,0,0,1,1
7,1,0,0,0
8,1,0,1,0
9,1,0,0,0
10,0,0,0,0
11,0,1,0,0
12,0,0,0,1
13,1,0,0,0
14,1,0,0,0
15,1,1,0,1
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,1,0,0,0
20,1,0,0,0
21,0,1,0,0
22,0,0,0,1
23,1,0,1,0
24,1,0,0,0
25,1,0,0,0
26,1,0,0,0
27,1,0,0,0
28,1,0,0,0
29,1,0,0,0
30,1,0,0,0
31,0,1,0,0
32,1,0,0,0
33,1,0,0,0
34,1,0,0,0
35,0,0,0,0
36,1,0,0,0
37,0,0,1,1
38,0,0,0,0
39,0,0,0,0
40,1,0,0,0
41,1,0,0,0
42,0,0,0,1
43,0,0,0,0
44,0,0,0,1
45,1,0,0,0
46,0,1,0,0
47,0,0,1,0
48,1,0,0,0
49,1,0,0,0
50,1,0,0,0
51,0,0,1,0
52,1,0,0,0
53,1,0,0,0
54,0,0,0,1
55,0,1,0,1
56,0,0,1,0
57,1,0,0,0
58,0,0,0,0
59,1,0,0,0
60,0,0,0,0
61,0,0,0,0
62,1,0,0,0
63,1,0,0,0
64,0,0,0,1
65,1,0,0,0
66,0,0,0,0
67,0,0,0,0
68,1,0,0,0
69,1,0,0,0
70,1,0,0,0
71,0,0,0,1
72,0,1,0,1
73,0,1,0,1
74,0,0,0,0
75,0,0,0,1
76,0,0,1,1
77,1,0,0,0
78,1,1,0,1
79,1,0,1,0
80,0,0,0,0
81,1,0,0,0
82,1,0,0,0
83,1,0,0,0
84,0,0,0,1
85,1,0,0,0
86,1,0,0,0
87,0,1,1,0
88,1,0,0,0
89,1,0,0,0
90,0,0,0,0
91,0,0,0,1
92,1,0,0,0
93,0,0,0,0
94,1,0,0,0
95,1,0,0,0
96,1,0,0,0
97,1,0,0,0
98,1,0,0,0
99,0,0,0,0
100,1,0,0,0
101,1,1,0,1
102,1,0,0,0
103,0,0,0,1
104,1,0,0,0
105,0,0,0,1
106,0,0,0,1
107,1,0,0,0
108,1,0,0,0
109,0,0,0,1
110,1,0,0,0
111,1,0,0,0
112,0,0,0,0
113,0,0,0,1
114,0,0,0,0
115,1,0,0,0
116,0,1,0,1
117,1,0,0,0
118,1,0,0,0
119,0,1,0,1
120,1,0,0,0
121,0,1,0,0
122,0,1,0,1
123,1,1,0,1
124,0,1,0,1
125,0,0,0,1
126,1,0,0,0
127,1,0,0,0
128,0,0,1,1
129,1,0,0,0
130,0,0,1,1
131,0,0,0,1
132,1,0,0,0
133,0,0,0,0
134,1,0,0,0
135,0,0,0,1
136,0,0,0,1
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,0,1,1,1
141,1,0,0,0
142,1,0,0,0
143,0,1,0,0
144,1,0,0,0
145,1,0,0,0
146,1,1,1,1
147,0,0,0,0
148,1,0,0,0
149,1,0,0,0
150,1,0,0,0
151,0,0,0,1
152,1,0,0,0
153,0,0,0,0
154,1,0,0,0
155,1,0,0,0
156,1,0,0,0
157,1,0,0,0
158,1,0,0,0
159,1,0,0,0
160,1,0,0,0
161,0,0,0,1
162,0,0,0,0
163,1,0,0,0
164,0,0,0,0
165,1,0,0,0
166,1,0,0,0
167,0,1,0,1
168,1,0,0,0
169,0,1,0,1
