PNS,effect,cause,model
0.3550542219669185,0,7,triangolo_biashard_13.uai
0.33560166045211004,0,7,triangolo_biashard_170.uai
0.37037809071207184,0,7,triangolo_biashard_164.uai
0.32615695453360216,0,7,triangolo_biashard_158.uai
0.3943336582880146,0,7,triangolo_biashard_7.uai
0.35929100772614053,0,7,triangolo_biashard_6.uai
0.3157157804699254,0,7,triangolo_biashard_159.uai
0.394986746217871,0,7,triangolo_biashard_165.uai
0.40551099989091366,0,7,triangolo_biashard_171.uai
0.3831658500277797,0,7,triangolo_biashard_12.uai
0.3251103982675977,0,7,triangolo_biashard_10.uai
0.3685580047049322,0,7,triangolo_biashard_38.uai
0.42471089068048207,0,7,triangolo_biashard_198.uai
0.39882573537401544,0,7,triangolo_biashard_167.uai
0.3619682540132102,0,7,triangolo_biashard_173.uai
0.3609387982065746,0,7,triangolo_biashard_5.uai
0.35943956549867695,0,7,triangolo_biashard_172.uai
0.3845676036357438,0,7,triangolo_biashard_166.uai
0.3553847986220974,0,7,triangolo_biashard_39.uai
0.34365497234629494,0,7,triangolo_biashard_11.uai
0.3480163814277385,0,7,triangolo_biashard_29.uai
0.3412257048948764,0,7,triangolo_biashard_15.uai
0.3205230377648689,0,7,triangolo_biashard_200.uai
0.34321592113652505,0,7,triangolo_biashard_189.uai
0.34940299509238615,0,7,triangolo_biashard_162.uai
0.4547973342961781,0,7,triangolo_biashard_176.uai
0.4140438627834731,0,7,triangolo_biashard_1.uai
0.3937249281482659,0,7,triangolo_biashard_0.uai
0.3988744599258224,0,7,triangolo_biashard_163.uai
0.35852046291380235,0,7,triangolo_biashard_188.uai
0.3298621263936543,0,7,triangolo_biashard_14.uai
0.3810010895967795,0,7,triangolo_biashard_28.uai
0.3762217299832449,0,7,triangolo_biashard_16.uai
0.3879904784422259,0,7,triangolo_biashard_149.uai
0.3582252250162089,0,7,triangolo_biashard_175.uai
0.3467360842434809,0,7,triangolo_biashard_161.uai
0.38278005832180995,0,7,triangolo_biashard_2.uai
0.3286218403462985,0,7,triangolo_biashard_3.uai
0.3595002394843161,0,7,triangolo_biashard_160.uai
0.35477161246879274,0,7,triangolo_biashard_174.uai
0.35560775932192185,0,7,triangolo_biashard_17.uai
0.33656238651054315,0,7,triangolo_biashard_113.uai
0.3839936454385422,0,7,triangolo_biashard_107.uai
0.33406121662159644,0,7,triangolo_biashard_106.uai
0.3651921062089136,0,7,triangolo_biashard_112.uai
0.31227591404437405,0,7,triangolo_biashard_104.uai
0.32553220412394024,0,7,triangolo_biashard_110.uai
0.34724286538314897,0,7,triangolo_biashard_138.uai
0.41018025207484343,0,7,triangolo_biashard_139.uai
0.30540229964436927,0,7,triangolo_biashard_111.uai
0.31348307617985854,0,7,triangolo_biashard_129.uai
0.31118138338218393,0,7,triangolo_biashard_101.uai
0.31995668983141745,0,7,triangolo_biashard_115.uai
0.41407951721592784,0,7,triangolo_biashard_114.uai
0.3395845294575235,0,7,triangolo_biashard_100.uai
0.28484396982802085,0,7,triangolo_biashard_128.uai
0.3951161182824547,0,7,triangolo_biashard_49.uai
0.37895559810059065,0,7,triangolo_biashard_102.uai
0.38884728580097905,0,7,triangolo_biashard_103.uai
0.40406157898470796,0,7,triangolo_biashard_117.uai
0.38324213092653164,0,7,triangolo_biashard_48.uai
0.3340716959158313,0,7,triangolo_biashard_45.uai
0.3374785339895346,0,7,triangolo_biashard_132.uai
0.36232396069991174,0,7,triangolo_biashard_126.uai
0.3768911666474114,0,7,triangolo_biashard_127.uai
0.3726489523921883,0,7,triangolo_biashard_133.uai
0.42135619184615547,0,7,triangolo_biashard_44.uai
0.40400816130321054,0,7,triangolo_biashard_125.uai
0.3592069249594501,0,7,triangolo_biashard_131.uai
0.40518579322794557,0,7,triangolo_biashard_119.uai
0.3417706488743386,0,7,triangolo_biashard_118.uai
0.38484065058585276,0,7,triangolo_biashard_130.uai
0.3444779051433472,0,7,triangolo_biashard_124.uai
0.35632877408663416,0,7,triangolo_biashard_47.uai
0.39797818902208615,0,7,triangolo_biashard_43.uai
0.3716137507670763,0,7,triangolo_biashard_108.uai
0.4011339786452792,0,7,triangolo_biashard_120.uai
0.36705573097563704,0,7,triangolo_biashard_134.uai
0.3281599073108943,0,7,triangolo_biashard_135.uai
0.30662678615477296,0,7,triangolo_biashard_121.uai
0.3357536132258331,0,7,triangolo_biashard_109.uai
0.35310967278694283,0,7,triangolo_biashard_42.uai
0.32621357291161435,0,7,triangolo_biashard_40.uai
0.36511800719102083,0,7,triangolo_biashard_137.uai
0.34847370502178204,0,7,triangolo_biashard_123.uai
0.3825076957811494,0,7,triangolo_biashard_122.uai
0.37136548692171173,0,7,triangolo_biashard_136.uai
0.3746443275346131,0,7,triangolo_biashard_41.uai
0.30009959617101256,0,7,triangolo_biashard_26.uai
0.3245659968722059,0,7,triangolo_biashard_32.uai
0.3290522957684907,0,7,triangolo_biashard_192.uai
0.3013103652307744,0,7,triangolo_biashard_186.uai
0.3589557182809233,0,7,triangolo_biashard_151.uai
0.37423845218001905,0,7,triangolo_biashard_145.uai
0.3341953433826346,0,7,triangolo_biashard_179.uai
0.37293360614691873,0,7,triangolo_biashard_178.uai
0.36430357274344904,0,7,triangolo_biashard_150.uai
0.33059824028370766,0,7,triangolo_biashard_193.uai
0.321130367242658,0,7,triangolo_biashard_33.uai
0.45189799731468255,0,7,triangolo_biashard_27.uai
0.3989349465140124,0,7,triangolo_biashard_31.uai
0.2948757770691453,0,7,triangolo_biashard_25.uai
0.33681861133653784,0,7,triangolo_biashard_19.uai
0.34210069400010557,0,7,triangolo_biashard_185.uai
0.33955909446561305,0,7,triangolo_biashard_191.uai
0.3883688397740688,0,7,triangolo_biashard_146.uai
0.30242030695301053,0,7,triangolo_biashard_152.uai
0.34064104365535314,0,7,triangolo_biashard_153.uai
0.31633054878066785,0,7,triangolo_biashard_147.uai
0.2623898092029602,0,7,triangolo_biashard_190.uai
