,3,2,0
0,1,0,1
1,1,1,0
2,1,0,0
3,1,0,0
4,1,1,0
5,1,0,0
6,1,0,1
7,1,1,1
8,1,0,0
9,1,0,0
10,1,0,1
11,1,0,0
12,1,0,0
13,1,0,0
14,1,1,0
15,1,0,0
16,1,0,1
17,1,0,1
18,1,0,0
19,1,0,0
20,1,1,0
21,1,0,0
22,1,1,0
23,1,0,1
24,1,0,0
25,1,0,0
26,1,0,0
27,1,1,0
28,1,0,0
29,1,0,0
30,1,0,0
31,1,0,0
32,1,1,0
33,1,0,0
34,0,0,0
35,1,0,0
36,1,0,0
37,1,1,1
38,1,0,0
39,0,1,0
40,1,0,0
41,0,0,0
42,1,0,0
43,1,0,1
44,1,0,0
45,1,1,0
46,1,0,0
47,1,0,0
48,0,0,0
49,1,1,0
50,1,0,0
51,1,0,0
52,1,1,0
53,1,0,1
54,1,1,1
55,1,0,0
56,1,0,0
57,1,1,1
58,1,0,0
59,1,0,0
60,1,0,0
61,1,1,0
62,1,1,0
63,1,0,0
64,1,0,1
65,1,1,0
66,0,0,0
67,1,1,0
68,1,0,0
69,1,0,0
70,1,0,0
71,1,1,0
72,1,0,0
73,1,1,0
74,1,0,0
75,1,0,1
76,1,0,0
77,1,0,0
78,1,0,1
79,1,1,0
80,1,0,0
81,1,0,0
82,1,0,0
83,1,0,0
84,0,0,0
85,1,1,0
86,0,1,0
87,1,0,0
88,1,0,1
89,1,0,0
90,1,0,0
91,1,0,0
92,1,0,0
93,1,0,0
94,1,0,1
95,0,0,0
96,1,0,0
97,1,0,0
98,1,0,0
99,0,0,0
100,1,0,0
101,1,0,0
102,1,0,1
103,1,1,0
104,1,1,0
105,1,0,0
106,1,1,0
107,1,0,1
108,1,1,1
109,1,1,0
110,1,0,0
111,1,0,0
112,1,0,1
113,1,0,0
114,1,0,0
115,0,0,0
116,1,0,0
117,1,1,0
118,1,0,0
119,1,0,0
120,1,1,0
121,0,0,0
122,1,0,0
123,1,0,0
124,1,0,0
125,0,0,1
126,1,1,0
127,1,1,0
128,0,0,0
129,1,0,0
130,1,0,0
131,1,0,0
132,1,0,0
133,1,0,0
134,1,0,1
135,1,1,0
136,1,0,1
137,1,0,0
138,1,0,0
139,1,0,0
140,1,0,0
141,1,0,0
142,1,0,0
143,0,0,0
144,1,1,1
145,1,0,1
146,1,0,0
147,1,1,0
148,1,1,0
149,1,0,0
150,0,0,0
151,1,0,0
152,1,0,0
153,1,0,0
154,1,1,0
155,1,0,0
156,1,0,0
157,0,0,0
158,1,1,0
159,1,0,0
160,1,1,0
161,0,0,0
162,0,0,0
163,0,0,0
164,1,0,0
165,1,1,0
166,1,1,0
167,1,0,0
168,1,0,1
169,1,1,0
170,1,1,1
171,1,0,0
172,1,0,0
173,1,0,0
174,1,1,0
175,1,0,0
176,1,1,1
177,1,0,0
178,0,0,1
179,1,1,0
180,0,1,0
181,1,0,0
182,1,0,0
183,1,0,0
184,1,0,0
185,1,0,0
186,1,0,0
187,1,0,0
188,1,0,0
189,1,0,0
190,1,1,0
191,1,0,0
192,0,0,0
193,1,0,1
194,1,0,1
195,1,0,1
196,0,0,0
197,1,0,0
198,1,0,0
199,1,1,0
200,1,0,0
201,1,1,1
202,1,0,0
203,1,0,1
204,1,0,0
205,0,1,0
206,1,0,0
207,1,0,0
208,0,0,0
209,1,0,0
210,1,0,0
211,1,0,0
212,1,1,0
213,1,0,0
214,1,1,1
215,1,0,0
216,1,0,0
217,1,0,0
218,1,0,0
219,1,1,0
220,1,0,0
221,1,1,0
222,1,0,0
223,0,0,0
224,1,0,0
225,1,0,0
226,0,0,0
227,1,0,0
228,1,0,0
229,1,0,0
230,1,0,0
231,1,1,1
232,1,0,0
233,1,0,0
234,0,0,0
235,0,0,0
236,1,1,0
237,1,0,0
238,1,1,0
239,1,1,0
240,1,1,0
241,1,0,0
242,0,0,0
243,1,1,0
244,1,0,0
245,1,0,0
246,1,1,0
247,1,0,0
248,1,0,0
249,1,0,0
250,1,0,0
251,1,0,0
252,1,0,1
253,1,0,0
254,1,1,0
255,1,0,0
256,1,0,1
257,1,0,0
258,1,0,0
259,1,1,0
260,1,0,0
261,1,0,0
262,1,0,0
263,0,0,0
264,1,0,0
265,0,0,0
266,0,0,0
267,0,1,0
268,1,1,1
269,1,0,0
270,1,0,0
271,1,0,0
272,1,1,0
273,1,0,0
274,1,0,1
275,1,1,0
276,1,0,1
277,1,0,0
278,1,1,1
279,1,0,0
280,1,0,0
281,1,0,1
282,1,0,0
283,1,0,0
284,1,0,0
285,1,0,0
286,1,0,0
287,1,1,0
288,1,0,0
289,1,0,0
290,1,0,0
291,1,1,0
292,1,0,0
293,1,0,0
294,1,0,0
295,1,0,0
296,1,1,0
297,1,0,0
298,0,0,0
299,0,0,0
300,1,1,0
301,1,0,0
302,1,1,0
303,1,0,0
304,1,0,0
305,1,0,0
306,1,0,0
307,0,0,0
308,1,0,0
309,1,1,0
310,1,0,0
311,1,0,0
312,0,0,0
313,1,0,0
314,1,0,1
315,1,0,0
316,1,0,0
317,1,0,1
318,1,1,0
319,1,0,0
320,0,0,0
321,1,1,0
322,1,0,1
323,1,0,0
324,1,0,0
325,1,0,0
326,1,0,0
327,0,0,0
328,1,0,0
329,1,0,0
330,0,0,0
331,0,0,0
332,1,1,0
333,0,1,0
334,1,0,0
335,1,0,0
336,1,0,0
337,1,0,0
338,1,0,1
339,1,0,0
340,1,0,0
341,1,0,0
342,1,0,0
343,1,0,0
344,1,0,0
345,0,0,0
346,1,0,0
347,0,0,0
348,1,0,0
349,1,0,0
350,1,0,0
351,1,0,0
352,1,0,0
353,1,1,0
354,1,0,0
355,1,0,0
356,1,0,0
357,1,0,0
358,1,0,0
359,1,0,0
360,1,1,0
361,0,0,0
362,0,0,0
363,1,0,0
364,0,0,0
365,1,0,0
366,1,1,1
367,1,1,0
368,1,0,0
369,1,1,0
370,1,1,0
371,1,0,1
372,0,0,0
373,1,1,0
374,1,0,1
375,1,0,0
376,1,1,0
377,1,0,1
378,1,1,1
379,1,0,0
380,1,0,0
381,1,1,1
382,1,0,1
383,1,0,0
384,1,0,0
385,1,1,0
386,0,1,0
387,1,0,1
388,1,0,0
389,1,0,0
390,1,0,0
391,1,0,0
392,0,0,0
393,1,0,0
394,1,0,0
395,1,0,0
396,1,0,0
397,1,0,0
398,0,0,0
399,1,0,0
400,1,1,0
401,1,1,0
402,0,0,0
403,1,0,1
404,1,0,0
405,1,1,0
406,1,1,1
407,1,0,0
408,1,0,0
409,1,0,0
410,1,0,0
411,1,0,0
412,1,1,0
413,1,0,0
414,1,0,0
415,1,0,0
416,1,0,0
417,1,1,0
418,1,0,0
419,1,0,0
420,1,1,0
421,1,0,0
422,1,0,1
423,1,1,0
424,1,0,0
425,1,1,0
426,1,0,0
427,1,0,0
428,1,1,0
429,1,0,1
430,1,0,0
431,1,0,0
432,1,0,0
433,1,0,0
434,1,0,0
435,1,0,0
436,1,0,0
437,1,0,0
438,1,0,0
439,0,1,0
440,1,0,0
441,1,0,0
442,1,1,0
443,1,1,1
444,1,0,0
445,1,0,0
446,1,0,0
447,1,1,0
448,0,0,0
449,1,1,0
450,1,0,0
451,1,1,0
452,1,1,0
453,1,0,0
454,1,0,0
455,1,0,0
456,1,0,0
457,1,0,0
458,1,0,0
459,1,0,0
460,1,0,0
461,1,0,0
462,1,0,0
463,1,0,0
464,0,0,0
465,1,0,0
466,1,1,0
467,1,0,0
468,1,1,1
469,1,0,0
470,1,0,0
471,0,0,0
472,1,1,0
473,1,0,0
474,1,1,0
475,0,0,1
476,1,1,0
477,1,0,0
478,1,1,0
479,1,1,0
480,1,0,0
481,1,0,0
482,1,0,0
483,1,0,0
484,1,1,0
485,1,0,0
486,1,0,0
487,1,0,0
488,1,0,0
489,0,0,0
490,1,1,0
491,1,0,1
492,1,0,0
493,1,0,1
494,1,0,0
495,1,1,1
496,1,0,0
497,1,1,0
498,1,0,0
499,0,0,0
500,1,0,0
501,1,1,1
502,1,1,0
503,0,1,0
504,1,0,0
505,1,0,1
506,1,0,0
507,1,0,0
508,1,0,0
509,1,0,0
510,1,1,1
511,1,0,0
512,1,0,1
513,1,0,0
514,1,0,1
515,1,0,0
516,1,0,0
517,1,0,0
518,1,0,0
519,1,0,0
520,0,0,0
521,1,0,0
522,1,1,0
523,1,0,0
524,1,0,0
525,0,0,0
526,1,0,0
527,1,0,0
528,1,0,0
529,1,0,0
530,1,0,0
531,1,1,0
532,1,0,0
533,1,0,0
534,1,1,0
535,0,1,0
536,1,0,0
537,1,0,0
538,1,0,0
539,1,0,0
540,1,0,0
541,0,0,0
542,1,0,0
543,1,0,0
544,1,0,0
545,1,0,0
546,1,0,1
547,1,0,0
548,1,0,0
549,1,0,0
550,1,0,0
551,1,0,0
552,1,0,0
553,1,1,0
554,1,1,0
555,1,0,0
556,1,0,1
557,1,1,0
558,1,0,0
559,1,0,0
560,1,1,0
561,1,0,0
562,1,1,0
563,1,1,0
564,1,1,0
565,1,0,0
566,1,0,0
567,1,1,0
568,1,1,0
569,1,0,0
570,1,0,0
571,1,0,0
572,1,0,0
573,1,0,1
574,1,0,0
575,1,0,0
576,1,0,0
577,1,0,0
578,1,0,0
579,1,1,0
580,1,0,0
581,1,1,0
582,1,0,0
583,1,0,0
584,1,0,1
585,0,0,0
586,1,1,0
587,1,1,0
588,1,0,0
589,1,1,0
590,1,0,0
591,1,0,0
592,1,0,0
593,1,0,0
594,1,1,0
595,1,1,0
596,1,0,0
597,1,0,0
598,1,0,0
599,1,1,0
600,1,0,0
601,1,0,0
602,1,1,1
603,1,0,0
604,1,0,0
605,1,0,0
606,1,0,0
607,1,1,0
608,1,0,0
609,1,0,0
610,1,1,1
611,0,0,0
612,1,0,0
613,1,0,0
614,1,1,0
615,1,0,0
616,1,1,0
617,1,0,0
618,1,0,0
619,1,0,1
620,1,0,0
621,1,0,1
622,1,1,0
623,1,0,0
624,0,1,0
625,1,1,0
626,1,0,0
627,1,1,0
628,1,0,1
629,1,0,0
630,1,0,0
631,1,0,1
632,1,1,0
633,1,0,0
634,1,0,0
635,1,0,0
636,1,0,0
637,1,1,0
638,1,0,0
639,1,0,0
640,1,1,0
641,0,0,0
642,1,0,0
643,1,0,0
644,1,0,0
645,1,1,1
646,1,1,0
647,1,0,0
648,1,0,0
649,1,0,0
650,1,0,0
651,1,0,0
652,1,0,0
653,1,0,0
654,1,1,1
655,1,0,0
656,1,0,0
657,1,0,0
658,1,1,0
659,1,0,0
660,1,1,1
661,0,1,0
662,0,0,0
663,1,0,0
664,1,0,0
665,1,0,0
666,1,0,0
667,1,0,0
668,1,0,0
669,1,0,0
670,1,1,1
671,0,0,0
672,1,0,0
673,0,1,0
674,1,1,0
675,1,1,0
676,1,0,0
677,0,0,1
678,0,0,0
679,1,0,1
680,1,1,1
681,1,0,0
682,1,0,0
683,1,0,1
684,1,0,0
685,0,1,0
686,1,0,0
687,1,1,0
688,1,0,0
689,1,0,0
690,1,1,1
691,1,0,0
692,1,1,1
693,0,0,0
694,1,0,0
695,0,0,1
696,1,0,0
697,1,1,0
698,1,1,0
699,0,1,0
700,0,0,0
701,1,0,0
702,0,1,0
703,1,0,0
704,1,0,0
705,1,0,0
706,1,1,1
707,1,0,0
708,1,1,1
709,1,0,0
710,1,0,0
711,1,0,1
712,1,0,0
713,1,1,0
714,0,0,0
715,1,0,0
716,1,0,1
717,1,0,0
718,1,0,0
719,1,0,0
720,1,0,0
721,1,0,0
722,1,0,0
723,1,0,0
724,1,1,0
725,1,0,0
726,1,0,0
727,1,0,0
728,1,0,0
729,1,0,0
730,0,1,0
731,1,0,0
732,1,0,1
733,1,1,0
734,1,0,0
735,1,0,0
736,1,0,1
737,1,0,0
738,1,0,0
739,0,0,0
740,1,1,0
741,1,0,0
742,1,1,0
743,1,0,0
744,1,1,0
745,1,0,0
746,0,0,0
747,1,0,0
748,1,0,1
749,1,0,0
750,0,0,0
751,1,0,1
752,1,0,0
753,1,0,0
754,1,0,0
755,0,0,0
756,1,0,0
757,1,0,0
758,1,1,0
759,1,0,0
760,1,1,0
761,1,0,1
762,0,1,0
763,1,0,0
764,1,0,0
765,1,0,0
766,1,0,0
767,1,1,0
768,1,1,0
769,1,0,0
770,1,0,0
771,1,1,0
772,1,0,0
773,1,0,0
774,0,0,1
775,1,0,0
776,0,0,0
777,1,0,0
778,1,1,0
779,1,0,0
780,1,0,1
781,1,0,0
782,1,0,0
783,1,0,0
784,1,0,0
785,1,0,0
786,1,0,0
787,1,1,0
788,1,0,0
789,1,0,0
790,1,0,0
791,1,0,0
792,1,0,0
793,1,0,0
794,1,0,0
795,1,1,1
796,1,0,1
797,1,0,0
798,1,1,0
799,1,0,0
800,1,1,0
801,1,0,0
802,1,0,0
803,1,0,0
804,1,0,0
805,1,1,0
806,1,1,0
807,1,0,0
808,1,1,0
809,1,1,0
810,1,0,0
811,1,1,0
812,1,0,0
813,1,1,0
814,1,0,0
815,0,0,0
816,1,0,0
817,1,1,0
818,1,0,0
819,1,0,0
820,1,0,0
821,1,0,0
822,1,0,0
823,1,0,0
824,0,0,0
825,1,1,1
826,1,0,0
827,1,0,0
828,1,0,0
829,1,0,0
830,0,0,0
831,1,1,1
832,1,1,1
833,1,0,0
834,1,1,0
835,1,1,0
836,1,0,0
837,1,1,0
838,1,1,0
839,1,1,0
840,1,0,0
841,1,0,0
842,1,0,1
843,0,0,0
844,0,0,0
845,1,0,0
846,1,0,0
847,1,0,0
848,1,0,0
849,1,1,0
850,1,0,1
851,1,0,0
852,1,0,0
853,1,0,0
854,1,1,1
855,1,1,1
856,1,1,0
857,1,0,0
858,1,0,1
859,1,0,0
860,1,1,0
861,1,0,0
862,1,0,0
863,0,0,0
864,0,0,0
865,1,0,0
866,1,0,0
867,1,1,0
868,1,0,0
869,1,1,0
870,1,0,0
