,4,3,2,0
0,1,0,1,0
1,1,0,1,0
2,1,1,1,1
3,0,1,0,1
4,1,0,0,1
5,1,0,0,1
6,0,0,0,1
7,1,1,1,0
8,1,1,0,1
9,1,0,1,0
10,0,1,0,1
11,1,1,0,0
12,0,1,0,1
13,1,1,0,1
14,1,1,0,1
15,1,0,1,0
16,1,0,1,1
17,1,0,0,1
18,1,0,0,1
19,1,1,0,1
20,1,0,0,1
21,1,0,1,0
22,1,1,0,1
23,1,0,1,0
24,1,1,0,1
25,1,1,0,1
26,1,1,1,0
27,1,0,0,1
28,0,1,0,1
29,1,0,1,1
30,1,1,1,0
31,1,1,0,1
32,1,0,1,0
33,1,0,0,0
34,1,0,0,1
35,1,1,0,1
36,1,1,1,0
37,0,0,0,1
38,0,1,0,1
39,0,0,1,0
40,1,0,1,1
41,0,1,0,1
42,1,0,1,0
43,1,0,1,0
44,0,1,1,1
45,1,0,0,0
46,0,0,0,0
47,1,0,0,0
48,1,0,1,1
49,1,1,1,1
50,0,1,0,1
51,1,1,0,1
52,1,1,0,1
53,1,0,0,1
54,1,1,1,1
55,1,1,0,1
56,1,0,1,0
57,1,0,1,1
58,1,0,1,0
59,1,0,0,1
60,1,0,0,1
61,1,0,1,0
62,0,1,0,1
63,1,1,0,1
64,1,1,0,1
65,1,0,1,0
66,1,1,0,1
67,1,0,0,1
68,1,0,1,1
69,1,1,0,0
70,1,0,0,1
71,1,0,0,1
72,0,0,0,1
73,1,0,0,1
74,1,0,1,0
75,1,1,0,1
76,1,1,1,0
77,1,0,1,0
78,1,0,1,0
79,0,1,1,1
80,1,0,0,0
81,1,0,0,1
82,1,1,0,1
83,1,1,1,0
84,1,1,0,1
85,0,0,1,0
86,1,0,0,1
87,1,0,1,1
88,1,1,0,1
89,0,1,0,1
90,1,1,1,1
91,1,1,0,1
92,1,0,1,0
93,1,0,1,0
94,0,0,0,1
95,1,0,1,0
96,1,0,1,0
97,0,0,1,0
98,1,1,0,1
99,1,0,0,1
100,1,0,1,0
101,1,1,1,0
102,1,0,1,1
103,1,0,0,1
104,1,0,0,0
105,0,0,0,1
106,1,1,1,1
107,1,0,1,0
108,0,1,0,1
109,1,1,0,1
110,1,0,1,0
111,1,0,0,1
112,1,1,1,0
113,1,1,0,1
114,1,1,0,1
115,1,1,0,1
116,0,1,0,1
117,1,0,1,0
118,1,0,1,1
119,1,0,0,0
120,1,1,0,1
121,1,0,0,1
122,1,1,1,1
123,1,1,0,1
124,1,1,1,0
125,1,1,1,1
126,1,1,1,1
127,1,0,1,0
128,1,0,1,0
129,1,1,0,1
130,1,0,1,0
131,1,0,1,0
132,0,0,0,1
133,1,0,0,1
134,1,1,0,1
135,0,0,0,1
136,0,0,0,0
137,1,0,0,0
138,0,0,0,1
139,1,1,0,1
140,0,1,0,1
141,1,0,0,0
142,0,1,0,1
143,1,1,0,1
144,1,0,0,0
145,1,1,0,1
146,1,0,0,1
147,1,1,0,1
148,1,0,1,0
149,0,0,0,1
150,1,0,0,0
151,1,1,0,1
152,1,0,1,0
153,1,1,1,0
154,1,0,1,0
155,1,0,0,1
156,1,0,1,0
157,1,1,1,0
158,1,1,1,1
159,1,0,1,0
160,0,0,0,1
161,0,1,1,0
162,0,0,1,0
163,1,0,1,0
164,1,0,1,0
165,1,1,1,1
166,1,1,0,1
167,0,1,0,1
168,1,0,0,1
169,1,1,0,1
170,1,1,1,1
171,1,1,0,1
172,1,0,1,0
173,1,0,1,0
174,1,1,0,1
175,0,0,0,0
176,1,1,0,1
177,1,0,1,0
178,1,1,1,0
179,1,1,0,1
180,1,0,1,0
181,1,1,1,0
182,1,1,0,1
183,1,1,1,1
184,1,0,1,0
185,0,0,0,1
186,1,1,1,0
187,0,1,0,1
188,1,1,1,0
189,0,1,0,1
190,1,0,1,1
191,1,1,0,1
192,1,1,1,1
193,1,1,0,1
194,0,1,1,1
195,1,0,0,1
196,0,1,1,1
197,1,1,1,1
198,1,0,1,1
199,1,1,1,1
200,1,1,0,1
201,1,0,1,0
202,1,1,0,1
203,1,1,0,0
204,0,1,1,1
205,1,1,0,1
206,1,0,1,0
207,0,1,0,1
208,1,1,0,1
209,1,0,1,0
210,1,0,1,0
211,1,0,0,0
212,1,0,0,1
213,1,1,0,1
214,1,1,1,0
215,1,1,1,1
216,1,1,0,1
217,1,1,0,0
218,1,0,1,0
219,1,1,1,1
220,1,0,0,0
221,0,0,0,0
222,1,0,0,1
223,1,0,0,1
224,1,1,1,0
225,1,1,1,0
226,0,1,0,1
227,1,1,1,0
