,5,4,2,1,0
0,1,1,1,1,0
1,0,0,0,1,1
2,1,1,1,0,0
3,1,1,1,1,0
4,0,0,0,1,1
5,0,0,0,1,1
6,1,1,1,1,0
7,0,0,0,1,1
8,0,0,0,1,1
9,1,1,1,0,1
10,1,0,1,0,0
11,0,0,0,1,1
12,1,0,1,0,0
13,0,0,0,1,1
14,0,0,0,1,1
15,1,1,1,0,0
16,1,1,1,1,0
17,0,0,0,1,1
18,1,1,1,1,0
19,0,0,0,1,1
20,0,0,0,1,1
21,0,0,0,1,1
22,0,0,0,1,1
23,0,0,0,1,0
24,0,0,0,1,1
25,1,1,1,0,0
26,0,0,0,1,1
27,0,0,0,1,0
28,0,0,0,1,1
29,0,0,0,1,1
30,0,0,0,0,1
31,0,0,0,1,1
32,0,0,0,1,0
33,1,1,1,1,0
34,0,0,0,1,1
35,0,0,0,1,1
36,0,0,0,1,1
37,0,0,0,1,0
38,0,0,0,1,0
39,0,0,0,1,1
40,1,1,1,0,1
41,0,0,0,1,1
42,0,0,0,1,0
43,1,1,1,1,0
44,1,1,1,0,0
45,0,0,0,1,1
46,1,1,1,1,0
47,1,1,1,0,0
48,0,0,0,1,1
49,0,0,0,1,1
50,1,1,1,0,0
51,0,0,0,1,1
52,1,1,0,1,0
53,0,0,0,1,1
54,1,0,1,0,0
55,0,0,0,1,1
56,1,1,1,0,0
57,0,0,0,1,1
58,0,0,0,1,1
59,0,0,0,1,1
60,0,0,0,1,1
61,1,1,1,1,0
62,1,1,1,0,0
63,0,0,0,0,1
64,0,0,0,1,1
65,0,0,0,1,1
66,0,0,0,1,1
67,0,0,0,1,1
68,1,1,1,0,0
69,0,0,0,1,1
70,1,1,1,1,1
71,0,1,0,1,0
72,0,0,0,1,1
73,1,1,1,0,1
74,0,0,0,1,1
75,0,0,0,1,0
76,1,1,1,0,0
77,0,0,0,1,1
78,0,0,0,1,1
79,0,0,0,1,1
80,0,0,0,1,1
81,0,0,0,1,1
82,0,0,0,1,1
83,1,1,1,1,0
84,1,1,1,1,0
85,0,0,0,1,1
86,1,0,1,0,0
87,0,0,0,1,1
88,0,0,0,1,0
89,0,0,0,1,1
90,1,1,1,1,0
91,0,0,0,1,1
92,0,0,0,1,1
93,0,0,0,1,1
94,0,0,0,1,0
95,1,1,1,0,0
96,0,0,0,1,1
97,0,0,0,1,1
98,0,0,0,1,1
99,0,0,0,1,1
100,0,0,0,1,1
101,1,0,1,0,0
102,1,1,1,1,0
103,0,0,0,1,1
104,0,1,0,0,1
105,0,0,0,1,1
106,0,0,0,1,1
107,0,0,0,1,1
108,1,1,1,1,0
109,0,0,0,1,1
110,0,0,0,1,1
111,0,0,0,1,1
112,0,0,0,1,0
113,1,1,1,0,0
114,0,0,1,0,0
115,0,0,0,1,1
116,1,1,1,0,0
117,1,1,1,0,0
118,0,0,0,1,1
119,0,0,0,1,1
120,0,0,0,1,1
121,0,0,1,1,1
122,0,0,0,0,1
123,0,0,0,1,1
124,1,1,1,0,0
125,1,1,1,1,0
126,0,1,0,0,1
127,0,0,0,1,1
128,0,0,0,1,1
129,0,0,0,1,1
130,0,0,0,1,1
131,0,0,0,1,1
132,0,0,0,1,1
133,0,0,0,1,1
134,1,1,1,0,1
135,1,1,1,1,0
136,0,0,0,1,1
137,0,0,0,1,1
138,1,1,1,0,1
139,0,0,0,1,1
140,0,0,0,1,1
141,0,0,0,1,1
142,0,0,0,1,1
143,0,0,0,1,1
144,0,0,0,1,1
145,0,0,0,1,1
146,0,0,0,1,0
147,0,0,0,1,1
148,0,0,0,1,1
149,1,1,0,1,0
150,0,0,0,1,1
151,0,0,0,1,0
152,0,0,0,1,1
153,0,0,0,0,1
154,0,0,0,1,1
155,0,0,0,1,1
156,0,0,0,1,0
157,0,0,0,1,1
158,0,1,0,1,1
159,0,0,0,1,1
160,0,0,0,1,1
161,0,0,0,1,1
162,0,0,0,1,1
163,0,0,0,1,1
164,1,1,1,1,0
165,0,0,0,1,1
