,6,5,4,3,1,0
0,0,0,0,0,1,0
1,1,1,0,1,1,0
2,0,1,0,0,0,1
3,1,1,1,1,0,0
4,1,1,0,1,1,0
5,0,0,0,1,1,0
6,1,0,0,1,1,0
7,1,0,0,1,0,1
8,1,0,0,1,1,0
9,0,1,0,0,0,1
10,1,1,0,1,1,0
11,0,1,1,1,0,1
12,1,0,0,0,1,0
13,0,0,0,0,0,1
14,0,0,1,0,0,0
15,0,0,1,1,0,0
16,1,1,1,1,0,0
17,1,0,0,0,0,1
18,1,0,0,1,1,0
19,1,1,0,1,0,1
20,1,1,1,1,0,0
21,1,1,1,1,0,1
22,1,1,1,1,0,0
23,0,1,1,1,0,0
24,1,0,0,1,1,0
25,0,1,1,1,0,1
26,0,0,0,0,0,1
27,1,0,0,0,0,1
28,1,0,0,1,1,0
29,0,1,1,0,1,1
30,0,0,0,1,1,0
31,0,0,0,1,0,1
32,0,1,0,0,0,1
33,1,0,0,1,1,0
34,0,1,1,1,0,0
35,0,1,1,0,0,0
36,1,0,1,1,0,1
37,0,1,0,0,1,0
38,1,0,0,1,1,0
39,1,0,0,1,1,0
40,0,0,0,1,1,0
41,1,0,0,1,1,0
42,1,0,0,1,1,0
43,1,0,0,1,1,0
44,0,1,1,1,1,1
45,1,0,0,1,1,0
46,0,1,1,0,0,1
47,1,0,0,1,0,1
48,1,1,1,1,0,0
49,1,1,0,1,0,1
50,1,0,0,1,0,1
51,1,0,0,1,1,0
52,0,0,0,0,1,0
53,0,1,0,1,1,0
54,0,1,1,0,0,1
55,1,0,0,1,1,0
56,1,0,0,1,0,1
57,1,0,0,0,1,0
58,1,0,0,1,1,0
59,1,1,0,1,1,0
60,0,0,0,0,1,0
61,0,0,0,0,1,0
62,1,0,0,1,1,0
63,1,0,0,1,0,1
64,1,0,0,1,1,0
65,0,1,1,1,0,1
66,0,0,0,1,1,0
67,1,0,0,0,0,1
68,1,0,0,1,1,0
69,1,1,0,1,0,1
70,1,0,0,0,0,1
71,1,1,1,1,0,1
72,1,0,0,1,1,0
73,1,0,0,1,1,0
74,0,0,0,1,0,1
75,0,0,0,1,0,1
76,0,0,0,0,1,0
77,0,1,1,1,0,0
78,1,0,0,1,1,0
79,1,0,0,1,0,1
80,1,0,0,1,1,0
81,0,1,0,0,0,1
82,1,0,0,1,1,0
83,0,1,1,0,0,1
84,1,1,1,1,1,1
85,1,1,1,1,0,0
86,0,1,1,1,0,1
87,0,0,0,0,1,0
88,0,1,0,0,0,1
89,0,1,1,1,0,0
90,0,1,1,1,0,0
91,1,0,0,1,1,0
92,1,0,0,1,0,1
93,1,0,0,1,0,1
94,1,0,0,1,1,0
95,0,0,0,0,1,0
96,1,0,0,1,1,0
97,0,1,1,1,0,0
98,1,1,1,1,0,0
99,1,0,0,1,1,0
100,0,1,1,1,0,0
101,0,1,1,0,0,0
102,0,1,0,0,1,0
103,0,1,0,1,0,1
104,1,0,0,1,1,0
105,1,1,1,1,0,1
106,0,1,1,1,0,1
107,0,1,1,1,0,0
108,0,1,0,0,0,1
109,1,1,1,1,0,1
110,1,0,0,0,0,1
111,0,0,0,1,1,0
112,1,0,1,1,0,0
113,0,0,0,1,1,0
114,1,0,0,1,1,0
115,0,0,0,0,1,0
116,0,0,0,0,1,0
117,1,0,0,1,1,0
118,0,0,0,0,1,0
119,1,1,1,1,0,1
120,1,0,0,1,0,1
121,0,0,1,1,0,0
122,1,1,1,1,0,0
123,0,0,0,0,1,0
124,1,1,0,1,1,0
125,0,1,0,0,1,0
126,1,0,0,0,0,1
127,1,0,0,1,1,0
128,0,1,1,0,0,0
129,0,1,0,1,1,0
130,0,1,1,0,1,1
131,0,1,1,0,0,1
132,0,1,1,1,0,1
133,0,1,1,1,0,0
134,0,1,1,1,0,0
135,0,1,0,0,1,0
136,1,1,1,0,0,0
137,0,0,1,0,0,0
138,0,1,0,1,1,0
139,0,0,0,0,0,1
140,1,0,0,0,0,1
141,1,0,0,1,1,0
142,1,1,1,0,0,1
143,0,1,1,1,0,0
144,0,0,1,0,0,1
145,0,0,0,0,1,0
146,1,1,0,1,1,0
147,0,1,0,0,1,0
148,1,0,0,1,1,0
149,0,1,0,1,1,0
150,1,0,0,1,1,0
151,1,0,0,0,0,1
152,1,1,1,1,0,0
153,1,0,0,0,0,1
