,2,1,0
0,1,0,1
1,0,0,1
2,1,1,1
3,1,1,1
4,1,0,1
5,0,1,1
6,0,1,1
7,0,0,1
8,0,0,1
9,1,1,1
10,1,0,1
11,1,1,1
12,0,0,1
13,1,1,1
14,0,0,1
15,1,1,1
16,0,1,1
17,1,1,1
18,0,0,1
19,0,1,1
20,1,0,1
21,0,1,1
22,1,0,1
23,1,0,1
24,1,0,1
25,1,0,1
26,1,0,1
27,1,1,1
28,1,1,1
29,0,1,1
30,0,1,1
31,0,1,1
32,0,1,1
33,1,0,1
34,1,1,1
35,0,1,1
36,0,1,1
37,0,1,1
38,0,0,1
39,1,1,1
40,1,0,1
41,1,0,1
42,1,1,1
43,1,0,1
44,0,0,1
45,1,0,1
46,1,0,1
47,1,1,1
48,1,0,1
49,1,1,1
50,1,0,1
51,0,0,1
52,1,1,1
53,0,0,1
54,0,0,1
55,1,0,1
56,0,0,1
57,1,1,1
58,1,1,1
59,1,0,1
60,0,0,1
61,0,0,1
62,1,0,1
63,1,0,1
64,0,1,1
65,0,0,1
66,1,1,1
67,1,1,1
68,1,0,1
69,1,1,1
70,0,1,1
71,1,0,1
72,1,0,1
73,0,0,1
74,0,0,1
75,0,0,1
76,1,1,1
77,0,0,1
78,1,0,1
79,0,0,1
80,0,1,1
81,0,1,1
82,1,1,1
83,0,0,1
84,0,1,1
85,1,1,1
86,0,1,1
87,0,1,1
88,0,1,1
89,0,0,1
90,0,0,1
91,0,1,1
92,1,0,1
93,1,0,1
94,1,1,1
95,0,1,1
96,0,1,1
97,1,0,1
98,1,0,1
99,1,1,1
100,0,1,1
101,1,1,1
102,1,0,1
103,1,1,1
104,1,0,1
105,1,1,1
106,1,0,1
107,0,1,1
108,1,1,1
109,0,1,1
110,1,1,1
111,0,0,1
112,1,0,1
113,0,0,1
114,1,1,1
115,0,0,1
116,0,0,1
117,1,1,1
118,0,1,1
119,0,0,1
120,1,1,1
121,1,0,1
122,0,1,1
123,1,0,1
124,1,1,1
125,1,1,1
126,0,0,1
127,1,1,1
128,1,0,1
129,0,1,1
130,0,0,1
131,0,0,1
132,1,1,1
133,1,1,1
134,1,0,1
135,0,0,1
136,1,1,1
137,0,0,1
138,1,1,1
139,1,1,1
140,1,0,1
141,1,0,1
142,1,1,1
143,0,0,1
144,1,0,1
145,1,0,1
146,0,1,1
147,0,1,1
148,1,0,1
149,0,0,1
150,0,1,1
151,1,1,1
152,0,1,1
153,0,1,1
154,1,1,1
155,0,0,1
156,0,1,1
157,0,0,1
158,0,0,1
159,1,1,1
160,1,1,1
161,0,0,1
162,1,0,1
163,1,0,1
164,0,1,1
165,0,1,1
166,1,1,1
167,0,1,1
168,0,0,1
169,1,1,1
170,1,0,1
171,0,0,1
172,1,1,1
173,1,0,1
174,1,1,1
175,0,1,1
176,1,1,1
177,0,0,1
178,1,0,1
179,0,1,1
180,1,0,1
181,0,1,1
182,0,1,1
183,0,0,1
184,1,0,1
185,0,0,1
186,0,1,1
187,1,1,1
188,0,1,1
189,1,0,1
190,1,0,1
191,0,1,1
192,0,0,1
193,1,1,1
194,0,0,1
195,1,0,1
196,1,0,1
197,0,0,1
198,1,0,1
199,1,1,1
200,0,0,1
201,0,0,1
202,1,1,1
203,1,1,1
204,0,1,1
205,1,0,1
206,0,0,1
207,0,0,1
208,1,0,1
209,1,1,1
210,0,1,1
211,0,0,1
212,0,0,1
213,1,0,1
214,1,1,1
215,1,0,1
216,1,0,1
217,0,1,1
218,1,0,1
219,1,0,1
220,1,0,1
221,1,0,1
222,1,1,1
223,0,1,1
224,0,0,1
225,1,0,1
226,1,0,1
227,0,1,1
228,0,0,1
229,0,1,1
230,0,0,1
231,1,0,1
232,1,0,1
233,0,0,1
234,0,0,1
235,1,0,1
236,0,1,1
237,1,0,1
238,0,0,1
239,1,1,1
240,1,0,1
241,0,1,1
