,2,1,0
0,0,1,0
1,0,0,0
2,1,0,0
3,0,0,0
4,0,1,0
5,0,0,0
6,1,0,0
7,1,0,0
8,1,1,0
9,1,1,0
10,1,0,0
11,0,0,0
12,1,0,0
13,1,1,0
14,0,1,0
15,0,1,0
16,0,0,0
17,1,0,0
18,1,1,0
19,1,0,0
20,0,1,0
21,0,0,0
22,1,0,0
23,0,0,0
24,1,1,0
25,0,0,0
26,0,0,0
27,1,0,0
28,0,0,0
29,1,0,0
30,1,1,0
31,0,0,0
32,0,1,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,1,0
38,1,0,0
39,0,0,0
40,0,0,0
41,1,1,0
42,0,0,0
43,0,0,0
44,0,1,0
45,0,0,0
46,0,0,0
47,1,1,0
48,0,0,0
49,0,0,0
50,1,0,0
51,0,1,0
52,0,1,0
53,0,0,0
54,0,0,0
55,0,1,0
56,1,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,1,0
65,0,0,0
66,0,0,0
67,1,0,0
68,0,0,0
69,0,1,0
70,0,1,0
71,0,1,0
72,1,1,0
73,0,0,0
74,1,0,0
75,0,0,0
76,1,0,0
77,1,1,0
78,0,1,0
79,1,0,0
80,1,1,0
81,1,0,0
82,0,0,0
83,0,0,0
84,1,0,0
85,0,1,0
86,0,0,0
87,1,0,0
88,0,0,0
89,1,1,0
90,0,0,0
91,0,0,0
92,1,0,0
93,1,0,0
94,1,0,0
95,1,1,0
96,1,0,0
97,1,0,0
98,0,1,0
99,0,1,0
100,0,0,0
101,1,0,0
102,0,0,0
103,1,0,0
104,1,1,0
105,1,0,0
106,1,0,0
107,1,0,0
108,1,0,0
109,1,1,0
110,0,0,0
111,0,1,0
112,1,0,0
113,0,1,0
114,0,0,0
115,1,0,0
116,0,0,0
117,0,0,0
118,1,0,0
119,0,0,0
120,1,0,0
121,0,1,0
122,1,0,0
123,0,0,0
124,1,1,0
125,1,0,0
126,1,0,0
127,1,1,0
128,0,0,0
129,0,1,0
130,1,0,0
131,0,0,0
132,0,1,0
133,0,0,0
134,1,0,0
135,1,0,0
136,1,0,0
137,1,0,0
138,1,0,0
139,0,0,0
