,2,1,0
0,0,0,1
1,1,0,1
2,1,1,0
3,1,0,1
4,1,0,1
5,0,1,1
6,0,1,1
7,0,1,1
8,1,1,1
9,1,0,1
10,0,1,1
11,0,1,1
12,1,0,1
13,1,1,1
14,0,1,1
15,0,1,1
16,1,1,0
17,1,0,1
18,0,1,1
19,0,0,1
20,0,1,1
21,1,0,0
22,1,1,0
23,0,0,1
24,1,1,1
25,0,0,1
26,0,1,1
27,0,1,1
28,0,0,1
29,0,1,0
30,0,1,0
31,0,1,1
32,0,0,0
33,0,1,0
34,1,0,1
35,1,0,1
36,1,0,0
37,0,1,0
38,1,0,1
39,1,0,1
40,0,0,1
41,0,1,0
42,0,1,0
43,1,1,1
44,0,1,1
45,1,0,1
46,0,1,1
47,0,1,1
48,0,1,1
49,0,0,1
50,0,1,1
51,0,1,0
52,1,0,1
53,0,1,1
54,0,0,1
55,1,0,1
56,0,1,1
57,0,1,0
58,1,0,0
59,0,0,1
60,0,1,0
61,0,0,1
62,1,1,1
63,0,1,1
64,1,0,1
65,0,1,0
66,1,1,0
67,1,0,1
68,0,0,1
69,1,0,1
70,1,1,1
71,1,1,0
72,1,0,1
73,1,0,0
74,0,1,1
75,0,1,1
76,0,1,1
77,0,1,0
78,1,0,1
79,0,1,1
80,0,1,1
81,0,0,1
82,0,1,1
83,1,1,0
84,0,1,0
85,0,1,0
86,1,0,1
87,0,1,1
88,0,1,1
89,0,1,0
90,1,0,1
91,1,0,1
92,1,1,1
93,1,0,1
94,0,1,1
95,0,1,1
96,1,0,1
97,1,0,1
98,1,1,0
99,0,1,1
100,1,0,1
101,1,0,1
102,0,1,1
103,1,0,1
104,0,1,1
105,1,1,1
106,1,0,1
107,0,1,1
108,1,0,1
109,0,1,1
110,0,0,1
111,1,0,1
112,0,1,0
113,1,1,0
114,0,1,1
115,1,0,1
116,0,0,1
117,1,0,1
118,0,1,0
119,0,0,0
120,1,1,0
121,1,1,1
122,1,1,1
123,0,0,1
124,1,1,0
125,0,1,0
126,0,1,0
127,1,0,0
128,0,0,1
129,0,1,0
130,1,1,1
131,0,1,1
132,1,0,0
133,1,1,1
134,0,0,1
135,1,1,1
136,1,1,0
137,1,0,1
138,1,1,1
139,1,0,1
140,1,0,0
141,0,1,1
142,0,0,1
143,0,1,1
144,0,1,1
145,1,1,0
146,1,0,1
147,0,0,0
