,4,3,2
0,1,1,1
1,0,1,1
2,1,1,1
3,1,1,1
4,1,0,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,1,0
9,1,1,1
10,1,1,1
11,1,1,1
12,0,1,1
13,1,0,1
14,1,1,1
15,1,1,1
16,0,1,1
17,1,1,1
18,1,1,0
19,0,1,1
20,0,1,0
21,1,1,1
22,1,1,0
23,1,1,1
24,1,1,1
25,1,1,1
26,1,0,1
27,0,0,1
28,1,1,0
29,1,1,1
30,1,1,0
31,0,1,1
32,1,1,1
33,1,0,1
34,0,1,1
35,1,1,1
36,0,1,1
37,1,1,1
38,1,0,1
39,1,1,1
40,1,1,1
41,1,1,1
42,0,1,1
43,1,0,0
44,1,1,1
45,1,1,1
46,1,1,1
47,1,1,1
48,1,1,1
49,0,0,1
50,1,1,0
51,1,1,1
52,0,1,0
53,1,1,1
54,0,1,1
55,0,0,1
56,1,0,1
57,0,1,0
58,1,1,0
59,1,1,1
60,1,1,1
61,1,1,1
62,1,1,1
63,1,1,0
64,1,1,1
65,0,0,1
66,0,0,0
67,0,1,1
68,1,1,1
69,1,1,1
70,1,1,1
71,1,1,1
72,1,0,1
73,1,1,1
74,1,0,0
75,0,1,1
76,1,1,0
77,1,1,1
78,0,1,1
79,1,1,1
80,1,1,1
81,1,1,1
82,1,1,1
83,1,1,1
84,1,1,1
85,0,1,1
86,1,1,1
87,0,1,1
88,1,1,1
89,1,1,1
90,1,1,1
91,1,1,1
92,1,1,1
93,1,1,1
94,1,1,1
95,1,1,0
96,1,1,0
97,1,1,1
98,1,1,1
99,1,1,1
100,1,1,1
101,1,1,0
102,1,1,1
103,1,0,1
104,1,1,1
105,1,1,0
106,0,0,1
107,1,0,1
108,1,1,1
109,0,1,1
110,1,0,1
111,1,1,1
112,1,1,1
113,1,0,1
114,1,1,0
115,1,1,1
116,1,1,1
117,1,1,1
118,1,1,1
119,1,0,1
120,0,1,1
121,1,1,1
122,1,1,1
123,0,0,1
124,1,1,1
125,1,1,1
126,1,1,1
127,1,1,1
128,0,1,1
129,1,1,1
130,0,1,1
131,1,0,1
132,1,1,1
133,1,1,1
134,1,1,1
135,0,0,0
136,1,1,1
137,1,1,1
138,1,1,1
139,1,1,1
140,1,1,0
141,1,1,1
142,1,1,1
143,1,1,1
144,1,1,1
145,1,1,1
146,1,1,1
147,1,1,1
148,1,1,0
149,1,1,1
150,1,1,1
151,0,0,1
152,1,1,1
153,1,0,1
154,1,1,1
155,1,1,1
156,1,1,1
157,1,1,0
158,1,1,1
159,1,1,1
160,1,0,1
161,1,0,1
162,1,1,1
163,1,1,1
164,1,1,0
165,1,1,1
166,1,1,1
167,1,1,0
168,1,1,1
169,0,1,1
170,0,1,1
171,1,1,1
172,1,1,1
173,0,1,1
174,1,0,1
175,1,1,0
176,0,1,1
177,1,1,1
178,1,1,0
179,1,0,0
180,1,1,0
181,1,1,1
182,0,1,1
183,1,1,1
184,1,1,1
185,1,1,1
186,1,1,1
187,1,1,0
188,1,0,1
189,1,1,1
190,1,1,1
191,1,1,1
192,1,1,0
193,1,1,0
194,1,1,1
195,0,1,1
196,1,1,1
197,1,1,1
198,1,1,0
199,1,1,0
200,1,1,1
201,1,1,1
202,1,1,1
203,1,1,1
204,1,1,1
205,1,1,1
206,1,1,0
207,1,1,1
208,0,1,0
209,1,1,1
210,1,1,1
211,1,1,1
212,1,1,1
213,1,1,1
214,1,1,1
215,1,1,1
216,1,0,1
217,1,1,1
218,1,1,1
219,0,1,1
220,1,1,1
221,0,0,1
222,0,1,0
223,1,1,1
224,1,1,1
225,1,1,1
226,1,1,0
227,1,1,1
228,1,1,1
229,1,1,1
230,1,1,1
231,0,1,1
232,1,1,1
233,1,1,1
234,1,0,1
235,1,1,0
236,1,1,1
237,1,1,1
238,0,1,1
239,1,1,1
240,1,1,1
241,0,0,1
242,1,0,1
243,1,1,1
244,1,1,1
245,0,1,1
246,1,0,1
247,1,1,1
248,1,1,1
249,1,1,1
250,1,1,1
251,1,1,1
252,1,1,1
253,1,1,1
254,0,0,1
255,1,0,1
256,1,1,1
257,0,0,1
258,1,0,0
259,1,1,1
260,1,1,0
261,1,1,0
262,0,1,1
263,0,1,1
264,1,1,1
265,1,1,1
266,1,1,1
267,1,1,0
268,1,1,1
269,0,0,1
270,0,0,1
271,1,1,1
272,0,1,1
273,1,1,1
274,1,1,1
275,1,0,1
276,1,1,1
277,1,1,1
278,1,1,1
279,0,1,1
280,1,1,1
281,1,1,1
282,1,1,1
283,1,1,1
284,1,1,1
285,1,0,1
286,1,1,1
287,1,0,1
288,1,1,1
289,1,1,1
290,0,1,1
291,1,1,0
292,1,1,1
293,1,1,1
294,1,1,1
295,1,1,0
296,1,1,1
297,1,1,0
298,1,1,1
299,1,1,1
300,0,0,1
301,1,1,1
302,1,1,1
303,1,1,1
304,1,1,1
305,0,0,1
306,1,1,1
307,1,1,1
308,1,1,1
309,1,0,1
310,0,0,1
311,0,1,1
312,1,1,0
313,1,1,1
314,1,1,1
315,1,1,1
316,1,1,1
317,1,1,1
318,1,1,1
319,1,1,1
320,1,0,1
321,1,1,1
322,1,0,1
323,1,1,1
324,1,1,1
325,1,1,1
326,0,1,1
327,0,1,1
328,1,1,1
329,1,1,0
330,1,1,0
331,1,1,1
332,1,1,1
333,1,1,1
334,0,1,1
335,1,1,1
336,1,1,1
337,1,1,1
338,1,1,1
339,1,1,1
340,1,1,1
341,1,1,1
342,1,1,0
343,1,0,1
344,1,0,1
345,1,1,1
346,1,1,0
347,1,1,1
348,1,1,0
349,1,1,1
350,1,0,1
351,1,1,1
352,0,0,0
353,1,1,0
354,1,1,1
355,1,1,1
356,0,0,1
357,1,1,1
358,1,1,1
359,1,0,0
360,1,1,1
361,1,1,1
362,1,1,1
363,1,1,1
364,1,1,1
365,1,1,1
366,1,1,0
367,1,0,0
368,1,1,0
369,1,1,0
370,1,1,1
371,1,1,1
372,1,0,0
373,1,1,1
374,1,1,1
375,1,1,0
376,1,1,1
377,1,1,1
378,1,1,1
379,1,1,1
380,1,1,0
381,1,1,1
382,1,1,1
383,1,1,1
384,0,1,1
385,0,1,0
386,0,0,1
387,1,1,1
388,1,1,1
389,1,1,0
390,1,1,1
391,0,0,1
392,1,1,1
393,0,0,1
394,1,0,1
395,1,1,1
396,1,1,0
397,1,1,1
398,0,1,1
399,1,1,1
400,1,1,1
401,1,1,0
402,1,1,1
403,1,1,1
404,1,1,1
405,0,1,0
406,1,1,1
407,1,1,1
408,1,1,1
409,1,0,1
410,1,1,1
411,1,1,1
412,1,1,1
413,1,1,0
414,1,1,1
415,0,0,1
416,1,1,1
417,0,0,1
418,1,1,1
419,1,1,0
420,1,1,1
421,0,1,1
422,0,1,1
423,1,1,1
424,1,1,1
425,1,1,1
426,1,1,1
427,1,1,1
428,1,1,1
429,1,0,1
430,1,1,0
431,0,1,1
432,1,1,1
433,1,1,1
434,1,1,1
435,0,1,0
436,1,1,1
437,1,1,1
438,1,1,0
439,1,1,1
440,1,1,1
441,1,1,1
442,1,0,0
443,1,1,1
444,1,1,1
445,1,1,1
446,0,1,1
447,1,0,1
448,1,0,1
449,0,1,1
450,1,1,0
451,1,1,1
452,1,1,1
453,1,1,1
454,1,1,0
455,1,1,1
456,1,1,1
457,1,1,1
458,1,1,1
459,1,1,1
460,1,1,1
461,1,1,1
462,1,1,1
463,1,1,1
464,1,1,1
465,0,1,0
466,1,1,1
467,1,1,1
468,1,1,1
469,1,1,1
470,1,0,1
471,0,1,1
472,1,1,0
473,1,1,1
474,1,1,0
475,1,1,1
476,1,1,1
477,0,1,0
478,1,1,1
479,1,1,1
480,1,1,1
481,0,1,1
482,1,1,1
483,1,1,1
484,0,1,0
485,0,1,1
486,1,1,1
487,1,1,1
488,1,1,1
489,1,1,1
490,0,1,1
491,1,1,1
492,1,1,1
493,1,1,1
494,1,1,1
495,1,1,1
496,0,1,1
497,1,1,1
498,1,1,1
499,1,1,1
500,1,1,1
501,1,1,0
502,1,0,1
503,1,0,1
504,1,1,0
505,1,1,1
506,1,1,1
507,1,1,1
508,1,0,1
509,0,1,1
510,1,1,0
511,1,1,1
512,1,1,1
513,1,1,1
514,1,1,1
515,1,1,1
516,1,1,1
517,0,1,1
518,0,1,1
519,1,0,1
520,1,1,1
521,1,1,1
522,1,1,1
523,1,1,0
524,1,0,1
525,1,1,1
526,1,1,1
527,0,1,0
528,1,1,0
529,0,1,1
530,1,1,1
531,1,0,1
532,1,1,1
533,0,0,1
534,0,0,1
535,1,1,1
536,1,0,1
537,1,1,1
538,1,1,1
539,0,1,1
540,1,1,1
541,1,1,1
542,1,1,1
543,1,1,0
544,1,1,1
545,0,1,0
546,1,1,1
547,1,1,0
548,1,1,1
549,1,1,1
550,1,1,1
551,1,1,1
552,1,0,1
553,0,1,1
554,1,1,1
555,1,1,1
556,0,1,0
557,1,1,0
558,1,1,1
559,1,1,1
560,1,0,0
561,1,0,1
562,1,1,0
563,1,1,1
564,1,0,0
565,1,1,0
566,1,1,1
567,1,1,1
568,1,1,1
569,1,1,1
570,0,0,1
571,1,1,0
572,0,1,1
573,1,1,1
574,0,1,1
575,1,1,1
576,1,1,1
577,0,0,1
578,1,1,1
579,1,1,0
580,1,0,1
581,1,1,1
582,1,1,1
583,1,1,0
584,1,1,1
585,1,1,1
586,1,1,0
587,1,0,1
588,0,1,1
589,1,1,1
590,1,1,1
591,1,1,0
592,0,1,0
593,1,1,1
594,1,1,1
595,1,1,1
596,1,0,1
597,1,1,1
598,1,0,1
599,1,1,1
600,0,1,1
601,1,0,1
602,0,1,0
603,1,0,1
604,1,1,1
605,1,1,1
606,1,1,1
607,0,1,1
608,1,1,1
609,0,1,1
610,1,1,0
611,1,1,1
612,1,1,1
613,1,1,1
614,1,1,0
615,0,0,1
616,1,1,1
617,1,1,1
618,1,1,1
619,1,1,1
620,0,1,1
621,1,1,1
622,0,0,1
623,0,1,1
624,0,1,1
625,1,1,1
626,1,1,1
627,1,0,1
628,1,1,1
629,0,0,0
630,0,0,1
631,0,1,1
632,1,1,1
633,1,1,1
634,1,0,1
635,0,1,1
636,1,1,1
637,1,1,0
638,1,1,1
639,1,0,0
640,1,1,0
641,1,1,1
642,0,1,1
643,0,0,1
644,0,0,1
645,1,1,1
646,1,0,1
647,0,1,1
648,1,0,1
649,1,1,1
650,1,1,1
651,1,1,1
652,0,1,0
653,1,1,1
654,1,1,1
655,1,0,1
656,1,1,1
657,1,1,1
658,1,1,1
659,1,0,1
660,0,0,0
661,1,1,1
662,0,1,1
663,1,1,1
664,1,1,1
