,5,4,3,1
0,0,1,0,1
1,0,0,1,0
2,0,0,1,1
3,0,0,1,1
4,0,1,0,1
5,0,1,0,1
6,1,0,1,1
7,0,0,1,1
8,0,0,1,1
9,0,0,1,1
10,0,0,1,1
11,0,0,1,1
12,0,0,1,1
13,0,0,1,1
14,0,0,1,1
15,0,0,1,1
16,0,1,0,1
17,0,1,0,1
18,1,1,0,0
19,0,0,1,1
20,0,0,1,1
21,0,1,0,1
22,1,0,1,1
23,0,0,1,1
24,0,0,1,1
25,0,0,1,1
26,0,1,0,1
27,0,0,1,1
28,0,0,1,1
29,0,0,1,1
30,1,0,1,1
31,0,1,0,1
32,0,1,0,1
33,1,0,1,1
34,0,0,1,0
35,0,0,1,0
36,0,1,0,1
37,0,0,1,1
38,0,0,1,1
39,0,0,1,1
40,0,1,0,1
41,0,1,0,1
42,0,0,1,1
43,0,0,1,1
44,0,1,0,1
45,1,0,1,1
46,0,0,1,1
47,0,0,1,1
48,0,1,0,1
49,0,0,1,1
50,0,0,1,1
51,0,0,1,1
52,0,1,0,1
53,0,0,1,1
54,0,0,1,1
55,0,0,1,1
56,1,1,0,0
57,0,0,1,1
58,0,1,0,1
59,1,0,1,1
60,0,0,1,1
61,0,0,1,1
62,0,0,1,1
63,0,0,1,1
64,0,0,1,1
65,0,1,0,1
66,0,0,1,1
67,0,1,0,1
68,0,0,1,1
69,1,0,1,1
70,0,0,1,1
71,0,0,1,1
72,0,1,1,1
73,0,0,1,1
74,0,1,0,1
75,0,0,1,1
76,0,1,0,1
77,1,0,1,1
78,0,0,1,1
79,1,1,0,0
80,0,0,1,1
81,1,1,0,0
82,1,0,1,1
83,0,0,1,0
84,0,0,1,1
85,0,1,0,1
86,0,0,1,1
87,0,1,0,1
88,1,1,0,0
89,0,1,0,1
90,1,1,0,0
91,0,0,1,1
92,0,1,0,1
93,1,0,1,1
94,0,1,0,1
95,0,0,1,1
96,0,1,0,1
97,0,0,1,1
98,0,0,1,1
99,0,0,1,1
100,0,1,0,1
101,0,0,1,1
102,0,1,0,1
103,0,0,1,1
104,0,0,1,1
105,1,1,0,0
106,0,1,0,1
107,1,0,1,1
108,1,1,0,0
109,0,0,1,1
110,0,1,0,1
111,0,0,1,1
112,1,1,0,0
113,0,0,1,1
114,0,1,0,1
115,0,0,1,1
116,0,0,1,1
117,0,0,1,1
118,0,0,1,1
119,0,1,0,1
120,0,1,0,1
121,0,1,0,1
122,0,0,1,0
123,0,0,1,1
124,0,1,0,1
125,1,1,0,0
126,0,0,1,1
127,1,0,1,1
128,1,0,1,1
129,0,0,1,1
130,0,0,1,1
131,0,0,0,1
132,0,0,1,1
133,0,0,1,0
134,0,0,1,1
135,0,0,1,1
136,0,0,1,1
137,1,1,0,0
138,1,0,1,1
139,0,0,1,1
140,1,1,0,0
141,0,1,0,1
142,0,0,1,1
143,0,0,1,1
144,0,0,1,1
145,0,0,1,1
146,0,0,1,1
147,0,0,1,1
148,0,1,0,1
149,0,1,0,1
150,1,1,0,0
151,0,0,1,1
152,0,1,0,1
153,0,0,1,1
154,0,0,1,1
155,1,1,0,0
156,0,0,1,1
157,0,0,1,1
158,0,0,1,1
159,0,0,1,1
160,0,0,1,1
161,0,0,1,1
162,0,0,0,1
163,1,1,0,0
164,0,0,1,1
165,0,0,1,1
166,0,0,0,1
167,0,1,0,1
168,0,0,1,1
169,1,1,0,0
170,0,1,0,1
171,0,0,1,1
172,0,0,1,1
173,0,0,1,1
174,0,1,0,1
175,0,1,0,1
176,0,1,0,1
177,0,1,0,1
178,0,0,1,1
179,0,1,0,1
180,0,0,1,1
181,0,0,1,1
182,1,1,0,0
183,0,1,0,1
184,0,1,0,1
185,0,0,1,1
186,0,0,1,1
187,0,1,0,1
188,0,0,1,1
189,1,0,1,1
190,0,0,1,1
191,0,0,1,1
192,0,0,1,1
193,0,0,1,1
194,0,0,1,1
195,0,1,0,1
196,0,0,1,1
197,0,0,1,1
198,1,1,0,0
199,0,0,1,1
200,0,1,0,1
201,0,0,1,1
202,1,1,0,0
203,0,0,1,1
204,1,1,0,0
205,0,0,1,0
206,0,1,0,1
207,0,0,1,1
208,0,0,1,1
209,0,0,1,1
210,0,0,1,0
211,0,1,0,1
212,0,1,0,1
213,0,0,1,0
214,0,1,0,1
215,0,1,0,1
