,5,4,3,2,1,0
0,0,1,1,1,0,0
1,0,0,1,0,0,0
2,0,1,1,1,0,1
3,1,0,1,0,1,0
4,0,1,1,1,0,1
5,0,1,1,1,0,1
6,0,0,0,0,1,0
7,0,1,1,0,0,0
8,0,0,1,0,0,0
9,0,1,1,0,0,0
10,0,1,1,1,0,1
11,0,1,1,0,0,0
12,0,1,1,1,0,1
13,0,1,1,0,0,0
14,1,0,1,0,1,0
15,0,1,1,0,0,0
16,1,0,1,0,1,0
17,1,0,0,1,1,0
18,0,0,1,0,0,0
19,1,1,1,1,0,1
20,1,0,1,0,1,0
21,0,1,1,0,0,1
22,1,1,1,0,0,0
23,0,1,1,1,0,1
24,0,1,0,0,0,0
25,1,0,1,0,1,0
26,0,1,0,1,0,1
27,0,1,1,0,0,1
28,0,1,1,0,0,0
29,0,1,1,0,0,0
30,0,0,1,1,1,1
31,0,0,1,0,1,0
32,0,1,1,0,0,0
33,0,1,1,0,0,0
34,0,1,1,0,0,1
35,0,0,1,0,1,0
36,1,1,1,0,0,1
37,0,1,1,0,0,0
38,1,0,1,0,1,0
39,0,0,1,0,1,0
40,0,1,1,0,0,0
41,0,0,1,0,1,0
42,1,0,1,0,1,0
43,0,1,1,0,0,1
44,0,1,1,0,0,0
45,0,1,1,1,0,1
46,0,1,1,0,0,1
47,0,0,1,0,1,0
48,0,0,1,0,1,0
49,0,0,1,0,0,0
50,0,1,1,1,0,1
51,1,1,1,1,0,1
52,1,0,1,0,1,0
53,1,0,1,0,1,0
54,0,0,1,0,1,1
55,0,1,1,0,0,0
56,0,1,1,0,0,0
57,1,0,1,0,1,0
58,1,1,1,0,0,0
59,1,0,1,0,1,0
60,0,0,1,0,1,0
61,0,1,1,1,0,1
62,0,1,1,0,0,1
63,0,1,1,0,1,0
64,1,1,0,1,1,1
65,1,0,1,0,1,0
66,0,1,1,0,0,0
67,0,0,1,0,1,0
68,1,0,1,0,1,0
69,1,1,1,1,0,1
70,1,1,1,0,0,0
71,0,0,1,0,1,1
72,0,1,1,0,0,0
73,0,1,1,0,0,0
74,0,0,1,0,1,0
75,0,0,1,0,1,0
76,1,0,1,0,1,0
77,1,0,0,0,1,0
78,1,0,1,0,1,0
79,0,1,1,1,0,0
80,1,1,1,0,1,0
81,0,0,0,0,1,0
82,0,1,0,1,0,1
83,1,0,1,0,1,0
84,0,0,1,0,1,0
85,1,0,1,0,0,1
86,1,1,1,1,0,1
87,0,1,1,1,0,1
88,0,0,1,0,1,0
89,0,0,1,0,0,1
90,1,1,1,1,0,1
91,0,1,1,0,0,1
92,0,1,1,0,0,1
93,0,1,1,0,0,0
94,1,1,1,1,1,1
95,1,0,1,0,1,0
96,0,1,0,0,0,0
97,1,1,1,1,0,1
98,1,0,1,0,1,0
99,1,0,1,0,1,0
100,0,1,1,0,0,0
101,1,1,0,1,0,1
102,1,0,1,0,1,0
103,0,1,0,1,0,1
104,0,1,1,0,0,0
105,0,0,1,0,1,0
106,1,1,1,0,0,0
107,1,1,1,0,0,0
108,0,1,1,0,0,0
109,0,1,1,0,0,0
110,0,1,1,0,0,0
111,0,1,1,0,0,0
112,1,0,1,0,1,0
113,1,0,1,0,1,0
114,0,1,1,0,0,0
115,1,0,1,0,1,0
116,1,1,1,1,0,0
117,0,1,1,0,0,0
118,0,0,1,0,0,0
119,1,1,1,0,1,0
120,0,1,1,0,0,1
121,0,1,1,0,0,0
122,0,0,1,0,1,0
123,0,1,1,0,0,0
124,1,0,1,0,1,0
125,0,1,1,0,0,0
126,0,1,1,0,0,0
127,1,0,1,0,1,0
128,0,1,1,0,0,0
129,0,1,1,0,0,0
130,1,1,1,1,1,1
131,0,0,1,0,1,0
132,0,1,1,0,0,0
133,0,1,1,0,0,0
134,0,1,1,0,0,0
135,0,1,1,0,0,1
136,0,1,1,0,0,0
137,0,1,1,1,0,1
138,0,1,1,1,0,1
139,0,0,1,0,1,0
140,0,0,0,0,0,0
141,1,1,1,0,0,0
142,1,0,1,0,1,0
143,0,1,1,0,0,0
144,0,1,1,0,0,0
145,0,1,1,0,0,1
146,0,1,1,0,0,0
147,0,0,1,0,0,0
148,0,1,1,1,0,0
149,0,1,1,0,0,0
150,0,1,1,0,0,1
151,1,0,1,0,1,0
152,1,1,1,0,0,1
153,0,1,1,0,0,0
154,0,1,1,0,0,0
155,1,1,1,0,0,0
156,0,1,1,0,0,0
157,0,1,0,1,1,1
158,0,1,1,0,0,0
159,1,0,1,0,1,0
160,0,1,1,1,0,1
161,0,1,1,0,0,0
162,0,1,1,0,0,0
163,0,0,1,0,1,0
164,1,1,1,0,0,0
165,0,1,1,0,0,0
166,1,1,1,1,1,0
167,1,0,1,0,1,0
168,0,1,1,0,0,1
169,0,1,1,1,0,1
170,1,1,0,1,0,0
171,0,1,1,0,0,0
172,0,0,1,0,1,0
173,0,1,1,1,0,0
174,0,1,1,0,0,0
175,0,1,1,0,0,0
176,1,1,1,0,0,1
177,0,1,1,0,0,0
178,0,1,1,0,0,0
179,0,1,1,0,0,1
180,0,1,1,1,0,1
181,0,1,1,1,0,0
182,0,1,1,0,0,0
183,1,1,1,1,0,1
184,0,1,1,0,0,0
185,0,1,1,0,0,1
186,0,1,1,0,0,1
187,1,1,1,1,1,0
188,0,0,1,0,0,0
189,0,1,0,1,0,1
190,0,1,1,0,0,0
191,0,1,1,0,0,1
192,1,1,1,1,1,0
193,1,0,1,0,1,0
194,1,1,1,0,0,1
195,0,1,1,0,0,1
196,1,1,1,0,0,0
197,0,1,0,1,0,1
198,1,1,0,1,1,1
199,0,1,1,0,0,1
200,1,0,1,0,1,0
201,0,1,1,0,1,0
202,0,1,1,0,1,0
203,0,1,1,0,0,0
204,0,1,1,0,0,0
205,0,1,1,0,0,0
206,0,1,1,0,0,0
207,0,1,1,0,0,1
208,0,0,1,0,1,0
209,1,0,1,0,1,0
210,1,0,1,0,0,0
211,1,1,1,0,0,0
212,0,0,1,0,1,0
213,1,0,1,0,1,0
214,0,1,1,0,0,0
215,0,1,1,1,0,1
216,0,1,1,1,1,0
217,1,0,1,0,1,1
218,0,0,1,0,1,0
219,1,0,1,0,1,0
220,0,1,1,1,0,1
221,1,1,1,1,1,0
222,1,0,1,0,1,0
223,1,0,1,0,1,0
224,0,1,1,0,0,0
225,0,1,1,0,0,0
226,1,0,1,1,1,1
227,0,0,1,0,1,0
228,1,0,1,0,1,0
229,1,0,1,0,1,0
230,1,0,1,0,1,0
231,0,0,1,0,0,1
232,0,1,1,0,0,0
233,1,1,0,1,0,1
234,0,1,1,0,0,0
235,0,0,1,0,1,0
236,0,1,1,0,0,1
237,0,1,0,1,0,1
238,0,1,1,1,0,1
239,0,1,1,0,0,1
240,0,0,1,0,0,0
241,0,1,1,0,0,0
242,0,1,0,0,0,0
243,0,1,0,1,0,1
244,0,1,1,0,0,0
245,0,1,1,1,0,1
246,0,0,1,0,1,0
247,0,1,1,1,0,1
248,1,1,1,0,0,0
249,0,1,1,0,0,0
250,0,1,1,1,0,1
251,0,0,1,0,1,0
252,0,1,1,0,0,0
253,1,0,1,0,1,0
254,1,1,0,1,0,1
255,0,1,1,0,0,1
256,0,1,1,0,0,0
257,0,1,1,0,0,0
258,0,1,1,1,0,1
259,0,1,1,0,0,1
260,0,1,0,0,0,0
261,0,1,1,0,0,0
262,0,1,0,1,1,0
263,0,1,0,1,0,1
264,0,1,1,1,0,1
265,1,1,1,0,0,0
266,0,1,1,1,0,1
267,1,0,1,0,1,0
268,0,1,1,0,0,0
269,0,1,1,0,0,0
270,1,1,1,0,1,0
271,1,1,1,0,1,0
272,0,1,1,0,0,0
273,1,1,1,0,0,0
274,0,1,1,0,0,0
275,0,1,1,0,0,1
276,0,1,1,0,0,1
277,0,1,1,1,0,1
278,0,1,1,1,0,1
279,0,1,1,0,0,1
280,0,0,1,0,1,0
281,1,1,1,0,0,0
282,0,1,1,0,1,0
283,1,0,1,0,0,0
284,0,0,1,0,1,0
285,0,1,1,1,0,0
286,1,0,1,0,1,0
287,0,1,1,0,0,1
288,0,1,1,0,0,1
289,1,0,1,0,1,0
290,0,1,1,0,0,0
291,0,1,1,0,0,0
292,0,1,1,0,0,0
293,0,1,1,0,0,1
294,1,1,1,0,0,0
295,0,1,1,1,0,1
296,0,0,1,0,1,0
297,1,1,1,0,0,0
298,0,1,1,0,0,0
299,0,0,1,0,1,0
300,1,0,1,0,0,0
301,0,1,1,1,0,1
302,0,0,1,0,1,0
303,0,1,1,0,0,0
304,0,1,1,1,0,0
305,0,1,1,0,1,0
306,0,1,1,0,0,0
307,0,1,1,0,0,0
308,0,1,0,1,0,0
309,1,0,1,0,1,0
310,0,1,1,1,0,1
311,1,0,1,0,1,0
312,1,1,1,0,1,0
313,1,1,1,0,0,0
314,1,0,1,0,1,0
315,0,1,1,1,0,1
316,0,1,1,1,0,1
317,0,1,1,0,0,1
318,1,0,1,0,1,0
319,0,0,1,0,1,0
320,1,0,1,0,1,0
321,0,1,0,1,0,1
322,0,1,1,0,0,1
323,1,1,1,1,0,1
324,1,0,1,0,1,0
325,0,1,1,1,0,1
326,1,1,1,0,1,0
327,0,0,1,0,1,0
328,0,1,1,0,0,0
329,0,0,1,1,1,1
330,0,0,1,0,1,1
331,1,1,1,1,0,1
332,0,1,1,1,0,1
333,1,0,1,0,1,0
334,1,1,1,0,0,0
335,0,0,1,0,1,0
336,1,1,1,0,1,0
337,0,0,1,0,1,0
338,0,1,1,0,1,0
339,0,1,0,1,0,1
340,0,1,1,0,0,0
341,0,1,1,0,0,0
342,0,1,1,0,0,0
343,0,1,1,0,0,1
344,0,1,1,1,0,1
345,0,1,1,0,0,0
346,0,0,1,0,0,0
347,0,1,0,0,0,0
348,0,1,1,0,0,1
349,1,1,1,1,1,0
350,0,1,1,1,0,1
351,0,1,1,0,0,0
352,0,1,1,0,0,0
353,0,1,1,0,0,0
354,1,1,1,1,0,1
355,0,1,1,0,0,0
356,0,1,1,1,0,1
357,0,0,1,0,1,0
358,1,0,1,0,1,0
359,0,1,1,0,0,0
360,0,1,1,0,1,0
361,1,1,1,0,0,0
362,1,0,1,0,1,0
363,0,1,1,0,0,0
364,0,1,0,1,0,0
365,0,1,1,1,0,1
366,0,1,1,0,0,0
367,1,0,1,1,1,0
368,0,1,1,0,0,1
369,1,0,0,0,1,0
370,1,1,0,1,0,0
371,0,1,1,0,0,0
372,1,0,1,0,1,0
373,0,1,1,0,0,0
374,0,0,1,0,0,0
375,1,1,1,0,1,0
376,1,0,1,0,1,0
377,0,0,1,0,0,1
378,0,0,1,0,1,0
379,0,1,1,1,0,0
380,1,1,1,0,1,0
381,1,1,1,1,0,1
382,1,0,1,0,1,0
383,0,1,1,0,0,0
384,0,1,1,0,0,0
385,1,1,1,0,0,0
386,0,0,0,0,1,0
387,0,1,0,0,0,0
388,0,1,1,0,0,0
389,0,0,1,0,1,0
390,1,0,1,0,1,0
391,1,0,1,0,1,0
392,1,0,1,0,1,0
393,0,1,1,0,0,0
394,1,1,1,0,1,0
395,0,1,1,0,0,0
396,0,1,1,0,0,0
397,1,0,1,0,1,0
398,1,1,1,1,0,1
399,1,0,1,0,1,0
400,0,1,1,0,0,0
401,0,0,1,0,1,0
402,1,0,1,0,1,0
403,1,1,1,0,0,0
404,0,1,1,0,0,0
405,0,0,1,0,1,0
406,1,1,1,0,0,0
407,0,1,1,1,0,0
408,1,0,1,0,1,0
409,0,0,1,0,1,0
410,1,1,1,1,0,0
411,0,1,1,0,0,0
412,0,1,1,0,0,0
413,0,0,1,0,1,0
414,0,1,1,1,0,1
415,0,0,1,0,1,0
416,0,1,1,0,0,0
417,1,1,1,0,0,1
418,1,0,1,0,1,0
419,1,0,0,1,1,1
420,0,1,1,0,1,0
421,0,1,1,0,0,0
422,1,1,1,0,1,0
423,1,0,1,0,1,0
424,0,1,1,1,0,0
425,0,1,0,0,0,0
426,0,1,1,0,0,0
427,0,1,1,1,0,1
428,0,1,0,1,0,1
429,1,1,1,0,0,0
430,0,1,1,0,0,0
431,0,1,1,0,0,0
432,1,0,0,1,1,1
433,1,0,1,0,1,0
434,0,1,1,0,0,0
435,1,0,1,0,1,1
436,0,1,1,1,0,1
437,1,0,1,0,1,0
