,5,4,3,2,1
0,0,0,1,0,1
1,1,0,1,0,1
2,0,1,0,0,0
3,1,0,1,0,1
4,0,0,0,1,0
5,0,0,1,0,1
6,0,1,0,0,0
7,0,0,1,0,1
8,0,0,1,0,1
9,1,0,1,0,1
10,0,0,1,0,1
11,1,1,0,0,1
12,0,0,1,0,1
13,0,1,0,0,1
14,1,1,0,0,0
15,0,0,1,0,1
16,0,0,0,1,0
17,0,0,1,0,1
18,0,1,0,0,0
19,0,0,1,0,1
20,0,0,1,0,1
21,0,0,1,0,1
22,0,0,0,1,1
23,0,0,1,0,1
24,0,0,1,0,1
25,0,1,0,0,0
26,0,0,1,0,1
27,0,1,0,0,0
28,0,0,1,0,1
29,0,0,1,0,0
30,0,1,0,0,1
31,0,0,1,0,1
32,0,0,1,0,1
33,0,1,1,1,1
34,0,0,1,0,1
35,0,1,1,1,0
36,0,1,0,0,0
37,0,0,1,0,1
38,0,0,1,0,1
39,0,0,1,0,1
40,0,0,1,0,0
41,0,0,1,0,1
42,0,0,0,1,1
43,0,0,1,0,1
44,0,0,1,0,1
45,0,1,0,0,1
46,0,1,0,0,0
47,0,1,0,0,1
48,0,0,1,0,1
49,0,0,1,0,1
50,0,1,1,1,0
51,0,1,1,1,0
52,1,0,1,0,0
53,0,1,0,0,0
54,0,0,1,0,1
55,0,1,0,0,0
56,0,0,1,0,1
57,0,1,0,0,1
58,0,1,0,0,0
59,0,0,1,0,1
60,0,0,1,0,1
61,0,0,1,0,1
62,0,0,1,0,1
63,0,0,0,1,1
64,0,0,1,0,1
65,1,0,1,0,1
66,0,0,1,0,1
67,0,0,1,0,1
68,0,0,1,0,1
69,0,1,0,0,0
70,0,0,1,0,1
71,0,0,1,0,1
72,0,1,0,0,0
73,0,0,1,0,1
74,0,0,1,0,1
75,0,1,0,0,0
76,0,0,1,0,1
77,0,0,1,0,1
78,0,1,0,0,0
79,0,1,0,0,0
80,0,1,0,0,0
81,0,1,0,0,1
82,0,1,0,0,0
83,0,1,0,0,0
84,0,0,1,0,1
85,0,0,1,0,1
86,0,1,1,1,0
87,0,0,1,0,1
88,0,0,1,0,1
89,1,0,1,0,1
90,0,0,1,0,1
91,0,0,1,0,1
92,1,0,1,0,1
93,0,0,1,0,0
94,1,0,1,0,1
95,1,0,1,0,1
96,0,0,1,0,1
97,0,1,1,1,0
98,1,0,1,0,1
99,0,0,1,0,1
100,1,1,0,0,0
101,0,0,1,0,1
102,0,0,1,0,1
103,0,0,0,1,1
104,0,0,1,0,1
105,0,1,0,0,0
106,0,1,0,0,0
107,0,0,1,0,1
108,0,0,1,0,1
109,0,0,1,0,1
110,0,0,0,1,1
111,0,0,1,0,1
112,0,0,1,0,1
113,0,1,0,0,1
114,0,1,0,0,0
115,0,0,1,0,1
116,0,1,0,0,0
117,0,1,0,0,0
118,0,0,1,0,1
119,0,0,0,1,1
120,0,0,0,1,1
121,1,0,1,0,1
122,0,1,0,0,0
123,0,1,0,0,0
124,0,0,1,0,1
125,0,0,1,0,1
126,0,0,0,1,0
127,1,0,1,0,1
128,0,0,1,0,1
129,0,0,1,0,1
130,0,1,0,0,0
131,1,0,1,0,1
132,0,0,1,0,1
133,0,0,1,0,1
134,0,1,1,1,0
135,0,1,0,0,0
136,1,0,1,0,1
137,0,0,1,0,1
138,1,0,1,0,1
139,0,0,0,1,1
140,0,0,1,0,1
141,0,0,1,0,0
142,0,0,1,0,1
143,0,0,1,0,1
144,0,0,1,0,1
145,0,0,0,1,1
146,0,0,1,0,1
147,0,0,1,0,1
148,0,0,1,0,1
149,0,0,1,0,1
150,0,0,1,0,1
151,0,0,1,0,1
152,1,0,1,0,1
153,1,1,0,0,0
154,0,0,0,1,1
155,0,0,0,1,1
156,0,1,1,1,0
157,0,0,0,1,1
158,0,0,1,0,1
159,0,1,0,0,0
160,0,0,0,1,1
161,1,0,1,0,1
162,0,1,0,0,1
163,1,1,0,0,1
164,0,0,1,0,1
165,0,0,1,0,1
166,1,0,1,0,1
167,0,1,0,0,0
168,0,1,0,0,0
169,1,1,0,0,0
170,0,0,1,0,1
171,0,1,0,0,0
172,0,1,0,0,1
173,0,1,1,1,0
174,1,1,0,0,1
175,0,1,0,0,0
176,0,0,1,0,1
177,0,1,0,0,1
178,0,0,0,1,0
179,0,1,0,0,0
180,1,1,0,0,0
181,0,0,1,0,1
182,0,1,0,0,1
183,0,1,0,0,1
184,0,0,1,0,1
185,0,1,0,0,1
186,0,1,0,0,1
187,0,0,1,0,1
188,0,0,0,1,1
189,0,1,0,0,1
190,0,1,0,0,0
191,0,0,1,0,1
192,0,1,0,0,1
193,0,1,0,0,0
194,0,0,1,0,1
195,0,0,1,0,1
196,0,0,0,0,1
197,0,0,1,0,1
198,0,0,1,0,1
199,0,1,0,0,0
200,0,1,0,0,0
201,0,1,0,0,1
202,0,0,1,0,1
203,0,0,0,1,1
204,0,0,1,0,1
205,0,0,1,0,1
206,0,1,1,1,1
207,0,1,0,0,0
208,1,0,1,0,1
209,0,0,1,0,1
210,0,1,0,0,0
211,0,0,1,0,1
212,0,0,1,0,1
213,0,1,0,0,0
214,1,0,1,0,1
215,0,1,0,0,0
216,0,1,0,0,0
217,0,0,1,0,1
218,1,0,1,0,1
219,0,1,0,0,0
220,1,0,1,0,1
221,0,0,1,0,1
222,0,0,0,0,1
223,0,0,1,0,1
224,1,0,1,0,1
225,0,0,1,0,1
226,1,0,1,0,1
227,0,0,0,1,1
228,0,1,1,1,0
229,0,0,1,0,1
230,0,1,0,0,1
231,0,0,1,0,1
232,1,0,1,0,1
233,0,1,0,0,1
234,0,0,0,1,1
235,1,0,1,0,1
236,0,1,0,0,0
237,0,1,0,0,0
238,0,1,0,0,1
239,0,1,0,0,0
240,0,0,1,0,1
241,0,0,1,0,1
242,0,0,1,0,1
243,0,0,1,0,1
244,0,0,0,1,1
245,0,1,0,0,0
246,0,0,1,0,1
247,0,0,1,0,0
248,0,0,0,1,1
249,0,0,1,0,1
250,0,0,1,0,0
251,0,0,1,0,1
252,0,0,1,0,1
253,0,1,0,0,0
254,0,0,1,0,1
255,0,0,1,0,1
256,0,0,1,0,1
257,0,0,1,0,1
258,0,1,0,0,1
259,1,0,1,0,1
260,0,0,0,1,1
261,0,0,1,0,1
262,0,0,1,0,1
263,0,1,0,0,0
264,1,0,1,0,0
265,0,1,0,0,0
266,0,0,1,0,1
267,0,0,0,1,1
268,0,0,1,0,1
269,0,0,1,0,1
270,1,1,0,0,0
271,0,0,0,0,1
272,0,0,1,0,1
273,1,1,0,0,0
274,0,1,1,1,1
275,0,0,1,0,1
276,0,1,0,0,0
277,1,0,1,0,1
278,0,1,0,0,0
279,0,0,0,1,1
280,0,0,1,0,1
281,0,0,1,0,1
282,0,0,1,0,1
283,0,1,0,0,0
284,0,1,0,0,1
285,1,0,1,0,1
286,0,0,1,0,1
287,0,0,1,0,1
288,0,0,0,1,1
289,1,0,1,0,1
290,1,0,1,0,1
291,0,0,1,0,1
292,0,1,0,0,0
293,0,0,1,0,1
294,0,0,0,1,1
295,0,1,0,0,0
296,0,0,1,0,1
297,0,1,0,0,0
298,0,0,1,0,1
299,0,0,0,0,0
300,0,1,0,0,1
301,1,0,1,0,1
302,1,1,0,0,1
303,0,0,0,1,1
304,0,1,0,0,0
305,0,0,1,0,1
306,1,0,1,0,1
307,0,0,0,1,0
308,0,0,0,1,1
309,0,0,1,0,1
310,0,0,1,0,1
311,0,0,0,1,1
312,0,1,0,0,0
313,1,1,0,0,0
314,1,0,0,1,1
315,0,0,1,0,1
316,1,0,1,0,1
317,0,1,0,0,1
318,0,1,0,0,1
319,0,1,0,0,0
320,0,0,0,1,1
321,0,1,1,1,0
322,0,0,0,0,1
323,1,0,1,0,1
324,0,1,0,0,1
325,0,1,0,0,0
326,0,1,0,0,0
327,0,0,0,0,1
328,0,0,1,0,1
329,0,0,1,0,1
330,1,1,0,0,1
331,0,0,0,1,1
332,0,0,1,0,1
333,0,0,0,1,1
334,0,0,1,0,1
335,0,0,1,0,1
336,0,1,0,0,1
337,0,1,0,0,1
338,0,0,1,0,0
339,0,0,1,0,1
340,0,1,0,0,0
341,0,1,0,0,1
342,0,0,1,0,1
343,0,0,0,1,1
344,0,1,0,0,1
345,0,1,0,0,0
346,0,0,1,0,1
347,0,0,0,1,1
348,0,0,1,0,0
349,0,0,0,1,1
350,0,0,1,0,1
351,0,1,0,0,1
352,0,1,0,0,0
353,0,0,1,0,1
354,0,1,0,0,1
355,0,1,0,0,1
356,0,0,0,1,0
357,0,0,0,1,1
358,1,0,1,0,1
359,0,0,0,1,1
360,0,0,1,0,1
361,0,0,1,0,1
362,1,0,1,0,1
363,0,0,1,0,1
364,0,1,0,0,1
365,0,0,1,0,0
366,0,0,1,0,1
367,0,1,0,0,1
368,0,0,1,0,1
369,0,1,0,0,0
370,0,0,1,0,1
371,0,1,0,0,0
372,0,0,1,0,1
373,0,0,1,0,1
374,0,0,1,0,1
375,0,0,0,1,1
376,0,1,0,0,0
377,0,0,1,0,1
378,0,0,0,1,1
379,0,1,0,0,0
380,0,0,1,0,1
381,0,0,1,0,1
382,0,1,0,0,0
383,0,1,0,0,0
384,0,1,1,1,1
385,0,0,1,0,1
386,0,0,1,0,1
387,0,1,0,0,0
388,0,0,1,0,1
389,1,0,1,0,1
390,0,0,1,0,1
391,0,0,1,0,1
392,0,0,1,0,1
393,0,0,1,0,1
394,0,0,0,1,1
395,0,0,1,0,1
396,0,0,1,0,1
397,0,0,1,0,1
398,0,0,1,0,1
399,0,0,1,0,1
400,0,1,0,0,0
401,1,0,1,0,1
402,0,1,0,0,1
403,0,0,1,0,1
404,0,0,1,0,1
405,0,1,0,0,0
406,0,0,1,0,1
407,0,1,0,0,0
408,0,1,0,0,0
409,0,1,0,0,0
410,0,0,0,1,1
411,0,1,0,0,0
412,0,0,1,0,1
413,1,1,0,0,0
414,0,1,0,0,0
415,0,1,0,0,1
416,0,0,1,0,1
417,0,0,1,0,1
418,0,0,1,0,1
419,0,0,0,0,1
420,0,0,1,0,1
421,0,1,0,0,0
422,0,1,0,0,0
423,0,0,1,0,1
424,0,1,0,0,1
425,0,0,1,0,1
426,0,1,0,0,1
427,0,0,1,0,1
428,0,1,0,0,0
429,0,0,1,0,0
430,0,0,0,1,1
431,0,1,0,0,0
432,0,1,0,0,1
433,0,0,1,0,1
434,0,0,1,0,1
435,0,0,1,0,1
436,1,1,0,0,0
437,1,1,0,0,0
438,0,0,1,0,1
439,0,0,1,0,1
440,0,1,0,0,0
441,0,0,1,0,1
442,1,0,1,0,1
443,1,0,1,0,1
444,0,0,1,0,1
445,1,0,1,0,1
446,0,1,0,0,1
447,0,0,1,0,1
448,0,1,0,0,1
449,1,0,0,0,1
450,0,0,1,0,1
451,0,0,1,0,1
452,0,0,1,0,1
453,0,1,0,0,0
454,0,0,1,0,1
455,0,1,0,0,0
456,0,0,0,0,0
457,0,1,0,0,1
458,0,1,0,0,1
459,0,1,0,0,0
460,0,0,1,0,1
461,0,0,1,0,1
462,0,1,0,0,0
463,1,0,1,0,1
464,0,0,1,0,1
465,0,0,1,0,1
466,0,1,0,0,0
467,0,1,0,0,0
468,0,0,1,0,1
469,0,0,0,1,1
470,0,1,0,0,1
471,0,0,0,1,0
472,0,0,1,0,1
473,0,0,1,0,1
474,0,0,1,0,1
475,0,0,0,0,1
476,0,0,1,0,1
477,0,1,0,0,0
478,0,1,0,0,0
479,0,0,0,1,1
480,0,0,1,0,1
481,0,0,1,0,1
482,0,0,1,0,1
483,1,1,0,0,1
484,0,0,1,0,0
485,0,0,0,0,0
486,1,0,1,0,1
487,1,0,1,0,1
488,0,0,1,0,0
489,0,0,1,0,1
490,0,0,0,1,1
491,0,1,0,0,0
492,0,0,1,0,1
493,0,1,0,0,1
494,0,1,0,0,1
495,0,1,0,0,0
496,1,0,1,0,1
497,0,1,0,0,0
498,0,0,0,0,1
499,0,1,0,0,0
500,0,1,1,1,0
501,0,0,0,1,1
502,1,1,0,0,0
503,0,1,0,0,1
504,0,1,0,0,0
505,0,0,0,1,1
506,0,0,1,0,1
507,0,0,1,0,1
508,0,0,1,0,1
509,0,1,0,0,0
510,0,0,1,0,1
511,1,0,1,0,1
512,0,1,0,0,0
513,0,0,1,0,1
514,0,0,1,0,1
515,0,1,0,0,0
516,0,1,0,0,1
517,0,0,1,0,1
518,0,0,1,0,1
519,0,0,1,0,0
520,0,0,1,0,1
521,0,0,1,0,1
522,0,0,1,0,1
523,0,0,1,0,1
524,0,0,1,0,1
525,0,0,1,0,1
526,0,0,0,1,0
527,0,1,0,0,1
528,0,1,0,0,0
529,0,1,0,0,1
530,0,0,1,0,1
531,0,0,1,0,1
532,0,1,0,0,1
533,0,1,0,0,0
534,0,1,0,0,0
535,1,0,1,0,1
536,0,0,1,0,1
537,0,0,1,0,1
538,0,0,1,0,1
539,0,0,1,0,1
540,0,0,1,0,1
541,0,0,1,0,1
542,0,0,1,0,1
543,0,0,1,0,0
544,0,0,1,0,1
545,0,1,0,0,0
546,0,1,0,0,0
547,0,1,0,0,0
548,0,0,1,0,1
549,0,1,0,0,1
550,1,1,0,0,0
551,0,1,0,0,0
552,0,1,0,0,1
553,0,0,1,0,1
554,0,0,1,0,1
555,0,0,0,1,1
556,0,0,1,0,1
557,0,1,0,0,0
558,0,0,1,0,1
559,0,0,1,0,1
560,0,0,1,0,1
561,0,0,1,0,1
562,0,1,0,0,0
563,0,1,0,0,0
564,0,1,0,0,0
565,0,0,1,0,1
566,0,0,1,0,1
567,0,0,1,0,1
