,avg_exo_card,tw,exo_dag,avg_indegree,dag,num_exo_vars,exo_cc,endo_dag,exo_tw,endo_tw,endo_cc,avg_endo_indegree,datasize_obs,max_exo_card,markovianity,ratio,model_file,num_vars,num_endo_vars,max_indegree
0,5.0,3.0,([0  1  2  3  4  5]  [(0 1)  (5 3)  (0 4)  (2 4)]),1.0,([0  1  2  3  4  5]  [(0 1)  (1 3)  (5 3)  (0 4)  (1 4)  (2 4)]),3,[0 2][5],([1  3  4]  [(1 3)  (1 4)]),2,1.0,[1 4][3],0.6666666666666666,1000,7,2,0.9992066271744352,random_mc2_n5_mid3_d1000_05_mr098_r10_82.uai,6,3,3
0,6.0,3.0,([0  1  2  3  4  5  6  7  8]  [(3 0)  (6 1)  (7 2)  (8 4)  (3 5)]),1.1111111111111112,([0  1  2  3  4  5  6  7  8]  [(3 0)  (0 1)  (6 1)  (4 2)  (7 2)  (1 4)  (8 4)  (1 5)  (3 5)  (4 5)]),4,[3][6][7][8],([0  1  2  4  5]  [(0 1)  (4 2)  (1 4)  (1 5)  (4 5)]),1,2.0,[0 5][1][2][4],1.0,2000,12,1,0.9975537387375604,random_mc2_n6_mid3_d1000_05_mr098_r10_23.uai,9,5,4
0,7.2,3.0,([0  1  2  3  4  5  6  7  8  9  10]  [(7 0)  (8 1)  (2 3)  (9 4)  (2 5)  (10 6)]),1.181818181818182,([0  1  2  3  4  5  6  7  8  9  10]  [(1 0)  (4 0)  (7 0)  (4 1)  (8 1)  (2 3)  (3 4)  (9 4)  (2 5)  (3 5)  (4 5)  (1 6)  (10 6)]),5,[7][8][2][9][10],([0  1  3  4  5  6]  [(1 0)  (4 0)  (4 1)  (3 4)  (3 5)  (4 5)  (1 6)]),1,2.0,[0][1][3 5][4][6],1.1666666666666667,1000,16,1,0.9912680719809214,random_mc2_n7_mid3_d1000_05_mr098_r10_47.uai,11,6,5
0,9.2,4.0,([0  1  2  3  4  5  6  7  8  9]  [(7 1)  (8 2)  (0 3)  (9 5)  (4 6)]),1.1,([0  1  2  3  4  5  6  7  8  9]  [(3 1)  (5 1)  (6 1)  (7 1)  (5 2)  (8 2)  (0 3)  (6 5)  (9 5)  (3 6)  (4 6)]),5,[0][7][8][4][9],([1  2  3  5  6]  [(3 1)  (5 1)  (6 1)  (5 2)  (6 5)  (3 6)]),1,3.0,[3][1][2][6][5],1.2,4500,32,0,0.902559525007444,random_mc2_n7_mid3_d1000_05_mr098_r10_37.uai,10,5,4
0,9.333333333333334,3.0,([0  1  2  3  4  5  6]  [(0 1)  (5 2)  (0 3)  (6 4)]),1.2857142857142858,([0  1  2  3  4  5  6]  [(0 1)  (1 2)  (5 2)  (0 3)  (1 3)  (2 3)  (1 4)  (3 4)  (6 4)]),3,[0][5][6],([1  2  3  4]  [(1 2)  (1 3)  (2 3)  (1 4)  (3 4)]),1,2.0,[1 3][2][4],1.25,2500,16,1,0.9847026370570232,random_mc2_n5_mid3_d1000_05_mr098_r10_58.uai,7,4,4
0,8.25,3.0,([0  1  2  3  4  5  6  7  8  9]  [(5 1)  (0 2)  (0 3)  (5 4)  (8 6)  (9 7)]),1.3,([0  1  2  3  4  5  6  7  8  9]  [(5 1)  (7 1)  (0 2)  (0 3)  (4 3)  (7 3)  (1 4)  (5 4)  (2 6)  (8 6)  (2 7)  (6 7)  (9 7)]),4,[0][5][8][9],([1  2  3  4  6  7]  [(7 1)  (4 3)  (7 3)  (1 4)  (2 6)  (2 7)  (6 7)]),1,2.0,[2 3][1 4][6][7],1.1666666666666667,1500,16,1,0.9839673387048156,random_mc2_n8_mid3_d1000_05_mr098_r10_29.uai,10,6,5
0,3.6666666666666665,2.0,([0  1  2  3  4  5  6]  [(2 1)  (0 3)  (6 4)  (0 5)  (2 5)]),1.0,([0  1  2  3  4  5  6]  [(2 1)  (0 3)  (5 3)  (1 4)  (6 4)  (0 5)  (2 5)]),3,[0 2][6],([1  3  4  5]  [(5 3)  (1 4)]),2,1.0,[1 3 5][4],0.5,1500,4,2,0.9877511921656364,random_mc2_n6_mid3_d1000_05_mr098_r10_77.uai,7,4,3
0,9.6,3.0,([0  1  2  3  4  5  6  7  8  9]  [(7 0)  (8 2)  (9 3)  (1 5)  (4 5)  (1 6)]),1.2,([0  1  2  3  4  5  6  7  8  9]  [(2 0)  (5 0)  (7 0)  (6 2)  (8 2)  (0 3)  (2 3)  (9 3)  (1 5)  (2 5)  (4 5)  (1 6)]),5,[7][1 4][8][9],([0  2  3  5  6]  [(2 0)  (5 0)  (6 2)  (0 3)  (2 3)  (2 5)]),2,2.0,[0][5 6][2][3],1.2,1000,16,2,0.995199304234438,random_mc2_n7_mid3_d1000_05_mr098_r10_54.uai,10,5,5
0,4.666666666666667,2.0,([0  1  2  3  4  5  6]  [(4 1)  (0 2)  (0 3)  (6 5)]),1.0,([0  1  2  3  4  5  6]  [(4 1)  (0 2)  (1 2)  (0 3)  (2 3)  (3 5)  (6 5)]),3,[0][4][6],([1  2  3  5]  [(1 2)  (2 3)  (3 5)]),1,1.0,[2 3][1][5],0.75,2500,8,1,0.9895399448516456,random_mc2_n6_mid3_d1000_05_mr098_r10_40.uai,7,4,3
0,6.75,3.0,([0  1  2  3  4  5  6  7  8]  [(7 0)  (8 2)  (5 3)  (1 4)  (5 6)]),1.1111111111111112,([0  1  2  3  4  5  6  7  8]  [(4 0)  (7 0)  (0 2)  (4 2)  (8 2)  (5 3)  (1 4)  (3 4)  (3 6)  (5 6)]),4,[7][1][8][5],([0  2  3  4  6]  [(4 0)  (0 2)  (4 2)  (3 4)  (3 6)]),1,2.0,[0][4][2][3 6],1.0,1000,16,1,0.99797527691482,random_mc2_n7_mid3_d1000_05_mr098_r10_24.uai,9,5,4
0,13.333333333333334,3.0,([0  1  2  3  4  5  6]  [(0 1)  (6 2)  (0 4)  (3 4)  (3 5)]),1.2857142857142858,([0  1  2  3  4  5  6]  [(0 1)  (4 1)  (1 2)  (5 2)  (6 2)  (0 4)  (3 4)  (5 4)  (3 5)]),3,[0 3][6],([1  2  4  5]  [(4 1)  (1 2)  (5 2)  (5 4)]),2,2.0,[1 4 5][2],1.0,1500,16,2,0.9885904445408116,random_mc2_n6_mid3_d1000_05_mr098_r10_78.uai,7,4,4
