,avg_exo_card,tw,exo_dag,avg_indegree,dag,num_exo_vars,exo_cc,endo_dag,exo_tw,endo_tw,endo_cc,avg_endo_indegree,datasize_obs,max_exo_card,markovianity,ratio,model_file,num_vars,num_endo_vars,max_indegree
0,4.0,2.0,([0  1  2  3  4  5  6]  [(5 0)  (4 1)  (5 2)  (6 3)]),0.8571428571428571,([0  1  2  3  4  5  6]  [(5 0)  (3 1)  (4 1)  (5 2)  (2 3)  (6 3)]),3,[5][4][6],([0  1  2  3]  [(3 1)  (2 3)]),1,1,[0 2][1][3],0.5,1000,4,1,0.9947130363662224,random_mc2_n6_mid3_d1000_05_mr098_r10_99.uai,7,4,3
0,10.0,3.0,([0  1  2  3  4  5]  [(5 1)  (5 2)  (0 3)  (0 4)]),1.1666666666666667,([0  1  2  3  4  5]  [(3 1)  (5 1)  (1 2)  (3 2)  (5 2)  (0 3)  (0 4)]),2,[0][5],([1  2  3  4]  [(3 1)  (1 2)  (3 2)]),1,2,[3 4][1 2],0.75,1000,16,1,0.9808092807133516,random_mc2_n6_mid3_d1000_05_mr098_r10_28.uai,6,4,3
0,4.0,2.0,([0  1  2  3  4  5  6]  [(5 0)  (4 1)  (5 2)  (6 3)]),0.8571428571428571,([0  1  2  3  4  5  6]  [(5 0)  (3 1)  (4 1)  (5 2)  (2 3)  (6 3)]),3,[5][4][6],([0  1  2  3]  [(3 1)  (2 3)]),1,1,[0 2][1][3],0.5,1000,4,1,0.9947130363662224,random_mc2_n6_mid3_d1000_05_mr098_r10_99.uai,7,4,3
0,6.5,3.0,([0  1  2  3  4  5  6  7  8]  [(7 0)  (2 1)  (6 3)  (8 4)  (2 5)]),1.0,([0  1  2  3  4  5  6  7  8]  [(1 0)  (7 0)  (2 1)  (6 3)  (3 4)  (5 4)  (8 4)  (1 5)  (2 5)]),4,[7][2][6][8],([0  1  3  4  5]  [(1 0)  (3 4)  (5 4)  (1 5)]),1,2,[0][1 5][3][4],0.8,1000,16,1,0.9863523877352854,random_mc2_n7_mid3_d1000_05_mr098_r10_46.uai,9,5,3
0,15.0,3.0,([0  1  2  3  4  5  6  7  8  9]  [(8 0)  (2 1)  (7 3)  (9 4)  (2 5)  (7 6)]),1.3,([0  1  2  3  4  5  6  7  8  9]  [(6 0)  (8 0)  (2 1)  (3 1)  (7 3)  (1 4)  (3 4)  (9 4)  (2 5)  (3 5)  (4 5)  (3 6)  (7 6)]),4,[8][2][7][9],([0  1  3  4  5  6]  [(6 0)  (3 1)  (1 4)  (3 4)  (3 5)  (4 5)  (3 6)]),1,2,[0][1 5][3 6][4],1.1666666666666667,3500,36,1,0.984548465021004,random_mc2_n8_mid3_d1000_05_mr098_r10_77.uai,10,6,5
0,12.0,3.0,([0  1  2  3  4  5  6]  [(0 1)  (5 2)  (6 3)  (0 4)]),1.2857142857142858,([0  1  2  3  4  5  6]  [(0 1)  (1 2)  (4 2)  (5 2)  (1 3)  (2 3)  (6 3)  (0 4)  (1 4)]),3,[0][5][6],([1  2  3  4]  [(1 2)  (4 2)  (1 3)  (2 3)  (1 4)]),1,2,[1 4][2][3],1.25,1000,16,1,0.991522899488966,random_mc2_n5_mid3_d1000_05_mr098_r10_74.uai,7,4,4
0,6.75,3.0,([0  1  2  3  4  5  6  7  8]  [(8 0)  (7 2)  (6 3)  (7 4)  (1 5)]),1.0,([0  1  2  3  4  5  6  7  8]  [(3 0)  (4 0)  (8 0)  (7 2)  (6 3)  (5 4)  (7 4)  (1 5)  (3 5)]),4,[8][1][7][6],([0  2  3  4  5]  [(3 0)  (4 0)  (5 4)  (3 5)]),1,2,[0][5][2 4][3],0.8,3000,16,1,0.9943383749758714,random_mc2_n8_mid3_d1000_05_mr098_r10_48.uai,9,5,3
0,5.333333333333333,,([0  1  2  3  4  5  6]  [(5 0)  (4 1)  (4 2)  (6 3)]),1.0,([0  1  2  3  4  5  6]  [(1 0)  (5 0)  (4 1)  (4 2)  (0 3)  (2 3)  (6 3)]),3,[5][4][6],([0  1  2  3]  [(1 0)  (0 3)  (2 3)]),1,2,[0][1 2][3],0.75,1000,8,1,0.9937192667200708,random_mc2_n5_mid3_d1000_05_mr098_r10_0.uai,7,4,3
0,4.5,3.0,([0  1  2  3  4  5  6  7  8]  [(6 0)  (7 1)  (8 2)  (5 3)  (5 4)]),1.1111111111111112,([0  1  2  3  4  5  6  7  8]  [(1 0)  (6 0)  (3 1)  (7 1)  (0 2)  (3 2)  (8 2)  (5 3)  (3 4)  (5 4)]),4,[6][7][8][5],([0  1  2  3  4]  [(1 0)  (3 1)  (0 2)  (3 2)  (3 4)]),1,2,[0][1][2][3 4],1.0,1000,8,1,0.997920759151904,random_mc2_n6_mid3_d1000_05_mr098_r10_42.uai,9,5,4
0,12.0,3.0,([0  1  2  3  4  5  6]  [(0 1)  (5 2)  (6 3)  (0 4)]),1.2857142857142858,([0  1  2  3  4  5  6]  [(0 1)  (1 2)  (4 2)  (5 2)  (1 3)  (2 3)  (6 3)  (0 4)  (1 4)]),3,[0][5][6],([1  2  3  4]  [(1 2)  (4 2)  (1 3)  (2 3)  (1 4)]),1,2,[1 4][2][3],1.25,1000,16,1,0.991522899488966,random_mc2_n5_mid3_d1000_05_mr098_r10_74.uai,7,4,4
0,4.0,2.0,([0  1  2  3  4  5  6]  [(5 0)  (2 1)  (6 3)  (2 4)]),1.0,([0  1  2  3  4  5  6]  [(3 0)  (5 0)  (2 1)  (1 3)  (6 3)  (1 4)  (2 4)]),3,[5][2][6],([0  1  3  4]  [(3 0)  (1 3)  (1 4)]),1,1,[0][1 4][3],0.75,1000,4,1,0.999485603458842,random_mc2_n5_mid3_d1000_05_mr098_r10_71.uai,7,4,3
0,5.5,3.0,([0  1  2  3  4  5  6  7  8]  [(2 0)  (2 1)  (6 3)  (7 4)  (8 5)]),1.1111111111111112,([0  1  2  3  4  5  6  7  8]  [(2 0)  (2 1)  (4 1)  (5 3)  (6 3)  (0 4)  (7 4)  (0 5)  (1 5)  (8 5)]),4,[2][6][7][8],([0  1  3  4  5]  [(4 1)  (5 3)  (0 4)  (0 5)  (1 5)]),1,2,[0 1][3][4][5],1.0,3500,8,1,0.9967273760220702,random_mc2_n6_mid3_d1000_05_mr098_r10_38.uai,9,5,4
0,7.0,3.0,([0  1  2  3  4  5  6  7  8]  [(6 0)  (7 1)  (8 2)  (5 3)  (5 4)]),1.0,([0  1  2  3  4  5  6  7  8]  [(2 0)  (3 0)  (6 0)  (0 1)  (7 1)  (3 2)  (8 2)  (5 3)  (5 4)]),4,[6][7][8][5],([0  1  2  3  4]  [(2 0)  (3 0)  (0 1)  (3 2)]),1,2,[0][1][2][3 4],0.8,1000,16,1,0.9973965555417872,random_mc2_n6_mid3_d1000_05_mr098_r10_30.uai,9,5,4
0,6.0,3.0,([0  1  2  3  4  5  6  7  8]  [(6 0)  (5 1)  (7 2)  (8 3)  (6 4)]),1.1111111111111112,([0  1  2  3  4  5  6  7  8]  [(6 0)  (0 1)  (5 1)  (0 2)  (7 2)  (2 3)  (4 3)  (8 3)  (2 4)  (6 4)]),4,[6][5][7][8],([0  1  2  3  4]  [(0 1)  (0 2)  (2 3)  (4 3)  (2 4)]),1,2,[0 4][1][2][3],1.0,1000,8,1,0.997333304622262,random_mc2_n7_mid3_d1000_05_mr098_r10_95.uai,9,5,4
0,11.333333333333334,3.0,([0  1  2  3  4  5  6]  [(5 0)  (6 1)  (2 3)  (2 4)]),1.1428571428571428,([0  1  2  3  4  5  6]  [(5 0)  (3 1)  (4 1)  (6 1)  (0 3)  (2 3)  (0 4)  (2 4)]),3,[5][6][2],([0  1  3  4]  [(3 1)  (4 1)  (0 3)  (0 4)]),1,2,[0][1][3 4],1.0,1500,16,1,0.9858539794403638,random_mc2_n6_mid3_d1000_05_mr098_r10_12.uai,7,4,3
0,7.0,3.0,([0  1  2  3  4  5  6  7  8]  [(3 0)  (6 1)  (7 2)  (8 4)  (3 5)]),1.2222222222222223,([0  1  2  3  4  5  6  7  8]  [(3 0)  (0 1)  (5 1)  (6 1)  (0 2)  (7 2)  (2 4)  (8 4)  (0 5)  (3 5)  (4 5)]),4,[3][6][7][8],([0  1  2  4  5]  [(0 1)  (5 1)  (0 2)  (2 4)  (0 5)  (4 5)]),1,2,[0 5][1][2][4],1.2,1000,16,1,0.9945746100511612,random_mc2_n6_mid3_d1000_05_mr098_r10_68.uai,9,5,4
0,5.333333333333333,,([0  1  2  3  4  5  6]  [(5 0)  (4 1)  (4 2)  (6 3)]),1.0,([0  1  2  3  4  5  6]  [(1 0)  (5 0)  (4 1)  (4 2)  (0 3)  (2 3)  (6 3)]),3,[5][4][6],([0  1  2  3]  [(1 0)  (0 3)  (2 3)]),1,2,[0][1 2][3],0.75,1000,8,1,0.9937192667200708,random_mc2_n5_mid3_d1000_05_mr098_r10_0.uai,7,4,3
0,6.75,3.0,([0  1  2  3  4  5  6  7  8]  [(7 0)  (8 2)  (5 3)  (1 4)  (5 6)]),1.1111111111111112,([0  1  2  3  4  5  6  7  8]  [(4 0)  (7 0)  (0 2)  (4 2)  (8 2)  (5 3)  (1 4)  (3 4)  (3 6)  (5 6)]),4,[7][1][8][5],([0  2  3  4  6]  [(4 0)  (0 2)  (4 2)  (3 4)  (3 6)]),1,2,[0][4][2][3 6],1.0,1000,16,1,0.99797527691482,random_mc2_n7_mid3_d1000_05_mr098_r10_24.uai,9,5,4
0,7.0,3.0,([0  1  2  3  4  5  6  7  8]  [(6 0)  (7 1)  (2 3)  (2 4)  (8 5)]),1.1111111111111112,([0  1  2  3  4  5  6  7  8]  [(1 0)  (6 0)  (3 1)  (5 1)  (7 1)  (2 3)  (2 4)  (3 4)  (3 5)  (8 5)]),4,[6][7][2][8],([0  1  3  4  5]  [(1 0)  (3 1)  (5 1)  (3 4)  (3 5)]),1,2,[0][1][3 4][5],1.0,1000,16,1,0.9956140465883738,random_mc2_n6_mid3_d1000_05_mr098_r10_22.uai,9,5,4
0,4.0,2.0,([0  1  2  3  4  5  6]  [(0 1)  (5 2)  (6 3)  (0 4)]),0.8571428571428571,([0  1  2  3  4  5  6]  [(0 1)  (3 2)  (5 2)  (4 3)  (6 3)  (0 4)]),3,[0][5][6],([1  2  3  4]  [(3 2)  (4 3)]),1,1,[1 4][2][3],0.5,1000,4,1,0.9996834373230185,random_mc2_n5_mid3_d1000_05_mr098_r10_2.uai,7,4,3
0,4.5,3.0,([0  1  2  3  4  5  6  7  8]  [(6 0)  (7 1)  (8 2)  (5 3)  (5 4)]),1.1111111111111112,([0  1  2  3  4  5  6  7  8]  [(1 0)  (6 0)  (3 1)  (7 1)  (0 2)  (3 2)  (8 2)  (5 3)  (3 4)  (5 4)]),4,[6][7][8][5],([0  1  2  3  4]  [(1 0)  (3 1)  (0 2)  (3 2)  (3 4)]),1,2,[0][1][2][3 4],1.0,1000,8,1,0.997920759151904,random_mc2_n6_mid3_d1000_05_mr098_r10_42.uai,9,5,4
0,5.5,3.0,([0  1  2  3  4  5  6  7  8]  [(2 0)  (2 1)  (6 3)  (7 4)  (8 5)]),1.1111111111111112,([0  1  2  3  4  5  6  7  8]  [(2 0)  (2 1)  (4 1)  (5 3)  (6 3)  (0 4)  (7 4)  (0 5)  (1 5)  (8 5)]),4,[2][6][7][8],([0  1  3  4  5]  [(4 1)  (5 3)  (0 4)  (0 5)  (1 5)]),1,2,[0 1][3][4][5],1.0,3500,8,1,0.9967273760220702,random_mc2_n6_mid3_d1000_05_mr098_r10_38.uai,9,5,4
0,11.333333333333334,3.0,([0  1  2  3  4  5  6]  [(5 0)  (6 1)  (2 3)  (2 4)]),1.1428571428571428,([0  1  2  3  4  5  6]  [(5 0)  (3 1)  (4 1)  (6 1)  (0 3)  (2 3)  (0 4)  (2 4)]),3,[5][6][2],([0  1  3  4]  [(3 1)  (4 1)  (0 3)  (0 4)]),1,2,[0][1][3 4],1.0,1500,16,1,0.9858539794403638,random_mc2_n6_mid3_d1000_05_mr098_r10_12.uai,7,4,3
0,8.0,3.0,([0  1  2  3  4  5  6  7  8  9  10]  [(7 1)  (0 2)  (8 3)  (9 4)  (10 5)  (0 6)]),1.2727272727272727,([0  1  2  3  4  5  6  7  8  9  10]  [(5 1)  (7 1)  (0 2)  (2 3)  (6 3)  (8 3)  (1 4)  (5 4)  (9 4)  (2 5)  (10 5)  (0 6)  (2 6)  (5 6)]),5,[0][7][8][9][10],([1  2  3  4  5  6]  [(5 1)  (2 3)  (6 3)  (1 4)  (5 4)  (2 5)  (2 6)  (5 6)]),1,2,[2 6][1][3][4][5],1.3333333333333333,1500,16,1,0.9959578355883472,random_mc2_n7_mid3_d1000_05_mr098_r10_9.uai,11,6,5
