,2,1,0
0,1,0,1
1,0,1,1
2,0,1,1
3,0,1,1
4,1,1,1
5,1,1,1
6,0,1,1
7,1,1,1
8,1,0,1
9,0,1,1
10,0,0,1
11,1,0,1
12,0,1,1
13,0,0,1
14,1,0,1
15,0,0,1
16,0,0,1
17,0,1,1
18,1,0,1
19,1,1,1
20,1,0,1
21,0,0,1
22,1,0,1
23,1,0,1
24,0,1,1
25,1,1,1
26,1,1,1
27,0,0,1
28,0,1,1
29,1,0,1
30,0,1,1
31,1,0,1
32,0,0,1
33,0,0,1
34,0,1,1
35,1,1,1
36,0,0,1
37,0,1,1
38,0,0,1
39,1,1,1
40,0,0,1
41,1,0,1
42,0,0,1
43,1,1,1
44,0,1,1
45,1,1,1
46,0,0,1
47,0,1,1
48,0,0,1
49,1,0,1
50,1,1,1
51,0,0,1
52,1,1,1
53,1,1,1
54,0,0,1
55,0,1,1
56,1,0,1
57,1,0,1
58,0,0,1
59,1,1,1
60,1,1,1
61,0,0,1
62,0,1,1
63,1,1,1
64,1,0,1
65,1,1,1
66,1,0,1
67,1,0,1
68,0,0,1
69,1,0,1
70,1,0,1
71,0,0,1
72,0,1,1
73,1,1,1
74,0,0,1
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,1,1,1
80,0,1,1
81,1,0,1
82,0,0,1
83,0,1,1
84,1,1,1
85,0,1,1
86,0,0,1
87,0,1,1
88,1,0,1
89,1,1,1
90,0,1,1
91,1,1,1
92,1,1,1
93,0,1,1
94,0,1,1
95,0,1,1
96,0,0,1
97,1,0,1
98,0,1,1
99,0,1,1
100,1,1,1
101,1,0,1
102,0,1,1
103,1,1,1
104,1,1,1
105,1,0,1
106,1,0,1
107,0,1,1
108,0,0,1
109,0,1,1
110,0,0,1
111,0,1,1
112,0,0,1
113,0,0,1
114,1,0,1
115,0,1,1
116,1,1,1
117,0,0,1
118,0,0,1
119,0,1,1
120,1,1,1
121,1,1,1
122,0,1,1
123,0,0,1
124,0,0,1
125,0,1,1
126,0,0,1
127,0,0,1
128,1,0,1
129,1,0,1
130,1,0,1
131,0,1,1
132,1,0,1
133,1,0,1
134,0,0,1
135,1,0,1
136,0,1,1
137,0,1,1
138,0,0,1
139,1,1,1
140,1,0,1
141,0,1,1
142,1,0,1
143,1,0,1
144,1,1,1
145,1,1,1
146,1,0,1
147,1,0,1
148,1,0,1
149,1,1,1
150,1,1,1
151,0,0,1
152,0,0,1
153,1,0,1
154,1,1,1
155,0,1,1
156,1,0,1
157,0,0,1
158,1,0,1
159,1,0,1
160,0,0,1
161,0,0,1
162,1,1,1
163,1,1,1
164,0,1,1
165,1,1,1
166,0,0,1
167,0,1,1
168,0,0,1
169,0,1,1
170,0,0,1
171,1,1,1
172,0,0,1
173,0,1,1
174,1,1,1
175,0,1,1
176,1,1,1
177,0,0,1
178,1,0,1
179,0,0,1
180,1,1,1
181,0,1,1
182,1,0,1
183,1,1,1
184,1,0,1
185,1,1,1
186,0,0,1
187,0,1,1
188,0,1,1
189,1,1,1
190,0,0,1
191,0,1,1
192,1,1,1
193,0,1,1
194,0,0,1
195,1,0,1
196,0,1,1
197,1,1,1
198,1,1,1
199,1,1,1
200,1,0,1
201,1,0,1
202,1,1,1
203,1,0,1
204,1,1,1
205,0,0,1
206,1,0,1
207,0,0,1
208,1,0,1
209,1,0,1
210,0,0,1
211,0,1,1
212,1,1,1
213,1,0,1
214,1,0,1
215,1,1,1
216,0,1,1
217,0,1,1
218,1,1,1
219,1,1,1
220,0,0,1
221,1,1,1
222,1,0,1
223,1,1,1
224,1,0,1
225,1,0,1
226,0,1,1
227,1,0,1
228,0,0,1
229,0,1,1
230,0,0,1
231,1,1,1
232,0,0,1
233,0,0,1
234,1,1,1
235,1,0,1
236,0,1,1
237,1,1,1
238,1,1,1
239,1,1,1
240,1,0,1
241,0,0,1
242,0,0,1
243,0,1,1
244,1,1,1
245,1,0,1
246,1,0,1
247,0,1,1
248,0,1,1
249,0,0,1
250,0,1,1
251,1,0,1
252,0,1,1
253,1,0,1
254,0,1,1
255,0,0,1
256,0,1,1
257,0,0,1
258,0,1,1
259,0,1,1
260,1,1,1
261,0,0,1
262,0,1,1
263,1,0,1
264,1,1,1
265,1,0,1
266,0,1,1
267,0,0,1
268,0,0,1
269,0,0,1
270,0,1,1
271,0,0,1
272,0,1,1
273,0,1,1
274,1,1,1
275,0,0,1
276,1,0,1
277,1,1,1
278,1,1,1
279,0,0,1
280,0,1,1
281,0,1,1
282,0,1,1
283,0,1,1
284,0,0,1
285,0,0,1
286,0,1,1
287,1,0,1
288,0,1,1
289,0,1,1
290,0,1,1
291,0,0,1
292,0,0,1
293,0,0,1
294,0,1,1
295,1,0,1
296,0,0,1
297,1,0,1
298,0,0,1
299,1,1,1
300,1,1,1
301,1,0,1
302,1,0,1
303,1,0,1
304,0,0,1
305,0,1,1
306,1,0,1
307,1,0,1
308,1,0,1
309,0,1,1
310,1,0,1
311,1,0,1
312,1,0,1
313,0,1,1
314,1,1,1
315,0,0,1
316,1,1,1
317,0,1,1
318,1,1,1
319,1,1,1
320,0,0,1
321,0,1,1
322,0,0,1
323,0,0,1
324,0,0,1
325,0,0,1
326,0,0,1
327,1,0,1
328,0,1,1
329,1,0,1
330,0,1,1
331,0,1,1
332,1,0,1
333,1,1,1
334,1,0,1
335,0,1,1
336,0,1,1
337,1,0,1
338,0,1,1
339,1,0,1
340,0,1,1
341,1,1,1
342,0,1,1
343,1,0,1
344,0,1,1
345,1,1,1
346,1,0,1
347,1,1,1
348,1,0,1
349,0,0,1
350,1,0,1
351,1,1,1
352,0,1,1
353,0,1,1
354,0,0,1
355,0,0,1
356,1,1,1
357,1,1,1
358,1,0,1
359,1,1,1
360,0,0,1
361,0,0,1
362,1,0,1
363,0,1,1
364,0,0,1
365,1,0,1
366,0,0,1
367,1,1,1
368,1,0,1
369,0,1,1
370,1,0,1
371,1,1,1
372,0,1,1
373,0,0,1
374,1,0,1
375,0,1,1
376,0,0,1
377,1,0,1
378,0,1,1
379,1,1,1
380,1,1,1
381,0,1,1
382,1,1,1
383,1,1,1
384,0,0,1
385,1,1,1
386,1,1,1
387,0,1,1
388,0,1,1
389,1,0,1
390,1,1,1
391,1,0,1
392,1,0,1
393,1,1,1
394,0,0,1
395,1,0,1
396,0,0,1
397,1,1,1
398,0,0,1
399,0,1,1
400,0,0,1
401,1,1,1
402,0,0,1
403,1,1,1
404,1,0,1
405,1,1,1
406,1,1,1
407,0,0,1
408,1,1,1
409,0,1,1
410,0,0,1
411,0,1,1
412,1,1,1
413,1,1,1
414,1,1,1
415,1,0,1
416,0,0,1
417,0,1,1
418,1,0,1
419,0,0,1
420,0,0,1
421,0,1,1
422,0,0,1
423,1,1,1
424,1,0,1
425,1,1,1
426,1,1,1
427,0,1,1
428,0,0,1
429,0,1,1
430,0,0,1
431,0,0,1
432,0,0,1
433,1,1,1
434,1,1,1
435,1,1,1
436,1,1,1
437,0,1,1
438,1,1,1
439,1,1,1
440,0,0,1
441,0,0,1
442,0,0,1
443,1,1,1
444,0,0,1
445,1,1,1
446,0,0,1
447,1,1,1
448,0,1,1
449,1,0,1
450,0,0,1
451,0,0,1
452,1,1,1
453,0,1,1
454,0,0,1
455,1,1,1
456,0,0,1
457,1,0,1
458,1,1,1
459,1,1,1
460,1,1,1
461,0,1,1
462,0,0,1
463,1,0,1
464,1,1,1
465,0,0,1
466,0,1,1
467,1,0,1
468,0,1,1
469,1,0,1
470,0,1,1
471,1,1,1
472,1,1,1
473,1,1,1
474,0,0,1
475,1,0,1
476,1,1,1
477,1,0,1
478,1,1,1
479,1,0,1
480,1,1,1
481,0,0,1
482,0,0,1
483,1,0,1
484,1,1,1
485,0,0,1
486,1,1,1
487,1,0,1
488,1,0,1
489,1,0,1
490,0,1,1
491,0,0,1
492,0,0,1
493,0,1,1
494,0,1,1
495,0,1,1
496,1,0,1
497,1,1,1
498,0,0,1
499,1,0,1
500,0,1,1
501,1,1,1
502,1,0,1
503,1,1,1
504,0,0,1
505,0,0,1
506,0,1,1
507,0,0,1
508,1,1,1
509,0,0,1
510,0,1,1
511,1,1,1
512,0,0,1
513,1,1,1
514,0,1,1
515,0,0,1
516,1,1,1
517,0,1,1
518,0,1,1
519,1,1,1
520,0,1,1
521,0,1,1
522,1,1,1
523,1,1,1
524,1,1,1
525,0,0,1
526,1,0,1
527,1,0,1
528,0,1,1
529,0,0,1
530,1,0,1
531,0,0,1
532,1,0,1
533,1,1,1
534,0,1,1
535,0,0,1
536,0,0,1
537,0,0,1
538,0,0,1
539,1,1,1
540,1,0,1
541,1,1,1
542,0,0,1
543,0,0,1
544,1,0,1
545,1,1,1
546,1,1,1
547,1,0,1
548,1,0,1
549,0,0,1
550,0,0,1
551,0,0,1
552,0,1,1
553,1,0,1
554,0,1,1
555,1,1,1
556,0,1,1
557,0,1,1
558,0,1,1
559,1,0,1
560,0,0,1
561,0,0,1
562,1,0,1
563,1,1,1
564,0,1,1
565,0,0,1
566,1,0,1
567,0,1,1
568,0,1,1
569,0,1,1
570,1,1,1
571,1,1,1
572,0,0,1
573,0,1,1
574,0,1,1
575,0,1,1
576,1,0,1
577,1,1,1
578,1,1,1
579,0,0,1
580,1,0,1
581,1,1,1
582,1,1,1
583,0,1,1
584,0,0,1
585,0,0,1
586,1,0,1
587,0,0,1
588,1,0,1
589,1,0,1
590,0,0,1
591,1,1,1
592,1,1,1
593,1,1,1
594,0,0,1
595,1,1,1
596,0,1,1
597,0,1,1
598,0,1,1
599,0,1,1
600,1,1,1
601,0,0,1
602,0,0,1
603,0,0,1
604,1,1,1
605,1,1,1
606,0,0,1
607,1,1,1
608,0,0,1
609,0,0,1
610,1,0,1
611,1,1,1
612,1,1,1
613,1,1,1
614,1,1,1
615,1,0,1
616,0,1,1
617,0,1,1
618,1,0,1
619,0,0,1
620,1,0,1
621,1,0,1
622,0,1,1
623,1,1,1
624,1,0,1
625,1,0,1
626,1,0,1
627,0,1,1
628,1,0,1
629,1,1,1
630,0,0,1
631,0,0,1
632,1,1,1
633,0,1,1
634,0,0,1
635,1,1,1
636,0,0,1
637,0,0,1
638,0,0,1
639,0,1,1
640,1,1,1
641,0,1,1
642,0,1,1
643,1,0,1
644,1,1,1
645,0,0,1
646,0,1,1
647,0,0,1
648,0,0,1
649,1,1,1
650,0,0,1
651,1,0,1
652,1,0,1
653,0,0,1
654,1,1,1
655,0,1,1
656,1,1,1
657,1,1,1
658,1,1,1
659,1,0,1
660,1,0,1
661,0,0,1
662,1,1,1
663,0,0,1
664,1,0,1
665,1,1,1
666,0,0,1
667,0,1,1
668,0,1,1
669,1,1,1
670,0,1,1
671,0,1,1
672,1,1,1
673,1,1,1
674,0,1,1
675,1,1,1
676,1,0,1
677,1,1,1
678,1,0,1
679,1,0,1
680,0,0,1
681,0,1,1
682,0,1,1
683,1,1,1
684,1,1,1
685,0,1,1
686,1,1,1
687,1,1,1
688,0,1,1
689,1,1,1
690,0,1,1
691,1,1,1
692,1,0,1
693,0,1,1
694,1,1,1
695,1,1,1
696,1,0,1
697,0,1,1
698,0,0,1
699,1,0,1
700,1,1,1
701,1,0,1
702,1,1,1
703,0,1,1
704,1,0,1
705,1,0,1
706,0,0,1
707,0,1,1
708,0,1,1
709,1,1,1
710,1,1,1
711,0,1,1
712,0,0,1
713,0,1,1
714,0,1,1
715,0,0,1
716,1,0,1
717,1,0,1
718,1,0,1
719,1,1,1
720,0,0,1
721,0,0,1
722,1,1,1
723,1,0,1
724,1,0,1
725,0,0,1
726,1,1,1
727,1,0,1
728,1,1,1
729,1,0,1
730,1,0,1
731,0,0,1
732,1,1,1
733,1,1,1
734,1,0,1
735,1,0,1
736,1,0,1
737,1,0,1
738,0,1,1
739,1,1,1
740,0,1,1
741,1,1,1
742,1,0,1
743,0,0,1
744,0,0,1
745,0,1,1
746,0,0,1
747,1,1,1
748,1,1,1
749,1,1,1
750,1,0,1
751,1,0,1
752,0,1,1
753,1,1,1
754,0,1,1
755,0,0,1
756,0,0,1
757,0,1,1
758,1,0,1
759,0,1,1
760,1,0,1
761,0,0,1
762,1,1,1
763,0,1,1
764,1,1,1
765,1,0,1
766,0,1,1
767,1,1,1
768,0,0,1
769,1,1,1
770,0,0,1
771,0,1,1
772,1,1,1
773,0,0,1
774,1,1,1
775,1,0,1
776,1,0,1
777,1,0,1
778,1,0,1
779,0,0,1
780,0,0,1
781,0,1,1
782,0,1,1
783,0,0,1
784,0,1,1
785,0,0,1
786,0,1,1
787,0,0,1
788,0,0,1
789,0,0,1
790,1,0,1
791,0,0,1
792,0,0,1
793,1,0,1
794,1,0,1
795,0,1,1
796,0,1,1
797,0,0,1
798,0,0,1
799,0,1,1
800,0,1,1
801,0,1,1
802,0,1,1
803,1,0,1
804,1,0,1
805,1,1,1
806,0,0,1
807,1,0,1
808,0,0,1
809,1,1,1
810,0,0,1
811,0,1,1
812,0,1,1
813,1,0,1
814,0,0,1
815,0,0,1
816,1,0,1
817,1,1,1
818,0,1,1
819,0,1,1
820,1,1,1
821,0,1,1
822,1,0,1
823,1,0,1
824,0,0,1
825,0,0,1
826,0,0,1
827,1,0,1
828,1,1,1
829,0,0,1
830,0,0,1
831,0,0,1
832,1,1,1
833,1,1,1
834,1,0,1
835,1,0,1
836,0,0,1
837,0,1,1
838,0,0,1
839,1,0,1
840,1,0,1
841,0,1,1
842,1,1,1
843,1,0,1
844,1,0,1
845,1,0,1
846,1,0,1
847,1,0,1
848,0,0,1
849,0,0,1
850,1,1,1
851,0,0,1
852,0,1,1
853,0,1,1
854,0,0,1
855,1,1,1
856,0,0,1
857,0,0,1
858,1,1,1
859,0,0,1
860,1,0,1
861,1,0,1
862,1,0,1
863,1,1,1
864,1,0,1
865,0,1,1
866,1,0,1
867,0,0,1
868,1,1,1
869,1,1,1
870,0,1,1
871,0,0,1
872,1,0,1
873,0,0,1
874,0,0,1
875,1,1,1
876,0,0,1
877,1,0,1
878,0,0,1
879,0,0,1
880,0,1,1
881,1,0,1
882,0,0,1
883,1,1,1
884,0,0,1
885,1,0,1
886,1,0,1
887,1,0,1
888,1,0,1
889,0,1,1
890,1,1,1
891,0,1,1
892,0,0,1
893,1,0,1
894,0,0,1
895,1,1,1
896,0,1,1
897,1,1,1
898,1,0,1
899,1,1,1
900,1,1,1
901,1,1,1
902,1,1,1
903,1,1,1
904,0,0,1
905,1,1,1
906,1,0,1
907,0,1,1
908,1,0,1
909,0,1,1
910,0,1,1
911,0,0,1
912,0,1,1
913,0,0,1
914,1,0,1
915,1,1,1
916,0,1,1
917,1,1,1
918,0,0,1
919,1,1,1
920,1,0,1
921,1,0,1
922,1,0,1
923,1,0,1
924,0,0,1
925,1,1,1
926,0,1,1
927,0,1,1
928,1,0,1
929,1,1,1
930,0,1,1
931,0,1,1
932,1,0,1
933,1,1,1
934,1,0,1
935,1,1,1
936,1,0,1
937,0,1,1
938,1,0,1
939,0,0,1
940,0,0,1
941,1,0,1
942,1,1,1
943,1,1,1
944,1,1,1
945,1,0,1
946,1,1,1
947,1,0,1
948,1,1,1
949,0,1,1
950,1,0,1
951,1,1,1
952,1,0,1
953,1,0,1
954,0,0,1
955,1,0,1
956,1,1,1
957,1,1,1
958,0,1,1
959,1,1,1
960,0,0,1
961,1,0,1
962,0,1,1
963,0,0,1
964,0,1,1
965,0,0,1
966,1,1,1
967,0,1,1
968,0,0,1
969,0,0,1
970,0,1,1
971,0,1,1
972,0,0,1
973,1,1,1
974,1,0,1
975,0,1,1
976,1,0,1
977,1,0,1
978,0,0,1
979,1,1,1
980,0,0,1
981,1,0,1
982,0,0,1
983,0,1,1
984,0,1,1
985,1,1,1
986,1,0,1
987,0,0,1
988,1,1,1
989,0,1,1
990,0,1,1
991,1,0,1
992,0,1,1
993,1,1,1
994,0,0,1
995,0,0,1
996,1,0,1
997,1,1,1
998,1,0,1
999,1,0,1
1000,1,0,1
1001,0,0,1
1002,0,0,1
1003,0,0,1
1004,1,0,1
1005,1,0,1
1006,1,0,1
1007,0,0,1
1008,0,0,1
1009,1,1,1
1010,0,1,1
1011,1,1,1
1012,0,1,1
1013,1,0,1
1014,0,1,1
1015,1,0,1
1016,1,1,1
1017,0,1,1
1018,1,1,1
1019,0,0,1
1020,1,0,1
1021,0,0,1
1022,0,0,1
1023,0,1,1
1024,0,1,1
1025,0,0,1
1026,1,0,1
1027,1,0,1
1028,0,0,1
1029,0,0,1
1030,0,0,1
1031,1,1,1
1032,1,1,1
1033,1,1,1
1034,1,0,1
1035,0,0,1
1036,1,0,1
1037,0,0,1
1038,0,1,1
1039,0,1,1
1040,1,0,1
1041,0,1,1
1042,1,1,1
1043,1,0,1
1044,0,0,1
1045,1,1,1
1046,0,0,1
1047,0,0,1
1048,0,1,1
1049,1,1,1
1050,0,0,1
1051,1,0,1
1052,1,0,1
1053,1,1,1
1054,1,0,1
1055,1,0,1
1056,1,0,1
1057,0,1,1
1058,0,0,1
1059,0,0,1
1060,1,0,1
1061,0,0,1
1062,1,0,1
1063,0,0,1
1064,0,0,1
1065,1,0,1
1066,0,0,1
1067,0,0,1
1068,1,1,1
1069,1,1,1
1070,0,1,1
1071,1,1,1
1072,1,1,1
1073,0,0,1
1074,0,1,1
1075,0,1,1
1076,0,0,1
1077,1,0,1
