,2,1,0
0,0,1,1
1,0,1,1
2,1,1,1
3,1,0,1
4,0,0,0
5,1,1,1
6,1,0,1
7,0,1,1
8,0,1,0
9,0,1,0
10,0,1,1
11,0,1,1
12,0,1,1
13,1,1,0
14,1,1,0
15,1,0,0
16,0,1,0
17,1,1,0
18,1,0,0
19,1,0,1
20,0,1,0
21,0,1,1
22,0,1,1
23,1,0,1
24,1,0,0
25,1,0,1
26,0,0,0
27,0,0,0
28,0,1,1
29,1,0,1
30,0,1,1
31,0,1,0
32,0,1,1
33,1,1,1
34,0,1,0
35,0,0,1
36,0,1,1
37,0,0,0
38,1,0,0
39,0,1,1
40,1,0,1
41,1,0,1
42,1,1,0
43,0,1,1
44,1,0,1
45,1,1,1
46,1,0,1
47,0,0,1
48,0,0,1
49,1,1,0
50,1,0,1
51,0,1,0
52,0,1,0
53,0,1,1
54,0,1,0
55,1,0,1
56,0,1,1
57,0,1,1
58,0,1,0
59,0,0,1
60,0,0,0
61,1,0,1
62,1,1,0
63,0,1,0
64,1,1,0
65,1,1,0
66,0,0,0
67,1,0,1
68,1,0,1
69,0,1,1
70,0,1,1
71,1,1,0
72,0,0,1
73,1,1,1
74,0,1,1
75,0,0,1
76,1,0,1
77,0,1,1
78,1,0,1
79,1,0,1
80,0,0,1
81,1,1,0
82,1,0,1
83,0,0,1
84,1,0,1
85,0,1,1
86,1,0,1
87,1,1,1
88,0,0,1
89,1,1,1
90,0,1,1
91,1,1,1
92,0,1,1
93,0,1,1
94,1,1,1
95,0,0,1
96,1,1,0
97,0,1,1
98,1,0,0
99,0,1,1
100,1,1,0
101,1,0,0
102,1,0,1
103,0,0,1
104,1,0,1
105,0,1,0
106,1,0,1
107,0,0,1
108,0,0,1
109,0,1,1
110,0,1,1
111,0,1,1
112,0,1,0
113,0,1,1
114,1,0,0
115,0,1,1
116,0,1,0
117,1,0,1
118,0,1,1
119,0,1,0
120,0,1,0
121,1,0,0
122,1,0,0
123,0,0,1
124,1,0,1
125,1,0,0
126,1,0,1
127,1,0,1
128,0,1,0
129,0,1,1
130,0,1,1
131,0,0,0
132,1,1,1
133,0,0,1
134,0,0,0
135,1,0,1
136,0,1,1
137,0,1,1
138,0,1,0
139,1,1,1
140,0,0,1
141,1,0,0
142,1,0,1
143,0,1,0
144,1,0,0
145,1,0,1
146,1,0,1
147,1,1,0
148,1,1,0
149,0,1,1
150,0,1,0
151,0,1,0
152,1,1,0
153,1,1,0
154,0,1,0
155,0,1,0
156,1,1,0
157,1,0,1
158,0,0,0
159,1,1,1
160,0,1,1
161,0,1,0
162,0,1,1
163,1,0,1
164,1,1,1
165,1,0,1
166,1,1,0
167,0,1,1
168,1,0,1
169,1,0,1
170,0,1,1
171,1,0,0
172,0,1,1
173,1,1,0
174,0,1,1
175,1,1,0
176,1,0,1
177,0,1,0
178,0,1,1
179,0,1,1
180,0,0,1
181,1,1,1
182,1,0,1
183,0,1,0
184,0,0,1
185,0,1,1
186,0,1,1
187,0,1,1
188,1,1,1
189,1,0,0
190,1,0,1
191,1,0,1
192,1,1,1
193,0,1,1
194,1,0,0
195,1,0,1
196,0,1,1
197,0,1,0
198,0,1,1
199,0,1,1
200,1,1,0
201,0,1,0
202,0,1,1
203,0,0,1
204,0,1,1
205,1,0,1
206,1,0,1
207,1,0,1
208,0,1,1
209,0,1,1
210,0,0,1
211,0,1,1
212,0,1,0
213,0,1,1
214,1,0,1
215,1,1,0
216,1,0,1
217,1,1,0
218,0,1,1
219,0,1,1
220,1,1,0
221,0,0,1
222,1,0,1
223,0,1,0
224,0,1,0
225,0,1,1
226,0,1,1
227,1,1,0
228,0,0,0
229,1,0,1
230,1,0,0
231,1,1,0
232,0,1,1
233,1,0,1
234,0,1,1
235,0,0,1
236,1,0,1
237,0,1,1
238,1,0,1
239,0,1,1
240,0,0,1
241,1,1,0
242,1,1,1
243,0,1,1
244,0,0,0
245,0,1,1
246,1,0,0
247,0,1,1
248,1,0,1
249,1,0,1
250,1,0,1
251,0,1,1
252,0,1,1
253,1,0,1
254,1,1,0
255,1,0,0
256,0,0,1
257,1,0,1
258,0,1,1
259,1,0,1
260,1,0,1
261,1,1,0
262,0,1,0
263,1,1,1
264,0,1,0
265,0,0,1
266,1,1,0
267,0,1,0
268,0,1,1
269,1,1,0
270,0,1,0
271,0,1,1
272,1,0,1
273,1,0,1
274,1,0,1
275,0,1,1
276,1,1,0
277,0,1,1
278,1,0,1
279,0,1,1
280,1,0,1
281,0,1,0
282,0,0,1
283,1,1,0
