,4,3,2,1
0,1,1,0,1
1,1,1,0,1
2,1,1,1,0
3,0,0,0,0
4,0,0,0,0
5,0,1,0,0
6,1,1,1,1
7,0,0,1,0
8,1,1,0,0
9,1,1,1,0
10,1,0,1,0
11,1,1,1,1
12,1,1,0,0
13,0,1,0,0
14,1,1,0,1
15,1,1,1,1
16,1,1,1,0
17,0,1,0,0
18,0,1,0,0
19,0,1,1,0
20,1,1,0,1
21,0,1,1,0
22,1,0,0,0
23,1,0,1,1
24,1,1,1,1
25,1,1,0,1
26,0,1,1,0
27,0,1,1,0
28,1,1,0,1
29,0,0,0,1
30,1,1,0,0
31,1,1,0,1
32,0,1,1,0
33,1,1,0,1
34,0,0,1,0
35,0,0,0,0
36,0,0,0,0
37,1,1,0,1
38,1,1,1,0
39,1,1,1,0
40,0,0,1,0
41,0,1,0,0
42,1,1,0,0
43,1,1,1,1
44,0,1,1,1
45,0,0,0,1
46,1,1,0,1
47,1,1,0,1
48,1,1,0,1
49,0,0,1,1
50,1,1,0,0
51,1,1,0,0
52,1,1,1,1
53,1,0,0,1
54,1,1,1,1
55,0,0,0,0
56,1,1,0,1
57,0,0,0,0
58,1,1,0,1
59,1,1,0,0
60,0,1,1,1
61,0,1,1,0
62,1,1,0,0
63,1,1,0,0
64,1,1,1,0
65,0,1,0,0
66,0,0,0,0
67,1,1,0,0
68,1,1,0,0
69,0,1,0,0
70,1,1,1,0
71,1,1,0,0
72,0,1,0,0
73,0,0,0,1
74,0,0,0,1
75,0,1,1,0
76,0,1,1,0
77,0,1,1,1
78,1,1,0,1
79,1,1,0,0
80,1,0,0,0
81,1,1,0,1
82,1,1,0,1
83,0,1,0,0
84,0,0,0,0
85,0,0,0,1
86,1,1,0,1
87,1,1,0,1
88,1,1,1,0
89,1,1,1,0
90,1,1,0,1
91,1,1,1,1
92,1,0,1,1
93,0,1,0,0
94,1,1,0,0
95,1,1,1,1
96,0,1,0,0
97,1,1,1,1
98,1,1,1,1
99,1,1,0,0
100,1,1,1,1
101,1,1,0,1
102,0,1,1,0
103,1,1,0,0
104,0,1,0,1
105,1,0,1,0
106,0,1,0,1
107,0,0,1,1
108,1,0,0,1
109,1,1,0,1
110,0,1,0,0
111,1,1,1,1
112,0,0,0,0
113,1,1,0,0
114,0,1,0,0
115,0,1,1,0
116,0,0,0,0
117,0,1,0,0
118,0,0,0,0
119,0,0,1,0
120,0,0,1,0
121,0,1,1,0
122,0,0,0,0
123,1,1,1,0
124,1,1,0,1
125,0,0,1,0
126,0,1,1,0
127,1,1,0,1
128,1,1,1,1
129,0,1,0,1
130,1,0,1,0
131,1,1,0,1
132,1,1,0,0
133,1,0,0,0
134,0,1,0,1
135,0,0,0,0
136,0,0,1,0
137,1,1,1,1
138,0,1,1,1
139,1,1,1,1
140,0,1,0,0
141,1,0,1,1
142,1,1,0,0
143,0,0,0,0
144,0,1,0,0
145,0,0,1,1
146,0,1,1,1
147,1,1,0,1
148,0,1,0,1
149,1,1,0,0
