,6,5,4,3,2,0
0,1,0,0,0,1,1
1,1,0,0,1,1,1
2,0,0,1,0,1,0
3,0,1,1,0,0,1
4,0,1,1,0,0,0
5,1,1,1,0,1,1
6,0,1,0,0,0,1
7,0,0,0,0,0,0
8,0,0,1,1,1,0
9,0,1,1,1,0,0
10,0,0,0,0,1,1
11,1,0,1,1,1,1
12,1,0,1,1,1,0
13,0,0,1,1,1,0
14,0,1,1,0,0,1
15,0,0,0,1,1,1
16,0,0,1,1,1,1
17,0,0,1,0,1,1
18,0,0,1,1,1,1
19,0,0,1,1,1,0
20,1,1,0,1,0,1
21,0,1,0,0,0,1
22,1,1,0,1,1,1
23,0,0,1,0,1,1
24,0,1,1,0,0,1
25,0,0,0,0,0,1
26,0,0,1,1,1,0
27,0,0,1,0,1,1
28,0,0,1,1,1,0
29,1,0,0,1,0,1
30,0,0,1,0,1,1
31,1,1,1,0,1,1
32,0,0,1,0,1,1
33,1,0,1,0,1,1
34,0,0,1,1,1,1
35,1,0,0,0,1,1
36,0,1,0,0,0,1
37,0,0,1,1,1,1
38,0,0,1,0,1,0
39,1,0,0,1,1,1
40,1,0,1,1,0,1
41,0,1,0,0,0,1
42,0,0,1,1,1,1
43,0,0,1,1,1,1
44,0,0,1,0,1,1
45,0,0,1,0,1,1
46,1,0,1,1,1,1
47,1,0,1,1,1,1
48,0,1,1,1,0,1
49,0,0,1,0,1,1
50,0,0,1,1,1,1
51,0,0,1,0,1,1
52,1,0,1,0,1,1
53,0,1,1,1,0,1
54,0,1,1,1,0,1
55,1,0,0,0,1,1
56,0,0,1,0,1,0
57,0,1,1,0,0,1
58,1,1,0,1,1,1
59,1,0,1,1,1,1
60,1,0,0,0,1,1
61,0,0,1,0,1,1
62,1,0,1,1,1,1
63,0,0,1,0,0,1
64,0,1,0,0,0,1
65,0,1,1,0,0,1
66,1,0,0,1,1,1
67,0,0,0,0,1,1
68,1,1,0,0,1,1
69,0,0,1,1,1,1
70,0,0,1,1,1,1
71,1,0,0,0,1,1
72,1,1,1,0,1,1
73,0,1,0,0,0,1
74,1,0,1,0,1,1
75,0,1,1,0,0,0
76,0,0,1,1,1,0
77,1,0,1,1,0,1
78,1,0,1,1,0,1
79,0,0,0,0,1,1
80,0,1,0,1,0,1
81,0,1,1,0,0,0
82,0,1,1,1,0,0
83,0,0,1,0,1,1
84,1,0,0,1,1,1
85,1,0,1,1,0,0
86,1,0,1,1,1,1
87,1,0,1,1,0,1
88,1,0,1,0,1,1
89,0,0,1,1,1,1
90,1,1,0,0,1,1
91,1,1,1,0,1,0
92,0,0,1,0,1,0
93,0,0,0,1,1,1
94,0,1,0,1,0,1
95,1,0,1,1,1,1
96,0,0,1,1,1,1
97,1,0,1,1,1,1
98,0,0,1,1,1,1
99,0,0,1,1,1,1
100,1,0,1,0,1,0
101,1,1,1,1,1,1
102,1,1,0,1,1,1
103,0,0,1,1,1,1
104,0,0,1,1,1,0
105,0,1,0,1,0,1
106,0,0,1,1,1,1
107,0,0,1,0,1,1
108,0,0,1,1,0,1
109,1,0,1,1,1,1
110,1,0,1,1,1,0
111,0,0,1,0,1,1
112,0,0,0,1,0,1
113,0,0,1,1,0,1
