,4,3,2,1,0
0,1,0,0,1,0
1,1,0,0,1,0
2,0,0,0,1,0
3,0,1,1,0,1
4,1,1,1,0,1
5,1,1,1,0,1
6,1,0,0,1,0
7,1,0,1,0,1
8,1,0,1,0,1
9,1,1,1,0,1
10,0,1,1,0,1
11,1,1,1,0,1
12,0,1,1,0,1
13,0,1,1,0,1
14,1,0,1,0,1
15,1,0,1,0,1
16,0,0,1,0,1
17,1,1,1,0,1
18,1,0,1,0,1
19,1,0,0,1,0
20,1,0,1,0,1
21,1,0,1,0,1
22,1,0,1,0,1
23,1,0,0,1,0
24,1,0,1,0,1
25,1,0,1,0,1
26,1,1,1,0,1
27,0,0,1,0,1
28,0,0,1,0,1
29,1,0,1,0,1
30,1,0,1,0,1
31,1,0,1,0,1
32,0,1,1,0,1
33,0,0,1,0,1
34,1,1,1,0,1
35,1,1,1,0,1
36,1,1,1,0,1
37,1,0,1,0,1
38,0,1,1,0,1
39,0,0,0,1,0
40,0,0,1,0,1
41,1,1,1,0,1
42,0,0,1,0,1
43,0,1,1,0,1
44,1,0,0,1,0
45,1,1,1,0,1
46,1,0,1,0,1
47,1,1,1,0,1
48,1,1,1,0,1
49,1,0,1,0,1
50,1,1,1,0,1
51,1,1,1,0,1
52,1,0,0,1,0
53,1,0,0,1,0
54,1,0,1,0,1
55,0,0,1,0,1
56,0,0,1,0,1
57,1,1,1,0,1
58,1,0,1,0,1
59,0,1,1,0,1
60,1,0,1,0,1
61,1,1,1,0,1
62,1,0,1,0,1
63,0,1,1,0,1
64,0,0,1,0,1
65,1,1,1,0,1
66,0,1,1,0,1
67,1,0,1,0,1
68,0,1,1,0,1
69,1,0,1,0,1
70,1,0,0,1,0
71,0,0,1,0,1
72,1,0,1,0,1
73,1,0,1,0,1
74,0,0,1,0,1
75,1,0,1,0,1
76,0,0,1,0,1
77,0,1,1,0,1
78,0,0,0,0,1
79,1,1,1,0,1
80,1,0,0,1,0
81,1,1,1,0,1
82,1,0,1,0,1
83,1,0,1,0,1
84,1,0,0,1,0
85,0,1,1,0,1
86,0,1,1,0,1
87,0,1,1,0,1
88,1,1,1,0,1
89,1,0,1,0,1
90,0,1,1,0,1
91,1,1,1,0,1
92,0,1,1,0,1
93,0,1,1,0,1
94,1,0,1,0,1
95,1,0,1,0,1
96,1,1,1,0,1
97,1,1,1,0,1
98,1,1,1,0,1
99,1,0,1,0,1
100,1,0,1,0,1
101,1,0,0,1,0
102,0,1,1,0,1
103,1,0,1,0,1
104,1,1,1,0,1
105,1,0,1,0,1
