,4,3,2,1,0
0,1,0,0,1,1
1,1,1,1,0,0
2,1,1,1,0,0
3,1,1,1,0,0
4,1,0,1,1,0
5,0,1,0,1,1
6,1,1,1,0,0
7,1,0,1,1,0
8,1,0,1,1,0
9,1,0,1,1,0
10,1,0,1,0,0
11,1,1,1,1,1
12,1,1,0,1,0
13,1,0,0,1,1
14,1,1,1,1,0
15,1,1,0,1,1
16,1,0,0,1,0
17,1,1,1,0,1
18,1,0,0,1,0
19,1,0,1,1,1
20,1,1,1,1,0
21,1,1,1,0,0
22,1,0,0,1,0
23,1,0,0,1,1
24,1,0,1,1,1
25,0,1,0,1,0
26,1,0,1,0,0
27,1,1,0,1,1
28,1,0,0,1,0
29,1,1,1,0,0
30,1,1,0,1,0
31,1,0,0,1,0
32,1,1,1,1,0
33,1,0,1,1,1
34,1,1,1,0,0
35,0,0,0,1,1
36,1,1,0,1,0
37,1,1,0,1,0
38,1,1,0,1,1
39,1,1,1,1,0
40,1,0,0,1,1
41,1,0,0,1,0
42,1,0,0,1,0
43,0,0,0,1,0
44,1,0,1,0,0
45,1,0,0,1,1
46,0,1,0,1,0
47,1,0,0,1,1
48,1,1,0,1,1
49,1,1,0,1,1
50,1,1,0,0,0
51,1,1,1,1,0
52,1,1,0,1,1
53,1,1,0,1,0
54,1,0,0,0,1
55,1,0,0,1,1
56,1,1,0,1,0
57,1,0,0,1,1
58,1,0,1,0,0
59,0,1,0,1,1
60,1,1,0,1,0
61,1,0,0,1,1
62,1,0,0,1,0
63,1,1,0,1,0
64,1,1,0,1,1
65,1,1,0,1,1
66,1,1,0,1,0
67,1,1,1,0,0
68,1,0,0,1,1
69,1,1,0,1,0
70,1,1,1,0,0
71,1,0,0,1,0
72,1,1,0,1,0
73,1,0,1,0,0
74,1,0,0,0,1
75,1,0,0,1,1
76,1,1,1,0,0
77,1,0,1,0,0
78,1,0,1,1,0
79,1,0,0,1,1
80,1,1,0,1,1
81,1,1,1,0,1
82,1,0,0,1,0
83,1,0,1,0,1
84,1,1,0,1,1
85,1,0,0,1,0
86,1,1,0,1,1
87,1,1,1,0,0
88,0,1,1,1,1
89,1,1,1,0,0
90,1,1,1,0,0
91,1,0,1,0,0
92,1,0,1,1,0
93,0,0,0,1,1
94,1,1,1,1,0
95,1,1,0,1,1
96,1,0,0,1,0
97,1,1,0,1,1
98,1,0,0,1,0
99,1,0,0,0,1
100,0,1,1,1,0
101,1,1,1,0,0
102,1,1,1,0,0
103,1,0,1,1,0
104,1,0,0,1,1
105,1,1,1,0,0
106,0,1,1,1,1
107,1,1,1,1,1
108,0,1,0,1,1
109,1,1,1,0,0
110,1,1,0,1,0
111,1,0,1,0,0
112,1,0,1,1,1
113,1,1,1,0,0
114,1,1,0,1,0
115,1,0,1,0,0
116,1,0,1,0,0
117,1,1,1,1,0
118,1,0,0,1,0
119,1,1,0,1,1
120,1,0,0,1,0
121,1,0,1,0,0
122,1,0,1,1,0
123,1,1,0,1,1
124,0,0,0,1,0
125,1,1,1,0,0
126,1,0,1,0,0
127,1,1,1,1,0
128,0,0,0,1,0
129,0,0,0,1,1
130,1,0,0,0,1
131,1,0,0,1,0
132,1,1,1,0,0
133,1,0,1,0,0
134,1,0,0,1,1
135,1,0,1,0,0
136,1,1,0,1,0
137,1,1,0,1,1
138,1,0,0,1,1
139,1,0,1,0,0
140,1,0,0,1,0
141,1,1,1,0,0
142,1,1,1,0,0
143,1,1,0,1,0
144,1,0,1,1,0
145,1,0,0,1,1
146,1,0,0,1,1
147,1,1,0,1,0
148,1,0,1,0,0
149,1,0,0,1,1
150,1,1,0,0,1
151,0,1,0,1,1
152,1,0,0,1,1
153,1,0,0,1,0
154,1,1,0,1,1
155,1,1,0,1,1
156,1,0,1,1,0
157,1,0,0,1,0
158,0,0,0,0,1
159,1,1,1,0,0
160,1,0,0,1,0
161,1,1,0,1,1
162,1,0,0,1,0
163,1,1,0,1,1
164,1,0,0,1,0
165,1,0,1,0,0
166,1,1,1,0,0
167,1,1,0,1,0
168,1,0,0,1,0
169,1,0,1,1,0
170,1,1,0,1,1
171,1,0,0,1,0
172,1,1,0,1,1
173,1,1,1,1,1
174,1,1,0,1,1
175,1,0,1,0,0
176,1,0,0,1,0
177,1,1,0,1,1
178,1,1,1,0,0
179,1,0,1,1,0
180,1,1,0,1,0
181,1,1,0,1,1
182,1,1,0,1,0
183,1,0,0,1,0
184,1,0,0,1,1
185,1,1,1,0,1
186,1,0,1,0,1
187,0,1,1,1,0
188,1,0,1,1,0
189,1,0,0,1,0
190,1,1,1,0,1
191,1,0,1,1,0
192,1,0,0,1,1
193,1,1,0,1,1
194,1,1,0,1,1
195,1,1,1,0,0
196,1,1,0,1,0
197,1,0,1,1,1
198,1,0,1,1,0
199,1,0,0,1,1
200,0,0,0,1,0
201,1,0,1,0,0
202,1,0,0,1,1
203,1,0,0,0,1
204,1,0,0,1,1
205,1,1,0,1,1
206,1,1,1,0,1
207,1,1,0,1,0
208,1,1,0,1,0
209,1,1,1,1,1
210,1,0,1,1,1
211,1,1,1,0,0
212,1,0,1,0,0
213,0,0,0,1,1
214,1,1,0,1,0
215,1,0,0,1,0
216,1,0,0,1,1
217,0,1,0,1,0
218,1,1,1,0,0
219,1,1,1,1,0
220,1,0,0,1,0
221,1,0,0,1,1
222,1,1,1,1,1
223,1,1,0,1,1
224,1,1,1,1,1
225,1,1,1,1,0
226,1,0,1,0,1
227,1,1,1,0,1
228,1,1,1,0,0
229,1,0,1,1,1
230,1,0,0,0,0
231,1,0,1,0,0
232,1,1,0,1,0
233,1,0,1,0,0
234,1,1,1,0,0
235,1,1,0,0,1
236,1,1,1,1,1
237,1,0,0,0,1
238,1,0,1,0,0
239,1,0,0,1,1
240,1,0,1,0,0
241,1,1,1,1,0
242,1,0,1,0,0
243,1,1,0,0,1
244,1,0,0,1,0
245,1,1,1,0,0
246,1,1,1,0,0
247,1,1,1,0,1
248,1,1,1,0,0
249,1,0,0,1,1
250,1,1,1,1,0
251,1,1,1,1,0
252,0,0,0,1,0
253,1,1,1,1,0
254,1,0,1,0,0
255,1,1,1,1,0
256,1,1,1,1,0
257,1,0,1,0,0
258,1,1,1,1,0
259,1,0,0,1,0
260,1,1,0,1,1
261,1,0,0,1,0
262,1,1,0,1,1
263,1,0,0,0,1
264,1,1,1,1,0
265,1,0,1,0,0
266,1,0,1,0,0
267,1,0,1,1,0
268,0,1,1,0,0
269,0,0,0,1,1
270,1,1,0,1,1
271,1,1,0,0,1
272,1,0,1,0,0
273,1,1,1,0,0
274,1,0,0,1,0
275,1,0,1,0,0
276,1,0,1,0,0
277,1,0,0,1,1
278,1,0,0,1,1
279,1,0,0,1,0
280,1,1,1,0,0
281,1,0,0,1,1
282,1,1,0,1,1
283,1,1,1,0,0
284,1,1,0,1,1
285,1,0,0,1,1
286,0,1,1,1,1
287,1,0,1,0,0
288,1,0,0,1,0
289,0,0,0,1,0
290,1,1,0,1,1
291,1,1,0,1,1
292,1,1,1,0,0
293,1,0,1,1,1
294,1,0,1,1,0
295,1,0,1,1,0
296,1,1,0,1,0
297,1,1,1,0,1
298,1,0,0,1,0
299,1,0,1,0,0
300,1,0,0,1,0
301,1,1,0,0,1
302,1,1,1,0,1
303,1,1,0,1,1
304,1,1,0,1,0
305,1,1,1,0,0
306,1,0,1,0,0
307,1,1,0,1,0
308,1,1,1,0,1
309,1,1,0,1,0
310,1,1,0,0,1
311,1,1,1,1,0
312,1,1,0,1,1
313,1,1,1,0,0
314,1,0,1,1,1
315,1,1,0,1,0
316,1,1,0,1,0
317,1,1,1,0,0
318,1,0,0,1,1
319,1,1,0,1,0
320,1,0,0,1,0
321,1,0,1,0,0
322,1,1,0,1,1
323,1,0,1,1,0
324,1,0,1,0,0
325,1,1,0,1,1
326,0,1,1,1,1
327,1,1,1,1,1
328,1,1,0,1,0
329,0,1,1,0,0
330,1,1,0,1,1
331,1,1,1,1,0
332,1,0,0,1,0
333,0,0,0,1,0
334,1,0,0,1,1
335,1,0,0,1,1
336,1,0,0,0,1
337,0,0,0,1,0
338,1,1,0,1,1
