,4,3,2,1,0
0,1,0,0,1,1
1,1,0,0,1,1
2,1,0,0,1,1
3,1,0,0,1,0
4,1,0,1,1,0
5,1,0,0,1,1
6,1,0,0,1,0
7,1,0,0,1,0
8,1,0,0,1,1
9,0,1,0,1,1
10,1,0,0,1,1
11,1,0,0,1,0
12,1,0,0,1,0
13,1,0,0,1,1
14,1,0,0,1,1
15,1,0,0,1,0
16,1,0,0,1,1
17,1,0,0,1,1
18,1,0,0,1,1
19,1,0,0,1,1
20,0,1,0,1,1
21,1,0,1,0,1
22,0,1,0,1,1
23,1,0,0,1,1
24,1,0,0,1,1
25,1,0,0,1,0
26,1,0,0,1,1
27,1,0,0,1,0
28,1,0,1,1,0
29,1,0,0,1,1
30,0,1,0,1,0
31,1,0,0,1,0
32,1,0,0,1,0
33,1,0,0,1,0
34,1,0,0,1,1
35,1,0,0,1,0
36,1,0,0,1,0
37,1,0,0,1,0
38,0,1,0,1,1
39,1,0,0,1,1
40,1,0,0,1,1
41,1,0,0,1,0
42,1,0,0,1,0
43,1,0,0,1,1
44,1,0,0,1,1
45,1,0,0,1,0
46,1,0,0,1,0
47,1,0,0,1,1
48,1,0,0,1,1
49,1,0,0,1,1
50,1,0,0,1,0
51,1,0,1,1,0
52,1,0,0,1,0
53,1,0,0,1,1
54,1,0,0,1,1
55,1,0,0,1,1
56,1,0,0,1,1
57,1,0,0,1,1
58,1,0,0,1,1
59,1,0,0,1,0
60,1,0,0,1,0
61,1,0,0,1,0
62,1,0,0,1,1
63,1,0,0,1,1
64,1,0,0,1,0
65,1,0,0,1,1
66,1,0,0,1,0
67,1,0,1,1,0
68,0,1,0,1,1
69,1,0,0,1,0
70,1,0,0,1,0
71,1,0,1,1,1
72,0,1,0,1,1
73,1,0,0,1,1
74,0,1,0,1,0
75,1,0,1,1,0
76,1,0,0,1,0
77,1,0,0,1,0
78,1,0,0,1,0
79,1,0,0,1,1
80,1,0,0,1,0
81,1,0,1,1,0
82,1,0,1,1,0
83,1,0,0,1,0
84,1,0,0,1,1
85,1,0,0,1,1
86,1,0,0,1,1
87,1,0,0,1,1
88,1,0,0,1,1
89,1,0,0,1,1
90,1,0,0,1,1
91,1,0,0,1,0
92,1,0,0,0,1
93,1,0,0,1,0
94,1,0,0,1,1
95,1,0,0,1,1
96,1,0,0,1,1
97,1,0,0,1,1
98,1,0,1,1,1
99,1,0,0,1,0
100,1,0,0,1,1
101,1,0,0,1,0
102,1,0,0,1,0
103,1,0,0,1,1
104,0,1,0,1,1
105,1,0,0,1,1
106,1,0,1,0,1
107,1,0,0,1,0
108,1,0,1,1,1
109,0,1,1,1,0
110,1,0,0,1,1
111,1,0,0,1,0
112,1,0,0,1,1
113,1,0,0,1,1
114,1,0,0,1,1
115,1,0,0,1,0
116,1,0,0,1,0
117,1,0,1,1,1
118,1,0,1,1,1
119,1,0,0,1,1
120,1,0,0,1,1
121,1,0,0,1,1
122,1,0,0,1,0
123,1,0,0,1,0
124,1,0,0,1,1
125,1,0,0,1,0
126,0,1,1,1,1
127,1,0,0,1,0
128,1,0,0,1,1
129,1,0,0,1,0
130,1,0,1,1,1
131,0,1,0,1,0
132,0,1,0,1,1
133,1,0,0,1,1
134,1,0,1,1,1
135,1,0,0,1,1
136,1,0,0,1,1
137,1,0,0,1,1
138,0,1,0,1,1
139,1,0,0,1,1
140,1,0,0,1,0
141,1,0,0,1,1
142,0,1,0,1,1
143,1,0,0,1,1
144,1,0,0,1,1
145,1,0,0,1,0
146,1,0,0,0,1
147,1,0,0,1,1
148,1,0,1,1,1
149,1,0,0,1,1
150,1,0,0,1,0
151,1,0,0,1,1
152,1,0,0,1,0
153,1,0,0,1,0
154,1,0,0,1,1
155,1,0,1,1,0
156,0,1,0,1,0
157,1,0,0,1,1
158,1,0,0,1,1
159,1,0,0,1,1
160,1,0,0,1,0
161,1,0,0,1,1
162,1,0,0,1,1
163,1,0,0,1,0
164,1,0,0,1,1
165,0,1,0,1,1
166,0,1,0,1,1
167,1,0,0,1,0
168,1,0,0,1,1
169,1,0,0,1,1
170,1,0,1,1,0
171,1,0,0,1,1
172,1,0,0,1,0
173,1,0,1,1,1
174,1,0,0,0,1
175,1,0,0,1,0
176,0,1,0,1,1
177,1,0,0,1,1
178,1,0,0,1,0
179,0,1,0,1,1
180,0,1,0,1,1
181,1,0,0,1,0
182,1,0,0,1,0
183,0,1,0,1,0
184,1,0,0,1,0
185,1,0,0,1,1
186,1,0,0,0,1
187,1,0,0,1,1
188,1,0,0,1,0
189,1,0,0,0,1
190,1,0,0,1,1
191,1,0,0,1,1
192,1,0,0,1,1
193,1,0,0,1,1
194,1,0,0,1,1
195,1,0,0,1,1
196,1,0,1,1,1
197,1,0,0,1,0
198,1,0,0,1,1
199,1,0,0,1,1
200,1,0,0,1,0
201,1,0,0,1,0
202,1,0,0,1,0
203,1,0,0,1,0
204,1,0,0,1,1
205,1,0,0,1,0
206,1,0,1,1,1
207,1,0,0,1,1
208,1,0,0,1,1
209,1,0,1,1,1
210,1,0,0,1,0
211,1,0,0,1,1
212,1,0,0,1,1
213,1,0,0,1,1
214,1,0,0,1,1
215,1,0,1,1,1
216,1,0,0,1,1
217,1,0,0,1,1
218,0,1,0,1,0
219,1,0,0,1,1
220,1,0,1,1,1
221,1,0,0,1,1
222,1,0,1,1,0
223,1,0,0,1,0
224,1,0,0,1,0
225,1,0,0,1,1
226,1,0,0,1,0
227,0,1,0,1,0
228,1,0,0,1,0
229,1,0,0,1,1
230,1,0,0,1,1
231,0,1,0,1,0
232,1,0,0,1,1
233,1,0,0,1,0
234,1,0,0,1,0
235,1,0,0,1,1
236,1,0,0,1,1
237,1,0,0,1,1
238,1,0,0,1,1
239,1,0,1,1,0
240,1,0,0,1,1
241,1,0,1,0,1
242,1,0,0,1,1
243,1,0,0,1,0
244,1,0,0,1,0
245,0,1,0,1,1
246,1,0,0,1,1
247,1,0,0,1,0
248,1,0,0,1,1
249,1,0,0,1,0
250,1,0,0,1,1
251,1,0,0,1,0
252,1,0,0,1,1
253,1,0,1,1,1
254,1,0,0,1,1
255,1,0,1,1,1
256,1,0,0,1,0
257,1,0,0,1,0
258,1,0,1,1,1
259,1,0,0,1,1
260,1,0,0,1,0
261,1,0,0,1,0
262,1,0,0,1,1
263,1,0,0,1,0
264,1,0,1,0,1
265,1,0,0,1,1
266,1,0,0,1,1
267,1,0,0,1,0
268,0,1,0,1,0
269,1,0,0,1,1
270,1,0,1,1,0
271,1,0,0,1,1
272,0,1,0,1,1
273,1,0,1,1,0
274,0,1,0,1,1
275,0,1,0,1,0
276,1,0,0,1,1
277,1,0,1,1,1
278,1,0,0,1,0
279,1,0,0,1,1
280,1,0,0,1,1
281,1,0,0,1,0
282,1,0,0,1,0
283,1,0,0,1,0
284,1,0,0,1,1
285,1,0,0,1,0
286,1,0,0,1,0
287,1,0,0,1,0
288,1,0,0,1,0
289,1,0,0,1,0
290,1,0,1,1,0
291,0,1,0,1,1
292,1,0,0,1,1
293,1,0,0,1,0
294,1,0,1,1,0
295,1,0,0,1,1
296,0,1,0,1,1
297,1,0,0,1,1
298,1,0,1,1,0
299,0,1,0,1,0
300,1,0,0,1,1
301,1,0,0,1,1
302,0,1,0,1,0
303,1,0,0,1,1
304,1,0,0,1,1
305,1,0,0,1,1
306,1,0,1,1,0
307,1,0,1,1,1
308,1,0,0,1,0
309,1,0,0,1,0
310,1,0,0,1,0
311,1,0,0,1,1
312,1,0,1,1,0
313,1,0,1,1,1
314,1,0,0,1,0
315,1,0,0,1,1
316,1,0,1,1,1
317,1,0,0,1,1
318,1,0,0,1,0
319,1,0,0,1,1
320,1,0,0,1,1
321,1,0,0,1,1
322,1,0,1,1,0
323,1,0,0,1,1
324,1,0,0,1,1
325,1,0,0,1,1
326,1,0,0,1,0
327,1,0,0,1,1
328,1,0,1,1,0
329,1,0,0,1,1
330,1,0,0,1,0
331,1,0,0,1,0
332,1,0,1,1,1
333,1,0,0,1,1
334,1,0,0,1,1
335,1,0,0,1,1
336,1,0,0,1,1
337,1,0,0,1,1
338,1,0,0,1,1
339,1,0,0,0,1
340,1,0,0,1,0
341,1,0,0,1,0
342,1,0,0,1,1
343,1,0,1,1,1
344,1,0,0,1,0
345,1,0,0,1,1
346,0,1,1,1,1
347,1,0,0,1,0
348,1,0,0,1,1
349,1,0,0,1,0
350,1,0,0,1,0
351,1,0,0,1,0
352,1,0,0,1,0
353,1,0,0,1,0
354,1,0,0,0,1
355,1,0,0,1,1
356,1,0,0,1,1
357,1,0,0,1,1
358,1,0,0,1,1
359,1,0,0,1,1
360,1,0,0,1,1
361,1,0,0,1,0
362,1,0,0,1,1
363,1,0,0,1,1
364,1,0,1,1,1
365,1,0,0,1,1
366,1,0,0,1,1
367,1,0,0,1,0
368,1,0,0,1,1
369,1,0,1,1,1
370,1,0,1,1,1
371,1,0,0,1,0
372,1,0,0,1,1
373,1,0,0,0,1
374,1,0,1,1,1
375,1,0,0,1,1
376,1,0,1,0,1
377,1,0,0,1,1
378,1,0,0,1,1
379,1,0,1,1,0
380,0,1,0,1,1
381,0,1,1,1,0
382,1,0,0,1,0
383,1,0,0,1,0
384,1,0,0,1,1
385,1,0,0,0,1
386,1,0,0,1,1
387,1,0,0,1,1
388,0,1,0,1,0
389,1,0,0,1,0
390,1,0,1,0,1
391,1,0,0,1,1
392,1,0,0,1,0
393,1,0,1,1,0
394,0,1,0,0,1
395,1,0,0,1,0
396,0,1,0,1,1
397,1,0,0,1,1
398,1,0,0,1,1
399,0,1,0,1,1
400,1,0,0,1,1
401,0,1,0,1,1
402,1,0,0,1,0
403,1,0,0,1,1
404,0,1,1,1,0
405,1,0,0,1,1
406,1,0,0,1,1
407,1,0,0,1,0
408,0,1,0,1,1
409,1,0,0,1,0
410,1,0,0,1,1
411,1,0,1,1,0
412,1,0,0,1,1
413,1,0,0,1,1
414,1,0,0,1,0
415,1,0,1,1,1
416,1,0,0,1,1
417,0,1,0,1,0
418,1,0,0,1,1
419,1,0,0,1,1
420,1,0,1,1,1
421,1,0,0,1,1
422,1,0,0,1,1
423,1,0,0,1,1
424,1,0,0,1,0
425,0,1,0,1,1
426,1,0,0,1,0
427,1,0,0,1,1
428,1,0,0,1,0
429,1,0,0,1,1
430,1,0,0,1,1
431,1,0,1,0,1
432,1,0,0,1,1
433,0,1,0,1,1
434,0,1,0,1,1
435,1,0,1,0,1
436,1,0,0,1,1
437,1,0,0,1,0
438,0,1,0,1,0
439,1,0,0,1,1
440,1,0,0,1,0
441,1,0,0,1,1
442,0,1,1,0,1
443,1,0,0,1,0
444,1,0,0,1,1
445,1,0,0,1,1
446,1,0,0,1,1
447,1,0,0,1,1
448,0,1,0,1,1
449,1,0,0,1,1
450,1,0,0,0,1
451,1,0,0,1,0
452,0,1,0,1,1
453,1,0,0,1,1
454,1,0,0,1,1
455,1,0,0,1,1
456,1,0,0,0,1
457,1,0,0,1,0
458,0,1,0,1,1
459,1,0,1,1,1
460,1,0,0,1,1
461,1,0,1,1,1
462,1,0,0,1,1
463,1,0,0,1,1
464,1,0,0,1,1
465,1,0,0,1,1
466,1,0,0,1,1
467,1,0,0,1,0
468,1,0,0,1,1
469,1,0,0,1,1
470,1,0,0,1,0
471,1,0,0,1,0
472,0,1,0,1,1
473,0,1,0,1,0
474,1,0,0,0,1
475,0,1,0,1,1
476,1,0,0,1,0
477,1,0,0,1,0
478,1,0,0,1,1
479,1,0,0,1,1
480,0,1,0,1,1
481,1,0,0,1,0
482,1,0,0,1,1
483,1,0,0,1,1
484,1,0,1,1,0
485,0,1,0,1,1
486,1,0,0,1,1
487,0,1,0,1,0
488,1,0,0,1,0
489,1,0,0,1,1
490,1,0,0,1,1
491,1,0,0,1,0
492,1,0,0,1,1
493,1,0,0,1,1
494,0,1,0,1,0
495,1,0,0,1,1
496,1,0,0,1,1
497,1,0,0,1,0
498,1,0,0,1,0
499,1,0,0,1,0
500,1,0,0,1,1
501,0,1,0,1,1
502,1,0,0,1,1
503,1,0,0,1,1
504,1,0,0,1,0
505,0,1,0,1,0
506,1,0,0,1,0
507,1,0,1,1,1
508,1,0,0,1,1
509,0,1,0,1,1
510,1,0,0,1,1
511,1,0,0,1,1
512,1,0,0,1,1
513,1,0,0,1,1
514,0,1,0,1,1
515,1,0,0,1,1
516,1,0,0,1,0
517,1,0,1,1,1
518,1,0,0,1,1
519,1,0,0,1,0
520,1,0,0,1,0
521,1,0,1,1,1
522,0,1,0,1,0
523,1,0,0,1,0
524,1,0,0,1,0
525,0,1,0,1,1
526,0,1,0,1,1
527,0,1,0,1,1
528,1,0,0,1,1
529,1,0,0,0,1
530,1,0,0,1,1
531,1,0,0,1,1
532,0,1,0,1,0
533,1,0,0,1,1
534,1,0,0,1,0
535,1,0,0,1,0
536,1,0,0,0,1
537,1,0,1,1,0
538,1,0,1,1,1
539,1,0,0,1,0
540,1,0,0,1,1
541,0,1,0,1,1
542,1,0,0,1,1
543,1,0,0,1,1
544,1,0,1,1,0
545,1,0,0,1,1
546,1,0,0,1,1
547,1,0,0,1,1
548,1,0,0,1,1
549,1,0,1,1,1
550,1,0,0,1,1
551,1,0,0,1,0
552,1,0,1,1,0
553,1,0,1,1,1
554,1,0,0,1,0
555,1,0,0,1,1
556,1,0,0,1,1
557,1,0,0,1,0
558,1,0,0,1,0
559,1,0,0,1,1
560,1,0,0,1,1
561,1,0,0,1,1
562,1,0,0,1,1
563,1,0,0,1,1
564,1,0,0,1,0
565,1,0,1,1,0
566,1,0,1,0,1
567,1,0,0,1,0
568,1,0,1,0,1
569,1,0,0,1,0
570,1,0,1,1,0
571,1,0,1,1,0
572,1,0,0,1,0
573,1,0,1,1,1
574,1,0,1,1,1
575,1,0,0,1,0
576,1,0,0,1,1
577,1,0,0,1,1
578,1,0,0,1,1
579,1,0,1,1,0
580,1,0,0,1,1
581,1,0,0,1,1
582,1,0,0,1,0
583,1,0,1,1,1
584,1,0,1,1,1
585,1,0,0,1,1
586,1,0,0,1,0
587,0,1,0,1,1
588,0,1,1,1,0
589,0,1,0,1,1
590,1,0,0,1,1
591,1,0,0,1,0
592,0,1,0,1,1
593,1,0,0,1,1
594,1,0,0,1,1
595,1,0,1,1,1
596,1,0,0,1,1
597,1,0,0,1,0
598,1,0,0,1,1
599,1,0,0,1,0
600,1,0,0,1,1
601,1,0,0,1,1
602,1,0,0,1,0
603,1,0,0,1,0
604,1,0,0,1,1
605,1,0,0,1,1
606,1,0,0,1,0
607,1,0,0,1,1
608,0,1,0,1,1
609,1,0,0,0,1
610,1,0,0,1,1
611,1,0,0,1,0
612,0,1,0,1,0
613,1,0,0,1,1
614,1,0,0,1,1
615,1,0,0,1,1
616,1,0,0,1,0
617,1,0,1,0,1
618,1,0,0,1,0
619,1,0,0,1,0
620,1,0,0,1,1
621,1,0,0,1,1
622,0,1,0,1,0
623,1,0,0,1,1
624,1,0,1,1,1
625,1,0,1,1,1
626,1,0,0,1,1
627,1,0,0,1,0
628,0,1,0,0,1
629,0,1,1,1,1
630,0,1,0,1,1
631,1,0,1,1,1
632,1,0,0,1,1
633,0,1,0,1,1
634,1,0,0,1,0
635,1,0,0,1,1
636,1,0,0,1,0
637,1,0,0,1,1
638,0,1,0,1,0
639,1,0,1,1,1
640,1,0,0,1,0
641,1,0,1,1,1
642,1,0,0,1,1
643,0,1,1,1,1
644,1,0,0,1,1
645,1,0,0,1,0
646,0,1,0,1,1
647,1,0,0,1,0
648,1,0,0,1,1
649,1,0,0,1,1
650,1,0,0,1,1
651,1,0,0,1,1
652,1,0,0,0,1
653,1,0,0,1,1
654,1,0,0,1,1
655,1,0,0,1,1
656,1,0,0,1,1
657,1,0,1,1,0
658,1,0,0,1,0
659,1,0,1,1,1
660,1,0,0,1,1
661,1,0,0,1,0
662,1,0,0,1,1
663,0,1,0,1,0
664,1,0,0,1,1
665,1,0,0,1,0
666,1,0,0,1,1
667,1,0,0,1,1
668,1,0,0,1,0
669,1,0,0,1,0
670,1,0,0,1,1
671,1,0,1,1,0
672,1,0,1,1,0
673,1,0,1,1,0
674,1,0,0,1,0
675,1,0,0,1,1
676,1,0,0,1,0
677,1,0,0,1,1
678,1,0,0,1,0
679,1,0,0,1,1
680,1,0,0,1,1
681,1,0,0,1,1
682,1,0,1,0,1
683,0,1,0,1,0
684,1,0,0,0,1
685,1,0,0,1,1
686,1,0,0,1,0
687,1,0,0,1,1
688,1,0,0,1,1
689,1,0,0,1,1
690,1,0,0,1,1
691,1,0,0,1,1
692,1,0,0,1,1
693,1,0,0,1,1
694,0,1,0,1,0
695,1,0,0,1,1
696,1,0,0,1,0
697,1,0,0,1,1
698,1,0,1,1,0
699,0,1,1,1,1
700,1,0,0,1,0
701,1,0,1,1,0
702,1,0,0,1,1
703,1,0,0,1,1
704,1,0,1,1,1
705,1,0,0,1,0
706,1,0,0,1,1
707,1,0,1,1,1
708,0,1,0,1,1
709,1,0,0,1,0
710,1,0,0,1,0
711,1,0,0,1,0
712,1,0,0,1,1
713,1,0,0,1,0
714,1,0,0,1,0
715,1,0,1,0,1
716,1,0,0,1,1
717,1,0,0,0,1
718,0,1,0,1,1
719,1,0,0,1,0
720,1,0,0,1,1
721,1,0,0,1,1
722,1,0,0,1,0
723,1,0,0,1,1
724,1,0,0,1,1
725,1,0,0,1,0
726,1,0,0,1,1
727,1,0,0,1,0
728,1,0,0,1,1
729,1,0,0,1,0
730,0,1,0,1,1
731,1,0,0,1,1
732,1,0,0,1,1
733,1,0,0,1,0
734,1,0,0,1,1
735,0,1,0,1,1
736,1,0,0,1,0
737,1,0,1,1,1
738,1,0,0,1,0
739,1,0,0,1,0
740,1,0,0,1,1
741,1,0,1,1,1
742,1,0,0,1,0
743,1,0,1,1,0
744,1,0,0,1,0
745,1,0,1,1,1
746,1,0,0,1,1
747,1,0,0,1,1
748,1,0,0,1,0
749,1,0,0,1,0
750,1,0,0,1,0
751,1,0,0,1,1
752,1,0,0,1,0
753,1,0,0,1,0
754,0,1,0,1,1
755,1,0,0,1,0
756,1,0,0,1,1
757,1,0,0,1,1
758,1,0,1,0,1
759,1,0,0,1,1
760,1,0,0,1,0
761,1,0,0,1,0
762,1,0,0,1,1
763,1,0,0,1,0
764,1,0,1,1,0
765,1,0,0,1,1
766,1,0,0,1,0
767,1,0,1,1,0
768,1,0,0,1,0
769,0,1,0,1,0
770,1,0,0,1,0
771,1,0,0,1,1
772,0,1,0,1,1
773,1,0,0,1,0
774,1,0,1,1,1
775,1,0,0,1,1
776,1,0,0,1,1
777,1,0,0,1,0
778,1,0,0,0,1
779,1,0,1,1,0
780,0,1,0,1,1
781,1,0,0,1,1
782,1,0,1,1,1
783,1,0,1,1,0
784,1,0,1,1,0
785,1,0,1,1,0
786,1,0,0,1,0
787,1,0,1,1,0
788,1,0,0,0,1
789,1,0,0,1,0
790,1,0,0,1,0
791,0,1,1,1,1
792,1,0,0,0,1
793,1,0,0,1,0
794,1,0,0,1,0
795,1,0,0,1,0
796,1,0,0,1,0
797,1,0,0,1,1
798,1,0,1,1,1
799,1,0,0,1,0
800,1,0,0,1,0
801,1,0,0,1,0
802,1,0,0,1,1
803,1,0,0,1,1
804,1,0,1,1,1
805,1,0,0,1,1
806,1,0,0,1,0
807,1,0,0,1,1
808,1,0,1,1,1
809,1,0,0,1,1
810,1,0,0,1,1
811,1,0,1,1,0
812,1,0,0,1,1
813,1,0,0,1,0
814,1,0,0,1,0
815,1,0,0,1,0
816,1,0,0,1,1
817,1,0,0,1,1
818,1,0,1,1,1
819,1,0,0,1,1
820,1,0,1,1,0
821,1,0,0,1,0
822,1,0,0,1,1
823,0,1,0,1,1
824,1,0,0,1,1
825,1,0,0,1,0
826,1,0,0,1,0
827,1,0,0,1,1
828,1,0,0,1,1
829,1,0,0,1,0
830,1,0,0,1,1
831,1,0,1,0,1
832,1,0,0,1,0
833,1,0,0,1,0
834,1,0,0,1,0
835,0,1,0,1,0
836,1,0,0,1,1
837,1,0,0,1,1
838,1,0,0,1,0
839,1,0,0,1,0
840,0,1,0,1,1
841,1,0,0,1,0
842,1,0,0,1,1
843,1,0,0,1,0
844,1,0,0,1,0
845,1,0,0,1,0
846,1,0,1,1,0
847,1,0,1,1,1
848,1,0,0,1,0
849,1,0,1,1,1
850,1,0,1,1,1
851,1,0,1,1,1
852,1,0,0,1,1
853,1,0,0,1,0
854,1,0,0,1,1
855,1,0,0,1,0
856,1,0,0,1,1
857,1,0,0,1,1
858,1,0,0,1,1
859,1,0,1,1,0
860,1,0,0,1,1
861,1,0,0,1,0
862,1,0,0,1,1
863,1,0,0,1,1
864,1,0,0,1,0
865,1,0,1,1,1
866,1,0,1,1,1
867,1,0,0,1,1
868,1,0,0,1,1
869,1,0,1,1,1
870,0,1,0,1,0
871,1,0,0,1,0
872,1,0,0,1,1
873,1,0,1,1,1
874,1,0,0,1,0
875,1,0,0,1,1
876,1,0,0,1,1
877,0,1,0,1,1
878,1,0,0,1,1
879,0,1,0,1,1
880,1,0,0,1,0
881,1,0,0,1,1
882,1,0,0,1,0
883,1,0,0,1,1
884,1,0,0,1,1
885,1,0,1,1,0
886,0,1,0,1,1
887,1,0,0,1,1
888,1,0,0,1,0
889,1,0,1,1,1
890,1,0,0,0,1
891,1,0,0,1,0
892,1,0,0,1,0
893,0,1,0,1,1
894,1,0,1,1,0
895,1,0,0,1,0
896,1,0,0,1,0
897,1,0,0,1,1
898,1,0,0,1,1
899,1,0,0,1,0
900,1,0,0,1,1
901,1,0,0,1,1
902,1,0,0,1,0
903,1,0,0,1,0
904,1,0,0,1,1
905,1,0,0,1,0
906,1,0,0,1,0
907,1,0,1,1,1
908,1,0,1,1,0
909,1,0,0,1,0
910,1,0,0,1,1
911,1,0,0,1,0
912,1,0,0,1,1
913,1,0,0,1,0
914,1,0,0,1,0
915,1,0,1,1,0
916,1,0,0,1,1
917,1,0,0,1,1
918,1,0,0,1,0
919,1,0,0,0,1
920,1,0,0,1,1
921,1,0,0,1,1
922,1,0,0,1,1
923,1,0,1,1,1
924,1,0,0,1,1
925,1,0,0,1,0
926,1,0,0,1,1
927,1,0,0,1,1
928,1,0,0,1,1
929,1,0,0,1,1
930,1,0,0,1,0
931,1,0,0,1,1
932,1,0,0,1,0
933,1,0,0,1,1
934,0,1,0,1,0
935,1,0,0,1,0
936,1,0,0,1,1
937,1,0,0,1,0
938,1,0,0,1,1
939,1,0,0,1,1
940,1,0,0,1,0
