,4,3,2,1,0
0,0,1,1,1,1
1,0,1,1,1,1
2,1,0,0,0,0
3,0,0,0,0,1
4,1,0,0,0,0
5,1,0,0,0,0
6,1,0,0,0,1
7,1,0,0,1,0
8,1,0,0,0,1
9,0,1,1,1,1
10,0,1,1,1,1
11,0,0,0,0,0
12,0,1,1,1,1
13,0,1,1,1,1
14,1,0,0,0,0
15,1,0,0,0,0
16,1,0,0,1,0
17,1,0,0,0,1
18,1,0,0,1,1
19,1,0,0,0,0
20,1,0,0,1,1
21,1,0,0,0,1
22,1,0,0,0,0
23,1,0,0,1,0
24,1,0,0,0,0
25,1,0,0,0,0
26,1,0,0,1,1
27,0,0,0,1,1
28,0,1,1,0,0
29,0,1,1,1,0
30,1,0,0,1,1
31,1,0,0,0,1
32,0,1,1,1,1
33,1,0,0,0,0
34,1,0,0,1,0
35,1,0,0,0,1
36,1,0,0,0,1
37,1,0,0,1,0
38,1,0,0,0,0
39,0,1,1,1,0
40,1,0,1,1,0
41,1,0,0,0,1
42,1,0,0,1,0
43,1,0,0,1,1
44,1,0,0,0,0
45,1,0,0,1,0
46,1,0,0,1,0
47,0,1,1,1,1
48,1,0,0,0,1
49,1,0,0,1,1
50,1,0,0,0,0
51,1,0,0,0,0
52,1,0,0,0,0
53,0,1,1,1,0
54,1,0,0,0,0
55,1,0,0,1,1
56,0,1,1,1,0
57,0,1,1,1,0
58,0,1,1,1,0
59,1,0,0,0,0
60,1,0,0,0,0
61,1,0,0,1,1
62,1,0,0,0,0
63,1,0,0,1,1
64,1,0,0,0,1
65,0,1,1,1,1
66,1,0,0,1,0
67,1,1,1,1,0
68,1,0,0,0,1
69,1,0,0,1,1
70,0,1,1,1,0
71,0,1,1,1,0
72,1,0,0,0,1
73,0,1,1,1,0
74,0,1,1,1,0
75,1,0,0,0,0
76,1,0,0,1,0
77,1,0,0,1,1
78,1,0,0,0,0
79,1,0,0,0,0
80,0,1,1,1,1
81,1,0,0,1,0
82,1,0,0,1,0
83,1,0,0,0,0
84,1,0,0,0,1
85,1,0,0,0,0
86,1,0,0,0,0
87,1,0,0,0,1
88,1,0,0,0,1
89,0,1,1,1,1
90,1,0,0,1,1
91,1,0,0,0,0
92,1,0,0,1,1
93,1,0,0,0,0
94,1,1,1,1,0
95,0,1,1,1,0
96,1,0,0,1,0
97,1,0,0,0,0
98,0,1,1,1,0
99,0,1,1,0,0
100,1,0,0,0,1
101,0,0,0,1,1
102,1,0,0,1,1
103,1,0,0,1,1
104,1,0,0,1,1
105,1,0,0,1,1
106,1,0,0,1,0
107,1,0,0,0,0
108,1,0,0,1,0
109,1,0,0,0,0
110,1,0,0,1,0
111,0,1,1,1,0
112,0,0,0,1,1
113,1,0,0,1,1
114,1,0,0,0,0
115,1,0,0,1,1
116,1,0,0,1,0
117,1,0,0,1,0
118,1,0,1,1,1
119,1,0,0,0,1
