,4,3,2,1,0
0,0,0,0,1,1
1,0,1,0,1,1
2,0,1,0,1,1
3,1,0,0,1,1
4,0,1,0,1,1
5,1,0,1,1,0
6,0,1,1,1,0
7,1,1,0,1,1
8,1,1,0,1,1
9,1,1,1,1,1
10,0,1,1,1,0
11,0,0,0,1,1
12,0,0,0,1,1
13,1,0,0,1,1
14,0,1,0,1,1
15,0,1,0,1,1
16,1,1,1,1,1
17,0,1,1,1,1
18,1,1,0,1,0
19,1,1,0,1,1
20,0,1,0,1,1
21,1,1,0,1,1
22,1,0,0,1,1
23,1,1,0,1,1
24,1,1,1,1,0
25,0,0,0,1,1
26,0,0,0,1,1
27,0,0,0,1,0
28,1,0,0,1,1
29,0,1,0,1,1
30,0,0,0,1,1
31,0,1,0,1,0
32,1,1,1,1,0
33,0,1,0,1,1
34,0,1,0,1,0
35,0,0,0,1,1
36,0,1,0,1,1
37,0,0,0,1,1
38,1,1,0,1,1
39,0,1,0,1,1
40,1,0,1,1,0
41,0,1,0,1,1
42,0,1,0,1,1
43,0,0,0,0,1
44,0,0,0,1,1
45,1,1,0,1,1
46,1,0,1,1,1
47,0,0,0,1,1
48,1,1,1,1,0
49,0,1,0,1,1
50,0,0,0,1,1
51,0,0,0,1,1
52,0,0,0,1,1
53,0,1,0,1,1
54,1,0,0,1,1
55,0,1,0,1,1
56,0,1,0,1,1
57,0,0,0,1,1
58,0,0,0,1,1
59,0,1,0,1,1
60,0,1,0,1,1
61,1,1,0,0,0
62,1,0,0,1,1
63,0,1,1,1,0
64,1,1,0,1,1
65,1,1,1,1,1
66,0,0,0,1,1
67,0,1,0,1,1
68,0,1,0,1,1
69,0,0,0,1,1
70,1,1,0,1,1
71,1,1,1,1,0
72,1,0,1,1,1
73,0,1,0,1,0
74,1,0,0,1,1
75,0,1,0,1,1
76,0,0,0,1,1
77,0,1,0,1,1
78,1,1,0,1,1
79,1,1,0,1,0
80,1,1,0,1,0
81,0,1,0,0,1
82,0,1,0,1,1
83,1,1,1,1,1
84,1,1,0,1,1
85,1,1,0,1,1
86,0,0,0,1,1
87,0,1,0,1,1
88,0,1,1,0,0
89,0,0,0,1,1
90,1,0,0,1,1
91,1,0,0,1,0
92,1,1,0,1,1
93,0,1,0,1,1
94,0,0,0,0,0
95,0,0,0,1,1
96,0,1,0,1,1
97,1,1,1,1,0
98,0,1,0,1,0
99,0,1,0,1,1
100,0,1,1,1,0
101,1,0,0,1,1
102,1,1,0,1,1
103,0,0,0,1,1
104,0,0,0,1,1
105,0,0,0,1,1
106,0,1,0,1,1
107,0,0,0,1,1
108,0,0,0,1,1
109,0,0,0,1,0
110,0,0,0,1,0
111,0,1,0,1,1
112,1,1,0,1,1
113,0,0,0,1,1
114,1,1,0,1,1
115,0,1,0,1,1
116,1,0,0,1,0
117,0,1,0,1,0
118,1,1,0,1,1
119,0,0,0,1,1
120,1,1,0,1,1
121,1,0,0,1,1
122,1,1,0,0,1
123,0,1,1,1,1
124,0,0,0,1,0
125,0,0,0,1,1
126,1,1,0,1,1
127,0,1,0,1,1
128,0,0,0,1,1
129,0,0,0,1,0
130,1,1,1,1,0
131,1,0,1,1,1
132,1,1,1,1,1
133,0,0,0,1,1
134,0,0,0,1,1
135,0,1,1,1,0
136,1,0,0,1,0
137,0,1,0,1,1
138,1,1,0,1,1
139,1,0,0,1,1
140,1,1,0,1,1
141,1,1,0,1,1
142,1,0,0,1,0
143,0,0,0,1,1
144,0,1,0,1,1
145,1,1,0,1,1
146,1,1,1,1,0
147,1,1,0,1,1
148,0,1,0,1,1
149,0,0,1,1,0
150,1,0,1,0,0
151,1,1,1,1,0
152,1,0,1,1,0
153,1,0,0,1,1
154,1,1,0,1,1
155,1,1,0,1,1
156,1,0,0,1,1
157,1,0,0,1,1
158,0,1,0,1,1
159,1,0,0,1,1
160,0,0,0,1,1
161,0,1,0,1,1
162,0,0,0,1,1
163,0,0,0,1,1
164,0,0,0,1,1
165,0,1,0,1,1
166,1,1,0,1,1
167,0,1,0,1,1
168,0,1,0,0,1
169,1,0,0,1,0
170,0,0,0,1,0
171,0,1,0,1,1
172,1,0,0,1,1
173,0,0,0,1,1
174,1,0,0,1,1
175,1,0,0,1,1
176,1,1,0,1,1
177,0,1,0,1,1
178,0,1,0,1,1
179,1,0,0,1,1
180,0,1,0,1,1
181,0,1,1,1,1
182,0,0,0,1,1
183,0,0,0,1,1
184,0,1,0,1,1
185,1,1,0,1,1
186,1,0,0,1,1
187,1,1,0,1,1
188,0,0,0,1,1
189,1,1,0,1,0
190,0,1,0,1,1
191,1,1,1,1,1
192,0,1,0,1,1
193,1,1,0,1,1
194,0,1,0,1,1
195,0,1,0,1,1
196,1,0,1,1,0
197,0,1,0,1,1
198,1,1,0,1,1
199,1,1,0,1,1
200,0,0,0,1,1
201,1,1,1,1,1
202,0,0,0,1,1
203,0,0,0,1,1
204,0,1,0,1,1
205,1,1,1,1,0
206,0,0,0,1,1
207,1,0,0,1,1
208,0,1,0,1,1
209,0,0,0,1,1
210,0,1,0,1,1
211,0,1,0,1,1
212,0,0,0,1,0
213,0,0,0,1,1
214,1,0,0,1,1
215,1,0,0,1,0
216,0,1,0,1,1
217,0,1,1,0,0
218,1,0,0,1,1
219,0,1,1,1,1
220,1,1,0,1,1
221,1,1,0,1,1
222,0,1,0,1,1
223,1,0,0,1,1
224,0,0,0,1,1
225,1,1,0,1,1
226,0,1,0,1,1
227,1,0,0,1,1
228,0,0,0,1,1
229,0,1,0,1,1
230,0,1,0,1,1
231,1,1,0,1,1
232,0,1,0,1,1
233,1,1,0,1,1
234,0,1,0,1,0
235,0,1,0,1,1
236,0,0,0,1,1
237,1,1,0,1,1
238,0,1,0,1,1
239,1,0,0,1,1
240,0,1,0,1,1
241,1,0,0,1,1
242,1,0,0,1,1
243,1,1,0,1,1
244,1,0,0,0,1
245,0,1,0,1,1
246,0,0,0,1,1
247,0,1,0,1,1
248,0,1,0,1,1
249,0,0,0,1,1
250,0,1,0,1,1
251,0,1,0,1,1
252,1,1,0,1,1
253,0,1,0,1,1
254,1,1,0,1,1
255,1,0,0,1,1
256,0,1,0,1,1
257,0,1,0,1,1
258,0,1,0,1,1
259,0,1,0,1,0
260,0,0,0,1,1
261,0,0,1,1,0
262,1,1,0,1,0
263,1,1,1,1,0
264,0,0,0,1,1
265,0,0,0,1,1
266,0,1,0,1,1
267,1,0,0,1,0
268,1,1,0,1,1
269,0,0,0,1,1
270,0,0,0,1,0
271,0,1,0,1,1
272,0,0,0,0,1
273,0,1,0,1,1
274,1,0,0,1,1
275,1,1,0,1,1
276,0,0,0,1,1
277,1,1,1,1,1
278,0,1,0,1,1
279,0,1,0,1,0
280,1,0,0,1,1
281,0,1,0,1,1
282,0,1,0,1,1
283,1,1,0,1,1
284,1,1,0,1,1
285,0,0,0,1,0
286,0,1,0,1,1
287,1,1,0,1,1
288,1,0,0,1,1
289,0,1,0,1,1
290,1,1,0,1,1
291,1,1,0,1,1
292,1,1,0,1,1
293,0,0,1,1,0
294,0,1,0,1,1
295,0,0,0,1,1
296,1,0,0,1,1
297,0,0,0,1,0
298,0,1,0,1,0
299,0,0,0,1,1
300,0,0,0,1,1
301,0,0,0,1,1
302,0,1,0,1,1
303,1,1,0,1,1
304,1,0,0,1,1
305,0,1,0,1,1
306,0,1,0,1,1
307,0,0,0,1,1
308,0,1,0,1,1
309,1,1,0,1,0
310,1,0,0,1,0
311,1,1,0,1,1
312,0,1,1,1,0
313,1,0,0,1,1
314,0,1,0,1,1
315,0,1,0,1,1
316,0,1,0,1,1
317,0,1,0,1,1
318,1,0,0,1,1
319,0,1,1,1,0
320,1,1,1,1,1
321,0,1,0,1,0
322,1,1,1,1,1
323,0,0,0,1,0
324,1,1,1,1,0
325,0,1,0,1,1
326,0,0,0,1,1
327,1,1,1,1,0
328,0,1,0,1,1
329,1,0,0,1,1
330,1,1,0,1,1
331,1,0,0,1,1
332,1,1,0,1,1
333,0,0,0,1,1
334,1,1,0,1,1
335,0,1,0,1,1
