,4,3,2,1,0
0,1,0,1,1,0
1,0,0,1,0,0
2,0,1,0,0,0
3,0,0,1,0,0
4,1,1,0,1,1
5,1,0,0,1,1
6,1,0,1,0,0
7,1,1,0,0,0
8,0,0,0,0,1
9,1,0,0,0,1
10,0,0,0,1,1
11,1,0,1,0,0
12,1,0,0,1,1
13,0,0,1,1,0
14,0,0,1,0,0
15,0,0,1,0,0
16,0,0,1,0,0
17,1,1,0,0,0
18,1,0,0,1,1
19,1,0,0,0,0
20,0,0,0,1,1
21,0,1,0,0,1
22,0,0,1,0,0
23,0,1,0,0,0
24,0,0,1,1,1
25,1,0,0,1,1
26,0,0,1,0,0
27,0,0,1,0,0
28,0,0,1,0,0
29,0,0,0,1,1
30,0,0,1,0,0
31,1,0,0,1,1
32,0,1,0,1,1
33,0,1,0,0,0
34,1,0,1,1,0
35,0,0,0,1,1
36,1,0,1,1,0
37,1,0,1,0,0
38,1,0,0,1,1
39,1,1,0,0,0
40,0,0,0,1,1
41,0,0,1,0,0
42,1,1,0,0,0
43,0,0,0,1,1
44,0,0,1,0,0
45,0,0,1,0,0
46,1,0,1,1,0
47,0,0,1,1,1
48,1,0,1,0,0
49,0,0,1,0,0
50,0,0,1,1,0
51,1,1,0,1,1
52,1,1,0,0,0
53,0,1,0,1,0
54,1,0,1,0,0
55,0,0,1,0,0
56,1,0,0,0,1
57,1,0,1,0,0
58,0,0,0,0,0
59,0,0,1,1,1
60,1,0,0,1,1
61,0,0,1,0,0
62,1,0,0,1,1
63,0,0,1,1,0
64,0,0,1,1,0
65,0,0,1,0,0
66,0,0,1,0,0
67,0,0,1,0,0
68,1,1,0,0,0
69,1,0,1,0,0
70,1,0,1,0,0
71,0,0,0,1,1
72,1,1,0,1,1
73,0,0,1,0,0
74,0,0,0,1,1
75,1,0,1,0,0
76,1,0,0,1,1
77,1,1,0,1,0
78,1,1,0,1,1
79,0,0,1,1,0
80,1,0,1,0,0
81,1,1,0,0,0
82,1,0,1,0,0
83,1,0,0,1,1
84,1,1,0,0,0
85,1,1,0,0,0
86,0,0,1,0,0
87,1,0,1,0,0
88,1,1,0,0,1
89,0,0,1,0,0
90,1,0,1,0,0
91,0,0,1,0,0
92,0,0,1,0,0
93,0,0,1,0,0
94,0,1,1,1,1
95,1,1,1,0,0
96,0,0,1,0,0
97,1,0,1,0,0
98,0,0,1,0,0
99,0,1,0,1,1
100,0,0,1,0,0
101,0,0,1,0,0
102,1,0,1,1,0
103,0,0,1,1,0
104,0,0,0,1,1
105,1,0,1,1,0
106,0,0,1,0,0
107,0,0,1,1,0
108,0,0,0,1,1
109,0,0,1,0,0
110,0,1,0,1,0
111,0,0,1,0,0
112,0,0,1,0,0
113,0,0,1,0,0
114,0,0,0,0,0
115,0,0,1,0,0
116,0,0,0,1,1
117,0,0,0,1,1
118,0,0,1,1,0
119,0,0,1,0,0
120,0,0,1,1,0
121,1,1,0,0,0
122,0,0,1,1,0
123,0,1,0,0,0
124,1,0,1,0,0
125,0,0,1,1,0
126,1,0,1,1,0
127,0,0,1,0,0
128,0,1,1,1,1
129,0,0,1,0,0
130,1,0,1,0,0
131,0,0,1,0,0
132,1,0,1,1,0
133,0,0,1,0,0
134,0,0,1,1,0
135,1,0,1,1,0
136,0,0,1,0,0
137,0,0,1,0,0
138,1,0,0,0,1
139,0,0,1,0,0
140,1,0,1,0,0
141,1,0,0,1,1
142,0,0,1,0,0
143,0,0,1,0,0
144,0,0,1,0,0
145,1,0,0,0,1
146,0,0,1,0,0
147,0,0,1,0,0
148,1,1,0,1,1
149,1,0,1,0,0
150,1,0,1,1,0
151,0,0,0,1,1
152,1,0,1,0,0
153,0,0,1,0,0
154,0,0,1,1,0
155,0,1,0,0,0
156,1,0,0,1,1
157,0,1,0,1,0
158,0,1,0,0,0
159,1,0,0,0,1
160,0,0,0,1,1
161,0,0,1,0,0
162,1,0,1,0,0
163,1,0,0,1,1
164,1,1,0,0,0
165,0,0,1,1,0
166,1,1,0,0,0
167,1,0,1,0,0
168,1,1,0,1,1
169,0,0,0,1,1
170,1,0,1,1,0
171,0,0,1,0,0
172,0,0,0,1,1
173,1,0,1,0,0
174,0,0,1,0,0
175,0,0,1,0,0
176,0,0,1,0,0
177,1,1,0,1,0
178,1,0,1,0,0
179,1,1,0,0,1
180,0,0,0,1,1
181,1,0,1,0,0
182,0,0,1,0,0
183,0,0,0,1,1
184,1,0,1,0,0
185,1,0,1,0,0
186,1,0,0,1,1
187,0,0,1,0,0
188,1,1,0,0,0
189,0,0,0,0,0
190,0,0,0,0,1
191,1,0,0,1,1
192,1,0,1,1,0
193,0,0,1,0,0
194,1,0,1,0,0
195,0,0,0,1,1
196,0,0,1,1,1
197,1,0,1,0,0
198,1,1,0,0,0
199,1,0,0,0,1
200,1,1,0,0,0
201,1,0,1,0,0
202,0,1,1,1,1
203,0,0,1,0,0
204,1,0,0,1,1
205,0,0,1,0,0
206,0,0,0,1,1
207,1,1,0,0,0
208,0,0,0,1,1
209,1,0,0,1,1
210,0,0,1,1,0
211,1,0,0,0,1
212,1,0,0,0,1
213,0,0,1,0,0
214,0,0,0,1,1
