,4,3,2,1,0
0,0,1,0,0,1
1,1,0,0,1,1
2,1,1,0,1,1
3,1,1,0,1,1
4,0,1,0,0,1
5,0,1,0,0,0
6,1,1,1,0,1
7,1,1,0,1,0
8,1,1,0,1,1
9,1,1,0,0,0
10,1,1,1,0,0
11,0,0,0,0,1
12,0,1,0,1,1
13,1,1,1,0,0
14,1,1,0,1,1
15,0,1,1,0,1
16,0,1,0,0,0
17,1,1,1,0,0
18,0,1,1,0,0
19,1,1,1,0,0
20,0,1,0,1,1
21,1,1,1,0,0
22,0,1,1,0,1
23,1,1,1,0,1
24,1,1,1,0,0
25,1,1,1,0,0
26,1,1,0,1,1
27,1,1,0,0,1
28,1,1,1,0,1
29,0,1,1,0,1
30,1,1,0,1,0
31,1,1,1,0,0
32,1,1,1,0,1
33,1,1,0,0,0
34,0,1,0,1,0
35,1,1,1,0,1
36,1,1,0,1,1
37,0,1,0,0,1
38,1,1,1,0,1
39,1,1,1,0,1
40,1,1,0,1,1
41,1,1,0,1,1
42,1,1,1,0,0
43,0,1,0,1,1
44,1,1,0,1,1
45,0,1,1,0,0
46,1,1,0,1,1
47,1,1,0,1,1
48,0,1,1,0,0
49,0,1,1,0,1
50,1,1,1,0,0
51,1,1,0,1,1
52,1,1,1,0,1
53,0,1,1,0,1
54,0,1,0,1,1
55,0,0,0,1,1
56,1,1,1,0,1
57,0,1,0,0,1
58,1,1,0,1,0
59,0,1,1,0,1
60,1,1,0,1,1
61,1,1,0,1,1
62,1,0,0,1,1
63,1,1,1,0,1
64,0,1,0,1,1
65,0,0,1,0,0
66,1,1,1,0,0
67,1,1,1,0,1
68,1,1,0,1,1
69,0,0,1,0,1
70,0,1,0,1,1
71,1,1,1,0,1
72,0,0,1,0,0
73,1,1,1,0,0
74,1,1,0,0,0
75,1,0,1,0,0
76,1,1,0,1,1
77,0,1,0,1,1
78,1,1,1,0,0
79,1,1,1,0,0
80,0,1,0,1,1
81,1,1,0,1,1
82,1,1,0,1,1
83,0,1,1,0,1
84,0,1,1,0,1
85,1,1,0,0,1
86,0,1,0,0,0
87,0,1,0,1,1
88,1,1,0,1,1
89,1,1,0,1,1
