,4,3,2,1,0
0,0,1,1,0,0
1,1,0,1,0,0
2,0,1,1,0,0
3,0,0,1,0,1
4,0,1,1,0,1
5,0,1,1,1,0
6,1,1,1,0,0
7,1,0,0,1,0
8,0,1,1,0,0
9,1,0,0,1,0
10,1,0,1,0,0
11,1,0,0,1,0
12,0,1,1,0,1
13,0,0,1,0,1
14,0,1,1,0,0
15,1,1,0,1,0
16,1,0,0,0,0
17,0,0,1,0,1
18,0,0,0,1,0
19,1,0,1,1,1
20,1,0,1,0,1
21,1,1,0,1,0
22,1,1,0,1,0
23,1,0,0,1,0
24,1,1,1,1,1
25,1,1,1,0,1
26,1,1,0,1,0
27,0,0,1,1,1
28,1,1,1,0,1
29,1,0,0,1,0
30,0,0,1,0,0
31,1,0,1,0,0
32,1,1,0,1,0
33,1,1,1,0,1
34,1,1,0,1,0
35,0,1,1,1,1
36,1,0,0,1,0
37,1,1,0,1,1
38,0,1,1,0,0
39,1,1,0,1,0
40,1,1,0,1,0
41,0,0,1,0,0
42,1,0,0,1,0
43,1,1,1,0,0
44,1,1,0,1,0
45,1,0,1,0,0
46,0,0,1,0,0
47,1,0,0,1,0
48,1,1,0,1,0
49,1,1,1,0,0
50,1,1,0,1,0
51,1,1,0,1,0
52,1,0,0,1,0
53,1,1,0,1,0
54,1,1,1,0,0
55,1,0,0,1,0
56,0,0,0,1,0
57,1,1,0,1,0
58,1,0,1,0,1
59,1,1,0,1,0
60,1,0,0,1,0
61,0,1,1,0,0
62,1,1,0,1,0
63,0,1,1,0,1
64,1,1,1,0,0
65,1,0,1,1,1
66,1,1,0,1,0
67,1,1,0,1,0
68,1,0,1,0,0
69,1,1,1,1,0
70,0,1,1,0,1
71,1,1,1,0,0
72,1,1,0,1,0
73,0,1,1,1,1
74,0,1,1,0,0
75,1,1,1,0,0
76,0,1,1,0,0
77,1,0,0,1,0
78,1,0,0,1,0
79,1,1,0,1,0
80,1,0,1,0,0
81,0,0,1,0,0
82,1,0,0,1,0
83,1,1,0,1,0
84,0,0,0,1,0
85,1,1,0,1,0
86,0,1,1,0,0
87,1,1,1,1,1
88,1,0,0,1,0
89,1,1,1,0,0
90,0,0,1,0,0
91,1,1,1,0,1
92,1,1,0,1,0
93,0,1,1,1,1
94,0,1,1,0,0
95,1,0,0,1,0
96,1,1,0,1,0
97,1,0,1,1,1
98,1,0,0,1,0
99,1,1,1,0,0
100,1,1,1,1,1
101,1,0,1,0,0
102,1,0,1,0,0
103,1,1,0,1,0
104,0,1,1,0,0
105,1,0,1,0,1
106,1,1,0,1,0
107,0,1,1,0,1
108,0,0,1,0,1
109,1,0,0,1,0
110,0,1,1,0,0
111,1,1,0,1,0
112,1,1,0,1,0
113,1,0,1,0,1
114,1,1,1,0,0
115,0,1,1,0,0
116,1,1,0,1,0
117,1,0,0,1,0
118,1,1,0,1,0
119,0,1,1,0,0
120,0,1,1,1,1
121,1,0,1,0,0
122,0,1,1,0,0
123,0,0,1,0,0
124,1,0,1,0,1
125,1,1,1,0,1
126,1,0,0,1,0
127,1,1,0,1,0
128,0,1,1,0,1
129,1,1,0,1,0
130,0,0,1,0,0
131,1,0,1,0,0
132,1,1,0,1,0
133,1,1,0,1,0
134,1,0,1,1,1
135,1,1,0,1,0
136,1,1,0,1,0
137,1,0,1,0,0
138,1,1,0,1,0
139,1,1,0,1,0
140,1,1,1,1,1
141,0,0,1,0,0
142,1,1,0,1,0
143,0,1,1,0,0
144,0,0,0,1,0
145,1,0,0,1,0
146,1,1,0,1,0
147,1,1,1,0,1
148,0,1,1,0,0
149,1,0,1,0,0
150,1,0,0,1,0
151,1,1,0,1,0
152,1,0,1,0,0
153,1,1,0,1,0
154,0,0,1,0,0
155,1,1,0,1,0
156,0,1,1,0,0
157,1,1,0,1,0
158,0,0,1,1,1
159,1,0,1,0,0
160,0,0,1,0,1
161,1,1,1,0,0
162,1,1,0,1,0
163,1,1,1,0,0
164,0,1,1,1,1
165,1,0,1,0,0
166,1,1,0,1,0
167,1,0,0,1,0
168,1,1,0,1,0
169,1,0,1,0,0
170,0,1,1,0,0
171,0,1,1,0,0
172,1,0,0,1,0
173,0,1,1,0,1
174,0,0,0,1,0
175,1,0,1,0,0
176,1,0,1,0,1
177,1,0,0,1,0
178,0,0,1,1,1
179,0,1,1,1,1
180,1,1,0,1,0
181,1,0,1,0,0
182,0,0,1,1,1
183,1,1,1,0,1
184,0,0,1,0,0
185,1,0,1,1,1
186,0,1,1,1,1
187,1,0,0,1,0
188,1,1,0,1,0
189,1,0,1,0,1
190,1,0,0,1,0
191,0,1,1,1,0
192,1,0,1,1,1
193,0,1,1,1,1
194,1,0,1,1,1
195,1,0,1,0,1
196,1,0,0,0,1
197,1,0,1,0,0
198,1,1,1,0,1
199,1,1,0,1,0
200,1,1,0,1,0
201,0,0,1,1,0
202,0,1,1,0,1
203,1,1,1,0,1
204,1,1,1,1,1
205,1,0,1,0,1
206,0,1,1,0,0
207,1,1,1,0,0
208,1,1,1,0,1
209,0,1,1,0,1
210,1,0,0,1,0
211,1,0,1,0,1
212,0,0,1,0,1
213,1,1,1,0,0
214,1,0,0,1,0
215,1,1,1,1,1
216,1,1,0,1,0
217,1,1,0,1,0
218,1,1,1,0,1
219,1,0,1,0,1
220,0,1,1,0,0
221,1,0,0,1,0
222,1,1,0,1,0
223,1,1,1,0,1
224,0,1,1,0,0
225,1,1,1,1,1
226,0,1,1,1,1
227,1,1,0,1,0
228,0,1,1,0,1
229,1,1,1,0,0
230,1,1,1,0,0
231,0,1,1,0,0
232,1,1,1,0,1
233,1,1,1,0,0
234,0,1,1,0,1
235,0,0,1,0,1
