[2021-05-23T09:49:38.640162][INFO][java] Set up log file: /root/dev/credici/papers/neurips21/output/210523_094937_log.txt
[2021-05-23T09:49:38.655564][INFO][java] _x30_pLAST_m200_s0
[2021-05-23T09:49:38.659366][INFO][java] Input args: --executions;30;--datasize;1000;--policy;LAST;--output;/root/dev/credici/papers/neurips21/output/210523_094937;--logfile;/root/dev/credici/papers/neurips21/output/210523_094937_log.txt;--timeout;1200;--seed;0;--simpleOutput;/root/dev/credici/papers/neurips21/models/s2/chain_twExo2_nEndo5_14.uai
[2021-05-23T09:49:38.663288][INFO][java] Reading model at /root/dev/credici/papers/neurips21/models/s2/chain_twExo2_nEndo5_14.uai
[2021-05-23T09:49:38.718346][INFO][java] Loaded SCM: ([0, 1, 2, 3, 4, 5, 6, 7, 8], [(7,0), (0,1), (8,1), (1,2), (6,2), (2,3), (5,3), (6,3), (3,4), (5,4)])
[2021-05-23T09:49:38.743761][INFO][java] Endo C-components: [[0], [1], [2, 3, 4]]
[2021-05-23T09:49:38.745606][INFO][java] Exo C-components: [[7], [8], [5, 6]]
[2021-05-23T09:49:38.745888][INFO][java] Sampling 1000 instances
[2021-05-23T09:49:38.871409][INFO][java] Model statistics: {seed=0, markovian=false, exoTW=2, nExo=4, nEndo=5}
[2021-05-23T09:49:38.871896][INFO][java] Building model with EM
[2021-05-23T09:50:24.423698][INFO][java] Finished 30 EM executions in 45547 ms.
[2021-05-23T09:50:24.500243][INFO][java] Approx PSN with 1 points: 	[2.2024038525330936E-6, 2.2024038525330936E-6]	 ( 200 iter. 67 ms.)
[2021-05-23T09:50:24.526737][INFO][java] Approx PSN with 2 points: 	[2.2024038525330936E-6, 3.5811763545276476E-4]	 ( 200 iter. 20 ms.)
[2021-05-23T09:50:24.547570][INFO][java] Approx PSN with 3 points: 	[2.2024038525330936E-6, 3.5811763545276476E-4]	 ( 200 iter. 15 ms.)
[2021-05-23T09:50:24.573610][INFO][java] Approx PSN with 4 points: 	[2.2024038525330936E-6, 3.5811763545276476E-4]	 ( 200 iter. 19 ms.)
[2021-05-23T09:50:24.602474][INFO][java] Approx PSN with 5 points: 	[2.2024038525330936E-6, 3.5811763545276476E-4]	 ( 200 iter. 21 ms.)
[2021-05-23T09:50:24.634536][INFO][java] Approx PSN with 6 points: 	[2.366619707351156E-7, 3.5811763545276476E-4]	 ( 200 iter. 24 ms.)
[2021-05-23T09:50:24.669181][INFO][java] Approx PSN with 7 points: 	[2.150447814962161E-7, 3.5811763545276476E-4]	 ( 200 iter. 25 ms.)
[2021-05-23T09:50:24.703212][INFO][java] Approx PSN with 8 points: 	[2.150447814962161E-7, 3.5811763545276476E-4]	 ( 200 iter. 25 ms.)
[2021-05-23T09:50:24.746913][INFO][java] Approx PSN with 9 points: 	[2.150447814962161E-7, 3.5811763545276476E-4]	 ( 200 iter. 34 ms.)
[2021-05-23T09:50:24.787278][INFO][java] Approx PSN with 10 points: 	[2.150447814962161E-7, 3.5811763545276476E-4]	 ( 200 iter. 31 ms.)
[2021-05-23T09:50:24.827699][INFO][java] Approx PSN with 11 points: 	[2.150447814962161E-7, 3.5811763545276476E-4]	 ( 200 iter. 31 ms.)
[2021-05-23T09:50:24.870738][INFO][java] Approx PSN with 12 points: 	[2.150447814962161E-7, 3.5811763545276476E-4]	 ( 200 iter. 32 ms.)
[2021-05-23T09:50:24.920358][INFO][java] Approx PSN with 13 points: 	[2.150447814962161E-7, 3.5811763545276476E-4]	 ( 200 iter. 36 ms.)
[2021-05-23T09:50:24.977293][INFO][java] Approx PSN with 14 points: 	[2.150447814962161E-7, 3.5811763545276476E-4]	 ( 200 iter. 45 ms.)
[2021-05-23T09:50:25.043229][INFO][java] Approx PSN with 15 points: 	[1.2255850087899862E-8, 3.5811763545276476E-4]	 ( 200 iter. 47 ms.)
[2021-05-23T09:50:25.107622][INFO][java] Approx PSN with 16 points: 	[1.2255850087899862E-8, 3.5811763545276476E-4]	 ( 200 iter. 52 ms.)
[2021-05-23T09:50:25.161495][INFO][java] Approx PSN with 17 points: 	[1.2255850087899862E-8, 3.5811763545276476E-4]	 ( 200 iter. 41 ms.)
[2021-05-23T09:50:25.215976][INFO][java] Approx PSN with 18 points: 	[1.2255850087899862E-8, 3.5811763545276476E-4]	 ( 200 iter. 42 ms.)
[2021-05-23T09:50:25.272882][INFO][java] Approx PSN with 19 points: 	[1.2255850087899862E-8, 3.5811763545276476E-4]	 ( 200 iter. 44 ms.)
[2021-05-23T09:50:25.341701][INFO][java] Approx PSN with 20 points: 	[1.2255850087899862E-8, 3.5811763545276476E-4]	 ( 200 iter. 56 ms.)
[2021-05-23T09:50:25.408154][INFO][java] Approx PSN with 21 points: 	[1.2255850087899862E-8, 3.5811763545276476E-4]	 ( 200 iter. 53 ms.)
[2021-05-23T09:50:25.480094][INFO][java] Approx PSN with 22 points: 	[1.2255850087899862E-8, 3.5811763545276476E-4]	 ( 200 iter. 56 ms.)
[2021-05-23T09:50:25.554160][INFO][java] Approx PSN with 23 points: 	[1.2255850087899862E-8, 3.5811763545276476E-4]	 ( 200 iter. 59 ms.)
[2021-05-23T09:50:25.632978][INFO][java] Approx PSN with 24 points: 	[1.2255850087899862E-8, 3.5811763545276476E-4]	 ( 200 iter. 64 ms.)
[2021-05-23T09:50:25.708121][INFO][java] Approx PSN with 25 points: 	[1.2255850087899862E-8, 3.5811763545276476E-4]	 ( 200 iter. 61 ms.)
[2021-05-23T09:50:25.787461][INFO][java] Approx PSN with 26 points: 	[1.2255850087899862E-8, 3.5811763545276476E-4]	 ( 200 iter. 65 ms.)
[2021-05-23T09:50:25.869564][INFO][java] Approx PSN with 27 points: 	[1.2255850087899862E-8, 3.5811763545276476E-4]	 ( 200 iter. 66 ms.)
[2021-05-23T09:50:25.956094][INFO][java] Approx PSN with 28 points: 	[1.2255850087899862E-8, 3.5811763545276476E-4]	 ( 200 iter. 71 ms.)
[2021-05-23T09:50:26.054752][INFO][java] Approx PSN with 29 points: 	[1.2255850087899862E-8, 3.5811763545276476E-4]	 ( 200 iter. 83 ms.)
[2021-05-23T09:50:26.148026][INFO][java] Approx PSN with 30 points: 	[1.2255850087899862E-8, 3.5811763545276476E-4]	 ( 200 iter. 77 ms.)
[2021-05-23T09:50:26.149759][INFO][java] Done 30 counterfactual queries in 1362 ms.
[2021-05-23T09:50:26.155996][INFO][java] Saving results to /root/dev/credici/papers/neurips21/output/210523_094937/s2_chain_twExo2_nEndo5_14.uai_x30_pLAST_m200_s0.py
[2021-05-23T09:50:26.156833][INFO][java] Closing log file
