,N,dovar,obsvar,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,lowerbound2,upperbound2
0,5,0,-1,1234,CVE,3.7242000000000006,3.0594,0.03156594795900812,0.03156594795900812,0.16481958740491912,0.16481958740491912,0.003614464636072788,0.003614464636072788
1,5,0,-1,1234,CCVE,143.8026,8.8526,0.03156594795900812,0.03156594795900812,0.16481958740491912,0.16481958740491912,0.0036144646360727886,0.0036144646360727886
2,5,0,-1,1234,CCALPeps,1209.3568,1205.3902,0.031585951080154,0.03158595108015403,0.1647771872532961,0.16477718725329613,0.0036368616665498677,0.00363686166654987
3,6,0,-1,1234,CVE,4.3222000000000005,3.604,0.006007730421232036,0.006007730421232036,0.19399226957876797,0.19399226957876797,,
4,6,0,-1,1234,CCVE,168.00099999999998,17.3528,0.006007730421232036,0.006007730421232036,0.19399226957876797,0.19399226957876797,,
5,6,0,-1,1234,CCALPeps,inf,inf,,,,,,
6,7,0,-1,1234,CVE,inf,inf,,,,,,
7,7,0,-1,1234,CCVE,inf,inf,,,,,,
8,7,0,-1,1234,CCALPeps,,,,,,,,
9,8,0,-1,1234,CVE,,,,,,,,
10,8,0,-1,1234,CCVE,,,,,,,,
11,8,0,-1,1234,CCALPeps,,,,,,,,
12,9,0,-1,1234,CVE,,,,,,,,
13,9,0,-1,1234,CCVE,,,,,,,,
14,9,0,-1,1234,CCALPeps,,,,,,,,
