,N,dovar,obsvar,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,lowerbound2,upperbound2
0,3,0,-1,1234,CVE,2.1214000000000004,1.6902000000000001,0.0325452016689847,0.0325452016689847,0.16745479833101531,0.16745479833101531,,
1,3,0,-1,1234,CCVE,63.1322,5.0014,0.03137254901960784,0.12422907488986785,0.07577092511013217,0.16862745098039217,,
2,3,0,-1,1234,CCALPeps,516.0033999999999,513.7604,0.031405407070018744,0.12399865347723434,0.07600134652276566,0.16859459292998125,,
3,3,0,-1,2468,CVE,2.0778,1.6865999999999999,0.0008830022075055185,0.0008830022075055185,0.19911699779249448,0.19911699779249448,,
4,3,0,-1,2468,CCVE,67.12440000000001,3.6050000000000004,0.0008830022075055185,0.0008830022075055185,0.19911699779249448,0.19911699779249448,,
5,3,0,-1,2468,CCALPeps,635.4419999999999,633.0432,0.0008880569902994358,0.0008886253229090356,0.19911137467709097,0.19911194300970056,,
6,3,0,-1,3702,CVE,2.11,1.6869999999999998,0.15275590551181104,0.15275590551181104,0.04724409448818898,0.04724409448818898,,
7,3,0,-1,3702,CCVE,61.068799999999996,3.3952000000000004,0.15275590551181104,0.15275590551181104,0.04724409448818897,0.04724409448818897,,
8,3,0,-1,3702,CCALPeps,529.3334,527.074,0.15257208365124778,0.15268668203602026,0.04731331796397975,0.04742791634875223,,
9,3,0,-1,4936,CVE,2.0928,1.7129999999999999,0.0037444933920704844,0.0037444933920704844,0.1962555066079295,0.1962555066079295,,
10,3,0,-1,4936,CCVE,72.9084,4.1584,0.0037444933920704852,0.0037444933920704852,0.1962555066079295,0.1962555066079295,,
11,3,0,-1,4936,CCALPeps,652.8334,650.3582,0.0037804826017896857,0.00381644203590228,0.19618355796409773,0.1962195173982103,,
12,3,0,-1,6170,CVE,2.1262,1.6974,0.13535353535353536,0.13535353535353536,0.06464646464646465,0.06464646464646465,,
13,3,0,-1,6170,CCVE,61.9976,3.4156,0.13535353535353536,0.13535353535353536,0.06464646464646463,0.06464646464646463,,
14,3,0,-1,6170,CCALPeps,599.6302000000001,597.0980000000001,0.13533600862820325,0.13534311205154212,0.06465688794845788,0.06466399137179675,,
15,3,0,-1,7404,CVE,1.9524000000000001,1.5882,0.010772357723577236,0.010772357723577236,0.18922764227642275,0.18922764227642275,,
16,3,0,-1,7404,CCVE,62.872,3.6096000000000004,0.010772357723577236,0.010772357723577236,0.18922764227642275,0.18922764227642275,,
17,3,0,-1,7404,CCALPeps,568.1206,565.936,0.010794300215575644,0.010797298628691875,0.18920270137130812,0.18920569978442436,,
18,3,0,-1,8638,CVE,2.2283999999999997,1.7919999999999998,0.040042826552462524,0.040042826552462524,0.1599571734475375,0.1599571734475375,,
19,3,0,-1,8638,CCVE,65.7562,5.780200000000001,0.004867256637168142,0.0751552795031056,0.1248447204968944,0.19513274336283187,,
20,3,0,-1,8638,CCALPeps,659.2621999999999,656.7904000000001,0.0049370087247138155,0.07514559879805922,0.12485440120194077,0.1950629912752862,,
21,3,0,-1,9872,CVE,2.22,1.8122,0.0,0.0,0.2,0.2,,
22,3,0,-1,9872,CCVE,67.527,4.2116,0.0,0.0,0.2,0.2,,
23,3,0,-1,9872,CCALPeps,708.1654000000001,705.685,0.00023324131398360124,0.00023338044728817234,0.19976661955271183,0.1997667586860164,,
24,3,0,-1,11106,CVE,2.1073999999999997,1.661,0.1961841308298001,0.1961841308298001,0.003815869170199879,0.003815869170199879,,
25,3,0,-1,11106,CCVE,61.1774,4.1628,0.19595588235294117,0.1982074959261271,0.0017925040738728949,0.004044117647058824,,
26,3,0,-1,11106,CCALPeps,575.9994,573.1809999999999,0.19594950732296493,0.19820011803446871,0.0017998819655312991,0.004050492677035078,,
27,3,0,-1,12340,CVE,2.1594,1.7338,0.08599348534201953,0.08599348534201953,0.11400651465798044,0.11400651465798044,,
28,3,0,-1,12340,CCVE,71.33739999999999,7.1442000000000005,0.04822934232715008,0.10492001207364927,0.09507998792635075,0.15177065767284992,,
29,3,0,-1,12340,CCALPeps,593.2918000000001,590.6888,0.0482529751980312,0.10488223952601786,0.09511776047398215,0.1517470248019688,,
30,5,0,-1,1234,CVE,3.2504,2.816,0.07481582537517055,0.07481582537517055,0.09159618008185537,0.09159618008185537,0.033587994542974085,0.033587994542974085
31,5,0,-1,1234,CCVE,123.9932,43.0848,0.033329723876556576,0.08764192139737995,0.08855441256090958,0.13201965065502183,0.022096069868995635,0.036697347049269094
32,5,0,-1,1234,CCALPeps,1884.8608,1881.6829999999998,0.045005473619487764,0.07582614703505294,0.09031268336065257,0.12998603629843491,0.02500849008207733,0.033861169604294486
33,5,0,-1,2468,CVE,3.3524000000000003,2.8653999999999997,0.1926737129767311,0.1926737129767311,0.005879516135514206,0.005879516135514206,0.0014467708877546922,0.0014467708877546922
34,5,0,-1,2468,CCVE,97.8108,11.252600000000001,0.1926737129767311,0.1926737129767311,0.005879516135514206,0.005879516135514206,0.001446770887754692,0.001446770887754692
