,N,dovar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,obsvar,target
0,3,0,1234,6,CVE,4.0368,3.5143999999999997,0.5162224745420246,0.5162224745420246,0.48377752545797525,0.48377752545797525,5.0,2.0
1,3,0,1234,6,CCVE,145.3614,36.501799999999996,0.5162224745420247,0.5162224745420247,0.48377752545797525,0.48377752545797525,5.0,2.0
2,3,0,1234,6,CCALPeps,1953.2015999999999,1949.2668,0.5160364962038374,0.5160638274485072,0.48393617255149285,0.4839635037961626,5.0,2.0
3,3,0,2468,6,CVE,4.416799999999999,3.8933999999999997,0.8852551914401819,0.8852551914401819,0.11474480855981806,0.11474480855981806,5.0,2.0
4,3,0,2468,6,CCVE,138.77720000000002,33.713,0.8852551914401819,0.8852551914401819,0.11474480855981808,0.11474480855981808,5.0,2.0
5,3,0,2468,6,CCALPeps,1802.8350000000003,1798.9920000000002,0.8849464650740939,0.885066233188477,0.11493376681152304,0.11505353492590609,5.0,2.0
6,3,0,3702,6,CVE,4.2494,3.6903999999999995,0.9259407411780112,0.9259407411780112,0.0740592588219889,0.0740592588219889,5.0,2.0
7,3,0,3702,6,CCVE,inf,inf,,,,,5.0,2.0
8,3,0,3702,6,CCALPeps,2006.0831999999998,2002.0855999999999,0.008310341884883811,0.9746942805541975,0.02530571944580256,0.9916896581151162,5.0,2.0
9,3,0,4936,6,CVE,4.0336,3.5574,0.13199302939755644,0.13199302939755644,0.8680069706024436,0.8680069706024436,5.0,2.0
10,3,0,4936,6,CCVE,153.8222,47.388600000000004,0.1319930293975565,0.1319930293975565,0.8680069706024436,0.8680069706024436,5.0,2.0
11,3,0,4936,6,CCALPeps,1923.7760000000003,1919.8011999999999,0.13207049755649594,0.13212962005440151,0.8678703799455985,0.8679295024435041,5.0,2.0
12,3,0,6170,6,CVE,4.121599999999999,3.6736000000000004,0.13157337338493827,0.13157337338493827,0.8684266266150618,0.8684266266150618,5.0,2.0
13,3,0,6170,6,CCVE,154.0606,42.72,0.1315733733849383,0.1315733733849383,0.8684266266150618,0.8684266266150618,5.0,2.0
