,N,dovar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,obsvar,target
0,3,0,1234,6,CCVE,2300.97,542.2330000000001,0.5162224745420247,0.5162224745420247,0.4837775254579753,0.4837775254579753,5.0,2.0
1,3,0,1234,6,CCALPeps,4008.8190000000004,3865.333,0.5160364962038373,0.5160638274485072,0.4839361725514929,0.4839635037961627,5.0,2.0
2,3,0,2468,6,CCVE,1344.35,256.508,0.8852551914401819,0.8852551914401819,0.11474480855981807,0.11474480855981807,5.0,2.0
3,3,0,2468,6,CCALPeps,3360.013,3242.827,0.8849464650740939,0.885066233188477,0.114933766811523,0.11505353492590607,5.0,2.0
4,3,0,3702,6,CCVE,inf,inf,,,,,5.0,2.0
5,3,0,3702,6,CCALPeps,3465.992,3342.933,0.00831034188488381,0.9746942805541974,0.025305719445802618,0.9916896581151162,5.0,2.0
6,3,0,4936,6,CCVE,1244.64,240.243,0.1319930293975565,0.1319930293975565,0.8680069706024436,0.8680069706024436,5.0,2.0
7,3,0,4936,6,CCALPeps,3753.744,3609.952,0.1320704975564959,0.1321296200544015,0.8678703799455986,0.8679295024435041,5.0,2.0
8,3,0,6170,6,CCVE,1259.865,263.83,0.1315733733849383,0.1315733733849383,0.8684266266150618,0.8684266266150618,5.0,2.0
9,3,0,6170,6,CCALPeps,3878.512,3749.922,0.1316367001370944,0.131650232558131,0.8683497674418691,0.8683632998629056,5.0,2.0
10,3,0,7404,6,CCVE,inf,inf,,,,,5.0,2.0
11,3,0,7404,6,CCALPeps,3724.309,3566.797,0.948195718427611,0.9997887417053616,0.00021125829463852772,0.05180428157238903,5.0,2.0
12,3,0,8638,6,CCVE,1472.2060000000001,306.666,0.08092658383741756,0.08092658383741756,0.9190734161625824,0.9190734161625824,5.0,2.0
13,3,0,8638,6,CCALPeps,4153.159000000001,4031.949,0.08101368710440045,0.08103519402790461,0.9189648059720954,0.9189863128955996,5.0,2.0
14,3,0,9872,6,CCVE,inf,inf,,,,,5.0,2.0
15,3,0,9872,6,CCALPeps,3661.802,3495.062,0.059572355822402986,0.36451593794388204,0.635484062056118,0.940427644177597,5.0,2.0
16,3,0,11106,6,CCVE,inf,inf,,,,,5.0,2.0
17,3,0,11106,6,CCALPeps,3696.075,3565.285,0.08802537790823309,0.8899751525674264,0.11002484743257357,0.9119746220917668,5.0,2.0
18,3,0,12340,6,CCVE,inf,inf,,,,,5.0,2.0
19,3,0,12340,6,CCALPeps,3383.022,3274.3520000000003,0.30635943264204146,0.5869249191117951,0.4130750808882049,0.6936405673579585,5.0,2.0
20,3,0,13574,6,CCVE,1265.255,239.706,0.4035286373245627,0.4035286373245627,0.5964713626754373,0.5964713626754373,5.0,2.0
21,3,0,13574,6,CCALPeps,3821.663,3706.7929999999997,0.40346565392343103,0.4035491277602812,0.5964508722397188,0.596534346076569,5.0,2.0
22,3,0,14808,6,CCVE,inf,inf,,,,,5.0,2.0
23,3,0,14808,6,CCALPeps,3525.75,3337.7740000000003,0.7443407455824665,0.9837459381508166,0.016254061849183432,0.25565925441753345,5.0,2.0
24,3,0,16042,6,CCVE,inf,inf,,,,,5.0,2.0
25,3,0,16042,6,CCALPeps,3439.565,3302.195,0.9289140488209066,0.9929515293820596,0.007048470617940485,0.07108595117909343,5.0,2.0
