,N,dovar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,obsvar,target
0,3,0,1234,6,CVE,21.712399999999995,19.1108,0.457464096500152,0.457464096500152,0.542535903499848,0.542535903499848,4.0,2.0
1,3,0,1234,6,CCVE,427.89799999999997,78.47380000000001,0.45746409650015196,0.45746409650015196,0.542535903499848,0.542535903499848,4.0,2.0
2,3,0,1234,6,CCALPeps,1743.393,1731.7635999999998,0.4574312376913952,0.45745920643605514,0.5425407935639448,0.5425687623086048,4.0,2.0
3,3,0,2468,6,CVE,15.104400000000002,13.176400000000001,0.9866070985592904,0.9866070985592904,0.013392901440709565,0.013392901440709565,4.0,2.0
4,3,0,2468,6,CCVE,513.9942,86.26140000000001,0.9866070985592904,0.9866070985592904,0.013392901440709563,0.013392901440709563,4.0,2.0
5,3,0,2468,6,CCALPeps,1965.2528000000002,1953.0194,0.9865583346809595,0.9865583346809595,0.013441665319040452,0.013441665319040475,4.0,2.0
6,3,0,3702,6,CVE,15.796199999999999,13.687999999999999,0.04198913974948058,0.04198913974948058,0.9580108602505194,0.9580108602505194,4.0,2.0
7,3,0,3702,6,CCVE,465.56440000000003,71.3668,0.04198913974948058,0.04198913974948058,0.9580108602505194,0.9580108602505194,4.0,2.0
8,3,0,3702,6,CCALPeps,1919.8126,1904.4725999999998,0.0421240093347802,0.04212400933478027,0.9578759906652198,0.9578759906652198,4.0,2.0
9,3,0,4936,6,CVE,13.1458,10.548599999999999,0.5981415933075687,0.5981415933075687,0.40185840669243134,0.40185840669243134,4.0,2.0
10,3,0,4936,6,CCVE,inf,inf,,,,,4.0,2.0
11,3,0,4936,6,CCALPeps,1981.3754000000001,1966.7289999999998,0.5008131434199619,0.6008051441351372,0.3991948558648628,0.49918685658003814,4.0,2.0
12,3,0,6170,6,CVE,19.6482,14.5722,0.13052537830094352,0.13052537830094352,0.8694746216990564,0.8694746216990564,4.0,2.0
13,3,0,6170,6,CCVE,522.2878,77.5588,0.13052537830094352,0.13052537830094352,0.8694746216990564,0.8694746216990564,4.0,2.0
14,3,0,6170,6,CCALPeps,1825.2018,1813.6646,0.130630215188455,0.13064381851009443,0.8693561814899056,0.869369784811545,4.0,2.0
15,3,0,7404,6,CVE,19.4934,14.2728,0.7526553376205217,0.7526553376205217,0.24734466237947825,0.24734466237947825,4.0,2.0
16,3,0,7404,6,CCVE,564.9008,88.77159999999999,0.7526553376205217,0.7526553376205217,0.24734466237947828,0.24734466237947828,4.0,2.0
17,3,0,7404,6,CCALPeps,1900.6306,1876.4024000000002,0.7525483262258108,0.752548326225811,0.247451673774189,0.2474516737741892,4.0,2.0
18,3,0,8638,6,CVE,17.4484,13.149199999999999,0.9286668528090386,0.9286668528090386,0.07133314719096127,0.07133314719096127,4.0,2.0
19,3,0,8638,6,CCVE,523.3638,80.8172,0.9286668528090386,0.9286668528090386,0.07133314719096127,0.07133314719096127,4.0,2.0
20,3,0,8638,6,CCALPeps,1922.6216,1906.8915999999997,0.928543170395794,0.9285431703957943,0.0714568296042058,0.07145682960420591,4.0,2.0
21,3,0,9872,6,CVE,15.0476,10.8702,0.19532756757670575,0.19532756757670575,0.8046724324232943,0.8046724324232943,4.0,2.0
22,3,0,9872,6,CCVE,525.7248,73.5742,0.19532756757670575,0.19532756757670575,0.8046724324232943,0.8046724324232943,4.0,2.0
23,3,0,9872,6,CCALPeps,2117.1188,2104.856,0.1954094583738223,0.19540945837382256,0.8045905416261775,0.8045905416261777,4.0,2.0
24,3,0,11106,6,CVE,13.4344,11.9074,0.08828222612518326,0.08828222612518326,0.9117177738748167,0.9117177738748167,4.0,2.0
25,3,0,11106,6,CCVE,518.1796,82.8906,0.08828222612518326,0.08828222612518326,0.9117177738748167,0.9117177738748167,4.0,2.0
