,N,dovar,obsvar,target,endovarsize,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,lowerbound2,upperbound2
0,3,0,-1,1,3,1234,CVE,25.594,23.512,0.0789237668161435,0.0789237668161435,0.3228699551569507,0.3228699551569507,0.5982062780269057,0.5982062780269057
1,3,0,-1,1,3,1234,CCVE,503.32,72.536,0.07627494456762748,0.0816326530612245,0.31816173221387534,0.32771961766044605,0.5918367346938777,0.6044345898004435
2,3,0,-1,1,3,1234,CCALPeps,4226.153,4172.494,0.0764314128805997,0.08174016925782754,0.31958454828898186,0.32674827797153955,0.5915115527706329,0.6039840388304184
3,3,0,-1,1,3,2468,CVE,25.454,23.267,0.6166666666666666,0.6166666666666666,0.37500000000000006,0.37500000000000006,0.008333333333333333,0.008333333333333333
4,3,0,-1,1,3,2468,CCVE,1739.125,1278.875,0.4030501089324619,0.7726218097447795,0.026768642447418743,0.49591280653950953,0.0,0.46933333333333327
5,3,0,-1,1,3,2468,CCALPeps,3897.322,3842.919,0.49313079860230363,0.6454282412447818,0.02737616214194452,0.48538926894750667,0.00018498314761625494,0.46937121771402796
6,3,0,-1,1,3,3702,CVE,23.992,22.194,0.3364016736401674,0.3364016736401674,0.6572384937238493,0.6572384937238493,0.0063598326359832645,0.0063598326359832645
7,3,0,-1,1,3,3702,CCVE,823.804,364.785,0.061075660893345485,0.4123486202104428,0.5715960148466497,0.9298653042266605,0.005560098119378578,0.03504531722054381
8,3,0,-1,1,3,3702,CCALPeps,3927.47,3873.077,0.06178244505518308,0.40984335125828975,0.5778570697590806,0.917941431013855,0.005597772373279261,0.035166271619508256
9,5,0,-1,1,3,1234,CVE,32.111,26.879,0.471061566541715,0.471061566541715,0.014008007379349596,0.014008007379349596,0.5149304260789355,0.5149304260789355
10,5,0,-1,1,3,1234,CCVE,inf,inf,,,,,,
11,5,0,-1,1,3,1234,CCALPeps,inf,inf,,,,,,
12,5,0,-1,1,3,2468,CVE,inf,inf,,,,,,
13,5,0,-1,1,3,2468,CCVE,inf,inf,,,,,,
14,5,0,-1,1,3,2468,CCALPeps,inf,inf,,,,,,
15,5,0,-1,1,3,3702,CVE,inf,inf,,,,,,
16,5,0,-1,1,3,3702,CCVE,inf,inf,,,,,,
17,5,0,-1,1,3,3702,CCALPeps,inf,inf,,,,,,
18,7,0,-1,1,3,1234,CVE,inf,inf,,,,,,
19,7,0,-1,1,3,1234,CCVE,,,,,,,,
20,7,0,-1,1,3,1234,CCALPeps,,,,,,,,
21,7,0,-1,1,3,2468,CVE,,,,,,,,
22,7,0,-1,1,3,2468,CCVE,,,,,,,,
23,7,0,-1,1,3,2468,CCALPeps,,,,,,,,
24,7,0,-1,1,3,3702,CVE,,,,,,,,
25,7,0,-1,1,3,3702,CCVE,,,,,,,,
26,7,0,-1,1,3,3702,CCALPeps,,,,,,,,
27,9,0,-1,1,3,1234,CVE,,,,,,,,
28,9,0,-1,1,3,1234,CCVE,,,,,,,,
29,9,0,-1,1,3,1234,CCALPeps,,,,,,,,
30,9,0,-1,1,3,2468,CVE,,,,,,,,
31,9,0,-1,1,3,2468,CCVE,,,,,,,,
32,9,0,-1,1,3,2468,CCALPeps,,,,,,,,
33,9,0,-1,1,3,3702,CVE,,,,,,,,
34,9,0,-1,1,3,3702,CCVE,,,,,,,,
35,9,0,-1,1,3,3702,CCALPeps,,,,,,,,
36,11,0,-1,1,3,1234,CVE,,,,,,,,
37,11,0,-1,1,3,1234,CCVE,,,,,,,,
38,11,0,-1,1,3,1234,CCALPeps,,,,,,,,
39,11,0,-1,1,3,2468,CVE,,,,,,,,
40,11,0,-1,1,3,2468,CCVE,,,,,,,,
41,11,0,-1,1,3,2468,CCALPeps,,,,,,,,
42,11,0,-1,1,3,3702,CVE,,,,,,,,
43,11,0,-1,1,3,3702,CCVE,,,,,,,,
44,11,0,-1,1,3,3702,CCALPeps,,,,,,,,
45,13,0,-1,1,3,1234,CVE,,,,,,,,
46,13,0,-1,1,3,1234,CCVE,,,,,,,,
47,13,0,-1,1,3,1234,CCALPeps,,,,,,,,
48,13,0,-1,1,3,2468,CVE,,,,,,,,
49,13,0,-1,1,3,2468,CCVE,,,,,,,,
50,13,0,-1,1,3,2468,CCALPeps,,,,,,,,
51,13,0,-1,1,3,3702,CVE,,,,,,,,
52,13,0,-1,1,3,3702,CCVE,,,,,,,,
53,13,0,-1,1,3,3702,CCALPeps,,,,,,,,
54,15,0,-1,1,3,1234,CVE,,,,,,,,
55,15,0,-1,1,3,1234,CCVE,,,,,,,,
56,15,0,-1,1,3,1234,CCALPeps,,,,,,,,
57,15,0,-1,1,3,2468,CVE,,,,,,,,
58,15,0,-1,1,3,2468,CCVE,,,,,,,,
59,15,0,-1,1,3,2468,CCALPeps,,,,,,,,
60,15,0,-1,1,3,3702,CVE,,,,,,,,
61,15,0,-1,1,3,3702,CCVE,,,,,,,,
62,15,0,-1,1,3,3702,CCALPeps,,,,,,,,
63,17,0,-1,1,3,1234,CVE,,,,,,,,
64,17,0,-1,1,3,1234,CCVE,,,,,,,,
65,17,0,-1,1,3,1234,CCALPeps,,,,,,,,
66,17,0,-1,1,3,2468,CVE,,,,,,,,
67,17,0,-1,1,3,2468,CCVE,,,,,,,,
68,17,0,-1,1,3,2468,CCALPeps,,,,,,,,
69,17,0,-1,1,3,3702,CVE,,,,,,,,
70,17,0,-1,1,3,3702,CCVE,,,,,,,,
71,17,0,-1,1,3,3702,CCALPeps,,,,,,,,
72,19,0,-1,1,3,1234,CVE,,,,,,,,
73,19,0,-1,1,3,1234,CCVE,,,,,,,,
74,19,0,-1,1,3,1234,CCALPeps,,,,,,,,
75,19,0,-1,1,3,2468,CVE,,,,,,,,
76,19,0,-1,1,3,2468,CCVE,,,,,,,,
77,19,0,-1,1,3,2468,CCALPeps,,,,,,,,
78,19,0,-1,1,3,3702,CVE,,,,,,,,
79,19,0,-1,1,3,3702,CCVE,,,,,,,,
80,19,0,-1,1,3,3702,CCALPeps,,,,,,,,
81,21,0,-1,1,3,1234,CVE,,,,,,,,
82,21,0,-1,1,3,1234,CCVE,,,,,,,,
83,21,0,-1,1,3,1234,CCALPeps,,,,,,,,
84,21,0,-1,1,3,2468,CVE,,,,,,,,
85,21,0,-1,1,3,2468,CCVE,,,,,,,,
86,21,0,-1,1,3,2468,CCALPeps,,,,,,,,
87,21,0,-1,1,3,3702,CVE,,,,,,,,
88,21,0,-1,1,3,3702,CCVE,,,,,,,,
89,21,0,-1,1,3,3702,CCALPeps,,,,,,,,
90,23,0,-1,1,3,1234,CVE,,,,,,,,
91,23,0,-1,1,3,1234,CCVE,,,,,,,,
92,23,0,-1,1,3,1234,CCALPeps,,,,,,,,
93,23,0,-1,1,3,2468,CVE,,,,,,,,
94,23,0,-1,1,3,2468,CCVE,,,,,,,,
95,23,0,-1,1,3,2468,CCALPeps,,,,,,,,
96,23,0,-1,1,3,3702,CVE,,,,,,,,
97,23,0,-1,1,3,3702,CCVE,,,,,,,,
98,23,0,-1,1,3,3702,CCALPeps,,,,,,,,
99,25,0,-1,1,3,1234,CVE,,,,,,,,
100,25,0,-1,1,3,1234,CCVE,,,,,,,,
101,25,0,-1,1,3,1234,CCALPeps,,,,,,,,
102,25,0,-1,1,3,2468,CVE,,,,,,,,
103,25,0,-1,1,3,2468,CCVE,,,,,,,,
104,25,0,-1,1,3,2468,CCALPeps,,,,,,,,
105,25,0,-1,1,3,3702,CVE,,,,,,,,
106,25,0,-1,1,3,3702,CCVE,,,,,,,,
107,25,0,-1,1,3,3702,CCALPeps,,,,,,,,
108,27,0,-1,1,3,1234,CVE,,,,,,,,
109,27,0,-1,1,3,1234,CCVE,,,,,,,,
110,27,0,-1,1,3,1234,CCALPeps,,,,,,,,
111,27,0,-1,1,3,2468,CVE,,,,,,,,
112,27,0,-1,1,3,2468,CCVE,,,,,,,,
113,27,0,-1,1,3,2468,CCALPeps,,,,,,,,
114,27,0,-1,1,3,3702,CVE,,,,,,,,
115,27,0,-1,1,3,3702,CCVE,,,,,,,,
116,27,0,-1,1,3,3702,CCALPeps,,,,,,,,
117,29,0,-1,1,3,1234,CVE,,,,,,,,
118,29,0,-1,1,3,1234,CCVE,,,,,,,,
119,29,0,-1,1,3,1234,CCALPeps,,,,,,,,
120,29,0,-1,1,3,2468,CVE,,,,,,,,
121,29,0,-1,1,3,2468,CCVE,,,,,,,,
122,29,0,-1,1,3,2468,CCALPeps,,,,,,,,
123,29,0,-1,1,3,3702,CVE,,,,,,,,
124,29,0,-1,1,3,3702,CCVE,,,,,,,,
125,29,0,-1,1,3,3702,CCALPeps,,,,,,,,
